;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;1748.0;;216.0;-101.0;-339.0;-281.0;315.0;643.0;7808.0;1826.0;2394.0;5413.0;;;;;;;;1849.0;;355.0;355.0;;1493.0;1849.0;;;559.0;12.36;-5.76;-239.0;-19.41;-63.0;-16.05;-0.89;-0.89;315.0;;;;;;;643.0;2039.0;;;;;;5126.0;7165.0;;;;;;1826.0;;;;568.0;568.0;;;;;;;5413.0;7808.0;;7808.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1860.0;902.0;-3297.0;128.0;-108.0;-3583.0;315.0;753.0;4926.0;642.0;2347.0;2579.0;;;;;;958.0;48.49;790.0;;393.0;393.0;;397.0;1748.0;;;337.0;-177.27;6.89;-236.0;-5.81;-51.0;-192.67;-11.38;-11.38;315.0;;;;;;;753.0;2214.0;;;;;;1959.0;4173.0;;;;;;642.0;;;;1705.0;1705.0;;;;;;;2579.0;4926.0;;4926.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;2175.0;1041.0;516.0;150.0;-23.0;-35.0;362.0;959.0;5233.0;736.0;2418.0;2760.0;433.0;-230.0;-222.0;-12.0;184.0;1133.0;47.88;891.0;;457.0;457.0;;434.0;2024.0;;160.0;380.0;23.74;6.92;-174.0;-1.06;12.0;-1.61;-0.1;-0.1;362.0;;34.0;;34.0;785.0;;139.0;2264.0;701.0;809.0;1510.0;172.0;155.0;173.0;4274.0;;275.0;137.0;;;324.0;70.0;;;1612.0;1682.0;;;;;-4095.0;175.0;8111.0;5178.0;55.0;5233.0;;-35.0;380.0;24.0;;68.0;;;;222.0;-3.0;-249.0;;-1.0;;20.0;-190.0;;;;-32.0;8.0;34.0;46.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;2447.0;1185.0;295.0;243.0;70.0;-155.0;362.0;1107.0;5241.0;749.0;2448.0;2730.0;492.0;-311.0;-182.0;4.0;221.0;1262.0;48.41;941.0;;499.0;499.0;;442.0;2204.0;;;388.0;12.07;9.94;-173.0;2.86;63.0;-6.35;-0.43;-0.43;362.0;;38.0;;38.0;964.0;;105.0;2196.0;787.0;546.0;1333.0;178.0;231.0;195.0;4134.0;;244.0;146.0;;;359.0;30.0;;;1669.0;1699.0;;;;;-4250.0;300.0;8569.0;5178.0;63.0;5241.0;;-155.0;388.0;39.0;;136.0;;;;358.0;85.0;-271.0;;-8.0;12.0;-44.0;-105.0;;;;-77.0;4.0;38.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;2666.0;1324.0;706.0;324.0;123.0;62.0;320.0;900.0;4918.0;794.0;3542.0;1209.0;510.0;-361.0;-78.0;71.0;302.0;1342.0;49.65;1000.0;;603.0;603.0;;397.0;2342.0;;198.0;401.0;26.48;12.14;-201.0;4.61;45.0;2.31;0.19;0.19;320.0;;109.0;;109.0;689.0;;103.0;2153.0;;1209.0;1209.0;99.0;240.0;317.0;4018.0;;213.0;141.0;;83.0;357.0;2587.0;;;161.0;2748.0;;;;4.0;20.0;2.0;1183.0;4751.0;167.0;4918.0;;62.0;401.0;-6.0;;-252.0;;;;106.0;305.0;-208.0;-100.0;-0.0;1.0;-55.0;;0.0;;;-78.0;-0.0;109.0;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;2898.0;1445.0;845.0;445.0;291.0;153.0;352.0;1190.0;5422.0;842.0;3654.0;1586.0;539.0;-489.0;-53.0;-3.0;305.0;1453.0;49.85;999.0;;614.0;614.0;;385.0;2452.0;;163.0;408.0;29.18;15.37;-155.0;10.03;122.0;5.28;0.43;0.43;352.0;;105.0;;105.0;799.0;22.0;264.0;2192.0;1093.0;553.0;1646.0;97.0;200.0;97.0;4232.0;;122.0;90.0;;96.0;533.0;2598.0;;;214.0;2812.0;;;;4.0;173.0;130.0;1279.0;5240.0;182.0;5422.0;;153.0;408.0;40.0;;242.0;;;;348.0;-304.0;-234.0;-242.0;;7.0;-20.0;;2.0;;;-55.0;0.0;105.0;109.0;;;8.23;0.43;0.87;;0.66;4.5;352.0;50.7;2.8;;2898.0;15.4;408.0;153.0;42.0;5.3;348.0;2598.0;1586.0;5.8;8.4;9.6;100.0;-0.7
2007.0;3282.0;1547.0;792.0;555.0;412.0;246.0;356.0;1607.0;5936.0;921.0;3737.0;1983.0;694.0;-356.0;-306.0;30.0;419.0;1735.0;47.14;1004.0;;604.0;604.0;;399.0;2738.0;;;399.0;24.14;16.92;-143.0;12.55;147.0;7.5;0.69;0.69;355.0;;135.0;;135.0;928.0;27.0;518.0;2244.0;1163.0;506.0;1668.0;108.0;186.0;122.0;4328.0;;138.0;87.0;;122.0;574.0;2595.0;;;221.0;2816.0;;;;4.0;427.0;247.0;1304.0;5720.0;216.0;5936.0;;246.0;399.0;35.0;;337.0;;;;686.0;-323.0;-276.0;-69.0;-1.0;1.0;-12.0;;11.0;;;-317.0;-3.0;135.0;105.0;;;9.25;0.69;1.18;;0.78;5.59;355.0;39.4;2.3;;3282.0;16.9;399.0;246.0;35.6;7.5;686.0;2595.0;1983.0;5.3;6.9;12.4;100.0;-2.6
2008.0;3289.0;1407.0;-2599.0;-2944.0;-3072.0;-2851.0;355.0;1555.0;8051.0;792.0;4507.0;3332.0;604.0;-426.0;-233.0;-40.0;245.0;1882.0;42.78;4367.0;;677.0;677.0;;3690.0;6250.0;;;472.0;-79.02;-89.52;-127.0;-93.38;-220.0;-86.68;-8.03;-8.03;355.0;;95.0;;95.0;814.0;27.0;619.0;2587.0;1180.0;2530.0;3710.0;74.0;;126.0;6496.0;;118.0;70.0;;110.0;495.0;2532.0;;1004.0;179.0;3715.0;;;;4.0;-3019.0;-330.0;6677.0;7839.0;212.0;8051.0;;-2851.0;472.0;-247.0;;77.0;;;;763.0;3153.0;-358.0;-96.0;-0.0;2.0;27.0;;4.0;;;-237.0;15.0;168.0;208.0;;;9.26;-8.03;0.69;;1.01;9.38;355.0;-2.0;-0.1;;3289.0;-89.5;472.0;-2851.0;7.2;-86.7;763.0;2532.0;3332.0;-40.5;-39.2;-85.6;100.0;
2009.0;2698.0;1073.0;-423.0;-815.0;-1022.0;-868.0;355.0;1641.0;7192.0;771.0;4431.0;2568.0;441.0;-163.0;232.0;515.0;260.0;1625.0;39.77;981.0;;550.0;550.0;;431.0;2606.0;1.0;155.0;440.0;-15.67;-30.22;-206.0;-37.87;-149.0;-32.18;-2.44;-2.46;355.0;;609.0;;609.0;796.0;;235.0;2441.0;862.0;1931.0;2793.0;40.0;;278.0;5552.0;;109.0;47.0;;110.0;505.0;2562.0;;842.0;256.0;3660.0;;;;4.0;-3887.0;-218.0;6669.0;6999.0;194.0;7192.0;;-868.0;440.0;-132.0;12.0;107.0;68.0;;;869.0;883.0;-181.0;-4.0;-3.0;;25.0;-2509.0;;;;2741.0;5.0;609.0;95.0;;;7.59;-2.44;0.73;;0.51;7.23;355.0;-2.4;-0.0;;2698.0;-30.2;440.0;-868.0;14.6;-32.2;869.0;2562.0;2568.0;-11.8;-12.3;-33.8;100.0;
2010.0;2798.0;1238.0;587.0;187.0;-55.0;-88.0;356.0;1570.0;7096.0;785.0;4388.0;2498.0;525.0;-199.0;-314.0;15.0;330.0;1560.0;44.25;1040.0;;602.0;602.0;;437.0;2600.0;19.0;239.0;414.0;20.98;6.68;-242.0;-1.96;22.0;-3.13;-0.26;-0.26;356.0;;624.0;;624.0;755.0;;191.0;2298.0;862.0;1820.0;2682.0;;;546.0;5526.0;;101.0;42.0;;101.0;543.0;2522.0;;829.0;252.0;3603.0;;;;4.0;-3974.0;-207.0;6676.0;6886.0;210.0;7096.0;;-88.0;414.0;-14.0;12.0;-85.0;-47.0;;;785.0;286.0;-195.0;-2.0;;;-2.0;-321.0;;;;6.0;3.0;624.0;609.0;;;7.87;-0.25;0.93;;0.55;7.03;356.0;-45.1;-2.2;;2798.0;6.7;414.0;-88.0;-39.4;-3.1;785.0;2522.0;2498.0;4.0;2.5;-3.5;100.0;
