;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;;;-14.0;14.0;;-12.0;0.0;69.0;188.0;16.0;83.0;104.0;-16.0;-81.0;163.0;;-97.0;;;;;;;;;14.0;3.0;1.0;0.0;-inf;inf;0.0;;;-inf;-170.2;-170.2;0.0;;66.0;;66.0;;;3.0;112.0;;;;;;7.0;119.0;;3.0;;;;14.0;;;;67.0;67.0;;;;0.0;-12.0;-0.0;116.0;188.0;;188.0;;-12.0;0.0;;;-5.0;;;;53.0;;-81.0;;;;;-37.0;0.0;;;200.0;;66.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;3.0;-17.0;-42.0;61.0;;-67.0;0.0;54.0;320.0;8.0;210.0;110.0;-47.0;-132.0;162.0;-17.0;-165.0;20.0;-572.53;44.0;;30.0;30.0;;14.0;64.0;2.0;8.0;17.0;-1395.26;2024.32;0.0;;;-2217.13;-1295.6;-1295.6;0.0;;49.0;2.0;51.0;1.0;;2.0;236.0;;10.0;10.0;;;19.0;266.0;;4.0;0.0;;;3.0;181.0;;;21.0;202.0;;;;0.0;-103.0;-13.0;226.0;320.0;;320.0;;-67.0;17.0;;;-6.0;;;;47.0;9.0;-118.0;-12.0;-2.0;;;;61.0;;;100.0;;49.0;66.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;52.0;3.0;-10.0;62.0;;-92.0;0.0;51.0;408.0;280.0;375.0;33.0;-42.0;-20.0;52.0;-10.0;-117.0;49.0;4.99;73.0;;37.0;37.0;;37.0;123.0;2.0;36.0;46.0;-18.59;119.96;11.0;;;-176.92;-564.4;-564.4;0.0;;39.0;4.0;43.0;6.0;;3.0;323.0;;15.0;15.0;;;19.0;357.0;;8.0;254.0;;;19.0;39.0;;;56.0;95.0;;55.0;175.0;0.0;-195.0;3.0;49.0;408.0;;408.0;;-92.0;46.0;;;-276.0;;;;-229.0;280.0;-75.0;;-5.0;;61.0;;;;;52.0;-0.0;39.0;49.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;59.0;11.0;231.0;81.0;;141.0;8.0;18.0;344.0;19.0;100.0;245.0;-27.0;-25.0;21.0;-31.0;-51.0;48.0;18.68;308.0;;44.0;44.0;;264.0;356.0;2.0;20.0;70.0;388.35;136.7;240.0;;;236.85;229.2;11.2;0.0;;8.0;4.0;12.0;5.0;;1.0;314.0;;8.0;8.0;;;4.0;326.0;;7.0;4.0;;;8.0;4.0;;;77.0;81.0;;58.0;98.0;0.0;-54.0;-31.0;232.0;344.0;;344.0;;141.0;70.0;;;228.0;;;;-1.0;-467.0;-24.0;;-1.0;;-1.0;;41.0;;;-20.0;1.0;8.0;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;91.0;27.0;-7.0;84.0;;-90.0;1.0;32.0;379.0;45.0;166.0;212.0;-26.0;-3.0;34.0;6.0;-37.0;64.0;29.54;109.0;;52.0;52.0;;57.0;174.0;2.0;13.0;70.0;-7.33;92.09;3.0;;;-98.22;-175.03;-175.03;1.0;;14.0;1.0;14.0;14.0;;4.0;337.0;;3.0;3.0;;;6.0;346.0;;16.0;7.0;;;22.0;23.0;;;98.0;121.0;;96.0;140.0;0.0;-144.0;-20.0;237.0;379.0;;379.0;;-90.0;70.0;;;-12.0;;;;-13.0;6.0;-10.0;;;3.0;4.0;;;;;34.0;1.0;14.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;135.0;49.0;15.0;62.0;;-68.0;34.0;52.0;351.0;34.0;130.0;221.0;-9.0;-14.0;40.0;16.0;-26.0;86.0;36.25;110.0;;54.0;54.0;;56.0;196.0;1.0;12.0;70.0;10.86;45.96;4.0;;;-49.93;-1.96;-1.96;34.0;;30.0;1.0;31.0;16.0;;4.0;293.0;;3.0;3.0;;;4.0;300.0;;12.0;7.0;;;16.0;7.0;;;89.0;96.0;;86.0;;0.0;-211.0;-8.0;440.0;351.0;;351.0;;-68.0;70.0;;;30.0;;;;17.0;-42.0;-17.0;;-1.0;;4.0;;64.0;;;-24.0;-1.0;30.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;149.0;69.0;18.0;47.0;;-54.0;46.0;68.0;337.0;37.0;121.0;216.0;5.0;-19.0;27.0;13.0;-16.0;80.0;46.05;115.0;;57.0;57.0;;59.0;196.0;3.0;11.0;61.0;11.81;31.23;1.0;;;-36.06;-1.16;-1.16;46.0;;43.0;0.0;43.0;20.0;;5.0;263.0;;1.0;1.0;;;4.0;269.0;;9.0;15.0;;1.0;11.0;;;;85.0;85.0;;82.0;;0.0;-265.0;2.0;478.0;337.0;;337.0;;-54.0;61.0;;;14.0;;;;31.0;-16.0;-22.0;;;1.0;1.0;;37.0;;;-10.0;-0.0;43.0;30.0;;;3.22;-1.16;-0.35;;0.47;4.65;46.0;-8.8;-0.5;;149.0;31.2;61.0;-54.0;;-36.1;31.0;;216.0;;-12.8;-24.9;100.0;
2007.0;186.0;98.0;46.0;30.0;;-31.0;48.0;206.0;455.0;33.0;316.0;139.0;49.0;-31.0;116.0;134.0;18.0;88.0;52.73;130.0;;62.0;62.0;;68.0;218.0;7.0;10.0;67.0;25.0;16.11;2.0;;;-16.71;-0.65;-0.65;48.0;;177.0;1.0;178.0;22.0;;7.0;245.0;;0.0;0.0;;;4.0;249.0;;13.0;8.0;;2.0;11.0;196.0;;;87.0;283.0;;85.0;;0.0;-296.0;4.0;430.0;455.0;;455.0;;-31.0;67.0;;;141.0;;;;173.0;-129.0;-30.0;;-1.0;;0.0;;1.0;-60.0;;175.0;0.0;177.0;43.0;;;3.88;-0.65;0.38;;0.64;2.9;48.0;-38.0;-2.2;;186.0;16.1;67.0;-31.0;;-16.7;173.0;196.0;139.0;;-4.6;-22.3;100.0;
2008.0;215.0;122.0;103.0;22.0;28.0;27.0;46.0;100.0;348.0;33.0;225.0;122.0;54.0;-33.0;-126.0;-106.0;21.0;93.0;56.82;145.0;;80.0;80.0;;64.0;238.0;4.0;11.0;63.0;47.57;10.31;6.0;13.14;2.0;12.43;0.6;0.59;45.0;;71.0;0.0;71.0;22.0;;6.0;244.0;;;;;;4.0;248.0;;13.0;6.0;;3.0;12.0;90.0;;;102.0;192.0;;98.0;;0.0;-269.0;1.0;390.0;348.0;;348.0;;27.0;63.0;;;-106.0;;;;66.0;71.0;-34.0;;;1.0;0.0;;0.0;-59.0;;-67.0;-2.0;71.0;177.0;;;4.84;0.6;0.47;;0.75;2.75;45.0;21.8;1.0;;215.0;10.3;63.0;27.0;5.4;12.4;66.0;90.0;122.0;11.8;11.3;21.9;100.0;283.9
2009.0;236.0;133.0;57.0;-4.0;-18.0;-17.0;44.0;87.0;355.0;36.0;211.0;144.0;57.0;-49.0;-24.0;-15.0;7.0;103.0;56.42;137.0;;77.0;77.0;;60.0;240.0;1.0;16.0;60.0;24.27;-1.61;-15.0;-7.8;-1.0;-7.27;-0.39;-0.39;44.0;;56.0;;56.0;23.0;;8.0;264.0;;;;;;4.0;268.0;;13.0;6.0;;;18.0;66.0;;;108.0;174.0;;110.0;;0.0;-333.0;2.0;475.0;355.0;;355.0;;-17.0;60.0;;9.0;-16.0;-0.0;;3.0;51.0;21.0;-50.0;;;0.0;0.0;-23.0;;-1.0;;0.0;1.0;56.0;71.0;;;5.36;-0.39;0.17;;1.12;3.28;44.0;-21.9;-0.3;;236.0;-1.6;60.0;-17.0;6.8;-7.3;51.0;66.0;144.0;-0.8;-0.8;-11.9;100.0;
