;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;413.0;56.0;18.0;;20.0;12.0;76.0;71.0;78.0;22.0;22.0;56.0;4.0;-21.0;16.0;16.0;1.0;358.0;13.48;36.0;;35.0;35.0;;2.0;394.0;;;-2.0;4.4;;1.0;4.81;8.0;2.93;0.16;0.16;76.0;;3.0;;3.0;25.0;23.0;20.0;3.0;;;;;;4.0;7.0;;16.0;;;;6.0;;;;;;;;;;21.0;-2.0;37.0;78.0;;78.0;;12.0;-2.0;-0.0;;16.0;-12.0;-14.0;9.0;16.0;-23.0;-3.0;;-47.0;28.0;;;;;;16.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;629.0;82.0;31.0;;33.0;20.0;84.0;127.0;134.0;28.0;28.0;106.0;11.0;-26.0;26.0;26.0;9.0;546.0;13.09;51.0;;49.0;49.0;;2.0;598.0;;;-2.0;4.9;;2.0;5.25;13.0;3.2;0.24;0.24;84.0;;14.0;;14.0;41.0;27.0;44.0;4.0;;;;;;4.0;7.0;;19.0;;;;8.0;;;;;;;;;;41.0;-2.0;67.0;134.0;;134.0;;20.0;-2.0;-1.0;;33.0;-16.0;-4.0;3.0;49.0;-39.0;-2.0;;-63.0;39.0;;;;;;26.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;928.0;122.0;59.0;54.0;57.0;34.0;85.0;181.0;199.0;57.0;57.0;142.0;29.0;-27.0;;2.0;18.0;805.0;13.2;69.0;;65.0;65.0;;4.0;874.0;;;2.0;6.34;5.78;3.0;6.13;22.0;3.71;1.58;1.58;22.0;;16.0;58.0;75.0;61.0;41.0;3.0;12.0;;;;;;6.0;18.0;;37.0;;;;21.0;;;;;;;;;0.0;75.0;;66.0;199.0;;199.0;;34.0;2.0;-3.0;;50.0;;-14.0;;99.0;-54.0;-11.0;;-111.0;96.0;;;;;;;;16.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1277.0;171.0;87.0;80.0;85.0;51.0;22.0;237.0;270.0;70.0;70.0;200.0;20.0;-18.0;;2.0;2.0;1106.0;13.38;90.0;;90.0;90.0;;;1196.0;;;3.0;6.83;6.3;4.0;6.62;34.0;3.99;2.37;2.35;22.0;;18.0;61.0;79.0;91.0;62.0;4.0;27.0;;;;;;6.0;32.0;;44.0;;;;25.0;;;;;;;;;0.0;126.0;;73.0;270.0;;270.0;;51.0;3.0;-1.0;;24.0;;-20.0;;124.0;-57.0;-17.0;;-101.0;100.0;;;;;;;;18.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1733.0;220.0;114.0;105.0;109.0;66.0;22.0;300.0;342.0;71.0;71.0;271.0;5.0;-18.0;-1.0;-14.0;-11.0;1513.0;12.7;116.0;;116.0;116.0;;;1629.0;;;5.0;6.56;6.04;4.0;6.29;43.0;3.8;3.06;3.03;22.0;;4.0;66.0;71.0;158.0;64.0;7.0;37.0;;;;;;5.0;42.0;;41.0;;;;30.0;;;;;;;;;0.0;192.0;;78.0;342.0;;342.0;;66.0;5.0;-1.0;;44.0;;-2.0;;167.0;-109.0;-15.0;;-115.0;112.0;;;1.0;;;-2.0;;4.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;2561.0;324.0;169.0;158.0;162.0;98.0;44.0;455.0;506.0;115.0;115.0;391.0;23.0;-9.0;2.0;16.0;13.0;2238.0;12.63;166.0;;166.0;166.0;;;2403.0;;;7.0;6.61;6.17;4.0;6.34;64.0;3.83;2.27;2.22;43.0;;20.0;63.0;83.0;238.0;126.0;8.0;39.0;;;;;5.0;6.0;51.0;;66.0;;;;49.0;;;;;;;;;0.0;290.0;;100.0;506.0;;506.0;;98.0;7.0;-2.0;;61.0;;-62.0;;229.0;-142.0;-9.0;-6.0;-132.0;138.0;;;2.0;;;;;20.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;3842.0;490.0;279.0;260.0;269.0;162.0;91.0;674.0;748.0;112.0;112.0;636.0;142.0;-125.0;7.0;24.0;109.0;3353.0;12.75;230.0;;218.0;218.0;;12.0;3583.0;;;10.0;7.26;6.76;9.0;6.99;106.0;4.22;1.87;1.79;87.0;;44.0;159.0;203.0;351.0;110.0;10.0;62.0;;;;;7.0;6.0;75.0;;56.0;;;;56.0;;;;;;;;;1.0;453.0;;183.0;748.0;;748.0;;162.0;10.0;-2.0;;111.0;;16.0;;340.0;-140.0;-33.0;-44.0;-247.0;154.0;45.0;;7.0;;;;;44.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;3962.0;527.0;295.0;268.0;280.0;169.0;89.0;854.0;937.0;158.0;158.0;779.0;302.0;-111.0;-89.0;102.0;280.0;3435.0;13.3;259.0;;253.0;253.0;;6.0;3693.0;;;15.0;7.46;6.77;12.0;7.07;111.0;4.26;1.97;1.89;86.0;;146.0;248.0;394.0;328.0;119.0;12.0;69.0;;;;;;14.0;83.0;;107.0;;;;52.0;;;;;;;;;1.0;621.0;;156.0;937.0;;937.0;;169.0;15.0;-3.0;;222.0;;-9.0;;562.0;-100.0;-22.0;;-1990.0;1901.0;1.0;;9.0;-98.0;;;;146.0;44.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;4265.0;564.0;322.0;298.0;306.0;185.0;88.0;1019.0;1096.0;172.0;172.0;924.0;231.0;-110.0;-110.0;11.0;221.0;3701.0;13.22;266.0;;262.0;262.0;;4.0;3966.0;;;16.0;7.54;6.99;8.0;7.18;121.0;4.34;2.18;2.1;85.0;;157.0;347.0;505.0;347.0;151.0;16.0;64.0;;;;5.0;;8.0;77.0;;103.0;;;;69.0;;;;;;;;;1.0;807.0;0.0;117.0;1096.0;;1096.0;;185.0;16.0;-1.0;;134.0;;-32.0;;696.0;-102.0;-11.0;-18.0;-1889.0;1789.0;19.0;;18.0;-128.0;;;;157.0;146.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;4665.0;674.0;305.0;284.0;290.0;175.0;86.0;1235.0;1312.0;248.0;248.0;1061.0;125.0;-22.0;-38.0;65.0;114.0;3991.0;14.44;389.0;;325.0;325.0;;64.0;4380.0;;;15.0;6.53;6.1;5.0;6.21;114.0;3.76;2.1;2.03;83.0;;222.0;340.0;562.0;473.0;184.0;16.0;62.0;;;;;;14.0;77.0;;157.0;;;;91.0;;;;;;;;;1.0;957.0;0.0;103.0;1310.0;2.0;1312.0;;175.0;15.0;2.0;;151.0;;-17.0;;847.0;-218.0;-11.0;-4.0;-2380.0;2387.0;-13.0;;23.0;-76.0;-25.0;40.0;0.0;222.0;157.0;;;;;;;;;;;;;;;;;;;;;;;;;;
