;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;7.0;8.0;-14.0;-16.0;;-15.0;8.0;26.0;27.0;5.0;5.0;23.0;-17.0;-10.0;33.0;;-17.0;-1.0;110.14;24.0;20.0;3.0;3.0;;1.0;23.0;;;1.0;-202.9;-230.43;1.0;;;-213.04;-1.76;-1.76;8.0;;12.0;;12.0;4.0;;10.0;1.0;;;;;;0.0;1.0;;1.0;0.0;;;3.0;;;;;;;;;;-35.0;-2.0;59.0;27.0;;27.0;;-15.0;1.0;;;-3.0;;;;21.0;0.0;-0.0;;-32.0;22.0;;;33.0;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;3.0;4.0;-29.0;-31.0;;-30.0;9.0;20.0;21.0;20.0;20.0;1.0;-10.0;-4.0;8.0;;-10.0;-1.0;124.14;34.0;30.0;4.0;4.0;;1.0;34.0;;;1.0;-996.55;-1058.62;1.0;;;-1020.69;-3.17;-3.17;9.0;;6.0;;6.0;;;14.0;1.0;;;;;;0.0;1.0;;14.0;;;;6.0;;;;5.0;5.0;;;;;-64.0;-2.0;68.0;21.0;;21.0;;-30.0;1.0;;;-21.0;;;;1.0;40.0;-0.0;;-29.0;26.0;;;8.0;;;;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;2.0;3.0;-22.0;-25.0;;-23.0;11.0;41.0;42.0;9.0;9.0;33.0;-33.0;-24.0;55.0;-3.0;-34.0;-1.0;125.0;28.0;23.0;5.0;5.0;;1.0;27.0;;;1.0;-916.67;-1037.5;;;;-941.67;-2.04;-2.04;11.0;;4.0;37.0;40.0;;;0.0;1.0;;;;;;0.0;1.0;;2.0;;;;7.0;0.0;;;;0.0;;;;;-88.0;-3.0;123.0;42.0;;42.0;;-23.0;1.0;;;32.0;;;;32.0;-43.0;-1.0;;-72.0;49.0;0.0;;55.0;;;-0.0;;4.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;2.0;2.0;-35.0;-40.0;;-36.0;13.0;91.0;94.0;12.0;12.0;82.0;-32.0;16.0;84.0;68.0;-35.0;-1.0;134.25;43.0;35.0;7.0;7.0;;1.0;42.0;;;1.0;-1912.43;-2168.18;;;;-1946.68;-2.75;-2.75;13.0;;72.0;18.0;90.0;0.0;;1.0;3.0;;;;;;0.0;3.0;;6.0;0.0;;;6.0;0.0;;;;0.0;;;;0.0;-124.0;-4.0;209.0;94.0;;94.0;;-36.0;1.0;;;47.0;;;;79.0;-44.0;-3.0;;-19.0;37.0;-0.0;;85.0;-0.0;-1.0;-0.0;;72.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;5.0;;-48.0;-54.0;-49.0;-49.0;15.0;125.0;128.0;16.0;22.0;107.0;-44.0;-42.0;78.0;-7.0;-45.0;;;58.0;48.0;10.0;10.0;;;58.0;;;1.0;-1060.07;-1188.05;5.0;-1086.37;0.0;-1088.58;-3.27;-3.27;15.0;;65.0;59.0;123.0;0.0;;2.0;3.0;;;;;;0.0;3.0;;8.0;0.0;;;8.0;0.0;;;5.0;5.0;;;;0.0;-173.0;-5.0;284.0;128.0;;128.0;;-49.0;1.0;;;30.0;;-1.0;;109.0;-26.0;-1.0;;-79.0;11.0;27.0;;78.0;;;-0.0;;65.0;72.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;8.0;;-55.0;-59.0;-57.0;-57.0;16.0;67.0;73.0;17.0;17.0;56.0;-56.0;12.0;2.0;-42.0;-61.0;;;68.0;56.0;11.0;11.0;;;68.0;;;2.0;-644.23;-698.2;2.0;-673.64;;-673.64;-3.61;-3.61;16.0;;22.0;42.0;64.0;3.0;;;6.0;;;;;;0.0;6.0;;11.0;0.0;;1.0;5.0;;;;0.0;0.0;;0.0;9.0;0.0;-230.0;-7.0;284.0;73.0;;73.0;;-57.0;2.0;;;-58.0;;;;50.0;57.0;-5.0;;-100.0;53.0;64.0;;2.0;;;-0.0;;22.0;65.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;10.0;;-55.0;-54.0;-4.0;-58.0;19.0;116.0;118.0;66.0;66.0;53.0;-59.0;-45.0;105.0;1.0;-59.0;;;64.0;52.0;11.0;11.0;;;64.0;;;3.0;-568.82;-557.01;49.0;-45.86;;-602.87;-3.01;-3.01;19.0;;23.0;87.0;110.0;6.0;;;3.0;;;;;;0.0;3.0;;5.0;56.0;;1.0;5.0;;;;;;;;9.0;0.0;-289.0;-10.0;342.0;118.0;;118.0;;-58.0;3.0;;;-1.0;;;;50.0;-3.0;-0.0;;-192.0;83.0;64.0;;55.0;;;50.0;;23.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;14.0;;-29.0;-27.0;;-31.0;22.0;100.0;102.0;76.0;81.0;21.0;-13.0;29.0;0.0;16.0;-13.0;;;38.0;28.0;10.0;10.0;;;38.0;;;2.0;-208.48;-192.84;-3.0;;;-223.95;-1.41;-1.41;22.0;;39.0;56.0;95.0;5.0;;;1.0;;;;;;1.0;2.0;;1.0;35.0;;13.0;27.0;5.0;;;;5.0;;;9.0;0.0;-320.0;-0.0;332.0;102.0;;102.0;;-31.0;2.0;;;-26.0;;;;24.0;42.0;-1.0;;-77.0;107.0;-1.0;;0.0;;;-0.0;;39.0;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;24.0;;14.0;-9.0;;13.0;24.0;51.0;59.0;23.0;23.0;35.0;-15.0;15.0;-34.0;-33.0;-16.0;;;34.0;24.0;10.0;10.0;;;34.0;;;1.0;56.28;-38.33;22.0;;;53.6;0.58;0.55;22.0;;6.0;40.0;46.0;5.0;;;1.0;;;;6.0;;0.0;8.0;;2.0;5.0;;11.0;5.0;;;;0.0;0.0;;0.0;9.0;0.0;-307.0;-0.0;333.0;59.0;;59.0;;13.0;1.0;;;4.0;;;;28.0;-33.0;-1.0;;-5.0;21.0;0.0;;1.0;;;-35.0;;6.0;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;36.0;34.0;-4.0;-9.0;-5.0;-5.0;27.0;103.0;116.0;15.0;15.0;101.0;-15.0;-8.0;63.0;41.0;-16.0;2.0;95.67;44.0;30.0;14.0;14.0;;;45.0;;;1.0;-11.42;-26.64;5.0;-13.43;;-13.43;-0.18;-0.18;27.0;;46.0;47.0;93.0;5.0;2.0;2.0;2.0;;;;11.0;;0.0;13.0;;7.0;0.0;;1.0;7.0;;;;0.0;0.0;;0.0;9.0;0.0;-311.0;-0.0;403.0;116.0;;116.0;;-5.0;1.0;;;60.0;;;;88.0;-71.0;-1.0;;-42.0;35.0;;;68.0;;;-5.0;;46.0;6.0;;;1.32;-0.18;-0.59;;0.04;3.76;27.0;-45.8;-2.5;;36.0;-26.6;1.0;-5.0;;-13.4;88.0;;101.0;-4.7;-4.1;-4.7;100.0;
2007.0;11.0;6.0;-45.0;-43.0;;-45.0;32.0;74.0;78.0;18.0;18.0;60.0;-37.0;9.0;1.0;-27.0;-38.0;5.0;52.66;49.0;15.0;25.0;25.0;;9.0;54.0;;;1.0;-403.21;-390.85;-9.0;;;-410.21;-1.42;-1.42;32.0;;20.0;37.0;57.0;8.0;7.0;2.0;1.0;;;;2.0;;1.0;4.0;;10.0;0.0;;2.0;7.0;;;;0.0;0.0;;0.0;9.0;0.0;-357.0;0.0;407.0;78.0;;78.0;;-45.0;1.0;;;-32.0;;-5.0;;56.0;39.0;-1.0;;-44.0;54.0;;;2.0;;;-0.0;;20.0;46.0;;;0.35;-1.42;-1.2;;0.02;1.88;32.0;-5.0;-0.3;;11.0;-390.9;1.0;-45.0;;-410.2;56.0;;60.0;;-57.9;-75.6;100.0;
2008.0;17.0;7.0;-29.0;-31.0;;-29.0;32.0;42.0;47.0;13.0;13.0;34.0;-35.0;24.0;1.0;-9.0;-36.0;10.0;41.43;37.0;10.0;27.0;27.0;;;47.0;;;1.0;-172.84;-184.95;;;;-176.78;-0.9;-0.9;32.0;;10.0;12.0;23.0;7.0;11.0;1.0;2.0;;;;2.0;;1.0;5.0;;8.0;;;0.0;4.0;;;;0.0;0.0;;;9.0;0.0;-386.0;0.0;410.0;47.0;;47.0;;-29.0;1.0;;2.0;-26.0;1.0;-4.0;-2.0;29.0;18.0;-1.0;;-2.0;27.0;;-0.0;1.0;;;0.0;;10.0;20.0;;;0.51;-0.9;-1.1;;0.04;1.06;32.0;-5.0;-0.2;;17.0;-185.0;1.0;-29.0;;-176.8;29.0;;34.0;;-61.6;-85.1;100.0;
2009.0;18.0;5.0;-23.0;-24.0;;-24.0;35.0;32.0;34.0;13.0;13.0;21.0;-15.0;9.0;12.0;7.0;-15.0;13.0;30.04;28.0;6.0;22.0;22.0;;0.0;41.0;;0.0;1.0;-127.45;-132.54;-1.0;;;-134.22;-0.69;-0.69;35.0;;17.0;3.0;20.0;4.0;8.0;1.0;1.0;;;;;;1.0;2.0;;4.0;0.0;;0.0;8.0;;;;0.0;0.0;;0.0;9.0;0.0;-410.0;0.0;422.0;34.0;;34.0;;-24.0;1.0;;2.0;-10.0;1.0;3.0;0.0;19.0;16.0;-0.0;;-0.0;10.0;;-0.0;0.0;;;12.0;;17.0;10.0;;;0.52;-0.69;-0.43;;0.01;0.62;35.0;-2.2;-0.0;;18.0;-132.5;1.0;-24.0;;-134.2;19.0;;21.0;;-69.1;-112.5;100.0;
