;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1991.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;0.0;;0.0;0.0;0.0;;0.0;;;;;;0.0;-0.0;-0.0;0.0;0.0;;;0.0;;0.0;0.0;;;0.0;;;0.0;8.82;5.88;;5.88;0.0;;13.77;13.77;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;;0.0;;-0.0;;;;;;;;;-0.0;;10.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;8.0;;0.0;0.0;;;0.0;7.0;8.0;3.0;8.0;;0.0;-5.0;5.0;-0.0;-0.0;;;7.0;;7.0;7.0;;;7.0;;-0.0;0.0;4.08;2.77;;;;;171.68;171.68;0.0;;;;;3.0;;3.0;1.0;;0.0;0.0;;;-0.0;1.0;;2.0;;;;1.0;5.0;;;0.0;5.0;;;;0.0;;-1.0;;8.0;;8.0;;;0.0;;;;-2.0;;-2.0;0.0;0.0;-1.0;;;;-5.0;;;;;5.0;;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;21.0;6.0;-3.0;-3.0;-3.0;-3.0;0.0;7.0;10.0;9.0;13.0;-3.0;-1.0;-0.0;1.0;-0.0;-1.0;16.0;26.22;8.0;;8.0;8.0;;0.0;24.0;;-1.0;0.0;-16.44;-13.4;-1.0;-16.06;-0.0;-16.01;-13983.4;-13983.4;0.0;;0.0;;0.0;4.0;;4.0;1.0;1.0;-0.0;1.0;;;-0.0;3.0;;4.0;;;;5.0;4.0;;;0.0;4.0;;;;1.0;-4.0;-1.0;1.0;10.0;;10.0;;-3.0;0.0;;;4.0;-0.0;;-2.0;4.0;-1.0;-0.0;;;;0.0;;;0.0;;1.0;-0.0;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;;;-0.0;-0.0;-0.0;2.0;0.0;0.0;0.0;0.0;0.0;-0.0;-1.0;-0.0;1.0;-0.0;-1.0;;;0.0;;0.0;0.0;;;0.0;;;0.0;-inf;-inf;-0.0;-inf;;inf;6839.41;6839.41;0.0;;0.0;;0.0;0.0;;0.0;0.0;;;;;;-0.0;0.0;;0.0;0.0;;;0.0;;;;;;;;;0.0;-2.0;;2.0;0.0;;0.0;;2.0;0.0;;;-6.0;;;;-2.0;3.0;-0.0;;;;0.0;;1.0;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;1.0;1.0;-1.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;;0.0;-inf;-inf;-0.0;-inf;;-inf;-1116.0;-1116.0;0.0;;0.0;;0.0;0.0;;;0.0;;;;;;;0.0;;0.0;0.0;;;0.0;;;;;;;;;0.0;-2.0;;2.0;0.0;;0.0;;-0.0;0.0;;;1.0;;;;-0.0;-1.0;;;;;;-0.0;;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;;;;;;;0.0;;;;;;-0.0;;1.0;1.0;-0.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.0;0.0;;;-0.0;;;;-1.0;0.0;;;;;;-0.0;2.0;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;0.0;0.0;-1.0;-1.0;;-1.0;0.0;4.0;5.0;1.0;1.0;4.0;-0.0;-3.0;4.0;1.0;-1.0;-0.0;681.77;1.0;;1.0;1.0;;0.0;1.0;;;0.0;-8013.05;-8210.45;;;;-8653.62;-934.86;-934.86;0.0;;2.0;3.0;4.0;;;0.0;1.0;;0.0;0.0;;;0.0;1.0;;1.0;0.0;;;0.0;0.0;;;0.0;0.0;;;;0.0;-4.0;-0.0;8.0;5.0;;5.0;;-1.0;0.0;;;4.0;;;;4.0;-4.0;-0.0;;-2.0;;0.0;;4.0;;;0.0;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1.0;0.0;-2.0;-2.0;;-2.0;0.0;3.0;5.0;0.0;1.0;3.0;-2.0;-0.0;1.0;-1.0;-2.0;0.0;79.09;3.0;;3.0;3.0;;0.0;3.0;0.0;0.0;0.0;-350.04;-431.99;0.0;;;-381.22;-1400.0;-1400.0;0.0;;0.0;2.0;3.0;;;0.0;1.0;;0.0;0.0;;;1.0;2.0;;0.0;0.0;;;0.0;0.0;;;1.0;1.0;;;;0.0;-6.0;-0.0;10.0;5.0;;5.0;;-2.0;0.0;;;-1.0;;;;3.0;1.0;-0.0;;;0.0;-1.0;;1.0;;;-0.0;;0.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
