;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;6.0;2.0;-12.0;-7.0;-12.0;-12.0;11.0;;5.0;;17.0;-12.0;;;;;;4.0;38.33;10.0;2.0;7.0;;;;13.0;;;;-196.73;-119.69;-5.0;-196.73;;-196.73;-1.14;-1.14;11.0;;3.0;;3.0;;;;0.0;;;;;;;;5.0;;;;;;;;;;;17.0;;;;;;;5.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;17.0;9.0;0.0;0.0;0.0;0.0;11.0;;6.0;;18.0;-12.0;;;;;;8.0;53.69;9.0;2.0;7.0;;;;17.0;;;;0.65;0.54;0.0;0.65;;0.65;-0.02;-0.02;11.0;;3.0;;3.0;;;;1.0;;;;;;;;6.0;;;;;;;;;;;18.0;;;;;;;6.0;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;35.0;20.0;2.0;1.0;1.0;0.0;12.0;;10.0;;21.0;-11.0;4.0;-4.0;0.0;0.0;2.0;15.0;57.6;19.0;5.0;14.0;;;;34.0;;;2.0;5.16;3.17;0.0;3.44;-1.0;1.33;0.04;0.04;12.0;;3.0;;3.0;;;;2.0;;;;;;;;10.0;;;;;;;;;;;21.0;;;;;;;10.0;;10.0;;0.0;2.0;;;;;;;;1.0;-2.0;;;;-4.0;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;59.0;35.0;7.0;3.0;3.0;3.0;13.0;22.0;42.0;9.0;59.0;-17.0;9.0;-18.0;26.0;17.0;-9.0;24.0;59.45;32.0;9.0;23.0;;;;55.0;;;4.0;12.76;5.66;-0.0;5.6;-0.0;5.85;0.03;0.03;11.0;;20.0;;20.0;1.0;0.0;1.0;14.0;;5.0;5.0;;;1.0;20.0;;3.0;0.0;;;6.0;6.0;;;44.0;50.0;;;;0.0;-20.0;0.0;3.0;42.0;;42.0;;3.0;4.0;-1.0;;13.0;;-0.0;;13.0;-11.0;-18.0;;;;-5.0;;1.0;-9.0;;34.0;0.0;20.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;91.0;54.0;-10.0;-16.0;-16.0;-16.0;11.0;31.0;66.0;17.0;104.0;-38.0;-7.0;-21.0;34.0;6.0;-25.0;37.0;59.81;70.0;11.0;38.0;;;21.0;107.0;;;6.0;-11.26;-17.24;-0.0;-17.75;0.0;-17.85;-1.85;-1.85;11.0;;26.0;;26.0;1.0;0.0;3.0;30.0;;2.0;2.0;;;4.0;35.0;;5.0;1.0;;1.0;11.0;16.0;;;71.0;87.0;;;;0.0;-41.0;0.0;3.0;66.0;;66.0;;-16.0;6.0;-0.0;;1.0;;-0.0;;14.0;3.0;-19.0;;;;-2.0;;23.0;;;11.0;0.0;26.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;152.0;102.0;28.0;19.0;20.0;19.0;43.0;115.0;171.0;24.0;47.0;124.0;35.0;-71.0;75.0;38.0;7.0;50.0;67.23;83.0;16.0;68.0;;;;133.0;;;8.0;18.27;12.4;1.0;13.16;1.0;12.64;0.51;0.45;33.0;;65.0;43.0;108.0;1.0;1.0;4.0;50.0;;4.0;4.0;;0.0;2.0;57.0;;6.0;2.0;;2.0;14.0;23.0;;;;23.0;;;;0.0;-23.0;1.0;146.0;171.0;;171.0;;19.0;8.0;0.0;;76.0;;-1.0;;90.0;-69.0;-28.0;;-76.0;32.0;;;68.0;;;7.0;0.0;65.0;26.0;;;4.59;0.58;0.21;;0.83;3.74;33.0;50.7;2.8;;152.0;12.4;8.0;19.0;3.9;12.6;90.0;23.0;124.0;13.1;11.7;15.5;100.0;-964.6
2007.0;256.0;166.0;45.0;27.0;30.0;27.0;45.0;119.0;235.0;36.0;59.0;176.0;54.0;-62.0;13.0;5.0;-13.0;90.0;64.85;139.0;27.0;112.0;;;;229.0;;;15.0;17.54;10.63;3.0;11.73;3.0;10.61;0.64;0.6;42.0;;69.0;39.0;108.0;5.0;1.0;5.0;106.0;;5.0;5.0;;;5.0;116.0;;9.0;3.0;;1.0;22.0;22.0;;1.0;;23.0;;;;0.0;4.0;2.0;170.0;235.0;;235.0;;27.0;15.0;1.0;;-7.0;;0.0;;83.0;18.0;-67.0;;-52.0;57.0;0.0;;14.0;;;-1.0;0.0;69.0;65.0;;;6.03;0.64;-0.3;;1.58;4.15;42.0;60.8;3.5;;256.0;10.6;15.0;27.0;9.6;10.6;83.0;22.0;176.0;13.6;12.8;15.4;100.0;107.1
2008.0;401.0;247.0;69.0;41.0;44.0;40.0;46.0;144.0;316.0;49.0;73.0;243.0;88.0;-58.0;3.0;34.0;18.0;154.0;61.53;205.0;45.0;161.0;;;;359.0;;;25.0;17.29;10.27;3.0;11.0;4.0;9.94;0.91;0.87;44.0;;103.0;27.0;130.0;6.0;3.0;6.0;155.0;;5.0;5.0;;3.0;9.0;172.0;;8.0;3.0;;2.0;36.0;20.0;;3.0;2.0;24.0;;;;0.0;43.0;8.0;191.0;316.0;;316.0;;40.0;25.0;-2.0;;12.0;;-1.0;;95.0;13.0;-70.0;;-49.0;61.0;;;8.0;;;-5.0;1.0;103.0;69.0;;;9.12;0.91;0.41;;1.59;5.52;44.0;32.3;1.5;;401.0;10.3;25.0;40.0;9.7;9.9;95.0;20.0;243.0;14.9;14.0;16.4;100.0;-46.1
2009.0;516.0;324.0;98.0;62.0;61.0;56.0;45.0;157.0;370.0;67.0;84.0;286.0;120.0;-58.0;-31.0;31.0;37.0;192.0;62.79;262.0;61.0;201.0;42.0;159.0;;454.0;2.0;1.0;36.0;19.04;11.94;-0.0;11.85;5.0;10.8;1.29;1.25;43.0;;134.0;;134.0;6.0;4.0;13.0;194.0;;;7.0;;7.0;5.0;213.0;;11.0;8.0;;3.0;44.0;10.0;;2.0;5.0;17.0;;;;0.0;99.0;4.0;183.0;370.0;;370.0;;56.0;36.0;-5.0;19.0;-5.0;0.0;-2.0;3.0;90.0;18.0;-83.0;;-6.0;32.0;-7.0;-3.0;12.0;-46.0;;5.0;-0.0;134.0;103.0;;;11.9;1.29;0.84;;1.93;6.59;43.0;30.0;0.4;;516.0;11.9;36.0;56.0;8.9;10.8;90.0;10.0;286.0;18.8;16.9;19.5;100.0;91.4
2010.0;670.0;430.0;120.0;77.0;75.0;68.0;45.0;203.0;478.0;92.0;102.0;376.0;154.0;-124.0;1.0;29.0;46.0;240.0;64.15;353.0;78.0;275.0;58.0;217.0;;593.0;0.0;1.0;44.0;17.93;11.47;-2.0;11.2;7.0;10.11;1.56;1.49;43.0;;163.0;10.0;172.0;9.0;6.0;15.0;250.0;;6.0;6.0;;7.0;11.0;275.0;;17.0;5.0;;4.0;66.0;;;3.0;7.0;10.0;;;;1.0;167.0;-11.0;220.0;478.0;;478.0;;68.0;44.0;0.0;22.0;21.0;-4.0;-2.0;6.0;111.0;-2.0;-108.0;-6.0;-10.0;0.0;-6.0;-14.0;15.0;;;0.0;-2.0;163.0;134.0;;;15.45;1.56;1.06;;2.49;8.67;43.0;29.4;1.4;;670.0;11.5;44.0;68.0;9.7;10.1;111.0;;376.0;17.7;15.9;18.0;100.0;-32.7
