;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;65.0;16.0;7.0;7.0;5.0;3.0;10.0;22.0;58.0;17.0;41.0;16.0;6.0;2.0;-8.0;;-5.0;49.0;24.81;10.0;;8.0;8.0;;2.0;58.0;;;2.0;10.17;10.17;-2.0;7.09;2.0;4.16;0.29;0.28;10.0;;0.0;;0.0;14.0;3.0;4.0;25.0;;;;;;11.0;36.0;;8.0;4.0;;;5.0;19.0;;;6.0;24.0;;;;;-0.0;-10.0;27.0;58.0;;58.0;;3.0;2.0;2.0;;-1.0;;;;5.0;0.0;-10.0;;;0.0;12.0;;0.0;;;-8.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;78.0;17.0;10.0;8.0;6.0;4.0;10.0;29.0;65.0;13.0;47.0;19.0;2.0;1.0;0.0;;-5.0;61.0;21.88;9.0;;8.0;8.0;;2.0;70.0;;2.0;2.0;12.23;9.91;-1.0;8.11;3.0;4.76;0.38;0.37;10.0;;3.0;;3.0;18.0;4.0;4.0;24.0;;;;;;12.0;37.0;;7.0;0.0;;;5.0;27.0;;;6.0;33.0;;;;;-1.0;-12.0;31.0;65.0;;65.0;;4.0;2.0;2.0;;11.0;;-1.0;;16.0;-16.0;-7.0;;;1.0;7.0;;0.0;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;91.0;12.0;2.0;2.0;0.0;0.0;10.0;28.0;68.0;16.0;49.0;19.0;2.0;-3.0;-0.0;-2.0;-6.0;78.0;13.59;11.0;;9.0;9.0;;1.0;89.0;;;1.0;1.74;1.9;-2.0;0.14;0.0;0.08;0.01;0.01;10.0;;1.0;;1.0;20.0;5.0;1.0;26.0;;;;;;14.0;40.0;;11.0;0.0;;;4.0;27.0;;;7.0;34.0;;;;0.0;-0.0;-13.0;33.0;68.0;;68.0;;0.0;1.0;0.0;;-4.0;;-1.0;;12.0;4.0;-7.0;;;1.0;3.0;;;;;-0.0;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;84.0;14.0;5.0;3.0;1.0;1.0;10.0;23.0;63.0;10.0;43.0;20.0;4.0;-2.0;-0.0;2.0;2.0;70.0;16.26;11.0;;9.0;9.0;;2.0;81.0;0.0;2.0;2.0;5.83;3.43;-2.0;1.47;1.0;0.86;0.07;0.07;10.0;;3.0;;3.0;13.0;4.0;4.0;26.0;;;;;;13.0;40.0;;5.0;0.0;;;4.0;26.0;;;7.0;33.0;;;;0.0;0.0;-16.0;35.0;63.0;;63.0;;1.0;2.0;0.0;;2.0;;2.0;;14.0;-1.0;-2.0;;;0.0;;;;;;-0.0;;3.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;68.0;8.0;2.0;-0.0;-2.0;-2.0;10.0;22.0;61.0;10.0;44.0;18.0;3.0;-3.0;-0.0;0.0;2.0;61.0;11.46;8.0;;8.0;8.0;;;68.0;0.0;2.0;2.0;2.62;-0.16;-2.0;-2.64;0.0;-2.72;-0.19;-0.19;10.0;;3.0;;3.0;12.0;4.0;3.0;25.0;;1.0;1.0;;12.0;1.0;39.0;;4.0;0.0;;;6.0;26.0;;;8.0;34.0;;;;0.0;-2.0;-17.0;36.0;61.0;;61.0;;-2.0;2.0;0.0;;-2.0;;0.0;;12.0;5.0;-1.0;-2.0;;1.0;0.0;;;;;-0.0;;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;94.0;14.0;7.0;5.0;3.0;2.0;10.0;28.0;64.0;12.0;45.0;19.0;6.0;0.0;-0.0;6.0;5.0;80.0;14.69;9.0;;9.0;9.0;;;90.0;0.0;2.0;2.0;7.28;4.87;-1.0;3.39;1.0;2.13;0.21;0.21;10.0;;9.0;;9.0;11.0;4.0;3.0;24.0;;1.0;1.0;;11.0;0.0;36.0;;5.0;2.0;;;5.0;24.0;;;9.0;33.0;;;;0.0;0.0;-1.0;19.0;64.0;;64.0;;2.0;2.0;1.0;;4.0;;-1.0;;16.0;-3.0;-1.0;;;1.0;;;;;;-0.0;;9.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;93.0;14.0;6.0;4.0;3.0;2.0;10.0;22.0;56.0;13.0;35.0;21.0;4.0;-1.0;-11.0;-9.0;2.0;79.0;14.98;9.0;;9.0;9.0;;;88.0;0.0;2.0;2.0;6.68;4.75;-2.0;2.84;1.0;1.79;0.17;0.17;10.0;;0.0;;0.0;13.0;5.0;4.0;23.0;;1.0;1.0;;10.0;0.0;35.0;;7.0;2.0;;;5.0;13.0;;;9.0;22.0;;;;0.0;2.0;-0.0;19.0;56.0;;56.0;;2.0;2.0;1.0;;-7.0;;-1.0;;9.0;7.0;-1.0;;;0.0;;;;;;-11.0;;0.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;112.0;17.0;8.0;7.0;6.0;5.0;10.0;35.0;69.0;22.0;43.0;26.0;8.0;-2.0;-2.0;5.0;7.0;95.0;15.48;11.0;;11.0;11.0;;;105.0;0.0;1.0;2.0;7.36;5.88;-1.0;5.1;1.0;4.59;0.53;0.52;10.0;;5.0;;5.0;19.0;7.0;4.0;23.0;;1.0;1.0;;9.0;0.0;34.0;;14.0;2.0;;;6.0;11.0;;;10.0;21.0;;;;0.0;7.0;-0.0;19.0;69.0;;69.0;;5.0;2.0;-0.0;;5.0;;-2.0;;14.0;-3.0;-1.0;-1.0;;0.0;;;;;;-2.0;;5.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;131.0;23.0;12.0;10.0;10.0;6.0;10.0;43.0;74.0;20.0;40.0;34.0;9.0;-4.0;-1.0;4.0;6.0;107.0;17.99;13.0;;13.0;13.0;;;120.0;0.0;1.0;2.0;9.52;7.96;-1.0;7.56;4.0;4.82;0.63;0.6;10.0;;9.0;;9.0;23.0;7.0;3.0;24.0;1.0;0.0;1.0;;6.0;0.0;31.0;;10.0;2.0;;;8.0;10.0;;;10.0;20.0;;;;0.0;13.0;-0.0;21.0;74.0;;74.0;;6.0;2.0;3.0;;9.0;;-0.0;;23.0;-12.0;-3.0;-1.0;;0.0;0.0;;1.0;;;-2.0;;9.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;162.0;30.0;19.0;16.0;16.0;10.0;10.0;51.0;90.0;23.0;47.0;43.0;17.0;-9.0;-1.0;7.0;8.0;132.0;18.4;14.0;;14.0;14.0;;;146.0;1.0;0.0;2.0;11.44;9.77;0.0;9.86;6.0;6.41;1.03;1.0;10.0;;16.0;;16.0;25.0;7.0;2.0;31.0;1.0;0.0;1.0;;7.0;0.0;39.0;;11.0;2.0;;;10.0;8.0;;;16.0;24.0;;;;0.0;24.0;-3.0;22.0;90.0;;90.0;;10.0;2.0;2.0;;5.0;;-0.0;;28.0;-2.0;-9.0;;;;0.0;;0.0;;;-1.0;;16.0;9.0;;;16.11;1.03;0.76;;0.92;4.24;10.0;6.8;0.4;;162.0;9.8;2.0;10.0;35.0;6.4;28.0;8.0;43.0;16.2;18.4;24.4;100.0;-6.3
