;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;20.0;;1.0;;0.0;0.0;5.0;;;;;;1.0;-1.0;1.0;2.0;1.0;;;;;7.0;7.0;;;19.0;;0.0;0.0;5.48;;;2.03;-0.0;2.11;0.08;0.08;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;-0.0;;1.0;3.0;;-1.0;;-1.0;-0.0;;-37.0;36.0;;;0.0;-0.0;;2.0;;4.0;2.0;;;3.96;0.08;0.24;;0.01;;5.0;;;;20.0;;0.0;0.0;-4.0;2.1;;;;;;;100.0;8.1
2013.0;43.0;;1.0;;0.0;0.0;6.0;;97.0;;76.0;21.0;3.0;4.0;1.0;7.0;2.0;;;33.0;;9.0;9.0;;24.0;33.0;;1.0;0.0;2.67;;;0.65;0.0;0.8;0.05;0.05;6.0;;11.0;9.0;21.0;17.0;;;;1.0;1.0;2.0;57.0;;;;97.0;3.0;;;;;13.0;;;;13.0;89.0;;;17.0;4.0;1.0;;97.0;-0.0;97.0;;0.0;0.0;0.0;;;-2.0;;1.0;;2.0;-0.0;9.0;-67.0;63.0;;-0.0;0.0;;;1.0;;11.0;4.0;;;6.8;0.05;0.35;;0.04;3.33;6.0;;;;43.0;;0.0;0.0;1.1;0.8;;13.0;21.0;0.9;0.9;1.6;100.0;-2.2
2014.0;61.0;;-6.0;;-7.0;-7.0;5.0;;164.0;;113.0;50.0;6.0;-48.0;49.0;7.0;6.0;;;68.0;;12.0;12.0;;56.0;68.0;;1.0;0.0;-10.28;;;-11.85;-0.0;-11.38;-1.02;-1.02;5.0;;18.0;17.0;35.0;20.0;;;;1.0;1.0;2.0;105.0;;;;164.0;10.0;;;;;28.0;;;;28.0;141.0;;6.0;46.0;-3.0;1.0;;164.0;-0.0;164.0;;-7.0;0.0;-0.0;;;-3.0;;6.0;;13.0;-0.0;;-130.0;83.0;;-4.0;28.0;;-0.0;24.0;;18.0;11.0;;;12.31;-1.4;1.18;0.04;0.09;10.16;5.0;;;;61.0;;0.0;-7.0;3.9;-11.4;;28.0;50.0;-3.9;-4.0;-13.8;102.8;
2015.0;84.0;;1.0;;0.0;0.0;5.0;130.0;178.0;88.0;101.0;77.0;-3.0;-15.0;13.0;-6.0;-3.0;;;71.0;;15.0;15.0;;56.0;71.0;;1.0;0.0;1.53;;;0.1;0.0;0.08;-0.09;-0.09;5.0;;13.0;6.0;19.0;27.0;;84.0;;;;;118.0;;-70.0;48.0;;4.0;;;;84.0;13.0;;;;13.0;;;;80.0;-3.0;0.0;;178.0;;178.0;;0.0;0.0;;0.0;43.0;-6.0;;-5.0;43.0;-46.0;-0.0;-1.0;-119.0;105.0;;-19.0;36.0;-6.0;-0.0;2.0;;13.0;18.0;;;15.57;0.01;-0.62;0.07;0.03;14.39;5.0;804.7;40.2;0.7;84.0;;0.0;0.0;57.8;0.1;43.0;13.0;77.0;0.4;0.5;0.1;-500.0;890.3
2016.0;104.0;;-7.0;;-9.0;-8.0;8.0;141.0;204.0;118.0;136.0;68.0;6.0;-11.0;4.0;-0.0;6.0;;;103.0;;18.0;18.0;;85.0;103.0;;1.0;0.0;-7.17;;;-8.3;-0.0;-8.1;-1.11;-1.11;8.0;;12.0;11.0;23.0;34.0;;84.0;;;;;129.0;;-66.0;63.0;;5.0;;;;113.0;18.0;;;;18.0;;;;80.0;-11.0;-1.0;;204.0;;204.0;;-8.0;0.0;-0.0;1.0;-20.0;-7.0;;1.0;23.0;33.0;-0.0;;-167.0;156.0;;-2.0;;-1.0;;7.0;;12.0;13.0;;;13.68;-1.11;0.78;;0.03;8.9;8.0;-6.6;-0.3;;104.0;;0.0;-8.0;0.9;-8.1;23.0;18.0;68.0;-9.1;-3.9;-12.4;100.0;
2017.0;96.0;;-20.0;;-22.0;-22.0;8.0;170.0;239.0;157.0;186.0;53.0;9.0;-26.0;16.0;-1.0;9.0;;;119.0;;17.0;17.0;;102.0;119.0;;1.0;0.0;-21.02;;2.0;-22.89;-0.0;-22.36;-2.74;-2.74;8.0;;12.0;148.0;160.0;49.0;;-39.0;;;;;158.0;;-88.0;70.0;;12.0;;;;146.0;29.0;;;;29.0;;;;86.0;-33.0;-0.0;;239.0;;239.0;;-22.0;0.0;;1.0;-11.0;-15.0;;4.0;12.0;40.0;-0.0;;-218.0;193.0;;-20.0;5.0;;;31.0;;12.0;12.0;;;12.25;-2.74;1.15;;0.0;6.71;8.0;-2.5;-0.1;;96.0;;0.0;-22.0;2.0;-22.4;12.0;29.0;53.0;-24.7;-8.6;-40.8;100.0;
2018.0;94.0;;-6.0;;-9.0;-9.0;9.0;151.0;233.0;157.0;191.0;42.0;-17.0;12.0;4.0;-1.0;-17.0;;;108.0;;18.0;18.0;;90.0;108.0;;3.0;0.0;-6.52;;2.0;-10.05;0.0;-9.8;-1.08;-1.08;9.0;;11.0;129.0;140.0;60.0;;-49.0;;;;;140.0;;-58.0;82.0;;6.0;;;;151.0;34.0;6.0;;-6.0;34.0;;;;87.0;-42.0;-3.0;;233.0;;233.0;;-9.0;0.0;;1.0;-19.0;-11.0;;3.0;-6.0;9.0;-0.0;;-91.0;104.0;;-20.0;;-1.0;;24.0;;11.0;12.0;;;11.02;-1.08;-2.0;;0.01;4.93;9.0;-5.4;-0.2;;94.0;;0.0;-9.0;-0.5;-9.8;-6.0;34.0;42.0;-8.7;-2.8;-21.9;100.0;
2019.0;95.0;;-5.0;;-9.0;-8.0;9.0;7.0;196.0;169.0;205.0;43.0;15.0;-25.0;6.0;-3.0;15.0;;;105.0;;18.0;18.0;;87.0;105.0;;3.0;0.0;-5.71;;2.0;-9.64;-1.0;-8.27;-0.88;-0.88;9.0;;7.0;162.0;170.0;48.0;;-211.0;;;;;170.0;;18.0;188.0;;;2.0;;;167.0;34.0;;;2.0;36.0;;;;92.0;-50.0;0.0;;247.0;-52.0;196.0;;-8.0;0.0;;1.0;-155.0;11.0;;-1.0;-161.0;177.0;-0.0;;-157.0;132.0;;-0.0;5.0;-1.0;;2.0;;7.0;11.0;;;10.66;-0.88;1.72;;0.01;4.81;9.0;-4.5;-0.2;;95.0;;0.0;-8.0;10.0;-8.3;-161.0;34.0;43.0;-6.7;-2.4;-18.3;100.0;
2020.0;107.0;103.0;4.0;;-0.0;1.0;10.0;8.0;262.0;50.0;217.0;44.0;3.0;-7.0;5.0;1.0;3.0;;96.42;18.0;;18.0;18.0;;;104.0;;3.0;0.0;3.69;;-85.0;-0.22;0.0;0.55;0.06;0.06;10.0;;8.0;165.0;174.0;47.0;;-212.0;;;;;183.0;;;;253.0;9.0;5.0;;;36.0;36.0;;;;36.0;203.0;;;92.0;-49.0;1.0;;262.0;;262.0;;1.0;0.0;;1.0;120.0;2.0;;-1.0;-41.0;-119.0;-0.0;;-392.0;384.0;;-1.0;;-0.0;;6.0;;8.0;7.0;;;11.15;0.06;0.3;;0.01;4.61;10.0;49.3;1.3;;107.0;;0.0;1.0;-2.5;0.6;-41.0;36.0;44.0;1.7;1.3;1.3;100.0;1.2
2021.0;116.0;;1.0;;-2.0;-1.0;10.0;54.0;290.0;34.0;250.0;41.0;;;;;;;;17.0;;;;;17.0;;;3.0;;0.98;;;-1.47;-1.0;-0.94;-0.11;-0.11;10.0;;10.0;23.0;33.0;21.0;;;;;;;160.0;;;;236.0;;34.0;;;;;;;216.0;216.0;;;;93.0;-50.0;-2.0;;290.0;;290.0;;-1.0;;;;62.0;;;;21.0;-61.0;;;;;;;;;;;;;8.0;;;11.96;-0.11;;;;4.18;10.0;-27.7;-0.9;;116.0;;;-1.0;36.0;-0.9;21.0;;41.0;0.3;0.4;-2.7;100.0;
