;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
1995.0;3003.0;1760.0;-980.0;;-813.0;-795.0;1019.0;974.0;4543.0;1175.0;2852.0;1690.0;98.0;-138.0;-60.0;-100.0;-141.0;1243.0;58.61;1158.0;;;;;1158.0;2401.0;;;-171.0;-32.63;;-1415.0;-27.06;-13.0;-26.48;-0.78;-0.78;1019.0;;87.0;;87.0;413.0;153.0;320.0;3408.0;;;;;;161.0;3568.0;;660.0;211.0;;;303.0;962.0;;;715.0;1678.0;;;;;76.0;-3969.0;5582.0;4543.0;;4543.0;;-795.0;-171.0;;;-349.0;-45.0;15.0;-99.0;;1414.0;-239.0;;;;101.0;-597.0;757.0;-199.0;;-22.0;;87.0;187.0;;0.73;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;2889.0;1656.0;-31.0;;98.0;104.0;1071.0;847.0;4549.0;975.0;2813.0;1736.0;414.0;-314.0;-109.0;-9.0;52.0;1233.0;57.32;1107.0;;;;;1107.0;2340.0;;;-143.0;-1.09;;-451.0;3.41;8.0;3.59;0.1;0.1;1071.0;;77.0;;77.0;582.0;115.0;72.0;3552.0;;;;;;150.0;3702.0;;678.0;20.0;;;278.0;1094.0;;;744.0;1838.0;;;;;130.0;-3891.0;5498.0;4549.0;;4549.0;;104.0;-143.0;;;-149.0;5.0;12.0;36.0;;602.0;-362.0;;;;47.0;-214.0;;;-50.0;155.0;;77.0;87.0;;0.73;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;3047.0;1911.0;368.0;;522.0;282.0;1037.0;1085.0;4954.0;844.0;2561.0;2393.0;450.0;-297.0;29.0;181.0;46.0;1136.0;62.71;1085.0;;;;;1085.0;2222.0;;;-141.0;12.09;;-303.0;17.14;228.0;9.26;0.28;0.27;1018.0;;256.0;;256.0;477.0;105.0;247.0;3586.0;;;;;;283.0;3869.0;;746.0;30.0;;;67.0;1148.0;;;569.0;1718.0;;;;;848.0;-3641.0;5186.0;4954.0;;4954.0;;282.0;-141.0;221.0;;-147.0;4.0;5.0;13.0;;235.0;-404.0;;;;107.0;-69.0;3.0;;-55.0;149.0;;255.0;74.0;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;2672.0;2062.0;14.0;;193.0;172.0;1096.0;673.0;7749.0;895.0;4478.0;3271.0;802.0;-2139.0;1271.0;-64.0;320.0;609.0;77.19;1121.0;;;;;1121.0;1730.0;;;-207.0;0.51;;-748.0;7.23;48.0;6.45;0.16;0.16;1096.0;;170.0;;170.0;259.0;85.0;159.0;4410.0;;;;;;2665.0;7076.0;;751.0;86.0;;;58.0;2590.0;;212.0;781.0;3583.0;;;;;582.0;-5040.0;7729.0;7749.0;;7749.0;;172.0;-207.0;36.0;;99.0;173.0;12.0;42.0;;701.0;-482.0;;;;-1657.0;-1649.0;8.0;;-64.0;2975.0;;172.0;236.0;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;3632.0;3054.0;497.0;;838.0;521.0;1207.0;1051.0;11397.0;1224.0;6919.0;4478.0;887.0;-623.0;-271.0;-8.0;237.0;579.0;84.07;1735.0;;;;;1735.0;2313.0;;;-344.0;13.69;;-481.0;23.07;320.0;14.34;0.44;0.43;1184.0;;212.0;;212.0;555.0;80.0;205.0;10142.0;;;;;;205.0;10346.0;;952.0;188.0;;;83.0;2739.0;;2064.0;893.0;5695.0;;;;;1062.0;-5473.0;8889.0;11397.0;;11397.0;;521.0;-344.0;289.0;;-276.0;-109.0;26.0;44.0;-19.0;697.0;-649.0;;;;26.0;-1046.0;540.0;;-82.0;316.0;;212.0;219.0;;0.69;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;3622.0;2818.0;1338.0;1100.0;983.0;625.0;1204.0;739.0;11552.0;1271.0;7150.0;4402.0;1005.0;-655.0;-453.0;-193.0;366.0;804.0;77.81;2522.0;;;;;2522.0;3326.0;;;356.0;36.96;30.36;-117.0;27.14;358.0;17.26;0.53;0.52;1169.0;;10.0;;10.0;484.0;73.0;171.0;10434.0;;;;;;379.0;10813.0;;;290.0;;;981.0;2593.0;;2252.0;1034.0;5879.0;;;;2902.0;1400.0;;101.0;11552.0;;11552.0;;625.0;356.0;208.0;;79.0;47.0;4.0;14.0;;-263.0;-639.0;;;;-655.0;-693.0;19.0;-353.0;-91.0;665.0;;10.0;203.0;;0.67;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;3550.0;2880.0;1230.0;1056.0;892.0;653.0;1193.0;731.0;13330.0;1048.0;8627.0;4703.0;1018.0;-1365.0;465.0;24.0;354.0;670.0;81.13;2431.0;;;;;2431.0;3101.0;;;338.0;34.64;29.76;-165.0;25.12;239.0;18.4;0.57;0.55;1153.0;;33.0;;33.0;405.0;84.0;209.0;12025.0;;;;;;574.0;12599.0;;;102.0;;;946.0;3620.0;;2884.0;1075.0;7579.0;;;;2790.0;1877.0;;36.0;13330.0;;13330.0;;653.0;338.0;185.0;;-4.0;124.0;7.0;-131.0;;-155.0;-665.0;;;;-700.0;-2095.0;38.0;;-94.0;2616.0;;33.0;9.0;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;3885.0;1996.0;1129.0;934.0;753.0;509.0;1209.0;758.0;13821.0;1357.0;8500.0;5321.0;1025.0;-587.0;-347.0;-18.0;429.0;1888.0;51.39;2951.0;;;;;2951.0;4839.0;;;376.0;29.05;24.04;-181.0;19.38;244.0;13.09;0.43;0.42;1179.0;;16.0;;16.0;459.0;81.0;202.0;12513.0;;;;;;550.0;13063.0;;;365.0;;;992.0;3181.0;;3068.0;894.0;7143.0;;;;3042.0;2217.0;62.0;;13821.0;;13821.0;;509.0;376.0;173.0;;-160.0;-51.0;;-98.0;-11.0;128.0;-596.0;;;;-587.0;-2262.0;44.0;-129.0;-108.0;2108.0;;16.0;34.0;;0.64;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;4537.0;3492.0;1612.0;1370.0;1143.0;782.0;1163.0;869.0;15680.0;1482.0;9179.0;6501.0;1523.0;-829.0;-466.0;81.0;719.0;1044.0;76.98;3166.0;;;;;3166.0;4211.0;;;432.0;35.54;30.2;-227.0;25.2;399.0;17.23;0.68;0.67;1148.0;;100.0;;100.0;408.0;93.0;268.0;14113.0;;;;;;698.0;14811.0;;;372.0;;;1109.0;3219.0;;3508.0;970.0;7697.0;;;;3596.0;3005.0;-99.0;;15680.0;;15680.0;;782.0;432.0;317.0;;19.0;119.0;-2.0;-74.0;-22.0;-26.0;-804.0;;;;-829.0;-3193.0;64.0;-506.0;-147.0;3315.0;;100.0;19.0;;0.77;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;5443.0;4385.0;2041.0;1802.0;1541.0;1046.0;1159.0;1421.0;18590.0;1878.0;10873.0;7717.0;1778.0;-2004.0;425.0;14.0;887.0;1058.0;80.57;3641.0;;;;;3641.0;4698.0;;;500.0;37.51;33.11;-261.0;28.31;495.0;19.21;0.92;0.9;1141.0;;122.0;;122.0;659.0;106.0;534.0;16387.0;;;781.0;;;;17168.0;;;480.0;;;1397.0;3812.0;;3926.0;1258.0;8995.0;;;;3912.0;3928.0;-123.0;;18590.0;;18590.0;;1046.0;500.0;304.0;;-164.0;-193.0;8.0;4.0;17.0;91.0;-891.0;-1273.0;;;160.0;-6300.0;71.0;-227.0;-185.0;7064.0;;122.0;108.0;;0.83;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;6227.0;4732.0;2552.0;2257.0;2010.0;1338.0;1123.0;988.0;19084.0;1684.0;11129.0;7955.0;2327.0;-925.0;-1239.0;-73.0;1307.0;1495.0;75.99;3970.0;;;;;3970.0;5465.0;;;542.0;40.98;36.24;-247.0;32.28;672.0;21.49;1.21;1.19;1104.0;;53.0;;53.0;536.0;130.0;269.0;17269.0;;827.0;827.0;;;;18096.0;;1277.0;351.0;;;56.0;4023.0;;4143.0;1279.0;9445.0;;;;3939.0;4207.0;-191.0;;19084.0;;19084.0;;1338.0;542.0;470.0;;-27.0;123.0;-22.0;-135.0;-0.0;3.0;-1020.0;;;;95.0;-2464.0;99.0;-1220.0;-237.0;2583.0;;53.0;126.0;;0.86;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;6620.0;4963.0;2901.0;2599.0;2341.0;1790.0;1068.0;1146.0;20593.0;1814.0;12165.0;8428.0;2531.0;-1157.0;-1273.0;100.0;1417.0;1656.0;74.98;4020.0;;;;;4020.0;5676.0;;;560.0;43.83;39.27;-258.0;35.37;551.0;27.05;1.7;1.68;1051.0;;154.0;;154.0;594.0;162.0;237.0;18061.0;;1386.0;1386.0;;;;19447.0;;1562.0;187.0;;;64.0;4621.0;;4474.0;1257.0;10351.0;;;;3825.0;4640.0;-38.0;;20593.0;;20593.0;;1790.0;560.0;3.0;;173.0;-15.0;-31.0;169.0;50.0;4.0;-1114.0;-72.0;;;28.0;-2650.0;103.0;-1272.0;-292.0;2838.0;;154.0;53.0;;0.86;7.34;1.99;1.57;0.32;1.23;9.34;1051.0;11.2;0.6;1.5;7716.0;39.3;653.0;2087.0;23.5;27.0;-778.0;5386.0;9824.0;9.5;11.4;21.2;83.7;103.1;0.858
2007.0;7925.0;4163.0;3396.0;2886.0;2715.0;2166.0;1016.0;1052.0;23542.0;1596.0;13329.0;10213.0;2425.0;-898.0;-1348.0;131.0;1034.0;3762.0;52.53;5039.0;;;;;5039.0;8800.0;;;680.0;42.85;36.42;-171.0;34.27;550.0;27.33;2.16;2.13;1001.0;;311.0;;311.0;371.0;163.0;207.0;20484.0;;2006.0;2006.0;;;;22490.0;;1279.0;255.0;;;62.0;5382.0;;4925.0;1427.0;11734.0;;;;4298.0;5946.0;-31.0;;23542.0;;23542.0;;2166.0;680.0;-82.0;;-66.0;230.0;18.0;-350.0;39.0;-272.0;-1392.0;-25.0;;114.0;404.0;-3602.0;77.0;-1590.0;-419.0;4186.0;-48.0;311.0;180.0;;1.0;7.89;2.16;1.03;0.42;1.39;10.16;1001.0;11.6;0.7;1.7;7897.0;36.4;678.0;2158.0;20.3;27.3;-542.0;5363.0;10177.0;9.9;11.5;21.2;80.6;186.9;1.004
