;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;116.0;77.0;45.0;9.0;13.0;7.0;30.0;27.0;249.0;;71.0;178.0;34.0;-13.0;-19.0;;21.0;39.0;66.35;68.0;;36.0;36.0;;32.0;107.0;;;32.0;38.67;7.7;4.0;11.16;6.0;5.71;0.22;0.22;30.0;;3.0;;3.0;;;23.0;;;;;;;222.0;222.0;;;;;;;21.0;;;;21.0;92.0;;;;;;178.0;249.0;;249.0;;7.0;32.0;;;;;;;27.0;-4.0;-13.0;;;;-13.0;;;;;-19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;110.0;74.0;33.0;14.0;13.0;8.0;30.0;23.0;236.0;;62.0;175.0;29.0;-14.0;-17.0;;14.0;36.0;67.42;60.0;;36.0;36.0;;25.0;96.0;;;25.0;29.66;12.65;-1.0;11.56;;7.28;0.27;0.27;30.0;;1.0;;1.0;;;22.0;;;;;;;213.0;213.0;;;;;;;21.0;;;;21.0;83.0;;;;;;175.0;236.0;;236.0;;8.0;25.0;;;-4.0;;;;23.0;-1.0;-14.0;;;;-14.0;;;;;-17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;132.0;86.0;32.0;21.0;9.0;6.0;9.0;40.0;318.0;;321.0;-4.0;29.0;-296.0;277.0;;18.0;46.0;65.0;65.0;;43.0;43.0;;23.0;111.0;;;23.0;23.96;15.87;-12.0;6.95;4.0;4.16;-0.33;-0.33;9.0;;10.0;;10.0;;;30.0;;;;;;;278.0;278.0;;;;;;;180.0;;;;180.0;502.0;;;;;;;318.0;;318.0;;6.0;23.0;;;16.0;;;;40.0;-16.0;-11.0;;;;-296.0;;;;;277.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;270.0;189.0;54.0;35.0;-1.0;-1.0;9.0;99.0;1006.0;98.0;1023.0;-19.0;80.0;-554.0;516.0;42.0;50.0;81.0;70.12;154.0;;88.0;88.0;;66.0;235.0;;;55.0;19.88;12.97;-36.0;-0.34;0.0;-0.42;-1.79;-1.79;9.0;;52.0;;52.0;34.0;4.0;9.0;361.0;318.0;164.0;483.0;43.0;;21.0;907.0;;11.0;41.0;;;45.0;588.0;;67.0;270.0;925.0;;;;0.0;-19.0;0.0;;1004.0;2.0;1006.0;;-1.0;55.0;0.0;;-38.0;;-0.0;;1.0;64.0;-30.0;-524.0;;;-30.0;-210.0;;;;726.0;;52.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;321.0;220.0;74.0;54.0;6.0;-4.0;30.0;79.0;946.0;68.0;744.0;199.0;79.0;-31.0;-69.0;-21.0;48.0;101.0;68.53;166.0;;99.0;99.0;;67.0;267.0;;;67.0;22.98;16.83;-48.0;2.01;11.0;-1.39;-0.83;-0.83;30.0;;31.0;;31.0;36.0;3.0;9.0;335.0;;532.0;532.0;44.0;;-44.0;867.0;;12.0;;;;56.0;555.0;;;121.0;676.0;;;;0.0;-58.0;2.0;254.0;943.0;3.0;946.0;;-4.0;67.0;10.0;;10.0;;0.0;;11.0;-4.0;-31.0;;;;;;68.0;-50.0;;-87.0;;31.0;52.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;321.0;223.0;84.0;49.0;14.0;13.0;28.0;74.0;890.0;66.0;771.0;115.0;85.0;-27.0;-63.0;-5.0;51.0;98.0;69.42;173.0;;95.0;95.0;;79.0;271.0;;;71.0;26.3;15.37;-36.0;4.26;0.0;4.14;0.48;0.47;28.0;;27.0;;27.0;34.0;4.0;9.0;314.0;316.0;125.0;441.0;40.0;;20.0;815.0;;11.0;;;15.0;39.0;594.0;;56.0;55.0;705.0;;;;0.0;-87.0;2.0;200.0;886.0;4.0;890.0;;13.0;71.0;-9.0;;-3.0;;-1.0;;8.0;13.0;-33.0;;;6.0;1.0;;;-57.0;-45.0;39.0;;27.0;31.0;;;11.61;0.48;1.85;1.61;1.21;4.16;28.0;34.1;1.9;9.9;321.0;15.4;71.0;13.0;3.0;4.1;8.0;594.0;115.0;1.6;1.5;11.5;-236.1;198.1
2007.0;329.0;222.0;95.0;67.0;16.0;11.0;26.0;100.0;1305.0;85.0;1145.0;155.0;82.0;-305.0;231.0;8.0;49.0;107.0;67.41;155.0;;90.0;90.0;;66.0;263.0;;;79.0;28.92;20.24;-51.0;4.89;5.0;3.47;0.44;0.44;26.0;;34.0;;34.0;44.0;6.0;15.0;412.0;526.0;161.0;687.0;94.0;;12.0;1205.0;;36.0;1.0;;;48.0;890.0;;97.0;73.0;1060.0;;2.0;;0.0;-117.0;-6.0;278.0;1300.0;4.0;1305.0;;11.0;79.0;-4.0;;6.0;;-0.0;;15.0;-10.0;-33.0;-272.0;-11.0;11.0;;;0.0;-0.0;-40.0;271.0;;34.0;27.0;;;12.68;0.44;1.87;1.55;1.29;5.98;26.0;45.3;2.6;7.8;329.0;20.2;79.0;11.0;29.0;3.5;15.0;890.0;155.0;0.9;1.2;7.4;-251.9;83.0
2008.0;418.0;275.0;111.0;68.0;12.0;13.0;30.0;79.0;1242.0;71.0;1166.0;70.0;92.0;-48.0;-63.0;-19.0;44.0;144.0;65.69;206.0;;109.0;109.0;;98.0;350.0;;;92.0;26.49;16.34;-56.0;2.84;7.0;2.99;0.43;0.42;29.0;;15.0;;15.0;45.0;7.0;11.0;400.0;521.0;139.0;659.0;96.0;;8.0;1163.0;;31.0;1.0;;;39.0;880.0;;58.0;157.0;1095.0;;0.0;;0.0;;-59.0;129.0;1236.0;5.0;1242.0;;13.0;92.0;-12.0;;-7.0;;-1.0;;7.0;8.0;-48.0;;;;;;;-0.0;-45.0;-18.0;;15.0;34.0;;;14.27;0.43;1.51;1.55;1.64;2.39;29.0;32.6;1.5;11.2;418.0;16.3;92.0;13.0;55.8;3.0;7.0;880.0;70.0;0.7;1.5;17.8;-263.5;103.0
2009.0;406.0;261.0;181.0;71.0;38.0;25.0;30.0;104.0;1223.0;81.0;1142.0;75.0;116.0;-42.0;-47.0;27.0;74.0;145.0;64.19;190.0;;105.0;105.0;;85.0;335.0;0.0;58.0;85.0;44.45;17.41;-32.0;9.44;12.0;6.13;0.84;0.84;29.0;;43.0;;43.0;42.0;7.0;13.0;377.0;521.0;116.0;636.0;99.0;;7.0;1119.0;;13.0;0.0;;;67.0;880.0;;75.0;107.0;1062.0;;0.0;;0.0;;-36.0;110.0;1217.0;6.0;1223.0;;25.0;85.0;0.0;2.0;17.0;3.0;1.0;1.0;24.0;-12.0;-42.0;;;1.0;;-1.0;;-1.0;-46.0;;;43.0;15.0;;;13.82;0.85;2.52;1.56;1.44;2.54;29.0;14.9;0.2;12.4;406.0;17.4;85.0;25.0;32.3;6.1;24.0;880.0;75.0;5.7;7.8;33.4;-84.4;62.8
2010.0;383.0;241.0;179.0;66.0;42.0;33.0;30.0;136.0;1210.0;76.0;1138.0;67.0;115.0;-41.0;-49.0;25.0;73.0;142.0;62.88;175.0;;88.0;88.0;;87.0;317.0;;51.0;87.0;46.81;17.19;-24.0;10.99;9.0;8.5;1.1;1.09;30.0;;68.0;;68.0;49.0;8.0;12.0;356.0;521.0;92.0;613.0;99.0;;5.0;1073.0;;10.0;0.0;;;65.0;880.0;;74.0;108.0;1062.0;;4.0;;0.0;;-31.0;98.0;1205.0;5.0;1210.0;;33.0;87.0;-2.0;2.0;37.0;0.0;-1.0;-4.0;61.0;-42.0;-42.0;;;0.0;1.0;-0.0;;-1.0;-46.0;-2.0;;68.0;43.0;;;12.88;1.1;2.46;1.55;1.4;2.25;30.0;16.3;0.8;8.7;383.0;17.2;87.0;33.0;21.3;8.5;61.0;880.0;67.0;6.4;7.7;48.7;-41.7;64.4
