;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;3.0;1.0;-2.0;-3.0;;-3.0;8.0;1.0;14.0;1.0;2.0;12.0;-3.0;-1.0;3.0;;-3.0;2.0;43.75;5.0;;4.0;4.0;;1.0;6.0;;;1.0;-68.75;-100.0;0.0;;;-96.88;-0.38;-0.38;8.0;;1.0;;1.0;;;0.0;4.0;;7.0;7.0;;;1.0;12.0;;1.0;0.0;;;;1.0;;;-0.0;1.0;;;;;-4.0;-0.0;16.0;14.0;;14.0;;-3.0;1.0;;;-1.0;;;;0.0;;-1.0;;;;;;3.0;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;4.0;2.0;2.0;-3.0;1.0;1.0;10.0;3.0;18.0;2.0;3.0;14.0;-1.0;1.0;2.0;;-2.0;2.0;57.14;5.0;;4.0;4.0;;1.0;7.0;;;1.0;52.38;-64.29;4.0;21.43;0.0;14.29;0.06;0.06;10.0;;2.0;;2.0;;;1.0;5.0;;6.0;6.0;;;3.0;14.0;;1.0;1.0;;;;2.0;;;-0.0;2.0;;;;;-3.0;-1.0;18.0;18.0;;18.0;;1.0;1.0;0.0;;2.0;;;;2.0;-5.0;-1.0;;-1.0;;2.0;;2.0;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;12.0;7.0;1.0;0.0;;-1.0;14.0;5.0;33.0;4.0;12.0;21.0;3.0;-5.0;5.0;;-0.0;5.0;57.39;6.0;;4.0;4.0;;2.0;11.0;;;2.0;6.09;2.61;-2.0;;;-11.3;-0.09;-0.09;14.0;;5.0;;5.0;;;1.0;13.0;;14.0;14.0;;;1.0;28.0;;2.0;;;;2.0;8.0;;;;8.0;;;;;-5.0;-1.0;26.0;33.0;;33.0;;-1.0;2.0;;;-1.0;;;;1.0;3.0;-3.0;;-0.0;1.0;-3.0;;6.0;;;-1.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;20.0;9.0;2.0;1.0;-0.0;-1.0;16.0;5.0;33.0;3.0;13.0;20.0;3.0;-3.0;-0.0;;-0.0;11.0;45.18;8.0;;5.0;5.0;;3.0;19.0;;;3.0;12.18;4.06;-1.0;-1.52;0.0;-3.05;-0.03;-0.03;16.0;;4.0;;4.0;;;1.0;15.0;;13.0;13.0;;;1.0;28.0;;2.0;1.0;;;;10.0;;;;10.0;;;;;-5.0;-3.0;28.0;33.0;;33.0;;-1.0;3.0;;;1.0;;;;2.0;-0.0;-3.0;;;;1.0;;;;;-0.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;20.0;11.0;6.0;2.0;2.0;2.0;15.0;4.0;35.0;3.0;16.0;19.0;4.0;-6.0;;;-2.0;8.0;58.46;9.0;;6.0;6.0;;3.0;17.0;;1.0;3.0;31.28;12.31;-0.0;10.26;0.0;9.74;0.13;0.13;15.0;;2.0;;2.0;;;2.0;18.0;;11.0;11.0;;;1.0;31.0;;3.0;1.0;;;;12.0;;;0.0;12.0;;;;;-3.0;-4.0;27.0;35.0;;35.0;;2.0;3.0;-1.0;;-1.0;;;;1.0;1.0;-6.0;;-1.0;;1.0;;;-1.0;;-0.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;24.0;14.0;7.0;4.0;4.0;2.0;15.0;4.0;34.0;2.0;13.0;21.0;4.0;-1.0;-3.0;0.0;1.0;9.0;60.17;10.0;;7.0;7.0;;4.0;20.0;;;4.0;31.36;16.95;-0.0;16.53;2.0;9.32;0.15;0.15;15.0;;3.0;;3.0;1.0;;0.0;20.0;;10.0;10.0;;;1.0;30.0;;2.0;0.0;;;;11.0;;;;11.0;;;;0.0;-1.0;-6.0;28.0;34.0;;34.0;;2.0;4.0;-0.0;;1.0;;;;1.0;-2.0;-3.0;;;1.0;1.0;;;-0.0;;-2.0;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;29.0;18.0;10.0;6.0;6.0;3.0;15.0;11.0;56.0;12.0;32.0;24.0;7.0;-14.0;14.0;7.0;-6.0;11.0;61.51;12.0;;8.0;8.0;;4.0;23.0;;;4.0;32.85;21.14;-0.0;19.75;3.0;11.09;0.23;0.22;14.0;;9.0;;9.0;1.0;;1.0;33.0;;9.0;9.0;;;3.0;45.0;;4.0;7.0;;;;20.0;;;;20.0;;;;0.0;2.0;-9.0;30.0;56.0;;56.0;;3.0;4.0;-0.0;;-2.0;;;;-1.0;3.0;-13.0;-2.0;;0.0;1.0;;;-1.0;;14.0;-0.0;9.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;30.0;18.0;9.0;23.0;4.0;2.0;15.0;4.0;45.0;5.0;22.0;23.0;6.0;-3.0;-8.0;-6.0;3.0;11.0;61.9;-5.0;;8.0;8.0;;-13.0;6.0;;;5.0;30.07;78.99;-19.0;14.26;2.0;8.3;0.18;0.16;14.0;;3.0;;3.0;0.0;;1.0;29.0;;8.0;8.0;;;3.0;40.0;;4.0;2.0;;;;16.0;;;1.0;17.0;;;;0.0;5.0;-11.0;28.0;45.0;;45.0;;2.0;5.0;-0.0;;0.0;;;;-1.0;-1.0;-3.0;;;;-0.0;;;-1.0;;-8.0;-0.0;3.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;29.0;18.0;8.0;7.0;6.0;3.0;15.0;6.0;51.0;6.0;23.0;27.0;7.0;-4.0;-2.0;2.0;3.0;11.0;61.77;11.0;;7.0;7.0;;3.0;22.0;;;2.0;27.03;24.85;-2.0;18.86;2.0;10.5;0.23;0.2;13.0;;5.0;;5.0;0.0;;1.0;34.0;;8.0;8.0;;1.0;2.0;45.0;;2.0;2.0;;;2.0;17.0;;;1.0;17.0;;;;0.0;8.0;-1.0;20.0;50.0;1.0;51.0;;3.0;2.0;0.0;;1.0;;;;-0.0;1.0;-4.0;;;;0.0;;;-0.0;;-1.0;0.0;5.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;36.0;22.0;10.0;7.0;5.0;3.0;15.0;6.0;55.0;6.0;22.0;33.0;6.0;-3.0;-3.0;0.0;3.0;14.0;60.56;15.0;;8.0;8.0;;7.0;29.0;;2.0;3.0;27.22;18.87;-2.0;13.93;2.0;9.0;0.24;0.22;14.0;;5.0;;5.0;0.0;0.0;1.0;37.0;;8.0;8.0;;1.0;3.0;49.0;;2.0;2.0;;;2.0;15.0;;;0.0;15.0;;;;0.0;11.0;2.0;20.0;55.0;0.0;55.0;;3.0;3.0;0.0;;-0.0;;;;-0.0;-0.0;-3.0;;;;-1.0;;1.0;-1.0;;-2.0;0.0;5.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
