;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CNY/USD)
2007.0;;;-1.0;-1.0;0.0;0.0;7.0;34.0;34.0;1.0;7.0;27.0;-1.0;0.0;-0.0;-1.0;-1.0;;;1.0;;;;;1.0;1.0;;;;-inf;-inf;1.0;inf;;inf;0.06;0.06;7.0;;0.0;0.0;0.0;;;34.0;;;;;;;;;;;;;;1.0;;;;7.0;7.0;;;;0.0;0.0;;27.0;34.0;;34.0;;0.0;;;;0.0;;;;;-1.0;;;-0.0;;0.0;;;;;-0.0;;0.0;1.0;;0.14;;0.41;-0.58;;;28.21;7.0;13.5;0.8;;;-inf;;3.0;;inf;245.0;;197.0;-1.6;-1.5;1.5;100.0;;0.137
2008.0;;;-2.0;-2.0;-1.0;-1.0;7.0;29.0;29.0;2.0;8.0;21.0;-1.0;6.0;-5.0;-0.0;-1.0;;;2.0;;2.0;2.0;;0.0;2.0;1.0;;;-inf;-inf;1.0;-inf;;-inf;-0.17;-0.17;7.0;;0.0;29.0;29.0;;;0.0;;;;;;;;;;;0.0;0.0;0.0;1.0;;;;7.0;7.0;;;;0.0;-1.0;;21.0;29.0;;29.0;;-1.0;;;;1.0;;;;0.0;-0.0;;;;6.0;;;;-6.0;;0.0;;0.0;0.0;;0.15;;-1.13;-0.6;;;20.05;7.0;-5.1;-0.2;;;-inf;;-8.0;;-inf;185.0;;140.0;-6.3;-5.9;-5.6;100.0;;0.147
2009.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010.0;38.0;29.0;14.0;14.0;12.0;7.0;75.0;53.0;153.0;17.0;33.0;119.0;5.0;-23.0;36.0;17.0;3.0;10.0;74.87;14.0;1.0;14.0;8.0;6.0;;24.0;1.0;0.0;3.0;37.02;37.16;-3.0;30.46;4.0;18.8;0.1;0.1;71.0;;41.0;;41.0;9.0;1.0;2.0;37.0;;4.0;4.0;7.0;0.0;52.0;100.0;;1.0;7.0;1.0;5.0;4.0;;14.0;0.0;2.0;16.0;;;;0.0;13.0;0.0;;152.0;2.0;153.0;;7.0;3.0;-1.0;;-10.0;-15.0;-0.0;0.0;6.0;5.0;-3.0;;;;-21.0;;20.0;;;15.0;-0.0;41.0;24.0;;0.15;3.67;0.69;0.25;;0.26;11.35;71.0;7.7;0.4;;262.0;37.2;20.0;49.0;31.1;18.8;248.0;;809.0;5.7;7.4;6.1;100.0;-774.9;0.146
2011.0;52.0;40.0;23.0;19.0;20.0;14.0;70.0;109.0;239.0;38.0;72.0;164.0;27.0;-5.0;29.0;50.0;24.0;12.0;77.21;21.0;1.0;20.0;13.0;7.0;;33.0;1.0;0.0;4.0;44.68;36.47;1.0;38.92;5.0;27.01;0.2;0.2;70.0;;93.0;;93.0;12.0;1.0;2.0;38.0;;21.0;21.0;29.0;0.0;42.0;130.0;;1.0;7.0;2.0;13.0;18.0;;25.0;4.0;5.0;34.0;;;;0.0;27.0;-3.0;139.0;235.0;3.0;239.0;;14.0;4.0;-1.0;;6.0;-16.0;-1.0;-0.0;20.0;5.0;-3.0;;-2.0;;-0.0;-7.0;32.0;-2.0;;6.0;-1.0;93.0;43.0;;0.15;4.85;1.31;2.23;;0.29;15.3;70.0;2.4;0.1;;340.0;36.5;23.0;92.0;25.7;27.0;460.0;;1071.0;7.4;8.3;8.6;100.0;-128.2;0.153
2012.0;60.0;47.0;28.0;21.0;24.0;21.0;74.0;142.0;290.0;31.0;93.0;191.0;56.0;-20.0;-7.0;29.0;37.0;14.0;77.22;25.0;1.0;24.0;14.0;10.0;;39.0;2.0;1.0;5.0;45.8;35.44;3.0;39.84;2.0;34.69;0.28;0.28;74.0;;126.0;0.0;126.0;13.0;1.0;3.0;43.0;;21.0;21.0;37.0;1.0;46.0;147.0;;1.0;7.0;1.0;17.0;6.0;;49.0;4.0;10.0;62.0;;;;0.0;49.0;4.0;137.0;284.0;5.0;290.0;;21.0;5.0;-1.0;;28.0;-4.0;-0.0;0.0;32.0;4.0;-20.0;;;;-13.0;-7.0;;-7.0;;7.0;-1.0;126.0;97.0;;0.16;5.16;1.79;3.13;;1.67;16.31;74.0;1.6;0.1;;380.0;35.4;29.0;132.0;6.4;34.7;700.0;;1203.0;8.5;8.1;11.0;100.0;19.4;0.159
2013.0;85.0;68.0;41.0;34.0;25.0;18.0;75.0;257.0;481.0;54.0;281.0;199.0;93.0;-79.0;100.0;113.0;57.0;17.0;79.73;34.0;1.0;32.0;17.0;15.0;;51.0;2.0;11.0;6.0;48.84;39.78;-8.0;30.07;6.0;21.37;0.24;0.24;75.0;;241.0;;241.0;12.0;2.0;3.0;75.0;;20.0;20.0;45.0;1.0;83.0;223.0;;2.0;8.0;1.0;28.0;16.0;121.0;85.0;4.0;17.0;227.0;;;;0.0;68.0;3.0;128.0;480.0;1.0;481.0;;18.0;6.0;-0.0;;62.0;1.0;-1.0;1.0;47.0;7.0;-36.0;;-43.0;;0.0;-7.0;4.0;-20.0;;123.0;-1.0;241.0;128.0;;0.16;6.97;1.49;4.67;;3.0;16.39;75.0;2.3;0.1;;526.0;39.8;36.0;112.0;24.4;21.4;1266.0;752.0;1237.0;6.3;7.4;9.1;100.0;28.8;0.161
2014.0;92.0;75.0;48.0;37.0;31.0;21.0;82.0;331.0;584.0;64.0;352.0;231.0;86.0;-24.0;0.0;63.0;62.0;17.0;81.46;38.0;2.0;36.0;18.0;18.0;;55.0;3.0;11.0;6.0;51.92;40.49;-7.0;33.33;9.0;23.03;0.26;0.26;82.0;;303.0;;303.0;18.0;5.0;5.0;101.0;;19.0;19.0;54.0;0.0;79.0;253.0;;2.0;10.0;1.0;32.0;21.0;125.0;132.0;4.0;26.0;288.0;;;;0.0;89.0;14.0;128.0;583.0;1.0;584.0;;21.0;6.0;1.0;;52.0;-3.0;-5.0;0.0;51.0;6.0;-24.0;;;;0.0;-8.0;;-1.0;;9.0;0.0;303.0;240.0;;0.16;6.95;1.6;4.68;;1.82;17.41;82.0;2.9;0.2;;573.0;40.5;37.0;132.0;30.6;23.0;1661.0;778.0;1435.0;5.6;7.2;9.2;100.0;1.1;0.161
2015.0;102.0;81.0;49.0;38.0;25.0;17.0;79.0;423.0;664.0;68.0;416.0;248.0;96.0;-7.0;;89.0;90.0;21.0;79.44;43.0;2.0;42.0;21.0;21.0;;65.0;3.0;16.0;8.0;48.23;37.0;-13.0;24.42;8.0;16.89;0.22;0.22;79.0;;393.0;1.0;394.0;20.0;4.0;5.0;97.0;;19.0;19.0;50.0;0.0;75.0;241.0;;2.0;10.0;2.0;36.0;21.0;132.0;177.0;4.0;35.0;348.0;;;;0.0;107.0;10.0;131.0;664.0;1.0;664.0;;17.0;8.0;-0.0;3.0;56.0;-3.0;-0.0;0.0;48.0;12.0;-6.0;;-1.0;;0.0;-10.0;;;;;0.0;393.0;304.0;;0.16;8.05;1.36;7.06;;0.48;19.49;79.0;4.4;0.2;;635.0;37.0;51.0;107.0;30.5;16.9;2202.0;816.0;1538.0;4.8;6.2;7.0;100.0;;0.161
2016.0;103.0;80.0;46.0;30.0;22.0;14.0;73.0;496.0;727.0;73.0;461.0;265.0;90.0;-3.0;-0.0;89.0;87.0;22.0;78.19;51.0;1.0;49.0;26.0;23.0;;73.0;3.0;17.0;8.0;45.11;28.86;-8.0;21.32;8.0;13.72;0.19;0.19;73.0;;466.0;;466.0;20.0;4.0;5.0;89.0;;17.0;17.0;55.0;0.0;69.0;231.0;;2.0;9.0;2.0;40.0;21.0;140.0;205.0;4.0;40.0;388.0;;;;0.0;117.0;13.0;135.0;726.0;1.0;727.0;;14.0;8.0;-0.0;9.0;46.0;1.0;-2.0;0.0;40.0;13.0;-3.0;;;;0.0;-9.0;;;;9.0;1.0;466.0;378.0;;0.15;9.11;1.25;7.75;;0.23;23.49;73.0;4.5;0.2;;663.0;28.9;50.0;91.0;35.4;13.7;2732.0;906.0;1709.0;3.8;5.3;5.3;100.0;;0.155
