;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;1.0;;5.0;;2.0;1.0;3.0;;106.0;1.0;93.0;13.0;2.0;-3.0;1.0;1.0;2.0;;;;;2.0;2.0;;;;8.0;3.0;0.0;693.78;;;221.16;0.0;171.92;0.38;0.38;3.0;;3.0;;3.0;1.0;;;3.0;;;;;;;;106.0;;1.0;;;;;;;;;92.0;;;4.0;5.0;;4.0;106.0;;106.0;;1.0;0.0;-0.0;;0.0;;;0.0;-1.0;1.0;-0.0;;-10.0;10.0;-3.0;;;;-0.0;2.0;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;1.0;;6.0;;2.0;1.0;3.0;;110.0;1.0;96.0;14.0;2.0;-1.0;1.0;2.0;2.0;;;;;2.0;2.0;;;;9.0;4.0;0.0;740.98;;;240.85;1.0;178.54;0.46;0.46;3.0;;5.0;;5.0;1.0;;;3.0;;;;;;;;110.0;;1.0;;;;1.0;;;;1.0;96.0;;;5.0;5.0;;4.0;110.0;;110.0;;1.0;0.0;-0.0;;-4.0;;;0.0;-5.0;4.0;-0.0;;-1.0;9.0;-10.0;;;;-1.0;2.0;;5.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;2.0;;7.0;;2.0;2.0;3.0;;142.0;5.0;127.0;15.0;2.0;-32.0;30.0;0.0;1.0;;;;;2.0;2.0;;;;10.0;5.0;0.0;351.44;;;113.09;1.0;81.57;0.52;0.52;3.0;;5.0;;5.0;1.0;;;3.0;;;;;;;;142.0;;5.0;;;;25.0;;;;25.0;148.0;;;5.0;4.0;;5.0;142.0;;142.0;;2.0;0.0;-0.0;;3.0;;;0.0;-2.0;-2.0;-1.0;;-5.0;5.0;-31.0;;;;-1.0;30.0;;5.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;2.0;;9.0;;2.0;2.0;3.0;;156.0;2.0;141.0;16.0;5.0;-16.0;10.0;-1.0;4.0;;;;;3.0;3.0;;;;13.0;6.0;0.0;387.39;;;102.64;1.0;75.26;0.51;0.51;3.0;;4.0;;4.0;;;;4.0;;;;;;;;156.0;;2.0;;;;27.0;;;;27.0;166.0;;;5.0;3.0;;7.0;156.0;;156.0;;2.0;0.0;-0.0;;-1.0;;;0.0;-3.0;4.0;-1.0;;-19.0;3.0;1.0;-2.0;;;-1.0;13.0;;4.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;3.0;;10.0;;3.0;2.0;2.0;;171.0;3.0;154.0;16.0;1.0;-15.0;15.0;1.0;0.0;;;;;3.0;3.0;;;;14.0;7.0;0.0;366.47;;;102.64;1.0;70.58;1.12;1.12;2.0;;5.0;;5.0;;;;4.0;;;;;;;;171.0;;3.0;;;;27.0;;;;27.0;178.0;;;12.0;4.0;;0.0;171.0;;171.0;;2.0;0.0;-0.0;;-6.0;;;0.0;-10.0;5.0;-1.0;;-21.0;5.0;2.0;-10.0;0.0;-1.0;;25.0;;5.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;3.0;;10.0;;3.0;2.0;2.0;;193.0;10.0;176.0;17.0;3.0;-25.0;21.0;-1.0;2.0;;;;;3.0;3.0;;;;15.0;7.0;1.0;396.55;;;108.82;1.0;74.82;1.16;1.16;2.0;;4.0;;4.0;;;;5.0;;;;;;;;193.0;;10.0;;;;37.0;;;;37.0;204.0;;;13.0;4.0;;;193.0;;193.0;;2.0;1.0;;;4898.0;;;0.0;4888.0;-4897.0;-1.0;;-25.0;6.0;-4.0;-8.0;0.0;-0.0;;28.0;;4.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;3.0;;12.0;;2.0;2.0;2.0;4896.0;201.0;8.0;184.0;18.0;3.0;-9.0;6.0;1.0;2.0;;;;;3.0;3.0;;;;17.0;9.0;1.0;347.27;;;64.16;1.0;44.5;0.9;0.9;2.0;;5.0;;5.0;;;4891.0;5.0;;;;;;;;;;8.0;;;;36.0;;;;36.0;212.0;;;13.0;4.0;;0.0;201.0;;201.0;;2.0;1.0;-0.0;;36.0;;;0.0;4924.0;-35.0;-1.0;;-9.0;2.0;-1.0;-6.0;0.0;-0.0;;12.0;;5.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;4.0;;11.0;;2.0;1.0;2.0;4931.0;198.0;7.0;180.0;18.0;3.0;2.0;-4.0;0.0;2.0;;;;;4.0;4.0;;;;16.0;9.0;1.0;313.4;;;56.12;1.0;39.96;0.82;0.82;2.0;;5.0;;5.0;;;4926.0;5.0;;;;;;;;;;7.0;;;;35.0;;;;35.0;208.0;;;14.0;4.0;;0.0;198.0;;198.0;;1.0;1.0;;;-4744.0;;;-1.0;180.0;4744.0;-0.0;-0.0;-10.0;12.0;;-13.0;0.0;-0.0;;8.0;;5.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;12.0;;10.0;;2.0;2.0;2.0;186.0;212.0;6.0;193.0;19.0;4.0;-15.0;13.0;2.0;4.0;;;;;4.0;4.0;0.0;;;14.0;6.0;1.0;83.51;;;19.6;1.0;13.97;0.92;0.92;2.0;;6.0;;6.0;;;180.0;4.0;;;1.0;21.0;;;27.0;239.0;;6.0;;;;14.0;;;;14.0;201.0;;;16.0;3.0;0.0;;212.0;;212.0;;2.0;1.0;;;-32.0;;;;148.0;33.0;-0.0;-0.0;-8.0;5.0;-12.0;-25.0;;;-1.0;39.0;;6.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;11.0;;9.0;;3.0;2.0;2.0;173.0;215.0;25.0;195.0;21.0;5.0;-8.0;1.0;-2.0;5.0;;;;;4.0;4.0;0.0;;;12.0;5.0;1.0;78.39;;;25.87;1.0;19.3;1.17;1.17;2.0;;5.0;;5.0;;;168.0;4.0;;;0.0;38.0;;;43.0;258.0;;25.0;;;;17.0;;;;17.0;186.0;;;16.0;4.0;0.0;;215.0;;215.0;;2.0;1.0;;;10.0;;;;157.0;-8.0;-0.0;;-23.0;6.0;9.0;-25.0;;;-1.0;27.0;;5.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
