;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2003.0;-0.0;;-0.0;;;-0.0;0.0;;0.0;;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;;;;;;;;;;;0.0;0.0;4837.11;;;;;22228.87;-0.18;-0.18;0.0;;0.0;;0.0;;;;;;;;;;;;0.0;;;;;;0.0;;;;0.0;0.0;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;0.0;;;-0.0;;;;;;-0.0;;;;-0.0;;;;;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;9.0;;12.0;;;1.0;0.0;26.0;27.0;764.0;774.0;119.0;2.0;-865.0;888.0;26.0;1.0;;;;;3.0;3.0;;;;18.0;10.0;1.0;127.96;;;;;7.09;8.0;7.0;0.0;;26.0;;26.0;3.0;;-3.0;;;;;614.0;;-613.0;1.0;;;;;;764.0;771.0;;;-761.0;10.0;20.0;;;0.0;-0.0;0.0;119.0;893.0;-867.0;27.0;;1.0;1.0;;;-738.0;;;;-738.0;739.0;-1.0;;-843.0;228.0;-250.0;-0.0;;;-1.0;889.0;;26.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;12.0;;33.0;;;-5.0;0.0;18.0;18.0;1034.0;1055.0;107.0;2.0;-287.0;277.0;-8.0;2.0;;;9.0;;2.0;2.0;;7.0;;46.0;35.0;3.0;286.75;;;;;-41.13;-45.0;-45.0;0.0;;18.0;;18.0;5.0;;-5.0;;;;;943.0;;-942.0;1.0;;;;;;1034.0;1052.0;;;-1031.0;21.0;42.0;;;0.0;-9.0;-3.0;119.0;1162.0;-1144.0;18.0;;-5.0;3.0;;;-278.0;;;;-1016.0;282.0;-0.0;;-617.0;272.0;58.0;-10.0;;;-5.0;291.0;;18.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;42.0;;214.0;;23.0;22.0;0.0;52.0;10602.0;3216.0;10075.0;429.0;9.0;-8403.0;8445.0;52.0;9.0;;;-1.0;;10.0;10.0;;-11.0;;221.0;188.0;3.0;503.45;;-8.0;53.71;1.0;51.91;148.0;148.0;0.0;;52.0;;52.0;47.0;;-47.0;;;;;7942.0;;;;10551.0;42.0;;;;3174.0;9982.0;;;-3024.0;6958.0;;;;0.0;-4.0;-15.0;447.0;10504.0;99.0;10602.0;;22.0;3.0;;;-2148.0;;;;-3164.0;2132.0;;16.0;-6300.0;82.0;-2200.0;-1518.0;;;-26.0;9989.0;;52.0;0.0;;;284.39;147.62;62.34;174.87;;2873.18;0.0;6.0;0.3;19.8;42.0;;3.0;22.0;3.4;51.9;-3164.0;9982.0;429.0;2.8;2.0;5.1;-18.5;280.5
2007.0;191.0;;-622.0;;-1259.0;-1261.0;1.0;80.0;8935.0;115.0;11315.0;-2400.0;137.0;-1239.0;1130.0;28.0;137.0;;;208.0;;17.0;17.0;;191.0;;746.0;628.0;10.0;-326.28;;-20.0;-660.65;2.0;-661.87;-2248.0;-2248.0;1.0;;80.0;;80.0;50.0;;-50.0;;;;;6629.0;;;;8855.0;54.0;;;;61.0;11097.0;;;123.0;11220.0;;;;0.0;-1336.0;-1545.0;482.0;8916.0;20.0;8935.0;;-1261.0;10.0;;;3129.0;;;;-35.0;-1741.0;;;-2730.0;1049.0;443.0;-962.0;;;-52.0;2144.0;;80.0;52.0;;;339.71;-2248.4;243.83;92.39;;-4277.36;1.0;-0.3;-0.0;12.9;191.0;;10.0;-1261.0;-0.2;-661.9;-35.0;11097.0;-2400.0;-7.2;-7.1;52.6;104.1;
2008.0;188.0;;271.0;;-171.0;-145.0;1.0;86.0;3935.0;91.0;3828.0;64.0;143.0;138.0;-275.0;6.0;143.0;;;81.0;;20.0;20.0;;61.0;;558.0;440.0;2.0;143.94;;-10.0;-90.83;-26.0;-76.91;-243.0;-243.0;1.0;;86.0;;86.0;31.0;;-31.0;;;;;2080.0;;;;3849.0;31.0;;;;60.0;3513.0;;;266.0;3779.0;;;;0.0;-404.0;-14.0;482.0;3892.0;43.0;3935.0;;-145.0;2.0;;;30.0;;;;-5.0;256.0;;;-17.0;48.0;107.0;-403.0;;;-50.0;178.0;;86.0;80.0;;;316.39;-243.35;240.68;83.27;;108.19;1.0;-0.8;-0.0;41.3;188.0;;2.0;-145.0;15.3;-76.9;-5.0;3513.0;64.0;6.0;6.9;-224.9;134.2;
2009.0;79.0;;-4.0;;-12.0;-12.0;1.0;70.0;79.0;181.0;222.0;56.0;7.0;94.0;-64.0;38.0;7.0;;;95.0;5.0;71.0;71.0;;19.0;;;5.0;3.0;-5.28;;-3.0;-14.91;0.0;-14.8;-12.1;-12.14;1.0;;70.0;;70.0;26.0;;-26.0;;10.0;;10.0;179.0;;-179.0;10.0;;13.0;;;;168.0;62.0;;11.0;-11.0;62.0;;;;0.0;-0.0;-1.0;58.0;278.0;-199.0;79.0;;-12.0;3.0;;7.0;-106.0;;;-1.0;-111.0;116.0;-1.0;-3.0;-1.0;98.0;;-57.0;;-1.0;;-6.0;0.0;70.0;32.0;;;82.07;-12.14;6.89;;0.72;58.45;1.0;-5.7;-0.1;;79.0;;3.0;-12.0;-0.1;-14.8;-111.0;62.0;56.0;-6.9;-2.4;-20.8;100.0;
2010.0;119.0;;17.0;;10.0;8.0;2.0;44.0;47.0;197.0;217.0;64.0;-35.0;26.0;-17.0;-26.0;-36.0;;;117.0;;77.0;77.0;;40.0;;;8.0;2.0;14.21;;;8.81;-1.0;6.39;7.3;7.3;1.0;;44.0;;44.0;7.0;;-7.0;;3.0;;3.0;236.0;;-236.0;3.0;;47.0;;2.0;;150.0;45.0;22.0;9.0;-31.0;45.0;;;0.0;0.0;6.0;-1.0;59.0;282.0;-234.0;47.0;;8.0;2.0;;3.0;-42.0;;;;-153.0;-6.0;-1.0;-6.0;-13.0;36.0;10.0;-24.0;;;-1.0;8.0;-0.0;44.0;70.0;;;114.22;7.3;-34.37;1.0;0.9;61.86;1.0;7.6;0.4;1.8;119.0;;2.0;8.0;-7.2;6.4;-153.0;45.0;64.0;18.4;5.2;11.8;86.3;-2.9
2011.0;195.0;;-2.0;;-18.0;-9.0;2.0;18.0;415.0;327.0;329.0;57.0;-6.0;-7.0;-13.0;-26.0;-7.0;;;118.0;;78.0;78.0;;40.0;;;6.0;2.0;-1.19;;;-9.18;-1.0;-4.82;-8.8;-8.8;1.0;;21.0;;21.0;77.0;;-80.0;3.0;11.0;1.0;12.0;;;382.0;397.0;;30.0;;2.0;2.0;296.0;37.0;;8.0;-8.0;37.0;;;0.0;0.0;-5.0;-1.0;63.0;386.0;29.0;415.0;;-9.0;2.0;;7.0;-156.0;;;-3.0;-309.0;150.0;-0.0;-18.0;-3.0;15.0;;-8.0;;-1.0;-2.0;-1.0;0.0;18.0;44.0;;;183.15;-8.83;-6.37;1.99;0.44;53.59;1.0;-3.7;-0.2;6.0;195.0;;2.0;-9.0;6.4;-4.8;-309.0;37.0;57.0;-7.2;-1.2;-16.5;122.5;
2012.0;95.0;32.0;3.0;0.0;-3.0;-1.0;2.0;287.0;341.0;153.0;265.0;57.0;15.0;9.0;-28.0;-4.0;15.0;63.0;33.9;32.0;6.0;31.0;31.0;;-4.0;95.0;;4.0;1.0;3.63;0.31;-3.0;-2.79;-1.0;-1.02;-0.9;-0.9;1.0;;15.0;176.0;191.0;90.0;;7.0;2.0;11.0;0.0;11.0;40.0;;0.0;54.0;;98.0;70.0;3.0;0.0;-15.0;26.0;;7.0;79.0;112.0;;;0.0;0.0;-7.0;-0.0;65.0;322.0;19.0;341.0;;-1.0;1.0;;1.0;442.0;;;-1.0;134.0;-429.0;-0.0;7.0;-0.0;2.0;;-16.0;;;-1.0;-10.0;0.0;15.0;18.0;;;88.74;-0.9;13.56;0.89;0.18;53.09;1.0;-14.2;-1.0;6.9;95.0;0.3;1.0;-1.0;23.2;-1.0;134.0;26.0;57.0;1.0;0.7;-1.7;198.5;
