;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;30.0;10.0;2.0;2.0;2.0;1.0;14.0;14.0;21.0;6.0;7.0;14.0;;;;;;20.0;32.89;9.0;;8.0;8.0;;1.0;29.0;;;1.0;6.91;4.93;0.0;5.26;1.0;3.62;0.01;0.01;14.0;;0.0;;0.0;6.0;8.0;0.0;6.0;;1.0;1.0;;;;6.0;;;3.0;;;3.0;;;1.0;;1.0;;;;;9.0;-3.0;8.0;21.0;;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;29.0;11.0;1.0;2.0;1.0;1.0;15.0;12.0;18.0;3.0;3.0;14.0;;;;;;18.0;36.81;9.0;;8.0;8.0;;1.0;27.0;;;1.0;4.86;7.29;-1.0;2.43;0.0;1.74;0.01;0.01;15.0;;0.0;;0.0;5.0;7.0;0.0;5.0;;1.0;1.0;;;;6.0;;;;;;3.0;;;1.0;;1.0;;;;;9.0;-3.0;9.0;18.0;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;30.0;12.0;4.0;3.0;3.0;2.0;15.0;15.0;20.0;4.0;4.0;16.0;;;;;;18.0;39.6;9.0;;8.0;8.0;;1.0;27.0;;;1.0;12.42;10.4;;10.4;1.0;6.38;0.02;0.02;15.0;;1.0;;1.0;6.0;8.0;0.0;5.0;;0.0;0.0;;;0.0;6.0;;;;;;4.0;;;1.0;;1.0;;;;;11.0;-4.0;9.0;20.0;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;34.0;13.0;5.0;4.0;4.0;3.0;15.0;17.0;22.0;3.0;4.0;19.0;;;;;;20.0;39.58;9.0;;9.0;9.0;;1.0;30.0;;;1.0;14.29;11.9;0.0;12.2;1.0;8.04;0.02;0.02;15.0;;3.0;;3.0;5.0;9.0;0.0;5.0;;0.0;0.0;;;;5.0;;;;;;3.0;;;1.0;-0.0;1.0;;;;;13.0;-4.0;10.0;22.0;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;35.0;13.0;5.0;4.0;4.0;3.0;16.0;19.0;24.0;3.0;3.0;21.0;;;;;;22.0;37.68;10.0;;9.0;9.0;;1.0;32.0;;;1.0;13.03;10.48;0.0;11.05;1.0;7.08;0.02;0.02;16.0;;2.0;;2.0;7.0;9.0;0.0;5.0;;0.0;0.0;;;;6.0;;;;;;3.0;;;1.0;-0.0;0.0;;;;;15.0;-5.0;11.0;24.0;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;44.0;14.0;5.0;4.0;4.0;3.0;16.0;21.0;28.0;4.0;5.0;23.0;;;;;;30.0;32.35;10.0;;9.0;9.0;;1.0;40.0;;;1.0;11.39;9.57;0.0;9.79;2.0;6.15;0.02;0.02;16.0;;1.0;;1.0;9.0;11.0;0.0;6.0;;0.0;0.0;;;;7.0;;;;;;4.0;;;1.0;0.0;1.0;;;;;17.0;-5.0;11.0;28.0;;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;48.0;15.0;5.0;4.0;4.0;3.0;16.0;25.0;34.0;6.0;9.0;25.0;-0.0;-3.0;3.0;3.0;-4.0;33.0;31.12;11.0;;10.0;10.0;;1.0;44.0;;;1.0;10.37;8.51;0.0;8.71;2.0;5.39;0.02;0.02;16.0;;0.0;;0.0;11.0;14.0;0.0;9.0;;0.0;0.0;;;0.0;9.0;;2.0;2.0;;;3.0;2.0;;1.0;;3.0;;;;;19.0;-6.0;12.0;34.0;;34.0;;3.0;1.0;;;-4.0;;-3.0;;17.0;0.0;-3.0;;;1.0;-0.0;;;;-1.0;4.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;54.0;18.0;6.0;6.0;6.0;3.0;16.0;27.0;36.0;8.0;9.0;28.0;6.0;-2.0;-4.0;-4.0;5.0;37.0;32.54;12.0;;11.0;11.0;;1.0;49.0;;;1.0;11.58;10.85;-0.0;10.66;2.0;5.7;0.02;0.02;16.0;;0.0;;0.0;11.0;14.0;1.0;9.0;;0.0;0.0;;;0.0;10.0;;3.0;;;;4.0;;;0.0;1.0;1.0;;;;;21.0;-6.0;12.0;36.0;;36.0;;3.0;1.0;-0.0;;2.0;;;;19.0;1.0;-1.0;;-1.0;;;;;;-1.0;-3.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;75.0;30.0;12.0;11.0;11.0;7.0;16.0;33.0;42.0;7.0;8.0;34.0;4.0;-1.0;-1.0;-1.0;3.0;46.0;39.58;19.0;;18.0;18.0;;1.0;64.0;;;1.0;15.94;14.61;;14.61;4.0;9.03;0.1;0.1;16.0;;4.0;;4.0;9.0;20.0;0.0;9.0;;0.0;0.0;;;;9.0;;2.0;;;;6.0;;;0.0;1.0;1.0;;;;;27.0;-7.0;13.0;42.0;;42.0;;7.0;1.0;-0.0;;1.0;;-6.0;;19.0;-4.0;-1.0;;;;0.0;;0.0;;-1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;103.0;41.0;18.0;17.0;17.0;10.0;18.0;56.0;68.0;18.0;21.0;47.0;3.0;-5.0;1.0;1.0;2.0;61.0;40.31;25.0;;24.0;24.0;;1.0;86.0;;;1.0;17.33;16.26;-0.0;16.16;7.0;9.83;0.15;0.14;18.0;;3.0;;3.0;21.0;28.0;4.0;9.0;;3.0;3.0;;;0.0;13.0;;6.0;;;;11.0;1.0;;1.0;1.0;3.0;;;;;37.0;-9.0;20.0;68.0;;68.0;;10.0;1.0;-2.0;;6.0;;-3.0;;25.0;-12.0;-1.0;;;;-4.0;;0.0;;-1.0;1.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
