;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (PEN/USD)
2009.0;262.0;122.0;93.0;78.0;76.0;51.0;94.0;99.0;485.0;70.0;197.0;289.0;57.0;-26.0;0.0;31.0;31.0;140.0;46.4;43.0;;50.0;44.0;6.0;-7.0;183.0;0.0;6.0;11.0;35.64;29.96;-3.0;28.89;24.0;19.53;0.55;0.55;94.0;;39.0;;39.0;13.0;43.0;5.0;353.0;;;;6.0;7.0;19.0;386.0;;17.0;31.0;5.0;2.0;20.0;79.0;;46.0;2.0;127.0;;;;145.0;106.0;-48.0;85.0;485.0;0.0;485.0;;51.0;11.0;;;-5.0;;1.0;;;0.0;-26.0;;;;0.0;-58.0;;;-12.0;71.0;-0.0;39.0;8.0;;0.35;8.08;1.58;0.96;0.38;0.81;8.9;94.0;;;;757.0;30.0;33.0;148.0;32.3;19.5;86.0;229.0;834.0;13.4;16.9;17.7;76.1;39.4;0.346
2010.0;320.0;149.0;135.0;120.0;117.0;80.0;94.0;129.0;565.0;93.0;211.0;354.0;64.0;-7.0;-41.0;15.0;25.0;171.0;46.66;56.0;;60.0;54.0;6.0;-4.0;227.0;1.0;5.0;13.0;42.14;37.46;-3.0;36.44;37.0;24.86;0.85;0.85;94.0;;55.0;;55.0;13.0;57.0;4.0;393.0;;;;11.0;3.0;30.0;436.0;;19.0;43.0;9.0;1.0;30.0;66.0;;51.0;2.0;119.0;;;;149.0;155.0;-58.0;107.0;565.0;0.0;565.0;;80.0;13.0;;;-6.0;;-10.0;;;-22.0;-39.0;;;;32.0;-58.0;;;-26.0;43.0;-1.0;55.0;40.0;;0.36;9.59;2.38;0.74;0.78;1.18;10.6;94.0;;;;898.0;37.5;36.0;223.0;31.8;24.9;103.0;186.0;993.0;17.6;21.6;22.5;67.5;104.5;0.356
2011.0;369.0;158.0;64.0;44.0;39.0;25.0;94.0;245.0;736.0;115.0;338.0;386.0;49.0;-43.0;71.0;77.0;-40.0;211.0;42.76;82.0;;82.0;73.0;9.0;;293.0;1.0;7.0;18.0;17.38;11.95;-6.0;10.44;14.0;6.8;0.26;0.26;94.0;;135.0;;135.0;29.0;76.0;4.0;444.0;;;;8.0;17.0;22.0;491.0;;48.0;52.0;5.0;;15.0;167.0;;52.0;4.0;223.0;;;;155.0;176.0;34.0;21.0;724.0;12.0;736.0;;25.0;18.0;;;-15.0;;-17.0;;;22.0;-89.0;;;;47.0;-44.0;;;-34.0;149.0;-0.0;135.0;57.0;;0.37;10.62;0.72;-1.16;0.97;2.58;11.11;94.0;;;;995.0;11.9;48.0;68.0;37.0;6.8;351.0;452.0;1041.0;4.8;6.4;6.5;-34.1;-83.4;0.371
2012.0;458.0;179.0;116.0;90.0;90.0;62.0;114.0;334.0;933.0;70.0;191.0;718.0;39.0;-261.0;107.0;-115.0;-67.0;279.0;39.04;88.0;;84.0;72.0;12.0;4.0;367.0;9.0;6.0;19.0;25.34;19.71;-0.0;19.61;29.0;13.59;0.55;0.55;114.0;;185.0;;185.0;27.0;109.0;13.0;565.0;;;;14.0;5.0;15.0;599.0;;31.0;9.0;6.0;1.0;29.0;75.0;;39.0;6.0;121.0;;;;208.0;223.0;41.0;245.0;909.0;24.0;933.0;;62.0;19.0;;2.0;-20.0;;-28.0;;;-24.0;-106.0;;-158.0;;3.0;-152.0;263.0;;-20.0;16.0;0.0;27.0;142.0;;0.39;10.26;1.39;-1.5;0.46;2.37;16.08;114.0;8.1;0.5;4.1;1170.0;19.7;48.0;159.0;32.2;13.6;674.0;193.0;1833.0;7.9;10.7;8.7;67.3;363.8;0.391
2013.0;443.0;187.0;118.0;105.0;84.0;56.0;116.0;507.0;1113.0;56.0;395.0;690.0;69.0;70.0;181.0;324.0;-7.0;256.0;42.22;79.0;;78.0;68.0;11.0;1.0;335.0;10.0;12.0;20.0;26.51;23.63;-21.0;18.93;29.0;12.55;0.48;0.48;116.0;;349.0;;349.0;24.0;120.0;14.0;571.0;;;;13.0;5.0;17.0;606.0;;22.0;;5.0;3.0;31.0;295.0;;37.0;7.0;339.0;;;;190.0;234.0;43.0;224.0;1085.0;28.0;1113.0;;56.0;20.0;;2.0;-35.0;;-21.0;;;26.0;-75.0;;-237.0;381.0;0.0;-84.0;;;-21.0;286.0;5.0;349.0;25.0;;0.36;10.65;1.34;-0.16;0.5;1.81;16.59;116.0;9.6;0.6;3.9;1240.0;23.6;56.0;156.0;35.1;12.6;1262.0;824.0;1931.0;6.2;9.0;8.1;62.7;-310.8;0.357
2014.0;414.0;173.0;121.0;100.0;89.0;64.0;116.0;345.0;1080.0;67.0;390.0;664.0;80.0;-184.0;-38.0;-132.0;-112.0;241.0;41.72;72.0;;68.0;58.0;10.0;4.0;314.0;3.0;9.0;22.0;29.15;24.19;-11.0;21.43;26.0;15.52;0.55;0.55;116.0;;193.0;;193.0;36.0;108.0;7.0;706.0;;;;0.0;6.0;23.0;735.0;;24.0;;5.0;2.0;41.0;294.0;;29.0;0.0;323.0;;;;177.0;232.0;53.0;201.0;1054.0;26.0;1080.0;;64.0;22.0;;2.0;-12.0;;3.0;;;4.0;-192.0;;;6.0;1.0;;;;-39.0;0.0;10.0;193.0;326.0;;0.33;10.68;1.66;-2.88;1.0;4.94;17.12;116.0;5.5;0.3;10.9;1243.0;24.2;65.0;193.0;29.1;15.5;835.0;884.0;1993.0;7.1;9.4;9.7;39.9;-34.6;0.333
2015.0;360.0;156.0;111.0;93.0;87.0;63.0;115.0;184.0;998.0;59.0;400.0;568.0;81.0;-139.0;-75.0;-123.0;-61.0;203.0;43.48;61.0;;58.0;49.0;9.0;3.0;264.0;1.0;3.0;21.0;30.99;25.9;-6.0;24.2;25.0;17.51;0.56;0.55;115.0;;46.0;;46.0;32.0;90.0;16.0;752.0;;;;0.0;6.0;56.0;814.0;;25.0;;3.0;2.0;32.0;296.0;;35.0;10.0;340.0;;;;155.0;213.0;55.0;145.0;967.0;30.0;998.0;;63.0;21.0;;4.0;-1.0;;2.0;;;-7.0;-141.0;;;;2.0;;;-32.0;-47.0;4.0;10.0;46.0;170.0;;0.29;10.72;1.88;-1.81;1.41;4.21;16.93;115.0;3.9;0.2;19.2;1231.0;25.9;71.0;216.0;28.9;17.5;425.0;1012.0;1943.0;7.1;9.4;11.1;24.8;-130.2;0.292
2016.0;369.0;150.0;105.0;81.0;59.0;35.0;109.0;268.0;989.0;54.0;399.0;556.0;72.0;-40.0;-53.0;-23.0;31.0;219.0;40.61;67.0;;63.0;51.0;12.0;4.0;286.0;1.0;14.0;33.0;28.38;22.0;-22.0;15.97;23.0;9.37;0.31;0.31;109.0;;24.0;;24.0;24.0;103.0;117.0;690.0;;;;0.0;2.0;29.0;721.0;;19.0;;6.0;0.0;34.0;297.0;;42.0;7.0;346.0;;;;158.0;202.0;51.0;145.0;956.0;34.0;989.0;;35.0;33.0;;5.0;-18.0;;-15.0;;;17.0;-41.0;;;;0.0;;;;-46.0;-7.0;0.0;24.0;47.0;;0.3;11.38;1.07;0.96;1.42;1.26;17.14;109.0;8.0;0.4;16.6;1240.0;22.0;111.0;116.0;39.7;9.4;720.0;998.0;1867.0;4.8;7.5;6.2;-32.9;147.6;0.298
2017.0;378.0;152.0;96.0;61.0;40.0;29.0;89.0;171.0;869.0;63.0;404.0;465.0;77.0;-22.0;-57.0;-10.0;53.0;226.0;40.2;71.0;;67.0;52.0;14.0;4.0;297.0;1.0;14.0;38.0;25.37;16.2;-22.0;10.48;15.0;7.65;0.32;0.32;89.0;;15.0;;15.0;31.0;115.0;10.0;686.0;;;;7.0;0.0;5.0;698.0;;24.0;;4.0;1.0;38.0;298.0;;34.0;9.0;340.0;;;;131.0;189.0;36.0;109.0;869.0;0.0;869.0;;29.0;38.0;;4.0;-14.0;;-10.0;;;20.0;-24.0;;;0.0;2.0;;;-11.0;-39.0;-8.0;-0.0;15.0;25.0;;0.31;13.74;1.05;1.94;1.4;0.87;16.89;89.0;10.8;0.5;12.3;1226.0;16.2;124.0;94.0;36.6;7.7;348.0;965.0;1507.0;4.5;6.6;6.2;-33.3;92.2;0.309
2018.0;375.0;138.0;88.0;72.0;34.0;23.0;86.0;183.0;850.0;77.0;419.0;431.0;60.0;-29.0;-31.0;-0.0;27.0;236.0;36.92;65.0;;57.0;44.0;13.0;7.0;301.0;1.0;14.0;39.0;23.46;19.15;-37.0;9.2;12.0;6.08;0.27;0.27;86.0;;15.0;;15.0;29.0;126.0;13.0;639.0;2.0;12.0;14.0;8.0;1.0;5.0;667.0;;21.0;18.0;3.0;0.0;38.0;303.0;;37.0;2.0;342.0;;;;126.0;154.0;46.0;104.0;850.0;;850.0;;23.0;39.0;;3.0;-21.0;;-18.0;;;17.0;-33.0;;;;4.0;-175.0;;;-51.0;194.0;0.0;15.0;15.0;;0.3;14.74;0.9;1.08;2.01;1.3;16.95;86.0;12.8;0.5;17.5;1262.0;19.2;130.0;77.0;35.3;6.1;357.0;1023.0;1451.0;4.1;5.8;5.3;-124.0;186.0;0.297
2019.0;420.0;147.0;117.0;82.0;59.0;40.0;86.0;226.0;884.0;106.0;456.0;429.0;62.0;-24.0;-32.0;6.0;37.0;273.0;34.96;62.0;;58.0;44.0;13.0;5.0;335.0;1.0;19.0;39.0;27.73;19.42;-23.0;13.96;19.0;9.48;0.47;0.47;86.0;;21.0;;21.0;36.0;157.0;12.0;636.0;1.0;12.0;13.0;5.0;2.0;2.0;659.0;;26.0;30.0;4.0;4.0;47.0;303.0;;44.0;3.0;349.0;;0.0;;128.0;150.0;45.0;106.0;884.0;;884.0;;40.0;39.0;;2.0;-39.0;;-29.0;;;20.0;-25.0;;;;-1.0;-184.0;;;-36.0;189.0;0.0;21.0;15.0;;0.3;16.27;1.54;1.43;1.41;0.97;16.6;86.0;6.0;0.2;15.2;1393.0;19.4;130.0;132.0;32.1;9.5;396.0;1003.0;1422.0;6.8;8.7;9.3;8.6;98.8;0.302
