;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;14.0;10.0;7.0;0.0;-0.0;-0.0;0.0;16.0;74.0;14.0;30.0;43.0;5.0;-6.0;4.0;4.0;-5.0;4.0;74.1;10.0;;4.0;4.0;;6.0;14.0;;1.0;6.0;48.2;1.44;-1.0;-2.16;-0.0;-0.72;-0.3;-0.3;0.0;;7.0;;7.0;9.0;;;51.0;;;;;;7.0;58.0;;10.0;4.0;;;;15.0;;;1.0;16.0;;;;;0.0;-247.0;290.0;74.0;;74.0;;-0.0;6.0;-0.0;;-1.0;;;;2.0;-0.0;-10.0;;;;4.0;;;;-1.0;5.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;23.0;17.0;14.0;2.0;;1.0;1.0;13.0;84.0;8.0;9.0;75.0;10.0;-24.0;12.0;12.0;-15.0;7.0;71.98;15.0;;4.0;4.0;;11.0;21.0;;2.0;11.0;58.62;9.05;1.0;;;4.74;1.4;1.4;1.0;;4.0;;4.0;8.0;;0.0;65.0;;;;;;6.0;71.0;;8.0;;;;;0.0;;;1.0;1.0;;;;;1.0;-257.0;331.0;84.0;;84.0;;1.0;11.0;;;3.0;;;;5.0;-5.0;-24.0;;;;0.0;;31.0;;-0.0;-19.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;26.0;19.0;16.0;5.0;6.0;6.0;1.0;21.0;119.0;16.0;41.0;78.0;14.0;-33.0;22.0;22.0;-20.0;7.0;71.71;14.0;;4.0;4.0;;10.0;21.0;;0.0;10.0;62.4;18.6;1.0;21.71;0.0;21.32;4.5;4.3;1.0;;8.0;;8.0;13.0;;0.0;91.0;;;;;;7.0;98.0;;8.0;;;;8.0;25.0;;;-0.0;25.0;;;;;4.0;-267.0;341.0;119.0;;119.0;;6.0;10.0;0.0;;0.0;;;;5.0;-2.0;-34.0;;;;2.0;;0.0;-3.0;;24.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;42.0;35.0;30.0;13.0;13.0;8.0;1.0;29.0;190.0;16.0;77.0;114.0;27.0;-85.0;66.0;66.0;-62.0;7.0;82.9;22.0;;4.0;4.0;;17.0;29.0;;;17.0;71.26;31.12;-1.0;29.93;4.0;19.95;9.1;8.8;1.0;;16.0;;16.0;12.0;;1.0;159.0;;;;;;3.0;162.0;;12.0;;;;3.0;60.0;;;1.0;61.0;;;;;9.0;-248.0;352.0;190.0;;190.0;;8.0;17.0;4.0;;8.0;;;;13.0;-11.0;-90.0;;;;4.0;;29.0;-0.0;-3.0;40.0;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;36.0;29.0;-24.0;-46.0;-46.0;-31.0;1.0;14.0;182.0;13.0;97.0;85.0;30.0;-54.0;15.0;15.0;-34.0;7.0;81.18;26.0;;5.0;5.0;;20.0;32.0;;2.0;20.0;-66.29;-129.49;0.0;-128.93;-15.0;-86.52;-41.7;-41.7;1.0;;6.0;;6.0;6.0;;2.0;150.0;;;;;;18.0;168.0;;11.0;;;;2.0;78.0;;;6.0;84.0;;;;;-24.0;-345.0;454.0;182.0;;182.0;;-31.0;20.0;-15.0;;-12.0;;;;1.0;67.0;-64.0;;;;10.0;;0.0;-1.0;-3.0;19.0;;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;37.0;28.0;19.0;8.0;4.0;3.0;1.0;41.0;260.0;21.0;136.0;124.0;21.0;-52.0;59.0;28.0;-31.0;9.0;75.74;20.0;;5.0;5.0;;15.0;29.0;;;15.0;51.75;22.37;-4.0;10.78;1.0;7.01;0.1;0.1;1.0;;35.0;;35.0;5.0;;1.0;202.0;;;;;;17.0;219.0;;17.0;;;;4.0;100.0;;;15.0;115.0;;;;0.0;-24.0;-362.0;510.0;260.0;;260.0;;3.0;15.0;1.0;;19.0;;;;21.0;-17.0;-52.0;;;;;;41.0;-0.0;-2.0;20.0;;35.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;58.0;49.0;45.0;27.0;19.0;13.0;1.0;22.0;302.0;21.0;165.0;136.0;29.0;-82.0;30.0;-23.0;-53.0;9.0;84.69;22.0;;4.0;4.0;;18.0;31.0;;8.0;18.0;77.53;47.23;-8.0;32.73;6.0;21.6;8.2;8.0;1.0;;12.0;;12.0;9.0;;1.0;266.0;;;;;;13.0;279.0;;18.0;;;;4.0;134.0;;;10.0;144.0;;;;0.0;-14.0;-379.0;529.0;302.0;;302.0;;13.0;18.0;6.0;;-19.0;;;;1.0;12.0;-82.0;;;;;;0.0;;-2.0;32.0;;12.0;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;62.0;51.0;35.0;3.0;3.0;2.0;1.0;13.0;372.0;60.0;225.0;147.0;35.0;-113.0;72.0;-5.0;-79.0;11.0;81.78;39.0;;5.0;5.0;;34.0;50.0;;13.0;19.0;56.62;4.52;;4.52;1.0;2.94;0.4;0.4;1.0;;7.0;;7.0;6.0;;0.0;351.0;;;;;4.0;4.0;359.0;;10.0;37.0;;;12.0;162.0;;;4.0;165.0;;;;0.0;-13.0;-399.0;560.0;372.0;;372.0;;2.0;19.0;1.0;;-48.0;;;;-47.0;61.0;-114.0;;;;1.0;;;;-1.0;74.0;;7.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;67.0;56.0;54.0;-3.0;-3.0;-2.0;1.0;17.0;411.0;17.0;270.0;141.0;12.0;-55.0;42.0;-1.0;-54.0;11.0;83.56;58.0;;5.0;5.0;;53.0;69.0;;26.0;31.0;81.15;-3.83;;-3.83;-1.0;-2.49;-2.2;-2.2;1.0;;6.0;;6.0;11.0;;1.0;380.0;;;;;9.0;4.0;393.0;;12.0;1.0;;1.0;2.0;248.0;;;5.0;253.0;;;0.0;0.0;-16.0;-1.0;158.0;411.0;;411.0;;-2.0;31.0;-1.0;;47.0;;;;1.0;-63.0;-66.0;;;;11.0;;;;-1.0;43.0;;6.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;74.0;62.0;57.0;26.0;-10.0;-18.0;1.0;86.0;496.0;121.0;363.0;133.0;35.0;-23.0;-8.0;3.0;-16.0;11.0;84.67;27.0;;5.0;5.0;;23.0;39.0;;31.0;36.0;77.19;35.29;-36.0;-13.21;8.0;-24.41;-14.1;-14.1;1.0;;9.0;;9.0;10.0;;67.0;392.0;;;;;;19.0;410.0;;16.0;93.0;;;11.0;215.0;;;27.0;242.0;;;0.0;0.0;-36.0;-0.0;169.0;496.0;;496.0;;-18.0;36.0;8.0;;-35.0;;;;-35.0;44.0;-51.0;;;;27.0;;;;-1.0;-7.0;;9.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;120.0;97.0;85.0;37.0;14.0;22.0;2.0;28.0;458.0;41.0;259.0;198.0;71.0;-64.0;-12.0;-5.0;6.0;22.0;81.38;62.0;;9.0;9.0;;53.0;84.0;;20.0;50.0;70.98;30.48;-23.0;11.46;-7.0;17.95;12.8;12.2;2.0;;3.0;;3.0;15.0;;10.0;407.0;;;;;3.0;20.0;429.0;;16.0;1.0;;;25.0;192.0;;;26.0;218.0;;;0.0;0.0;-15.0;-7.0;221.0;458.0;;458.0;;22.0;50.0;-7.0;;22.0;;;;-13.0;-16.0;-65.0;;;;0.0;;44.0;;-1.0;-55.0;;3.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;141.0;117.0;104.0;54.0;39.0;27.0;2.0;70.0;534.0;63.0;306.0;228.0;74.0;-73.0;-2.0;-1.0;1.0;24.0;82.75;64.0;;8.0;8.0;;56.0;88.0;;17.0;48.0;73.87;38.44;-16.0;27.35;13.0;18.95;14.3;12.8;2.0;;3.0;;3.0;33.0;;34.0;449.0;;;;13.0;;2.0;464.0;;39.0;0.0;;;24.0;189.0;;32.0;22.0;243.0;;;;0.0;11.0;-4.0;220.0;534.0;;534.0;;27.0;48.0;13.0;;19.0;;;;6.0;-33.0;-73.0;;;;0.0;;0.0;-1.0;-0.0;-1.0;;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
