;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;46.0;;3.0;;;3.0;4.0;;;;;;;;;;;;;;;;;;;;;;;6.32;;;;;6.32;0.81;0.81;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;50.0;;3.0;;;3.0;4.0;;;;;;;;;;;;;;;;;;;;;;;5.03;;;;;5.03;0.71;0.71;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;56.0;;3.0;;;3.0;4.0;;;;;;;;;;;;;;;;;;;;;;;5.91;;;;;5.91;0.94;0.94;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;59.0;;3.0;;;3.0;4.0;;;;;;;;;;;;;;;;;;;;;;;4.78;;;;;4.78;0.71;0.71;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;80.0;;4.0;;;4.0;5.0;;;;;;;;;;;;;;;;;;;;;;;4.49;;;;;4.49;0.73;0.73;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;87.0;;3.0;;;3.0;5.0;;;;;;;;;;;;;;;;;;;;;;;3.58;;;;;3.58;0.61;0.61;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;70.0;;3.0;;;3.0;5.0;;;;;;;;;;;;;;;;;;;;;;;3.58;;;;;3.58;0.49;0.49;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;76.0;;4.0;;;4.0;5.0;;;;;;;;;;;;;;;;;;;;;;;4.74;;;;;4.74;0.68;0.68;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;86.0;;4.0;;;4.0;5.0;;;;;;;;;;;;;;;;;;;;;;;4.66;;;;;4.66;0.75;0.73;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;99.0;40.0;10.0;10.0;7.0;5.0;6.0;18.0;108.0;21.0;71.0;37.0;14.0;-10.0;-5.0;-1.0;4.0;59.0;40.16;30.0;;;;;30.0;89.0;0.0;3.0;;9.94;9.94;-3.0;7.1;3.0;4.56;0.82;0.82;5.0;;0.0;;0.0;9.0;2.0;6.0;75.0;;;2.0;;;14.0;91.0;;7.0;9.0;;;4.0;24.0;;10.0;;34.0;84.0;;;2.0;20.0;-35.0;51.0;108.0;;108.0;;5.0;;-1.0;;3.0;;;;-3.0;8.0;-11.0;;;;0.0;;0.0;;-3.0;-2.0;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;104.0;46.0;14.0;14.0;11.0;7.0;6.0;21.0;119.0;23.0;77.0;42.0;13.0;-12.0;-1.0;1.0;1.0;59.0;43.75;32.0;;;;;32.0;91.0;0.0;3.0;;13.37;12.98;-2.0;10.77;4.0;6.92;1.3;1.26;6.0;;1.0;;1.0;13.0;2.0;5.0;82.0;;;;;;16.0;98.0;;11.0;6.0;;;6.0;30.0;;10.0;14.0;54.0;;;;2.0;23.0;-34.0;51.0;119.0;;119.0;;7.0;;0.0;;2.0;;;;-2.0;4.0;-12.0;;;;;;0.0;;-3.0;2.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;119.0;47.0;14.0;13.0;11.0;7.0;6.0;26.0;131.0;31.0;84.0;47.0;11.0;-14.0;4.0;1.0;-3.0;73.0;39.23;34.0;;;;;34.0;106.0;0.0;3.0;;11.32;11.06;-2.0;9.05;4.0;5.78;1.21;1.17;6.0;;2.0;;2.0;13.0;3.0;7.0;91.0;;;;;;15.0;106.0;;13.0;13.0;;;5.0;29.0;;11.0;13.0;53.0;;;;2.0;27.0;-37.0;56.0;131.0;;131.0;;7.0;;2.0;;-4.0;;;;-6.0;7.0;-14.0;;-0.0;;;;0.0;;-3.0;6.0;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
