;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;;;-2.0;;0.0;0.0;3.0;;18.0;;4.0;14.0;0.0;0.0;-1.0;-0.0;0.0;;;3.0;;1.0;;;2.0;3.0;;;0.0;-inf;;3.0;inf;0.0;inf;0.06;0.06;3.0;;1.0;;1.0;0.0;;;10.0;;;;;;;;18.0;0.0;;;;;2.0;;2.0;;4.0;8.0;;;1.0;2.0;;11.0;18.0;;18.0;;0.0;0.0;-0.0;;-0.0;;;;;0.0;-0.0;;;1.0;;;;;-0.0;-1.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;3.0;;1.0;0.0;0.0;0.0;3.0;;15.0;;2.0;13.0;0.0;2.0;-2.0;0.0;0.0;;;3.0;;1.0;1.0;;2.0;3.0;1.0;;0.0;17.38;1.23;0.0;5.33;0.0;2.58;0.03;0.03;3.0;;1.0;;1.0;0.0;;;9.0;;;;;;;;15.0;0.0;;;;;;;1.0;;;2.0;;;1.0;2.0;;11.0;15.0;;15.0;;0.0;0.0;-0.0;;;;;;;-0.0;-0.0;;;;2.0;;;;-0.0;-2.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;3.0;;1.0;1.0;1.0;0.0;3.0;;15.0;;2.0;13.0;1.0;0.0;-1.0;0.0;1.0;;;2.0;;1.0;1.0;;2.0;2.0;0.0;;0.0;32.9;19.94;;19.94;0.0;11.89;0.11;0.11;3.0;;1.0;0.0;1.0;0.0;;;9.0;;;;;;;;15.0;1.0;;;;;;;1.0;;;2.0;;;1.0;1.0;;11.0;15.0;;15.0;;0.0;0.0;-0.0;;;;;;;-0.0;-0.0;;;;0.0;;;;-1.0;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;2.0;1.0;1.0;-0.0;0.0;0.0;3.0;6.0;15.0;1.0;2.0;13.0;-0.0;0.0;-0.0;;-0.0;1.0;40.91;1.0;;1.0;1.0;;0.0;3.0;;;0.0;27.27;-18.18;1.0;9.09;0.0;4.55;0.02;0.02;3.0;;1.0;;1.0;5.0;;1.0;9.0;;;;;;;9.0;;;;;;1.0;;;1.0;;1.0;;;;;1.0;-5.0;17.0;15.0;;15.0;;0.0;0.0;-0.0;;6.0;;;;6.0;-6.0;;;;0.0;0.0;;;;-0.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;3.0;1.0;;-1.0;-0.0;-0.0;3.0;6.0;14.0;1.0;2.0;12.0;0.0;4.0;-0.0;;0.0;2.0;32.0;1.0;;1.0;1.0;;0.0;3.0;;;0.0;;-20.0;0.0;-12.0;-0.0;-8.0;-0.07;-0.07;3.0;;5.0;;5.0;0.0;;1.0;9.0;;;;;;;9.0;;;;;;1.0;;;1.0;;1.0;;;;;1.0;-5.0;17.0;14.0;;14.0;;-0.0;0.0;-0.0;;-0.0;;;;5.0;1.0;-0.0;;;;4.0;;;;-0.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;3.0;1.0;7.0;0.0;7.0;4.0;3.0;10.0;21.0;1.0;5.0;16.0;1.0;4.0;-0.0;5.0;-1.0;2.0;41.18;1.0;;1.0;1.0;;0.0;3.0;;;0.0;197.06;11.76;6.0;194.12;3.0;114.71;1.29;1.29;3.0;;9.0;;9.0;0.0;;1.0;11.0;;;;;;-0.0;11.0;;;;;;1.0;;;4.0;0.0;4.0;;;;3.0;4.0;-5.0;14.0;21.0;;21.0;;4.0;0.0;1.0;;4.0;;;;9.0;-8.0;-2.0;;;;6.0;;;;-0.0;;;9.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;4.0;1.0;1.0;0.0;0.0;0.0;3.0;3.0;19.0;2.0;5.0;14.0;-1.0;-4.0;-2.0;-8.0;-6.0;3.0;24.66;1.0;;1.0;1.0;;;4.0;;0.0;0.0;15.29;0.72;0.0;6.89;0.0;4.79;0.06;0.06;3.0;;2.0;;2.0;1.0;;1.0;16.0;;;;;;;16.0;;2.0;;;;;;;2.0;0.0;2.0;;;;3.0;2.0;-5.0;14.0;19.0;;19.0;;0.0;0.0;0.0;;-8.0;;;;1.0;6.0;-4.0;;;;0.0;;;;-2.0;;;2.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;4.0;0.0;-0.0;-1.0;-1.0;-1.0;3.0;3.0;18.0;2.0;4.0;13.0;1.0;-1.0;-0.0;-0.0;-1.0;4.0;1.1;1.0;;1.0;1.0;;;5.0;0.0;;0.0;-5.97;-23.24;0.0;-15.22;-0.0;-12.48;-0.17;-0.17;3.0;;1.0;;1.0;1.0;;1.0;15.0;;;;;;;15.0;;2.0;;;;;;;3.0;;3.0;;;;0.0;1.0;-6.0;17.0;18.0;;18.0;;-1.0;0.0;0.0;;0.0;;;;1.0;0.0;-2.0;;;;1.0;;;;-0.0;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;5.0;-0.0;-1.0;-1.0;-1.0;-1.0;3.0;3.0;18.0;2.0;5.0;13.0;1.0;-0.0;-0.0;0.0;1.0;5.0;-1.12;1.0;;1.0;1.0;;;6.0;0.0;;0.0;-11.41;-22.65;0.0;-20.43;-0.0;-14.52;-0.2;-0.2;3.0;;2.0;;2.0;0.0;;1.0;15.0;;;;;;;15.0;;2.0;;;;;;;4.0;;4.0;;;;0.0;1.0;-6.0;18.0;18.0;;18.0;;-1.0;0.0;1.0;;-0.0;;;;1.0;1.0;-0.0;;;;;;;-0.0;;;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;7.0;3.0;2.0;1.0;1.0;1.0;3.0;4.0;18.0;1.0;5.0;13.0;1.0;-0.0;-0.0;1.0;1.0;4.0;36.84;1.0;;1.0;1.0;;;5.0;0.0;;0.0;27.1;21.02;0.0;21.13;1.0;12.79;0.27;0.27;3.0;;3.0;;3.0;0.0;;1.0;15.0;;;;;;;15.0;;1.0;;;;;;;4.0;;4.0;;;;0.0;1.0;-6.0;18.0;18.0;;18.0;;1.0;0.0;0.0;;1.0;;;;2.0;-1.0;-0.0;;;;;;;-0.0;;;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;5.0;2.0;3.0;1.0;3.0;2.0;3.0;3.0;20.0;1.0;6.0;14.0;1.0;-0.0;-1.0;-1.0;-1.0;3.0;35.59;1.0;;1.0;1.0;;;5.0;0.0;;0.0;55.4;16.3;2.0;47.78;1.0;29.01;0.47;0.47;3.0;;2.0;;2.0;0.0;;1.0;17.0;;;;;;;17.0;;1.0;;;;0.0;;;5.0;;5.0;;;;0.0;2.0;-7.0;19.0;20.0;;20.0;;2.0;0.0;1.0;;-0.0;;;;2.0;-2.0;-2.0;;;;2.0;;;;-1.0;;;2.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;5.0;3.0;3.0;2.0;3.0;2.0;3.0;5.0;21.0;6.0;6.0;15.0;2.0;1.0;-0.0;2.0;0.0;2.0;52.21;1.0;;1.0;1.0;;;4.0;0.0;;0.0;61.15;28.88;1.0;52.88;1.0;31.91;0.5;0.5;3.0;;4.0;;4.0;;;0.0;17.0;;;;;;;17.0;;1.0;;;0.0;5.0;;;;;;;;;0.0;3.0;-6.0;18.0;21.0;;21.0;;2.0;0.0;0.0;;-3.0;;;;-2.0;4.0;-2.0;;;;3.0;;;;-0.0;;;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
