;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;193.0;71.0;48.0;35.0;36.0;23.0;10.0;97.0;234.0;62.0;66.0;169.0;37.0;-23.0;-8.0;7.0;25.0;123.0;36.6;35.0;;34.0;34.0;;1.0;158.0;;;11.0;25.04;18.27;1.0;18.54;14.0;12.09;2.27;2.27;10.0;;25.0;;25.0;33.0;31.0;8.0;83.0;;;18.0;;6.0;31.0;137.0;;12.0;0.0;;;51.0;0.0;;1.0;2.0;3.0;;;;0.0;156.0;;12.0;234.0;;234.0;;23.0;11.0;-3.0;;7.0;;-1.0;;35.0;-1.0;-12.0;-12.0;;;-11.0;-1.0;;;;-7.0;1.0;25.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;219.0;98.0;48.0;43.0;33.0;17.0;10.0;90.0;363.0;70.0;473.0;-110.0;38.0;-34.0;-12.0;-10.0;25.0;121.0;44.86;55.0;;40.0;40.0;;16.0;176.0;;;16.0;22.04;19.59;-10.0;14.91;16.0;7.81;1.66;1.66;10.0;;15.0;;15.0;36.0;31.0;8.0;85.0;;37.0;37.0;;;151.0;273.0;;9.0;4.0;;;57.0;383.0;;5.0;16.0;403.0;;;;0.0;-307.0;-108.0;306.0;363.0;;363.0;;17.0;16.0;9.0;;-14.0;;0.0;;20.0;11.0;-13.0;-23.0;;;2.0;;103.0;;;-114.0;-2.0;15.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;307.0;120.0;-24.0;65.0;26.0;-11.0;32.0;120.0;411.0;64.0;294.0;117.0;34.0;-15.0;1.0;18.0;18.0;187.0;39.11;55.0;;51.0;51.0;;4.0;242.0;;-39.0;19.0;-7.8;21.22;-39.0;8.51;8.0;-3.65;-0.4;-0.4;28.0;;33.0;;33.0;46.0;34.0;7.0;117.0;42.0;;42.0;2.0;;130.0;291.0;;11.0;;;;54.0;203.0;;;27.0;229.0;;;;0.0;-319.0;-31.0;466.0;411.0;;411.0;;-11.0;19.0;-1.0;;35.0;;-2.0;;55.0;-8.0;-16.0;-6.0;;;7.0;;236.0;;;-235.0;-2.0;33.0;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;466.0;167.0;114.0;90.0;70.0;35.0;44.0;210.0;571.0;99.0;282.0;290.0;71.0;-92.0;47.0;25.0;35.0;298.0;35.91;77.0;;68.0;68.0;;9.0;375.0;;23.0;29.0;24.46;19.39;-21.0;14.93;27.0;7.6;0.86;0.8;41.0;;58.0;;58.0;99.0;39.0;14.0;156.0;52.0;38.0;90.0;3.0;;112.0;361.0;;14.0;;;22.0;62.0;156.0;;;28.0;183.0;;;;0.0;-283.0;-33.0;605.0;571.0;;571.0;;35.0;29.0;17.0;;56.0;;-4.0;;112.0;-66.0;-37.0;-55.0;;;;;117.0;;-1.0;-69.0;-1.0;58.0;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;555.0;209.0;131.0;122.0;114.0;50.0;47.0;278.0;701.0;116.0;344.0;357.0;134.0;-79.0;5.0;64.0;96.0;346.0;37.68;87.0;;82.0;82.0;;5.0;432.0;;11.0;26.0;23.55;22.05;-8.0;20.63;44.0;9.03;1.12;1.06;45.0;;123.0;;123.0;94.0;44.0;18.0;188.0;97.0;34.0;131.0;;;105.0;423.0;;13.0;;;27.0;76.0;190.0;;;38.0;228.0;;0.0;;1.0;-233.0;-12.0;602.0;701.0;-0.0;701.0;;50.0;26.0;11.0;;50.0;;-2.0;;162.0;-4.0;-38.0;-42.0;;;1.0;;5.0;;-1.0;1.0;4.0;123.0;58.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;614.0;234.0;171.0;139.0;133.0;80.0;49.0;371.0;800.0;114.0;335.0;465.0;124.0;-63.0;-9.0;60.0;91.0;380.0;38.06;95.0;;90.0;90.0;;6.0;475.0;;8.0;31.0;27.84;22.58;-6.0;21.61;51.0;13.07;1.76;1.64;46.0;;182.0;13.0;196.0;112.0;52.0;12.0;204.0;105.0;30.0;136.0;7.0;4.0;78.0;429.0;;19.0;;;31.0;64.0;186.0;;;35.0;221.0;;;;1.0;-153.0;7.0;610.0;800.0;0.0;800.0;;80.0;31.0;9.0;;95.0;;-6.0;;257.0;-91.0;-33.0;-11.0;-22.0;1.0;1.0;;4.0;;-2.0;-11.0;8.0;182.0;123.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;767.0;299.0;211.0;160.0;153.0;90.0;53.0;510.0;2627.0;349.0;1154.0;1473.0;185.0;-600.0;437.0;25.0;139.0;468.0;38.92;138.0;;121.0;121.0;;17.0;607.0;;12.0;48.0;27.51;20.91;-8.0;19.89;61.0;11.71;1.81;1.68;50.0;;208.0;0.0;208.0;202.0;62.0;39.0;357.0;1423.0;256.0;1679.0;4.0;93.0;-17.0;2117.0;;29.0;81.0;;117.0;122.0;606.0;;;199.0;805.0;;;;1.0;-63.0;16.0;1519.0;2627.0;-0.0;2627.0;;90.0;48.0;9.0;;-95.0;;-6.0;;161.0;133.0;-45.0;-572.0;-17.0;33.0;1.0;;27.0;;-2.0;413.0;3.0;208.0;182.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1122.0;429.0;263.0;181.0;160.0;142.0;72.0;419.0;2538.0;311.0;701.0;1827.0;237.0;-114.0;-198.0;-93.0;141.0;693.0;38.2;248.0;;190.0;190.0;;58.0;941.0;;;105.0;23.45;16.13;-21.0;14.29;17.0;12.65;2.04;1.96;70.0;;115.0;2.0;116.0;203.0;65.0;34.0;399.0;;1617.0;1617.0;;68.0;35.0;2119.0;;30.0;36.0;;116.0;128.0;260.0;;;130.0;390.0;;;;1.0;79.0;-12.0;1760.0;2528.0;10.0;2538.0;;142.0;105.0;-37.0;;-53.0;;-6.0;;108.0;81.0;-96.0;-3.0;-16.0;0.0;0.0;;27.0;-18.0;-1.0;-205.0;-18.0;115.0;208.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1058.0;407.0;98.0;188.0;177.0;-56.0;70.0;501.0;2558.0;259.0;962.0;1595.0;164.0;-108.0;5.0;61.0;-17.0;652.0;38.42;218.0;;181.0;181.0;;38.0;870.0;;19.0;85.0;9.31;17.78;-12.0;16.69;50.0;-5.27;-0.81;-0.81;69.0;;175.0;8.0;183.0;203.0;72.0;43.0;535.0;1119.0;160.0;1280.0;104.0;56.0;82.0;2056.0;;28.0;25.0;;93.0;113.0;547.0;;;156.0;703.0;;;;1.0;23.0;21.0;1550.0;2558.0;-0.0;2558.0;;-56.0;85.0;4.0;;134.0;;-6.0;;242.0;-3.0;-182.0;-31.0;-208.0;123.0;190.0;;88.0;-250.0;;167.0;-1.0;175.0;115.0;;;15.37;-0.81;-0.25;;2.64;23.16;69.0;-53.0;-2.9;;1058.0;17.8;85.0;-56.0;28.2;-5.3;242.0;547.0;1595.0;0.4;0.5;-3.5;100.0;
2007.0;1231.0;478.0;321.0;227.0;217.0;154.0;69.0;608.0;2806.0;303.0;945.0;1860.0;284.0;-201.0;-46.0;50.0;57.0;752.0;38.86;251.0;;218.0;218.0;;34.0;1003.0;;18.0;89.0;26.06;18.46;-10.0;17.67;59.0;12.55;2.31;2.25;67.0;;225.0;15.0;240.0;214.0;88.0;66.0;749.0;1121.0;149.0;1269.0;49.0;71.0;60.0;2198.0;;37.0;25.0;;102.0;139.0;485.0;;;158.0;643.0;;;;1.0;178.0;86.0;1597.0;2806.0;-0.0;2806.0;;154.0;89.0;-10.0;;64.0;;-13.0;;305.0;-13.0;-227.0;-12.0;-299.0;335.0;3.0;;54.0;-42.0;;-59.0;13.0;225.0;175.0;;;18.41;2.31;0.86;;3.4;27.83;67.0;22.6;1.3;;1231.0;18.5;89.0;154.0;27.3;12.5;305.0;485.0;1860.0;6.7;8.3;8.3;100.0;-21.6
2008.0;1344.0;511.0;-355.0;-450.0;-461.0;-522.0;67.0;618.0;2160.0;301.0;961.0;1199.0;280.0;-227.0;-17.0;18.0;83.0;833.0;38.01;961.0;;230.0;230.0;;730.0;1793.0;9.0;14.0;91.0;-26.4;-33.48;-11.0;-34.31;62.0;-38.84;-7.76;-7.76;67.0;;244.0;;244.0;210.0;97.0;67.0;829.0;458.0;136.0;594.0;19.0;48.0;53.0;1542.0;;41.0;35.0;;87.0;138.0;541.0;;;119.0;660.0;;;;1.0;-344.0;3.0;1539.0;2160.0;-0.0;2160.0;;-522.0;91.0;13.0;24.0;12.0;-9.0;-10.0;8.0;317.0;662.0;-197.0;-69.0;-6.0;45.0;-197.0;-37.0;;-115.0;;134.0;-17.0;244.0;225.0;;;19.97;-7.76;1.23;;2.93;17.82;67.0;-7.0;-0.3;;1344.0;-33.5;91.0;-522.0;-13.4;-38.8;317.0;541.0;1199.0;-27.2;-20.6;-43.5;100.0;
