;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2002.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;17.0;;0.0;;0.0;0.0;;;;;;0.0;33.33;0.0;;0.0;0.0;;;0.0;;;;-1854.17;-1854.17;;-1854.17;;-1854.17;-0.03;-0.03;17.0;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.0;;;;;;0.0;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;83.0;1.0;1.0;1.0;3.0;-2.0;-0.0;-0.0;1.0;0.0;-1.0;1.0;23.52;1.0;;1.0;1.0;;;2.0;;;0.0;-96.57;-102.75;-0.0;-103.0;;-103.0;-0.01;-0.01;83.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;0.0;0.0;;0.0;;;;0.0;;;;2.0;2.0;;;;0.0;-2.0;-0.0;0.0;1.0;;1.0;;-1.0;0.0;;;0.0;;-0.0;;-2.0;0.0;-0.0;;;;;;1.0;-0.0;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;14.0;6.0;-1.0;-2.0;-2.0;-1.0;49.0;7.0;16.0;9.0;20.0;-4.0;1.0;-7.0;7.0;1.0;-1.0;7.0;47.03;8.0;;8.0;8.0;;;15.0;;;1.0;-6.93;-11.62;-0.0;-12.11;-0.0;-11.05;-0.04;-0.04;49.0;;1.0;;1.0;3.0;2.0;0.0;4.0;;5.0;5.0;;;;9.0;;3.0;1.0;;;5.0;1.0;;2.0;8.0;11.0;;;;2.0;-4.0;-2.0;;16.0;;16.0;;-1.0;1.0;-0.0;;12.0;;-1.0;;10.0;-10.0;-2.0;-5.0;;;;;6.0;-0.0;;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;109.0;61.0;30.0;27.0;26.0;17.0;67.0;56.0;78.0;46.0;59.0;19.0;11.0;-12.0;6.0;4.0;-1.0;48.0;56.0;34.0;;34.0;34.0;;;82.0;;;3.0;27.28;24.77;-1.0;24.21;9.0;15.63;0.26;0.26;51.0;;5.0;;5.0;18.0;28.0;5.0;15.0;;6.0;6.0;;1.0;0.0;22.0;;21.0;9.0;;;17.0;3.0;;2.0;8.0;13.0;;;;0.0;17.0;-12.0;14.0;78.0;;78.0;;17.0;3.0;-3.0;;140.0;;-26.0;;150.0;-146.0;-12.0;-1.0;;;;;;-0.0;;6.0;-0.0;5.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;355.0;201.0;105.0;95.0;97.0;64.0;80.0;238.0;299.0;88.0;91.0;208.0;12.0;-70.0;95.0;38.0;-17.0;154.0;56.54;105.0;;105.0;105.0;;;259.0;;;8.0;29.51;26.88;1.0;27.24;32.0;18.16;0.86;0.81;74.0;;43.0;22.0;65.0;66.0;86.0;21.0;35.0;12.0;12.0;24.0;;1.0;2.0;62.0;;44.0;1.0;;;44.0;;;2.0;2.0;3.0;;0.0;;0.0;81.0;-5.0;132.0;299.0;;299.0;;64.0;8.0;-2.0;;151.0;;-55.0;;301.0;-209.0;-29.0;-15.0;-53.0;30.0;-3.0;;97.0;;-0.0;-2.0;0.0;43.0;5.0;;;4.76;0.87;-0.22;0.0;0.39;2.8;74.0;17.8;1.0;0.0;355.0;26.9;8.0;64.0;33.3;18.2;150.0;;208.0;30.5;32.3;30.9;99.7;578.2
2007.0;847.0;498.0;261.0;238.0;240.0;168.0;84.0;468.0;627.0;167.0;183.0;444.0;9.0;-62.0;43.0;-6.0;-65.0;350.0;58.73;260.0;;260.0;260.0;;;610.0;;;21.0;30.83;28.06;3.0;28.36;72.0;19.85;2.08;2.0;81.0;;36.0;;36.0;153.0;248.0;30.0;88.0;24.0;32.0;55.0;;8.0;8.0;159.0;;83.0;7.0;;;77.0;0.0;;2.0;14.0;16.0;;;;0.0;249.0;8.0;187.0;627.0;;627.0;;168.0;21.0;-15.0;;-155.0;;-152.0;;146.0;-11.0;-74.0;-12.0;-65.0;87.0;2.0;;19.0;-25.0;;50.0;4.0;36.0;43.0;;;10.49;2.08;-0.8;;0.92;5.5;81.0;19.9;1.1;;847.0;28.1;21.0;168.0;30.0;19.9;301.0;0.0;444.0;36.6;38.3;37.9;100.0;-10.0
2008.0;722.0;235.0;-152.0;-188.0;-190.0;-185.0;83.0;279.0;456.0;134.0;169.0;287.0;73.0;-73.0;19.0;15.0;7.0;487.0;32.55;414.0;;369.0;369.0;;45.0;900.0;;;37.0;-21.07;-26.09;-1.0;-26.26;-4.0;-25.65;-2.24;-2.24;83.0;;52.0;;52.0;60.0;143.0;25.0;96.0;;41.0;41.0;;21.0;19.0;177.0;;35.0;22.0;;;76.0;;;3.0;32.0;35.0;;;;0.0;64.0;16.0;207.0;456.0;;456.0;;-185.0;37.0;-5.0;;35.0;;18.0;;181.0;191.0;-66.0;-8.0;;;1.0;;3.0;;;15.0;-3.0;52.0;36.0;;;8.72;-2.24;0.08;;0.8;3.47;83.0;-5.3;-0.2;;722.0;-26.1;37.0;-185.0;2.3;-25.6;146.0;;287.0;-57.4;-41.6;-64.4;100.0;
2009.0;646.0;308.0;-10.0;-51.0;-49.0;-42.0;85.0;267.0;410.0;87.0;122.0;288.0;61.0;-26.0;-22.0;26.0;34.0;338.0;47.7;318.0;;312.0;312.0;;7.0;656.0;;1.0;37.0;-1.62;-7.93;3.0;-7.53;-7.0;-6.52;-0.49;-0.49;85.0;;77.0;;77.0;75.0;93.0;21.0;71.0;;36.0;36.0;;18.0;17.0;142.0;;23.0;1.0;6.0;;63.0;1.0;;2.0;32.0;35.0;;;;0.0;22.0;24.0;241.0;410.0;;410.0;;-42.0;37.0;5.0;31.0;63.0;-13.0;45.0;-17.0;243.0;-33.0;-27.0;;-2.0;;-4.0;-23.0;;-0.0;;1.0;12.0;77.0;52.0;;;7.59;-0.49;0.4;;0.32;3.38;85.0;-7.7;-0.1;;646.0;-7.9;37.0;-42.0;13.5;-6.5;181.0;1.0;288.0;-12.6;-11.5;-14.6;100.0;
2010.0;790.0;425.0;119.0;81.0;81.0;68.0;88.0;381.0;549.0;138.0;173.0;376.0;104.0;-42.0;5.0;68.0;59.0;365.0;53.83;340.0;;342.0;342.0;;-2.0;705.0;;1.0;37.0;15.01;10.26;-0.0;10.23;13.0;8.58;0.78;0.76;85.0;;146.0;;146.0;85.0;121.0;29.0;70.0;;45.0;45.0;;35.0;18.0;168.0;;36.0;2.0;23.0;;100.0;;;1.0;35.0;36.0;;;;0.0;90.0;31.0;255.0;549.0;;549.0;;68.0;37.0;-5.0;7.0;127.0;-13.0;-28.0;13.0;370.0;-129.0;-45.0;;-6.0;7.0;-13.0;-85.0;;;;90.0;1.0;146.0;77.0;;;9.24;0.79;0.69;;0.53;4.4;85.0;14.4;0.7;;790.0;10.3;37.0;68.0;16.2;8.6;243.0;;376.0;16.6;14.8;18.0;100.0;
2011.0;1001.0;536.0;175.0;137.0;137.0;113.0;91.0;525.0;695.0;155.0;204.0;492.0;142.0;-42.0;9.0;112.0;101.0;464.0;53.59;399.0;;405.0;405.0;;-5.0;864.0;;1.0;37.0;17.46;13.64;0.0;13.66;24.0;11.27;1.27;1.24;89.0;;258.0;;258.0;111.0;130.0;27.0;68.0;;49.0;49.0;;30.0;23.0;170.0;;67.0;1.0;8.0;;88.0;;;;48.0;48.0;;1.0;;0.0;203.0;15.0;274.0;695.0;;695.0;;113.0;37.0;-1.0;9.0;85.0;-23.0;-13.0;30.0;455.0;-101.0;-42.0;;;;-14.0;-318.0;11.0;;;316.0;2.0;258.0;146.0;;;11.27;1.27;1.13;;0.47;5.54;89.0;16.6;1.0;;1001.0;13.6;37.0;113.0;17.5;11.3;370.0;;492.0;21.0;19.8;22.9;100.0;-10.8
