;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2008.0;0.0;-0.0;-3.0;-3.0;-3.0;-3.0;103.0;1.0;4.0;1.0;2.0;2.0;-2.0;-0.0;3.0;1.0;-2.0;0.0;-375.0;2.0;0.0;1.0;1.0;;1.0;3.0;;-1.0;1.0;-7750.0;-6375.0;-1.0;-7925.0;;-7925.0;-0.03;-0.03;103.0;;1.0;;1.0;0.0;;0.0;0.0;;2.0;2.0;;;;2.0;;0.0;;;;1.0;0.0;;;0.0;1.0;;;;0.0;-5.0;-0.0;7.0;4.0;0.0;4.0;;-3.0;1.0;;;-0.0;;;;-0.0;0.0;-0.0;;;;0.0;;;1.0;;1.0;;1.0;;;;0.0;-0.03;-0.02;;0.0;0.02;103.0;-51.2;-2.4;;0.0;-6375.0;1.0;-3.0;;-7925.0;-0.0;0.0;2.0;-177.5;-105.3;-200.6;100.0;
2009.0;0.0;0.0;-3.0;4.0;-6.0;-6.0;108.0;1.0;4.0;3.0;3.0;1.0;-3.0;-1.0;3.0;-1.0;-4.0;;100.0;4.0;1.0;3.0;3.0;0.0;1.0;4.0;0.0;2.0;1.0;-3857.62;4679.82;-10.0;-7112.13;;-7092.04;-0.06;-0.06;108.0;;0.0;;0.0;0.0;;0.0;2.0;;2.0;2.0;;;0.0;3.0;;0.0;2.0;;;1.0;0.0;;;0.0;0.0;;;;0.0;-12.0;-0.0;12.0;4.0;-0.0;4.0;;-6.0;1.0;;1.0;-2.0;-0.0;;0.0;-2.0;4.0;-1.0;;;;-0.0;;1.0;;;2.0;;0.0;1.0;;;0.0;-0.06;-0.03;;0.01;0.01;108.0;-19.8;-0.3;;0.0;4679.8;1.0;-6.0;;-7092.0;-2.0;0.0;1.0;-438.5;-101.5;-1121.3;100.0;
2010.0;0.0;0.0;-12.0;13.0;-19.0;-19.0;123.0;0.0;6.0;0.0;1.0;5.0;-4.0;-3.0;7.0;-0.0;-7.0;;100.0;13.0;1.0;12.0;11.0;0.0;1.0;13.0;0.0;6.0;1.0;-3666.29;3925.41;-32.0;-5813.52;;-5783.32;-0.15;-0.15;123.0;;0.0;;0.0;0.0;;0.0;4.0;;1.0;1.0;;;1.0;5.0;;0.0;0.0;;;0.0;0.0;;;0.0;1.0;;;;0.0;-31.0;-0.0;36.0;6.0;-0.0;6.0;;-19.0;1.0;;4.0;3.0;-0.0;;0.0;0.0;7.0;-2.0;;-0.0;;-0.0;-0.0;6.0;;;0.0;;0.0;0.0;;;0.0;-0.15;-0.05;;0.02;0.04;123.0;-10.0;-0.5;;0.0;3925.4;1.0;-19.0;;-5783.3;0.0;0.0;5.0;-219.2;-208.7;-362.0;100.0;
2011.0;1.0;1.0;-10.0;;-16.0;-16.0;129.0;9.0;22.0;2.0;6.0;16.0;-6.0;-7.0;21.0;9.0;-13.0;;100.0;10.0;1.0;7.0;6.0;1.0;2.0;10.0;0.0;4.0;2.0;-1623.55;;-7.0;-2597.39;;-2579.78;-0.13;-0.13;129.0;;9.0;;9.0;0.0;;1.0;9.0;;1.0;1.0;;;3.0;13.0;;1.0;0.0;0.0;;0.0;4.0;;;0.0;4.0;;;;0.0;-47.0;-1.0;64.0;22.0;-0.0;22.0;;-16.0;2.0;;1.0;7.0;-0.0;;1.0;8.0;1.0;-7.0;;;;-0.0;-0.0;;;;21.0;;9.0;0.0;;;0.0;-0.13;-0.1;;0.05;0.12;129.0;-12.6;-0.8;;1.0;;2.0;-16.0;;-2579.8;8.0;4.0;16.0;-57.5;-53.3;-100.7;100.0;
2012.0;2.0;2.0;-9.0;11.0;-19.0;-19.0;132.0;6.0;16.0;2.0;14.0;2.0;-7.0;-1.0;5.0;-3.0;-8.0;;100.0;13.0;1.0;10.0;8.0;2.0;2.0;13.0;0.0;8.0;2.0;-534.98;679.43;-30.0;-1141.46;;-1135.17;-0.14;-0.14;132.0;;5.0;;5.0;0.0;;0.0;8.0;;0.0;0.0;;;2.0;10.0;;0.0;0.0;0.0;;1.0;12.0;;;0.0;12.0;;;;0.0;-65.0;-3.0;70.0;16.0;-0.0;16.0;;-19.0;2.0;;1.0;-3.0;-0.0;;-1.0;4.0;11.0;-1.0;;;;-0.0;-0.0;;;;5.0;;5.0;9.0;;;0.01;-0.14;-0.06;;0.0;0.02;132.0;-9.4;-0.6;;2.0;679.4;2.0;-19.0;;-1135.2;4.0;12.0;2.0;-74.5;-66.1;-889.1;100.0;
2013.0;2.0;2.0;-5.0;7.0;-15.0;-15.0;137.0;5.0;12.0;3.0;21.0;-8.0;-5.0;-0.0;4.0;-1.0;-5.0;;100.0;9.0;1.0;6.0;5.0;1.0;2.0;9.0;0.0;8.0;2.0;-238.66;319.74;-21.0;-704.14;;-701.78;-0.11;-0.11;137.0;;4.0;;4.0;0.0;;0.0;6.0;;0.0;0.0;;;1.0;8.0;;0.0;1.0;0.0;;1.0;18.0;;;0.0;18.0;;;;0.0;-80.0;-4.0;75.0;13.0;-0.0;12.0;;-15.0;2.0;;0.0;-2.0;0.0;;0.0;2.0;10.0;-0.0;;;;-0.0;-0.0;3.0;;;1.0;;4.0;5.0;;;0.02;-0.11;-0.03;;0.0;-0.06;137.0;-5.5;-0.3;;2.0;319.7;2.0;-15.0;;-701.8;2.0;18.0;-8.0;-66.4;-51.1;171.8;100.0;
2014.0;3.0;3.0;-5.0;7.0;-15.0;-14.0;139.0;4.0;10.0;1.0;25.0;-15.0;-5.0;-1.0;4.0;-2.0;-5.0;;100.0;10.0;1.0;7.0;7.0;1.0;2.0;10.0;0.0;8.0;2.0;-162.71;221.45;-21.0;-473.98;;-472.08;-0.1;-0.1;139.0;;3.0;;3.0;1.0;;0.0;5.0;;0.0;0.0;;;1.0;6.0;;0.0;;0.0;;1.0;23.0;;;1.0;24.0;;;;0.0;-92.0;-6.0;82.0;10.0;-0.0;10.0;;-14.0;2.0;;1.0;1.0;-0.0;;-0.0;2.0;7.0;-1.0;;;;-0.0;-1.0;;;;5.0;;3.0;4.0;;;0.02;-0.1;-0.04;;0.0;-0.11;139.0;-5.1;-0.3;;3.0;221.5;2.0;-14.0;;-472.1;2.0;23.0;-15.0;-72.5;-63.9;97.2;100.0;
2015.0;5.0;1.0;-5.0;7.0;-16.0;-16.0;139.0;19.0;30.0;2.0;56.0;-25.0;-5.0;-5.0;25.0;15.0;-6.0;5.0;10.54;7.0;1.0;5.0;4.0;1.0;2.0;12.0;0.0;10.0;2.0;-95.45;133.5;-23.0;-318.13;;-316.86;-0.12;-0.12;139.0;;18.0;;18.0;1.0;;0.0;4.0;;0.0;0.0;;;6.0;11.0;;0.0;0.0;0.0;;1.0;54.0;;;0.0;54.0;;;;0.0;-108.0;-7.0;90.0;31.0;-1.0;30.0;;-16.0;2.0;;1.0;15.0;-0.0;;0.0;17.0;-7.0;-1.0;;;;-4.0;-0.0;;;;25.0;;18.0;3.0;;;0.04;-0.12;-0.05;;0.01;-0.18;139.0;-3.1;-0.2;;5.0;133.5;2.0;-16.0;;-316.9;17.0;54.0;-25.0;-23.1;-21.7;64.6;100.0;
2016.0;6.0;1.0;-4.0;6.0;-19.0;-19.0;139.0;11.0;21.0;2.0;64.0;-42.0;-6.0;-2.0;-0.0;-8.0;-8.0;5.0;21.67;8.0;1.0;5.0;4.0;1.0;2.0;12.0;0.0;13.0;2.0;-70.37;105.61;-25.0;-312.45;;-311.56;-0.13;-0.13;139.0;;10.0;;10.0;1.0;;0.0;4.0;;1.0;1.0;;;5.0;10.0;;0.0;0.0;0.0;;1.0;62.0;;;0.0;62.0;;;;0.0;-126.0;-9.0;93.0;22.0;-1.0;21.0;;-19.0;2.0;;1.0;-8.0;0.0;;-0.0;9.0;18.0;-2.0;;;;-0.0;-0.0;;;;;;10.0;18.0;;;0.04;-0.13;-0.06;;0.01;-0.3;139.0;-1.3;-0.1;;6.0;105.6;2.0;-19.0;;-311.6;9.0;62.0;-42.0;-29.9;-27.3;44.2;100.0;
2017.0;6.0;2.0;-5.0;;-20.0;-20.0;139.0;4.0;12.0;10.0;74.0;-62.0;-6.0;-1.0;-1.0;-8.0;-7.0;5.0;25.93;8.0;2.0;5.0;4.0;1.0;2.0;13.0;0.0;13.0;2.0;-75.19;;-13.0;-320.44;;-320.44;-0.14;-0.14;139.0;;2.0;;2.0;1.0;;1.0;3.0;;1.0;1.0;;;4.0;8.0;;0.0;9.0;0.0;;1.0;65.0;;;0.0;65.0;;;;0.0;-146.0;-11.0;95.0;12.0;;12.0;;-20.0;2.0;;0.0;-15.0;-0.0;;0.0;-6.0;27.0;-1.0;;;;-0.0;-1.0;;;;;;2.0;10.0;;;0.04;-0.14;-0.05;;0.01;-0.45;139.0;-0.6;-0.0;;6.0;;2.0;-20.0;;-320.4;-6.0;65.0;-62.0;-267.1;-54.4;32.3;100.0;
2018.0;6.0;3.0;-2.0;;-16.0;-16.0;139.0;4.0;9.0;17.0;87.0;-78.0;-5.0;-1.0;3.0;-3.0;-5.0;3.0;44.14;6.0;1.0;4.0;3.0;0.0;1.0;10.0;0.0;12.0;1.0;-38.4;;-12.0;-263.74;;-263.74;-0.12;-0.12;139.0;;1.0;;1.0;1.0;;1.0;2.0;;1.0;1.0;;;2.0;5.0;;1.0;16.0;0.0;0.0;1.0;69.0;;;;69.0;;;;0.0;-162.0;-11.0;95.0;9.0;;9.0;;-16.0;1.0;;0.0;-8.0;-0.0;;0.0;-14.0;17.0;-1.0;;;;-0.0;-0.0;;;;3.0;;2.0;5.0;;;0.04;-0.12;-0.04;;0.0;-0.56;139.0;-0.3;-0.0;;6.0;;1.0;-16.0;;-263.7;-14.0;69.0;-78.0;42.9;-40.3;20.7;100.0;
2019.0;6.0;3.0;-3.0;;-14.0;-14.0;139.0;2.0;5.0;26.0;97.0;-92.0;-1.0;-0.0;0.0;-2.0;-2.0;3.0;51.81;7.0;1.0;4.0;4.0;0.0;1.0;10.0;0.0;11.0;1.0;-40.81;;-11.0;-224.66;;-224.66;-0.1;-0.1;139.0;;0.0;;0.0;2.0;;0.0;2.0;;1.0;1.0;;;0.0;3.0;;0.0;21.0;0.0;0.0;4.0;71.0;;;;71.0;;0.0;;0.0;-176.0;-11.0;95.0;5.0;;5.0;;-14.0;1.0;;0.0;-10.0;-0.0;;-0.0;-23.0;22.0;-0.0;;;;-0.0;-0.0;;;;0.0;;0.0;2.0;;;0.05;-0.1;-0.01;;0.0;-0.66;139.0;-0.1;-0.0;;6.0;;1.0;-14.0;;-224.7;-23.0;71.0;-92.0;16.2;-62.2;15.4;100.0;
