;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2006.0;0.0;0.0;-0.0;-0.0;;-0.0;1.0;;0.0;0.0;0.0;-0.0;;;;;;0.0;5.95;0.0;;0.0;;;;0.0;;;0.0;-12.96;-18.88;;;;-18.88;-0.01;-0.01;1.0;;;;;;;;0.0;;;;;;;0.0;;;;;;0.0;;;;;;;;;;-0.0;-0.0;0.0;0.0;;0.0;;-0.0;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;0.08;-0.01;;;;-0.01;1.0;;;;0.0;-18.9;0.0;-0.0;;-18.9;-0.0;;-0.0;;-425.2;221.6;100.0;
2007.0;0.0;0.0;-0.0;-0.0;;-0.0;1.0;;;0.0;0.0;-0.0;-0.0;;0.0;;-0.0;0.0;8.97;0.0;;0.0;;;;0.0;;;0.0;-20.83;-24.79;;;;-24.79;-0.02;-0.02;1.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;-0.0;-0.0;0.0;;;;;-0.0;0.0;;;0.0;;;;;;;;;;;;0.0;;;;;;;;;0.08;-0.02;-0.0;;;-0.02;1.0;;;;0.0;-24.8;0.0;-0.0;;-24.8;-0.0;;-0.0;;-inf;79.8;100.0;
2008.0;28.0;7.0;8.0;5.0;6.0;5.0;1.0;16.0;38.0;13.0;19.0;19.0;5.0;-9.0;4.0;0.0;-4.0;21.0;24.54;2.0;;2.0;;;;23.0;;0.0;1.0;27.42;17.48;1.0;21.61;1.0;17.94;6.6;4.2;1.0;;2.0;0.0;2.0;10.0;0.0;4.0;17.0;;;;;;5.0;22.0;;6.0;4.0;;;3.0;;;;6.0;6.0;;;;0.0;3.0;3.0;13.0;38.0;;38.0;;5.0;1.0;;;-2.0;;0.0;;;1.0;-9.0;;;;;;6.0;;;-2.0;-0.0;2.0;1.0;;;36.49;6.55;-4.75;;11.52;25.67;1.0;5.0;0.2;;28.0;17.5;1.0;5.0;17.0;17.9;3.0;;19.0;20.8;16.5;25.5;100.0;178.2
2009.0;40.0;15.0;17.0;13.0;14.0;12.0;1.0;25.0;56.0;20.0;26.0;30.0;3.0;-2.0;0.0;2.0;2.0;25.0;38.26;2.0;;2.0;;;;26.0;;1.0;2.0;43.24;33.94;1.0;35.71;2.0;30.39;12.36;10.32;1.0;;4.0;0.0;4.0;16.0;1.0;5.0;22.0;;;;;;9.0;31.0;;11.0;5.0;3.0;;5.0;;;;6.0;6.0;;;;0.0;13.0;3.0;15.0;56.0;;56.0;;12.0;2.0;;;-11.0;-14.0;-1.0;4.0;;0.0;-2.0;;;;;-8.0;;;-0.0;9.0;-0.0;4.0;2.0;;;45.27;13.76;1.81;0.54;2.02;34.25;1.0;3.2;0.0;1.2;40.0;33.9;2.0;12.0;14.9;30.4;5.0;;30.0;35.1;26.6;40.2;96.1;29.8
2010.0;93.0;19.0;19.0;14.0;16.0;13.0;1.0;46.0;86.0;22.0;24.0;61.0;-0.0;-7.0;7.0;-0.0;-7.0;74.0;20.78;5.0;;5.0;;;;79.0;0.0;0.0;3.0;20.56;14.94;2.0;17.39;3.0;13.98;10.8;9.48;1.0;;3.0;;3.0;37.0;2.0;3.0;26.0;;;;;0.0;13.0;40.0;;16.0;;2.0;;5.0;;;;3.0;3.0;;;;0.0;20.0;3.0;38.0;86.0;;86.0;;13.0;3.0;2.0;1.0;-19.0;-29.0;-1.0;6.0;-0.0;-0.0;-7.0;;;0.0;;-5.0;11.0;-0.0;-1.0;1.0;0.0;3.0;4.0;;;82.97;11.6;-6.57;0.48;6.4;54.56;1.0;4.6;0.2;0.9;93.0;14.9;3.0;13.0;19.6;14.0;24.0;;61.0;20.3;18.9;21.3;95.8;142.4
2011.0;138.0;26.0;23.0;9.0;19.0;17.0;2.0;108.0;145.0;61.0;62.0;83.0;-3.0;-13.0;14.0;-2.0;-5.0;112.0;18.6;17.0;;17.0;;;;129.0;1.0;1.0;4.0;16.82;6.56;10.0;13.48;2.0;12.37;11.64;11.28;1.0;;2.0;12.0;14.0;87.0;1.0;6.0;29.0;;;;;;7.0;36.0;;41.0;15.0;1.0;0.0;4.0;;;;1.0;1.0;;;;0.0;35.0;7.0;41.0;145.0;;145.0;;17.0;4.0;0.0;1.0;-30.0;-53.0;1.0;23.0;;6.0;-2.0;;-12.0;;1.0;-0.0;;;;14.0;0.0;2.0;3.0;;;93.65;11.59;-3.29;;1.46;56.42;1.0;2.9;0.2;;138.0;6.6;4.0;17.0;8.2;12.4;47.0;;83.0;21.2;13.3;20.5;100.0;
2012.0;145.0;29.0;-0.0;-13.0;-6.0;-6.0;1.0;137.0;164.0;85.0;85.0;79.0;-10.0;13.0;-2.0;1.0;-10.0;117.0;19.7;39.0;3.0;13.0;;;22.0;155.0;0.0;2.0;4.0;-0.24;-9.16;7.0;-4.38;-0.0;-4.29;-4.2;-4.2;1.0;;2.0;;2.0;111.0;2.0;22.0;21.0;;;;;1.0;6.0;27.0;;57.0;19.0;1.0;1.0;8.0;;;;;;;;;0.0;29.0;9.0;41.0;164.0;;164.0;;-6.0;4.0;-4.0;0.0;-31.0;-45.0;-1.0;15.0;;26.0;-0.0;;;;13.0;-34.0;;;;31.0;0.0;2.0;2.0;;;97.75;-4.2;-6.9;;0.27;53.21;1.0;-4.0;-0.3;;145.0;-9.2;4.0;-6.0;2.0;-4.3;52.0;;79.0;-5.9;-2.9;-7.9;100.0;
2013.0;74.0;14.0;-18.0;-27.0;-23.0;-24.0;1.0;123.0;146.0;86.0;89.0;57.0;-17.0;-6.0;24.0;2.0;-17.0;61.0;18.42;25.0;2.0;13.0;;;11.0;86.0;1.0;2.0;3.0;-24.61;-35.61;3.0;-31.45;0.0;-31.68;-15.87;-15.87;1.0;;4.0;5.0;9.0;75.0;1.0;38.0;14.0;;;;;0.0;8.0;22.0;;34.0;46.0;0.0;2.0;4.0;;;;4.0;4.0;;6.0;;0.0;5.0;16.0;35.0;146.0;;146.0;;-24.0;3.0;-0.0;0.0;-22.0;5.0;1.0;-8.0;1.0;25.0;-0.0;;;;-5.0;-31.0;;;;55.0;0.0;4.0;2.0;;;50.09;-15.87;-11.61;;0.22;38.12;1.0;-0.3;-0.0;;74.0;-35.6;3.0;-24.0;-0.7;-31.7;38.0;;57.0;-36.2;-14.8;-41.6;100.0;
2014.0;49.0;5.0;-9.0;-17.0;-14.0;-17.0;1.0;137.0;153.0;111.0;112.0;40.0;7.0;-10.0;14.0;11.0;7.0;44.0;9.49;17.0;1.0;11.0;;;5.0;61.0;3.0;3.0;2.0;-19.01;-35.29;3.0;-29.17;2.0;-34.19;-11.2;-11.2;1.0;;15.0;15.0;30.0;53.0;2.0;52.0;13.0;;;;;;3.0;16.0;;33.0;72.0;0.0;1.0;5.0;;;;1.0;1.0;;6.0;;0.0;-11.0;16.0;35.0;153.0;;153.0;;-17.0;2.0;2.0;;11.0;5.0;-0.0;-1.0;-1.0;9.0;-0.0;;;;-10.0;-86.0;;;;101.0;-0.0;15.0;4.0;;;32.75;-11.2;4.47;;0.26;27.17;1.0;-0.5;-0.0;;49.0;-35.3;2.0;-17.0;-17.2;-34.2;26.0;;40.0;-32.9;-7.6;-41.2;100.0;
2015.0;55.0;5.0;0.0;-4.0;-3.0;-4.0;2.0;116.0;128.0;88.0;88.0;40.0;-13.0;9.0;-9.0;-13.0;-13.0;51.0;8.51;7.0;1.0;10.0;;;-5.0;58.0;1.0;1.0;2.0;0.77;-6.87;1.0;-5.52;1.0;-7.51;-2.15;-2.15;2.0;;3.0;5.0;8.0;41.0;1.0;65.0;10.0;;;;;;2.0;12.0;;23.0;58.0;0.0;1.0;5.0;;;;;;;1.0;;0.0;-15.0;17.0;38.0;128.0;;128.0;;-4.0;2.0;1.0;1.0;-9.0;-12.0;0.0;14.0;0.0;-3.0;-0.0;;;;9.0;-104.0;1.0;;;93.0;0.0;3.0;15.0;;;28.64;-2.15;-6.72;;0.02;20.5;2.0;-1.7;-0.1;;55.0;-6.9;2.0;-4.0;-35.9;-7.5;28.0;;40.0;-5.8;-1.3;-10.5;100.0;
