;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1995.0;14.0;;6.0;4.0;;4.0;1.0;;95.0;39.0;57.0;38.0;6.0;-7.0;4.0;3.0;-5.0;;;;;;;;;11.0;;;2.0;41.35;25.27;;;;28.13;3.8;3.8;1.0;;5.0;5.0;10.0;0.0;;;84.0;;;;;;;;95.0;;39.0;;;;;;;;;18.0;;;42.0;-3.0;-13.0;13.0;95.0;;95.0;;4.0;2.0;;;0.0;;;;;-0.0;-11.0;;-1.0;0.0;4.0;;5.0;;-1.0;0.0;;5.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;19.0;;7.0;4.0;;5.0;1.0;;131.0;39.0;81.0;51.0;6.0;-31.0;23.0;-2.0;-26.0;;;;;;;;;15.0;;;2.0;37.36;19.39;;;;24.72;3.8;3.8;1.0;;3.0;4.0;7.0;0.0;;;122.0;;;;;;;;131.0;;39.0;;;;;;;;;42.0;;;54.0;-4.0;-14.0;14.0;131.0;;131.0;;5.0;2.0;;;;;;;;-1.0;-32.0;;-2.0;;3.0;;10.0;-0.0;-1.0;14.0;;3.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;24.0;;8.0;3.0;;4.0;1.0;;187.0;39.0;127.0;60.0;7.0;-39.0;32.0;-1.0;7.0;;;;;;;;;13.0;;;4.0;31.65;14.68;;;;16.35;2.8;2.8;1.0;;2.0;5.0;6.0;0.0;;;178.0;;;;;;;;187.0;;39.0;;;;;;;;;88.0;;;65.0;-5.0;-17.0;17.0;187.0;;187.0;;4.0;4.0;;;;;;;;-1.0;;;-3.0;;-36.0;;9.0;-2.0;-2.0;27.0;;2.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;32.0;;10.0;5.0;;5.0;2.0;;225.0;39.0;148.0;76.0;9.0;-22.0;14.0;0.0;-14.0;;;;;;;;;38.0;;;5.0;30.59;14.48;1.0;;;15.47;3.2;3.2;2.0;;2.0;4.0;6.0;0.0;;;213.0;;;;;;;;225.0;;39.0;;;;135.0;;;;135.0;283.0;;;75.0;-7.0;-22.0;30.0;225.0;;225.0;;5.0;5.0;;;;-1.0;;-0.0;;-1.0;-23.0;;-3.0;1.0;3.0;-3.0;8.0;-3.0;-2.0;13.0;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;40.0;;14.0;6.0;;8.0;2.0;;291.0;39.0;191.0;100.0;16.0;-52.0;38.0;2.0;-30.0;;;;;;;;;46.0;;;6.0;34.38;16.03;4.0;;;19.04;4.4;4.4;2.0;;4.0;3.0;7.0;0.0;;;280.0;;;;;;;;291.0;;39.0;;;;175.0;;;;175.0;366.0;;;93.0;-7.0;-26.0;41.0;291.0;;291.0;;8.0;6.0;;;;2.0;;1.0;;2.0;-45.0;;-9.0;1.0;1.0;-4.0;16.0;;-3.0;28.0;;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;55.0;;17.0;10.0;;9.0;2.0;;433.0;39.0;288.0;145.0;16.0;-120.0;104.0;-0.0;-106.0;;;;;;;;;29.0;;;9.0;31.53;17.8;4.0;;;15.89;4.2;4.2;2.0;;3.0;3.0;7.0;2.0;;;418.0;;;;;;;;433.0;;39.0;;;;6.0;;;;6.0;255.0;;;119.0;-9.0;-33.0;68.0;433.0;;433.0;;9.0;9.0;;;;-2.0;;-1.0;;-1.0;-122.0;;-14.0;8.0;8.0;-8.0;24.0;-5.0;-4.0;97.0;;3.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;76.0;;21.0;10.0;;9.0;2.0;;570.0;39.0;389.0;181.0;22.0;-76.0;57.0;3.0;-50.0;;;;;1.0;1.0;;;40.0;;;13.0;28.27;13.45;1.0;;;11.47;3.8;3.8;2.0;;6.0;3.0;9.0;2.0;;;549.0;2.0;;2.0;;;;;570.0;;39.0;;;;;;;;;350.0;;;132.0;-13.0;-44.0;106.0;570.0;;570.0;;9.0;13.0;;;;-2.0;;1.0;;1.0;-72.0;;-5.0;0.0;1.0;-14.0;11.0;-5.0;-6.0;71.0;;6.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;93.0;;27.0;44.0;;11.0;3.0;;730.0;39.0;495.0;235.0;27.0;;55.0;6.0;-35.0;;;;;2.0;2.0;;;49.0;;;16.0;28.67;47.81;1.0;;;11.4;4.2;4.2;3.0;;12.0;11.0;23.0;3.0;;;686.0;1.0;;1.0;;;;;730.0;;39.0;;;;460.0;;;;460.0;955.0;;;163.0;-18.0;-59.0;148.0;730.0;;730.0;;11.0;16.0;;;;-5.0;;1.0;;0.0;-62.0;;-26.0;3.0;85.0;-11.0;38.0;-2.0;-8.0;39.0;;12.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;119.0;;33.0;16.0;;12.0;3.0;34.0;886.0;539.0;576.0;215.0;39.0;-59.0;24.0;3.0;-40.0;;;;;2.0;;;;141.0;;;20.0;27.33;13.31;1.0;;;10.28;3.8;3.8;3.0;;16.0;3.0;19.0;5.0;;11.0;847.0;1.0;;1.0;3.0;;;852.0;1738.0;;539.0;;;;11.0;;;;11.0;48.0;;;241.0;-26.0;-76.0;76.0;791.0;95.0;886.0;;12.0;20.0;;;;2.0;;3.0;;6.0;-78.0;;-39.0;4.0;54.0;-31.0;32.0;-0.0;-12.0;35.0;;16.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;141.0;;35.0;12.0;;9.0;4.0;62.0;1076.0;633.0;689.0;279.0;29.0;-138.0;123.0;14.0;-107.0;;;;;3.0;3.0;;;172.0;;;26.0;25.25;8.72;0.0;;;6.72;2.4;2.4;4.0;;32.0;2.0;34.0;8.0;;20.0;1010.0;1.0;;1.0;2.0;;;1014.0;2090.0;;633.0;;;;26.0;;;;26.0;81.0;;27.0;292.0;-41.0;-0.0;;967.0;109.0;1076.0;;9.0;26.0;;;;-14.0;;3.0;;-7.0;-136.0;;-11.0;3.0;7.0;-98.0;38.0;;-22.0;204.0;;32.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
