;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;7320.0;1290.0;146.0;;-263.0;-118.0;5446.0;2050.0;11494.0;1952.0;6899.0;4595.0;;;;;;6030.0;17.62;409.0;;;;;409.0;6439.0;;;409.0;1.99;;-1144.0;-3.59;-145.0;-1.61;-0.02;-0.02;5446.0;;187.0;;187.0;1299.0;428.0;136.0;9107.0;;;;;;337.0;9444.0;;;208.0;;;1744.0;2499.0;;1572.0;876.0;4947.0;;;;;2741.0;-4555.0;6409.0;11494.0;;11494.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;6345.0;1381.0;1156.0;;729.0;418.0;5492.0;2101.0;12661.0;1847.0;7788.0;4873.0;;;;;;4964.0;21.77;344.0;;;;;344.0;5308.0;;;427.0;18.22;;-308.0;11.49;311.0;6.59;0.08;0.08;5492.0;;315.0;;315.0;1182.0;356.0;248.0;9403.0;;;;;;1157.0;10560.0;;;336.0;;;1511.0;3285.0;;1903.0;753.0;5941.0;;;;;2980.0;-4461.0;6354.0;12661.0;;12661.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;8043.0;1439.0;1226.0;;682.0;432.0;5568.0;2390.0;13231.0;1898.0;8373.0;4858.0;;;;;;6604.0;17.89;544.0;;;;;544.0;7148.0;;;544.0;15.24;;-213.0;8.48;250.0;5.37;0.08;0.08;5568.0;;921.0;;921.0;876.0;363.0;230.0;10162.0;;;;;;679.0;10841.0;;;323.0;;;1575.0;3162.0;;2296.0;1017.0;6475.0;;;;;2932.0;-4681.0;6607.0;13231.0;;13231.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;7592.0;1376.0;412.0;;-60.0;-33.0;5365.0;2435.0;13026.0;3061.0;9784.0;3242.0;;;;;;6216.0;18.12;467.0;;;;;467.0;6683.0;;;467.0;5.43;;-969.0;-0.79;-22.0;-0.43;-0.01;-0.01;5365.0;;625.0;;625.0;896.0;241.0;673.0;9631.0;;;;;;960.0;10591.0;;;1196.0;;;1865.0;3032.0;;2176.0;1515.0;6723.0;;;;;1907.0;-4417.0;5752.0;13026.0;;13026.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;7745.0;1316.0;247.0;;692.0;429.0;3635.0;1711.0;12298.0;2331.0;8777.0;3521.0;1007.0;531.0;-1512.0;-1512.0;182.0;6429.0;16.99;447.0;;;;;447.0;6876.0;;;-447.0;3.19;;-177.0;8.93;265.0;5.54;0.11;0.11;3635.0;;534.0;;534.0;645.0;237.0;295.0;9652.0;;;;;;935.0;10587.0;;1867.0;464.0;;;;2727.0;;2378.0;1341.0;6446.0;;;;;2013.0;-4610.0;6118.0;12298.0;;12298.0;;429.0;-447.0;213.0;;412.0;251.0;;;-620.0;400.0;-825.0;;-537.0;830.0;1063.0;-1051.0;;-324.0;-145.0;8.0;;;508.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;8205.0;1288.0;63.0;;537.0;364.0;3530.0;1725.0;12804.0;2303.0;9263.0;3541.0;889.0;-847.0;-96.0;-96.0;-38.0;6917.0;15.7;473.0;;;;;473.0;7390.0;;;-473.0;0.77;;-278.0;6.54;172.0;4.44;0.1;0.1;3530.0;;609.0;;609.0;728.0;257.0;131.0;9991.0;;;;;;1088.0;11079.0;;1946.0;357.0;;;;3025.0;;2534.0;1401.0;6960.0;;;;;2282.0;-4936.0;6195.0;12804.0;;12804.0;;364.0;-473.0;106.0;;42.0;-83.0;;177.0;-578.0;850.0;-927.0;;-72.0;4.0;148.0;-264.0;;-150.0;-147.0;465.0;;;663.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;8636.0;600.0;-614.0;;-113.0;-76.0;3600.0;1535.0;12798.0;2477.0;9616.0;3182.0;866.0;-589.0;-283.0;-283.0;2.0;8036.0;6.95;501.0;;;;;501.0;8537.0;;;-501.0;-7.11;;-212.0;-1.31;-37.0;-0.88;-0.02;-0.02;3600.0;;465.0;;465.0;728.0;206.0;136.0;10177.0;;;;;;1086.0;11263.0;;2079.0;398.0;;;;2804.0;;2221.0;2114.0;7139.0;;;;;1863.0;-4999.0;6318.0;12798.0;;12798.0;;-76.0;-501.0;-165.0;;-364.0;-3.0;49.0;25.0;-942.0;1972.0;-864.0;;;46.0;229.0;-431.0;;;-144.0;292.0;;;471.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;8734.0;793.0;-534.0;;-7.0;20.0;3600.0;1421.0;13049.0;2280.0;10074.0;2975.0;939.0;-985.0;130.0;130.0;-102.0;7941.0;9.08;527.0;;;;;527.0;8468.0;;;-527.0;-6.11;;-273.0;-0.08;-27.0;0.23;0.01;0.01;3600.0;;530.0;;530.0;605.0;189.0;97.0;10636.0;;;;;;992.0;11628.0;;2066.0;214.0;;;;3245.0;;2082.0;2467.0;7794.0;;;;;1622.0;-5066.0;6419.0;13049.0;;13049.0;;20.0;-527.0;-72.0;;83.0;145.0;18.0;-55.0;-859.0;1435.0;-1041.0;;;;56.0;-414.0;;;-157.0;701.0;;;446.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;8940.0;1485.0;61.0;;633.0;359.0;3779.0;1571.0;13420.0;2275.0;10240.0;3180.0;962.0;-870.0;-168.0;-168.0;194.0;7455.0;16.61;572.0;;;;;572.0;8027.0;;;-572.0;0.68;;-280.0;7.08;274.0;4.02;0.1;0.1;3735.0;;298.0;;298.0;668.0;199.0;406.0;10788.0;;;;;;1061.0;11849.0;;1965.0;310.0;;;;3133.0;;2341.0;2491.0;7965.0;;;;;1927.0;-5066.0;6319.0;13420.0;;13420.0;;359.0;-572.0;181.0;;155.0;-15.0;-10.0;37.0;-704.0;839.0;-768.0;;-115.0;;13.0;-249.0;;;-164.0;245.0;;;374.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;9409.0;1182.0;1302.0;1232.0;1006.0;652.0;3767.0;1665.0;13724.0;2505.0;9993.0;3731.0;1326.0;-861.0;-498.0;-33.0;451.0;8227.0;12.56;;;4290.0;;;;8227.0;;-281.0;577.0;13.84;13.09;-226.0;10.69;354.0;6.93;0.17;0.17;3767.0;;535.0;;535.0;706.0;211.0;213.0;11044.0;;;;302.0;2570.0;-1857.0;12059.0;;1992.0;201.0;;;312.0;2618.0;;;4870.0;7488.0;;;;105.0;2391.0;2470.0;;13724.0;;13724.0;;652.0;577.0;176.0;;-136.0;-60.0;-12.0;64.0;-840.0;57.0;-875.0;;-135.0;;149.0;-447.0;;;-184.0;133.0;;265.0;298.0;;;;;;;;;;;;;;;;;;;;;;;;;;
