;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;42.0;36.0;34.0;;0.0;0.0;22.0;;;;;;24.0;-50.0;25.0;-0.0;24.0;7.0;84.44;23.0;;2.0;2.0;;21.0;29.0;;12.0;21.0;79.74;;-12.0;0.55;0.0;0.26;0.0;0.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;21.0;;;2.0;-0.0;;;;1.0;-50.0;;;;;-17.0;;;;42.0;;1.0;1.0;;;1.89;0.0;1.08;;2.23;;22.0;;;;42.0;;21.0;0.0;52.6;0.3;;;;;;;100.0;
2013.0;49.0;41.0;36.0;;-0.0;-0.0;22.0;2.0;430.0;6.0;268.0;163.0;27.0;-55.0;28.0;0.0;27.0;7.0;85.03;29.0;;5.0;5.0;;23.0;36.0;;13.0;23.0;73.35;;-13.0;-0.56;0.0;-0.81;-0.02;-0.02;22.0;;1.0;;1.0;0.0;;1.0;;;;;;1.0;428.0;429.0;;;;;;6.0;259.0;;1.0;2.0;262.0;;;;165.0;;-2.0;;430.0;;430.0;;-0.0;23.0;;;-4.0;0.0;;;-4.0;8.0;-55.0;;;;;-7.0;;;;35.0;;1.0;1.0;;;2.19;-0.02;1.2;;2.46;7.31;22.0;;;;49.0;;23.0;-0.0;-45.2;-0.8;-4.0;259.0;163.0;4.2;2.9;-0.2;100.0;
2014.0;59.0;52.0;36.0;;-8.0;-8.0;23.0;28.0;483.0;11.0;369.0;113.0;22.0;-54.0;56.0;24.0;22.0;7.0;87.77;34.0;;11.0;11.0;;23.0;41.0;0.0;22.0;23.0;61.99;;-26.0;-13.84;;-13.84;-0.36;-0.36;23.0;;25.0;;25.0;2.0;;1.0;;;;;8.0;;447.0;454.0;;;;;;11.0;358.0;;;;358.0;;;;0.0;-133.0;;246.0;483.0;;483.0;;-8.0;23.0;;0.0;21.0;-2.0;;;18.0;-15.0;-46.0;;-8.0;;-1.0;-222.0;;;-33.0;312.0;;25.0;1.0;;;2.58;-0.36;0.96;1.45;2.0;4.98;23.0;-47.1;-2.6;8.6;59.0;;23.0;-8.0;;-13.8;18.0;358.0;113.0;2.9;2.8;-7.2;505.3;
2015.0;74.0;66.0;59.0;;10.0;10.0;37.0;16.0;673.0;62.0;411.0;262.0;40.0;-235.0;181.0;-14.0;40.0;8.0;89.36;32.0;;8.0;8.0;;24.0;40.0;1.0;25.0;24.0;80.32;;-24.0;13.56;;13.56;0.26;0.26;37.0;;11.0;;11.0;2.0;;2.0;;;;;8.0;;649.0;657.0;;9.0;45.0;;;8.0;349.0;;;;349.0;;;;0.0;-148.0;;410.0;673.0;;673.0;;10.0;24.0;;2.0;-64.0;-0.0;;;-46.0;68.0;-233.0;;;;-2.0;-38.0;163.0;-0.0;-22.0;78.0;;11.0;25.0;;;1.98;0.27;1.08;0.58;6.23;7.02;37.0;46.1;2.3;4.7;74.0;;24.0;10.0;;13.6;-46.0;349.0;262.0;5.8;5.2;3.8;-117.2;-350.3
2016.0;104.0;94.0;85.0;;29.0;29.0;56.0;15.0;925.0;118.0;473.0;452.0;64.0;-285.0;216.0;-4.0;64.0;10.0;90.0;41.0;;9.0;9.0;;32.0;52.0;1.0;23.0;32.0;81.33;;-23.0;28.24;;28.24;0.52;0.52;56.0;;8.0;;8.0;6.0;;1.0;;;2.0;2.0;14.0;;895.0;911.0;;12.0;95.0;;;11.0;355.0;;;;355.0;;;;1.0;-160.0;;611.0;925.0;;925.0;;29.0;32.0;;2.0;-57.0;-3.0;;;-103.0;59.0;-279.0;;-5.0;;-1.0;-300.0;200.0;-1.0;-37.0;354.0;;8.0;11.0;;;1.86;0.52;1.15;0.67;4.98;8.07;56.0;25.3;1.1;5.0;104.0;;32.0;29.0;;28.2;-103.0;355.0;452.0;6.5;5.7;6.5;-27.0;-252.4
2017.0;131.0;118.0;89.0;;26.0;26.0;73.0;13.0;1185.0;196.0;590.0;595.0;89.0;-303.0;213.0;-1.0;89.0;13.0;90.09;61.0;;11.0;11.0;;50.0;74.0;2.0;24.0;39.0;68.07;;-32.0;19.73;;19.73;0.35;0.35;73.0;;7.0;;7.0;5.0;;1.0;;;2.0;2.0;18.0;;1152.0;1172.0;;17.0;165.0;;;14.0;394.0;;;;394.0;;;;1.0;-189.0;;783.0;1185.0;;1185.0;;26.0;39.0;;2.0;-80.0;;;;-183.0;101.0;-290.0;;;8.0;-20.0;-436.0;170.0;-1.0;-53.0;532.0;;7.0;8.0;;;1.8;0.36;1.22;0.72;3.99;8.19;73.0;49.5;2.1;4.1;131.0;;39.0;26.0;;19.7;-183.0;394.0;595.0;5.1;4.2;4.4;-103.2;-131.6
2018.0;155.0;140.0;132.0;;58.0;58.0;79.0;57.0;1292.0;129.0;524.0;768.0;99.0;-115.0;46.0;30.0;99.0;15.0;90.42;58.0;;13.0;13.0;;46.0;73.0;2.0;28.0;46.0;84.68;;-24.0;37.28;;37.28;0.73;0.72;79.0;;37.0;;37.0;11.0;;9.0;;;2.0;2.0;18.0;;1214.0;1235.0;;16.0;95.0;;;18.0;395.0;;;;395.0;;;;1.0;-198.0;;966.0;1292.0;;1292.0;;58.0;46.0;;4.0;111.0;;;;-72.0;-120.0;-108.0;;;;-7.0;-135.0;180.0;-1.0;-63.0;65.0;;37.0;7.0;;;1.96;0.73;1.25;0.79;1.36;9.68;79.0;22.5;0.9;4.8;155.0;;46.0;58.0;;37.3;-72.0;395.0;768.0;7.4;6.6;7.5;-8.8;-116.3
2019.0;159.0;153.0;126.0;;46.0;46.0;93.0;68.0;1519.0;97.0;591.0;928.0;126.0;-316.0;173.0;-16.0;126.0;6.0;96.26;68.0;;15.0;15.0;;53.0;74.0;4.0;28.0;52.0;79.44;;-39.0;29.15;;29.15;0.49;0.49;93.0;;20.0;;20.0;3.0;;45.0;;;2.0;2.0;33.0;;1416.0;1451.0;;15.0;60.0;;;22.0;495.0;;;;495.0;;;;1.0;-236.0;;1163.0;1519.0;;1519.0;;46.0;52.0;;4.0;44.0;;;;-28.0;-20.0;-322.0;;;2.0;4.0;-378.0;196.0;-3.0;-81.0;438.0;;20.0;37.0;;;1.71;0.5;1.36;0.87;3.46;9.96;93.0;45.8;1.9;3.8;159.0;;52.0;46.0;;29.1;-28.0;495.0;928.0;5.2;4.9;5.0;-73.9;-89.3
2020.0;176.0;171.0;157.0;;81.0;81.0;95.0;38.0;1504.0;94.0;589.0;914.0;146.0;-42.0;-106.0;-1.0;146.0;5.0;97.32;69.0;;16.0;16.0;;53.0;74.0;3.0;24.0;53.0;89.56;;-21.0;46.03;;46.03;0.85;0.85;95.0;;19.0;;19.0;2.0;;18.0;;;;2.0;;;1463.0;1465.0;;20.0;50.0;;;24.0;496.0;;;;496.0;;;;1.0;-251.0;;1164.0;1504.0;;1504.0;;81.0;53.0;;4.0;-27.0;;;;-55.0;35.0;;;;;47.0;-75.0;;-2.0;-93.0;65.0;;19.0;20.0;;;1.85;0.85;1.53;0.98;;9.6;95.0;21.9;0.6;5.3;176.0;;53.0;81.0;;46.0;-55.0;496.0;914.0;7.4;7.0;8.8;-15.2;65.6
2021.0;190.0;187.0;151.0;;72.0;72.0;96.0;35.0;1641.0;132.0;725.0;916.0;157.0;-193.0;37.0;1.0;151.0;4.0;98.12;82.0;;27.0;27.0;;55.0;86.0;2.0;24.0;55.0;79.42;;;37.85;;37.85;0.74;0.74;96.0;;20.0;;20.0;2.0;;12.0;;;;1.0;;;1605.0;1606.0;;25.0;80.0;;;26.0;593.0;;;;593.0;;;;1.0;-282.0;;1197.0;1641.0;;1641.0;;72.0;55.0;;11.0;6.0;;;;;13.0;-6.0;;;;-187.0;-490.0;23.0;-1.0;-101.0;606.0;;20.0;19.0;;;1.98;0.75;1.57;1.05;0.06;9.54;96.0;30.0;1.0;4.7;190.0;;55.0;72.0;;37.8;-97.0;593.0;916.0;6.3;5.8;7.9;-40.0;52.5
