;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;59.0;27.0;12.0;9.0;10.0;6.0;397.0;42.0;52.0;13.0;19.0;33.0;13.0;-4.0;16.0;;10.0;32.0;45.56;18.0;;16.0;16.0;;2.0;50.0;;;2.0;20.14;15.36;1.0;16.38;4.0;10.24;0.02;0.02;381.0;;28.0;;28.0;12.0;;2.0;6.0;;2.0;2.0;;;1.0;9.0;;2.0;;;;11.0;;;;6.0;6.0;;;;;8.0;-4.0;29.0;52.0;;52.0;;6.0;2.0;4.0;;2.0;;;;29.0;0.0;-4.0;;;;;;23.0;-1.0;;-6.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;89.0;43.0;21.0;17.0;18.0;11.0;466.0;57.0;69.0;13.0;24.0;46.0;19.0;-6.0;2.0;14.0;13.0;46.0;48.03;26.0;;23.0;23.0;;3.0;72.0;;;3.0;23.51;18.67;1.0;20.13;7.0;12.6;0.03;0.02;440.0;;43.0;;43.0;11.0;;3.0;10.0;;2.0;2.0;;;1.0;12.0;;1.0;;;;12.0;;;10.0;-0.0;10.0;;;;0.0;19.0;-7.0;33.0;69.0;;69.0;;11.0;3.0;4.0;;14.0;;;;44.0;-14.0;-6.0;;;;;;2.0;;;;;43.0;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;137.0;67.0;33.0;26.0;28.0;18.0;486.0;88.0;110.0;27.0;43.0;66.0;30.0;-13.0;2.0;19.0;20.0;70.0;48.6;40.0;;36.0;36.0;;5.0;111.0;;;5.0;23.9;19.07;2.0;20.61;11.0;12.9;0.04;0.04;446.0;;62.0;;62.0;22.0;;4.0;16.0;;1.0;1.0;;;4.0;21.0;;3.0;;;;24.0;;;17.0;;17.0;;;;0.0;37.0;-11.0;40.0;110.0;;110.0;;18.0;5.0;6.0;;18.0;;;;62.0;-16.0;-11.0;;;;-2.0;;2.0;;;0.0;-0.0;62.0;43.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;178.0;87.0;42.0;36.0;35.0;22.0;489.0;117.0;145.0;22.0;46.0;99.0;32.0;-15.0;6.0;23.0;17.0;91.0;48.9;51.0;;45.0;45.0;;6.0;142.0;;;6.0;23.49;20.04;-0.0;19.91;13.0;12.46;0.05;0.05;456.0;;85.0;;85.0;28.0;;4.0;24.0;;1.0;1.0;;;2.0;28.0;;4.0;;;;18.0;;;24.0;;24.0;;;;0.0;59.0;-17.0;56.0;145.0;;145.0;;22.0;6.0;8.0;;34.0;;;;96.0;-38.0;-15.0;;;;;;6.0;;;-0.0;-0.0;85.0;62.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;229.0;106.0;53.0;45.0;45.0;35.0;510.0;176.0;231.0;41.0;66.0;165.0;57.0;-35.0;20.0;41.0;34.0;123.0;46.44;61.0;;53.0;53.0;;8.0;184.0;;;8.0;23.11;19.73;-0.0;19.68;11.0;15.09;0.07;0.07;474.0;;126.0;;126.0;41.0;;9.0;39.0;1.0;13.0;14.0;;;3.0;56.0;;7.0;;;;35.0;;;25.0;;25.0;;;;0.0;94.0;-0.0;72.0;231.0;;231.0;;35.0;8.0;0.0;;39.0;;;;134.0;-24.0;-22.0;;;;-13.0;;20.0;;;;-0.0;126.0;85.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;368.0;169.0;84.0;72.0;72.0;57.0;543.0;278.0;361.0;63.0;87.0;274.0;80.0;-38.0;22.0;68.0;50.0;200.0;45.76;94.0;;84.0;84.0;;10.0;294.0;;;12.0;22.86;19.64;-0.0;19.62;15.0;15.58;0.12;0.1;500.0;;194.0;;194.0;62.0;;22.0;58.0;;21.0;21.0;;;3.0;82.0;;9.0;;;;53.0;;;24.0;;24.0;;;;1.0;151.0;4.0;118.0;361.0;;361.0;;57.0;12.0;-1.0;;82.0;;;;216.0;-70.0;-30.0;-8.0;;;;;25.0;;;-3.0;4.0;194.0;126.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;587.0;267.0;139.0;118.0;122.0;100.0;570.0;454.0;573.0;115.0;119.0;454.0;127.0;-68.0;37.0;99.0;81.0;320.0;45.49;149.0;;133.0;133.0;;16.0;469.0;;;16.0;23.61;20.05;4.0;20.81;22.0;17.09;0.19;0.17;524.0;;293.0;21.0;315.0;111.0;;29.0;91.0;;22.0;22.0;;;6.0;119.0;;11.0;;;15.0;89.0;;;4.0;;4.0;;;;1.0;251.0;10.0;191.0;573.0;;573.0;;100.0;16.0;-22.0;;123.0;;;;339.0;-90.0;-47.0;-1.0;-43.0;23.0;;;37.0;;;;4.0;293.0;194.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;886.0;406.0;207.0;178.0;185.0;166.0;588.0;663.0;870.0;156.0;156.0;714.0;160.0;-205.0;47.0;-2.0;88.0;480.0;45.82;228.0;;207.0;207.0;;21.0;708.0;;;21.0;23.33;20.05;8.0;20.92;19.0;18.77;0.3;0.28;546.0;;197.0;227.0;424.0;177.0;;63.0;147.0;;35.0;35.0;;17.0;8.0;206.0;;16.0;;;20.0;119.0;;;;;;;;;1.0;417.0;2.0;293.0;870.0;;870.0;;166.0;21.0;-47.0;;169.0;;;;508.0;-149.0;-72.0;-20.0;-626.0;513.0;;;47.0;;;;-5.0;197.0;199.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1424.0;636.0;312.0;259.0;278.0;233.0;602.0;1040.0;1326.0;250.0;252.0;1073.0;253.0;-272.0;83.0;69.0;148.0;788.0;44.68;377.0;;343.0;343.0;;34.0;1165.0;;;34.0;21.9;18.18;19.0;19.51;45.0;16.34;0.41;0.39;563.0;;266.0;382.0;648.0;298.0;;94.0;220.0;27.0;20.0;48.0;;1.0;17.0;286.0;;28.0;;;19.0;202.0;;;;3.0;3.0;;;;1.0;650.0;12.0;410.0;1326.0;;1326.0;;233.0;34.0;-2.0;;283.0;;;;791.0;-295.0;-105.0;-15.0;-488.0;335.0;;;51.0;;;31.0;6.0;266.0;197.0;;;2.53;0.41;0.26;;0.19;1.91;563.0;39.6;2.2;;1424.0;18.2;34.0;233.0;16.2;16.3;791.0;;1073.0;21.6;21.0;21.7;100.0;-34.7
2007.0;2136.0;930.0;468.0;382.0;414.0;350.0;607.0;1242.0;1838.0;341.0;370.0;1468.0;344.0;-277.0;4.0;74.0;162.0;1206.0;43.53;548.0;;494.0;494.0;;54.0;1754.0;;;54.0;21.93;17.87;33.0;19.4;64.0;16.4;0.61;0.57;576.0;;340.0;331.0;670.0;436.0;;135.0;356.0;149.0;46.0;194.0;;12.0;34.0;596.0;;36.0;;;29.0;275.0;;;15.0;14.0;29.0;;;;3.0;1000.0;15.0;451.0;1838.0;;1838.0;;350.0;54.0;25.0;;111.0;;;;901.0;-195.0;-182.0;-147.0;-969.0;1021.0;;;67.0;;;-63.0;3.0;340.0;266.0;;;3.71;0.61;0.28;;0.32;2.55;576.0;33.0;1.9;;2136.0;17.9;54.0;350.0;15.5;16.4;901.0;;1468.0;23.4;22.5;23.8;100.0;-41.5
2008.0;2816.0;1243.0;590.0;517.0;515.0;431.0;598.0;1468.0;2375.0;388.0;409.0;1966.0;430.0;-55.0;44.0;395.0;260.0;1573.0;44.15;727.0;;652.0;652.0;;75.0;2300.0;;;75.0;20.95;18.35;-1.0;18.29;84.0;15.3;0.74;0.72;580.0;;735.0;28.0;763.0;580.0;;126.0;455.0;154.0;48.0;202.0;162.0;;87.0;906.0;;40.0;;;38.0;309.0;;;7.0;14.0;21.0;;;;3.0;1430.0;-9.0;542.0;2375.0;;2375.0;;431.0;75.0;-5.0;;179.0;;;;1081.0;-250.0;-169.0;-21.0;-135.0;271.0;;;55.0;-28.0;;17.0;-24.0;735.0;340.0;;;4.85;0.74;0.45;;0.29;3.39;580.0;18.1;0.8;;2816.0;18.3;75.0;431.0;16.4;15.3;1081.0;;1966.0;21.7;21.7;21.9;100.0;-10.4
2009.0;3279.0;1429.0;726.0;618.0;637.0;535.0;602.0;2308.0;3338.0;647.0;685.0;2653.0;672.0;-395.0;77.0;366.0;596.0;1849.0;43.59;811.0;;721.0;721.0;;89.0;2660.0;16.0;;89.0;22.15;18.86;18.0;19.43;102.0;16.32;0.91;0.89;587.0;;1101.0;298.0;1399.0;709.0;;199.0;482.0;192.0;76.0;268.0;151.0;81.0;49.0;1031.0;;55.0;;;52.0;540.0;;;;38.0;38.0;;;;3.0;1965.0;20.0;665.0;3338.0;;3338.0;;535.0;89.0;-27.0;13.0;580.0;-98.0;;7.0;1661.0;-519.0;-77.0;-69.0;-348.0;99.0;;;62.0;-16.0;;32.0;11.0;1101.0;735.0;;;5.59;0.91;1.02;;0.13;4.52;587.0;16.3;0.2;;3279.0;18.9;89.0;535.0;16.0;16.3;1661.0;;2653.0;19.9;19.1;20.2;100.0;-7.6
