;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2006.0;;;-0.0;;;-0.0;56.0;0.0;0.0;0.0;0.0;0.0;-0.0;;0.0;;-0.0;;;;;0.0;;;;0.0;;;;-inf;;;;;-inf;-0.0;-0.0;56.0;;0.0;;0.0;;;0.0;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;;;;;0.0;;;;;;;;;;;0.0;;;;;;;-0.0;-0.0;;;0.0;56.0;;;;;;;-0.0;;-inf;0.0;;0.0;;-10.0;-10.9;100.0;
2007.0;;;-0.0;;;-0.0;56.0;;;0.0;0.0;-0.0;-0.0;;0.0;;-0.0;;;;;0.0;;;;0.0;;;;-inf;;;;;-inf;-0.0;-0.0;56.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;;;;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;0.0;;;-0.0;;;0.0;;;;-0.0;-0.0;;;-0.0;56.0;;;;;;;-0.0;;-inf;-0.0;;-0.0;;-inf;938.7;100.0;
2008.0;;;-0.0;-0.0;-0.0;-0.0;56.0;;;0.0;;-0.0;;;0.0;;;;;;;0.0;;;;;;;;-inf;-inf;-0.0;-inf;;-inf;-0.0;-0.0;56.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;-0.0;;;;;;;;-0.0;0.0;;;;;;;;;;0.0;;;;;;;-0.0;;;;-0.0;56.0;-405.9;-18.9;;;-inf;;-0.0;;-inf;-0.0;;-0.0;938.7;-inf;303.1;100.0;
2009.0;;;-2.0;-2.0;-2.0;-2.0;77.0;0.0;0.0;1.0;1.0;-1.0;-1.0;-0.0;1.0;-0.0;-1.0;;;2.0;0.0;2.0;;;;2.0;;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-0.03;-0.03;77.0;;0.0;;0.0;;;0.0;0.0;;;;;;0.0;0.0;;;1.0;;0.0;0.0;;;;;;;;0.0;0.0;-5.0;-0.0;4.0;0.0;;0.0;;-2.0;0.0;;0.0;-1.0;;;;-1.0;2.0;-0.0;;;;;-0.0;0.0;;;0.0;;0.0;0.0;;;;-0.03;-0.01;;0.0;-0.02;77.0;-8.9;-0.1;;;-inf;0.0;-2.0;;-inf;-1.0;;-1.0;205.7;-3011.5;214.1;100.0;
2010.0;;;-8.0;-8.0;-8.0;-8.0;115.0;0.0;0.0;1.0;1.0;-1.0;-1.0;-0.0;1.0;-0.0;-1.0;;;8.0;2.0;6.0;;;;8.0;;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-0.07;-0.07;115.0;;0.0;;0.0;;;0.0;0.0;;0.0;0.0;;;0.0;0.0;;;1.0;;0.0;0.0;;;;;;;;0.0;0.0;-14.0;-0.0;13.0;0.0;;0.0;;-8.0;0.0;;;0.0;;;;-1.0;7.0;-0.0;;;;-0.0;-0.0;1.0;;;0.0;;0.0;0.0;;;;-0.07;-0.01;;0.0;-0.01;115.0;-2.2;-0.1;;;-inf;0.0;-8.0;;-inf;-1.0;;-1.0;1034.8;-3188.9;1079.0;100.0;
2011.0;1.0;0.0;-3.0;-3.0;;-3.0;139.0;0.0;0.0;1.0;1.0;-1.0;-1.0;-0.0;1.0;0.0;-1.0;0.0;84.55;4.0;1.0;3.0;3.0;;;4.0;;0.0;0.0;-538.2;-541.78;;;;-558.62;-0.02;-0.02;139.0;;0.0;;0.0;;0.0;0.0;0.0;;0.0;0.0;;;0.0;0.0;;0.0;1.0;;0.0;0.0;;;;;;;;0.0;0.0;-17.0;-0.0;16.0;0.0;;0.0;;-3.0;0.0;;3.0;-0.0;;-0.0;;-1.0;0.0;-0.0;;;;-0.0;-0.0;1.0;;;0.0;;0.0;0.0;;;0.0;-0.02;-0.01;;0.0;-0.01;139.0;-3.4;-0.2;;1.0;-541.8;0.0;-3.0;;-558.6;-1.0;;-1.0;;-803.9;445.1;100.0;
2012.0;0.0;0.0;-2.0;-2.0;-2.0;-2.0;159.0;0.0;1.0;3.0;3.0;-2.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;78.33;2.0;0.0;2.0;;;;2.0;;0.0;0.0;-836.54;-921.75;-0.0;-1029.89;;-1029.89;-0.01;-0.01;159.0;;0.0;;0.0;0.0;0.0;;0.0;;0.0;0.0;;;0.0;0.0;;0.0;1.0;;0.0;1.0;;;;;;;;;0.0;-19.0;;17.0;1.0;;1.0;;-2.0;0.0;;0.0;-1.0;;-0.0;;-2.0;2.0;-0.0;;;;-0.0;-0.0;0.0;;;1.0;;0.0;0.0;;;0.0;-0.01;-0.0;;0.0;-0.01;159.0;-2.5;-0.2;;0.0;-921.8;0.0;-2.0;;-1029.9;-2.0;;-2.0;87.9;-302.5;98.2;100.0;
2013.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;160.0;0.0;1.0;3.0;3.0;-2.0;1.0;-0.0;-0.0;0.0;1.0;0.0;97.53;2.0;0.0;2.0;2.0;;;2.0;;0.0;0.0;-55.3;-66.65;-0.0;-78.45;;-78.45;-0.01;-0.01;160.0;;0.0;;0.0;;0.0;0.0;0.0;;;0.0;;;0.0;0.0;;0.0;0.0;;;2.0;;;;;;;;;0.0;-20.0;-0.0;18.0;1.0;;1.0;;-1.0;0.0;;;-0.0;;-0.0;;-2.0;2.0;-0.0;;;;-0.0;-1.0;;-0.0;;0.0;;0.0;0.0;;;0.01;-0.01;0.0;;0.0;-0.01;160.0;-9.7;-0.6;;1.0;-66.6;0.0;-1.0;;-78.4;-2.0;;-2.0;39.5;-140.2;46.5;100.0;
2014.0;2.0;2.0;-2.0;-1.0;-2.0;-2.0;161.0;1.0;2.0;2.0;2.0;-0.0;0.0;-0.0;1.0;1.0;-0.0;0.0;93.52;2.0;0.0;2.0;2.0;;;3.0;;;0.0;-112.29;-40.39;-1.0;-117.72;;-117.72;-0.01;-0.01;161.0;;1.0;;1.0;;0.0;;0.0;;0.0;0.0;;;0.0;0.0;;0.0;;;;2.0;;;;;;;;;0.0;-22.0;-0.0;22.0;2.0;;2.0;;-2.0;0.0;;;2.0;;-0.0;;-1.0;0.0;-0.0;;;;-0.0;;1.0;;;;;1.0;0.0;;;0.01;-0.01;-0.0;;0.0;-0.0;161.0;-5.9;-0.3;;2.0;-40.4;0.0;-2.0;;-117.7;-1.0;;-0.0;571.8;-140.3;571.8;100.0;
2015.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;183.0;2.0;2.0;3.0;3.0;-1.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;85.03;2.0;0.0;2.0;2.0;;;2.0;;;0.0;-263.49;-281.84;;-281.84;;-281.84;-0.01;-0.01;183.0;;1.0;;1.0;;0.0;;0.0;;0.0;0.0;;;0.0;0.0;;0.0;;;;3.0;;;;;;;;;0.0;-23.0;-0.0;22.0;2.0;;2.0;;-1.0;0.0;;;-1.0;;-0.0;;-1.0;2.0;-0.0;;;;;;0.0;;;;;1.0;1.0;;;0.0;-0.01;-0.0;;0.0;-0.01;183.0;-5.3;-0.3;;0.0;-281.8;0.0;-1.0;;-281.8;-1.0;;-1.0;128.2;-78.3;128.2;100.0;
