;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
2008.0;16561.0;5627.0;4630.0;;3093.0;2368.0;752.0;2248.0;18468.0;1798.0;10719.0;7749.0;2687.0;-1964.0;-852.0;-149.0;641.0;10934.0;33.98;2315.0;;1130.0;167.0;963.0;1185.0;13250.0;;218.0;1318.0;27.95;;-218.0;18.68;725.0;14.3;3.16;3.15;750.0;;153.0;;153.0;911.0;503.0;681.0;12262.0;936.0;;936.0;;;3022.0;16220.0;;1420.0;84.0;254.0;;294.0;5810.0;;2411.0;700.0;8921.0;;;;;;188.0;;18468.0;;18468.0;;2368.0;1318.0;385.0;;-312.0;;;;;-1072.0;-2046.0;47.0;;;-2011.0;-739.0;;;;-113.0;-20.0;153.0;302.0;;0.82;26.87;3.84;1.04;;3.32;12.57;750.0;;;;20152.0;;1604.0;2882.0;23.4;14.3;548.0;7070.0;9429.0;15.2;17.9;30.6;100.0;;0.822
2009.0;10094.0;3719.0;2500.0;;946.0;645.0;751.0;2274.0;20459.0;1828.0;11321.0;9138.0;3480.0;-1772.0;-1722.0;-5.0;1594.0;6375.0;36.84;2556.0;;856.0;187.0;669.0;1700.0;8931.0;;217.0;1337.0;24.76;;-217.0;9.37;301.0;6.39;0.86;0.86;751.0;;147.0;;147.0;1236.0;832.0;58.0;14471.0;1090.0;;1090.0;;;2624.0;18185.0;;1761.0;;;;67.0;5998.0;;2346.0;1149.0;9493.0;;;;;39.0;2157.0;;20459.0;;20459.0;;645.0;1337.0;-549.0;;1042.0;;;;;1004.0;-1886.0;208.0;;;-1980.0;-3874.0;1.0;;-150.0;2302.0;9.0;147.0;152.0;;0.95;14.14;0.9;2.23;0.21;2.64;12.8;751.0;27.6;0.4;0.8;10618.0;;1406.0;679.0;31.8;6.4;469.0;6309.0;9612.0;4.3;5.7;7.1;76.7;9.4;0.951
2010.0;13008.0;4099.0;2759.0;;1166.0;996.0;753.0;2782.0;22155.0;2492.0;12106.0;10049.0;2601.0;-1801.0;-633.0;145.0;387.0;8909.0;31.51;2653.0;;1395.0;327.0;1068.0;1258.0;11562.0;;280.0;1314.0;21.21;;-280.0;8.96;170.0;7.65;1.32;1.32;752.0;;301.0;;301.0;1436.0;882.0;163.0;15572.0;1149.0;;1149.0;;;2651.0;19372.0;;2174.0;;154.0;;318.0;5623.0;;2410.0;1580.0;9614.0;;;;;;-13526.0;;22155.0;;22155.0;;996.0;1314.0;88.0;;179.0;;;;179.0;24.0;-2214.0;310.0;;4.0;-2115.0;-58.0;28.0;;-603.0;;-22.0;301.0;155.0;;1.0;17.25;1.32;0.51;0.8;2.94;13.33;752.0;20.8;1.0;2.9;12973.0;;1310.0;993.0;14.6;7.7;290.0;5608.0;10022.0;6.3;6.5;9.9;39.5;148.4;1.003
2011.0;15393.0;3722.0;3873.0;;2164.0;1449.0;758.0;3836.0;21766.0;3323.0;12541.0;9224.0;3210.0;-2481.0;-547.0;191.0;472.0;11671.0;24.18;1316.0;;;;;1316.0;12987.0;122.0;438.0;1270.0;25.16;;-241.0;14.06;715.0;9.42;1.92;1.91;754.0;;485.0;;485.0;1709.0;1266.0;375.0;14911.0;1110.0;;1110.0;;;1909.0;17930.0;;774.0;;323.0;;2549.0;3459.0;;2060.0;3699.0;9219.0;;;;;1373.0;117.0;;21766.0;;21766.0;;1449.0;1270.0;564.0;;-3.0;;;;-3.0;-71.0;-2738.0;;;;-260.0;;47.0;;-591.0;-3.0;10.0;485.0;294.0;;0.98;20.82;1.96;0.64;0.8;3.7;12.47;754.0;17.8;1.1;2.3;15696.0;;1295.0;1478.0;33.0;9.4;523.0;3527.0;9406.0;9.5;12.0;15.7;59.2;115.4;0.981
2012.0;17344.0;4264.0;3820.0;;1788.0;1000.0;759.0;4610.0;24378.0;3292.0;14507.0;9872.0;3443.0;-3358.0;596.0;669.0;-29.0;13080.0;24.59;2153.0;;354.0;354.0;;1799.0;15233.0;110.0;437.0;1596.0;22.03;;-323.0;10.31;788.0;5.76;1.32;1.32;756.0;;1168.0;;1168.0;1815.0;1297.0;330.0;17554.0;744.0;;744.0;;;1471.0;19769.0;;681.0;;218.0;;2611.0;4710.0;31.0;2585.0;3888.0;11215.0;;;;3855.0;1740.0;96.0;4182.0;24378.0;;24378.0;;1000.0;1596.0;477.0;;-224.0;;;;-224.0;595.0;-3472.0;;-13.0;;-3345.0;;37.0;;-669.0;1228.0;-11.0;1168.0;498.0;;1.01;22.8;1.31;-0.04;0.88;4.56;12.98;756.0;26.0;1.8;2.6;17229.0;;1585.0;993.0;44.1;5.8;1309.0;4679.0;9806.0;5.9;9.1;10.1;33.0;-2165.5;1.007
2013.0;17878.0;4096.0;3225.0;;1030.0;623.0;758.0;5281.0;23743.0;3557.0;14381.0;9362.0;3331.0;-1430.0;-683.0;1216.0;254.0;13783.0;22.91;2184.0;23.0;329.0;329.0;;1833.0;15966.0;90.0;470.0;1725.0;18.04;;-882.0;5.76;407.0;3.49;0.83;0.82;756.0;;2308.0;;2308.0;1726.0;1185.0;61.0;17703.0;696.0;;696.0;30.0;;34.0;18463.0;;96.0;;252.0;;3461.0;4704.0;24.0;2694.0;3403.0;10824.0;;;;3631.0;1563.0;198.0;3971.0;23743.0;;23743.0;;623.0;1725.0;230.0;;-66.0;;;;-66.0;819.0;-3077.0;;;1399.0;-2829.0;-777.0;26.0;;-689.0;756.0;-2.0;2308.0;1092.0;;0.94;25.13;0.88;0.36;0.97;4.32;13.16;756.0;34.4;2.0;3.2;18993.0;;1833.0;662.0;39.5;3.5;1831.0;4997.0;9946.0;4.5;6.3;6.7;-10.6;260.7;0.941
2014.0;17300.0;3669.0;3070.0;;1028.0;640.0;758.0;3609.0;21248.0;2544.0;12484.0;8764.0;3034.0;-3743.0;-686.0;-1350.0;403.0;13631.0;21.21;2212.0;13.0;308.0;308.0;;1891.0;15843.0;28.0;367.0;1674.0;17.75;;-428.0;5.94;388.0;3.7;0.84;0.84;757.0;;760.0;;760.0;1337.0;1053.0;459.0;17370.0;208.0;;208.0;31.0;;29.0;17638.0;;44.0;;307.0;;2500.0;4696.0;;2841.0;2402.0;9939.0;;;;3346.0;1376.0;350.0;3692.0;21248.0;;21248.0;;640.0;1674.0;309.0;;40.0;;;;40.0;370.0;-2631.0;;-1362.0;;-2381.0;;24.0;;-693.0;-17.0;45.0;760.0;2110.0;;0.86;26.56;0.98;0.62;1.06;4.04;13.46;757.0;28.0;1.5;3.9;20107.0;;1946.0;744.0;37.7;3.7;1238.0;5458.0;10186.0;4.6;6.6;7.3;-8.2;166.0;0.86
2015.0;9541.0;1107.0;2243.0;;388.0;446.0;819.0;4676.0;18631.0;1342.0;9680.0;8951.0;1065.0;641.0;646.0;2328.0;-173.0;8433.0;11.61;1703.0;20.0;242.0;242.0;;1441.0;10136.0;20.0;328.0;1527.0;23.51;;983.0;4.07;-59.0;4.68;0.54;0.54;819.0;;2965.0;;2965.0;857.0;585.0;269.0;13661.0;175.0;;175.0;33.0;;87.0;13955.0;;49.0;;96.0;;1293.0;4714.0;;2034.0;1590.0;8338.0;;;;3998.0;1089.0;737.0;3128.0;18631.0;;18631.0;;446.0;1527.0;-191.0;;-157.0;;;;-157.0;-561.0;-1238.0;-61.0;;2.0;700.0;;1047.0;;-381.0;-20.0;-25.0;2965.0;638.0;;0.72;16.13;0.75;-0.29;0.64;2.09;15.13;819.0;21.5;1.1;4.0;13207.0;;2114.0;618.0;-15.1;4.7;4615.0;6525.0;12391.0;4.8;3.8;5.0;14.6;383.8;0.722
2016.0;9141.0;1308.0;776.0;;-690.0;-406.0;833.0;5078.0;18800.0;1988.0;10173.0;8626.0;641.0;-803.0;-125.0;-287.0;-129.0;7834.0;14.31;1533.0;27.0;243.0;243.0;;1263.0;9366.0;39.0;351.0;1115.0;8.48;;-465.0;-7.55;-284.0;-4.44;-0.48;-0.48;833.0;;2769.0;;2769.0;1278.0;921.0;110.0;13406.0;180.0;;180.0;26.0;;110.0;13722.0;;78.0;;83.0;;1910.0;4713.0;;1924.0;1548.0;8185.0;;;;4119.0;592.0;677.0;3238.0;18800.0;;18800.0;;-406.0;1115.0;-156.0;;-418.0;;;;-418.0;505.0;-770.0;;-1.0;;-802.0;;;;-124.0;-1.0;1.0;2769.0;3055.0;;0.74;14.74;-0.65;-0.21;0.2;1.24;13.91;833.0;-21.3;-1.0;1.4;12282.0;;1498.0;-545.0;41.2;-4.4;4151.0;6332.0;11590.0;-1.2;-1.8;-4.7;130.5;;0.744
2017.0;13761.0;2721.0;4739.0;;1761.0;2675.0;1103.0;3980.0;32534.0;3526.0;16653.0;15881.0;2431.0;-10226.0;5178.0;-2472.0;1104.0;11040.0;19.78;2529.0;29.0;245.0;245.0;;2256.0;13569.0;49.0;492.0;1613.0;34.44;;1569.0;12.8;-41.0;19.44;2.42;2.42;1103.0;;485.0;;485.0;1458.0;1104.0;934.0;26442.0;1806.0;;1806.0;29.0;;276.0;28553.0;;268.0;;103.0;;3258.0;7561.0;;4461.0;1105.0;13127.0;;;;8775.0;3129.0;511.0;3466.0;32534.0;;32534.0;;2675.0;1613.0;463.0;;115.0;;;;115.0;-2436.0;-1327.0;-11576.0;;;1350.0;-2861.0;2304.0;;-179.0;5914.0;145.0;485.0;2957.0;;0.79;15.7;3.05;1.26;0.2;1.51;18.12;1103.0;3.3;0.1;2.0;17314.0;;2030.0;3366.0;-2.3;19.4;572.0;9513.0;19981.0;11.0;9.6;16.8;93.3;-192.5;0.795
