;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;24.0;7.0;3.0;2.0;2.0;1.0;2.0;14.0;21.0;3.0;4.0;17.0;;;;;;17.0;27.54;5.0;;4.0;4.0;;1.0;22.0;;0.0;1.0;13.98;6.36;1.0;9.75;1.0;5.08;0.78;0.78;2.0;;8.0;;8.0;3.0;3.0;1.0;6.0;;1.0;1.0;;;0.0;7.0;;;;;;3.0;1.0;;1.0;0.0;2.0;;;;;16.0;-13.0;13.0;21.0;;21.0;;1.0;1.0;;;;;;;11.0;-2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;22.0;6.0;3.0;1.0;2.0;1.0;2.0;13.0;19.0;2.0;3.0;16.0;;;;;;16.0;27.8;5.0;;4.0;4.0;;1.0;21.0;;0.0;1.0;13.0;5.83;1.0;8.07;1.0;3.59;0.53;0.53;2.0;;8.0;;8.0;2.0;2.0;1.0;5.0;;1.0;1.0;;;0.0;6.0;;;;;;2.0;;;1.0;;1.0;;;;;16.0;-13.0;13.0;19.0;;19.0;;1.0;1.0;;;1.0;;;;12.0;-3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;18.0;6.0;2.0;2.0;3.0;1.0;1.0;14.0;18.0;2.0;2.0;16.0;;;;;;12.0;33.89;4.0;;4.0;4.0;;1.0;16.0;;;1.0;12.22;11.11;1.0;14.44;1.0;2.78;0.36;0.36;1.0;;8.0;;8.0;2.0;2.0;1.0;4.0;;;;;;0.0;4.0;;;;;;2.0;;;1.0;;1.0;;;;;16.0;-10.0;10.0;18.0;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;18.0;6.0;3.0;2.0;2.0;2.0;1.0;14.0;18.0;2.0;3.0;16.0;;;;;;12.0;33.9;4.0;;4.0;4.0;;0.0;16.0;;;0.0;15.82;10.17;1.0;13.56;1.0;8.47;1.03;1.03;1.0;;8.0;;8.0;3.0;2.0;1.0;4.0;;;;;;0.0;4.0;;;;;;2.0;;;1.0;;1.0;;;;;16.0;-11.0;10.0;18.0;;18.0;;2.0;0.0;;;0.0;;;;13.0;-2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;18.0;6.0;3.0;2.0;3.0;2.0;1.0;13.0;18.0;2.0;3.0;15.0;;;;;;12.0;32.79;4.0;;4.0;4.0;;0.0;17.0;;;0.0;15.85;9.84;1.0;13.66;1.0;8.2;1.06;1.06;1.0;;8.0;;8.0;2.0;2.0;1.0;4.0;;;;;;0.0;5.0;;;;;;2.0;;;1.0;-0.0;1.0;;;;;17.0;-11.0;9.0;18.0;;18.0;;2.0;0.0;;;-1.0;;;;11.0;-1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;17.0;5.0;3.0;1.0;2.0;1.0;1.0;13.0;17.0;2.0;3.0;15.0;;;;;;12.0;31.18;4.0;;4.0;4.0;;1.0;16.0;;;1.0;14.71;6.47;1.0;11.18;1.0;7.06;0.99;0.99;1.0;;8.0;;8.0;2.0;2.0;1.0;4.0;;;;;;0.0;5.0;;;;;;2.0;;;1.0;;1.0;;;;;17.0;-11.0;9.0;17.0;;17.0;;1.0;1.0;;;-0.0;;;;11.0;-2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;15.0;5.0;2.0;1.0;1.0;1.0;1.0;12.0;17.0;2.0;3.0;14.0;2.0;;-2.0;;1.0;11.0;31.37;4.0;;4.0;4.0;;1.0;15.0;;;1.0;11.76;5.23;1.0;8.5;1.0;5.23;0.63;0.63;1.0;;1.0;;1.0;2.0;2.0;7.0;5.0;;;;;;0.0;5.0;;1.0;;;;1.0;;;1.0;;1.0;;;;;12.0;-11.0;13.0;17.0;;17.0;;1.0;1.0;;;-1.0;;0.0;;10.0;1.0;-1.0;;;1.0;-0.0;;;-1.0;-1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;16.0;5.0;2.0;1.0;2.0;1.0;1.0;12.0;17.0;2.0;3.0;14.0;1.0;2.0;-1.0;;0.0;10.0;34.18;4.0;;4.0;4.0;;1.0;15.0;;;1.0;13.29;8.23;0.0;10.13;1.0;6.33;0.81;0.81;1.0;;3.0;;3.0;2.0;2.0;5.0;5.0;;;;;;;5.0;;1.0;;;;1.0;;;1.0;;1.0;;;;;12.0;-12.0;14.0;17.0;;17.0;;1.0;1.0;;;0.0;;-0.0;;10.0;-1.0;-1.0;;;2.0;;;;;-1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;20.0;7.0;3.0;2.0;2.0;1.0;1.0;12.0;19.0;3.0;4.0;15.0;2.0;-2.0;-1.0;;1.0;13.0;35.78;5.0;;5.0;5.0;;1.0;18.0;;;1.0;14.22;10.29;0.0;11.27;1.0;6.86;1.19;1.19;1.0;;2.0;;2.0;3.0;3.0;4.0;6.0;;0.0;0.0;;;;6.0;;1.0;;;;2.0;;;1.0;;1.0;;;;;13.0;-12.0;14.0;19.0;;19.0;;1.0;1.0;;;-1.0;;-0.0;;9.0;1.0;-1.0;;;1.0;-2.0;;;;-1.0;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;23.0;9.0;4.0;3.0;3.0;2.0;1.0;14.0;20.0;3.0;4.0;16.0;2.0;-1.0;-1.0;;2.0;14.0;37.83;6.0;;5.0;5.0;;1.0;20.0;;;1.0;16.96;13.04;0.0;13.91;1.0;8.26;1.63;1.63;1.0;;2.0;;2.0;3.0;4.0;5.0;6.0;;0.0;0.0;;;-0.0;6.0;;1.0;;;;2.0;;;1.0;;1.0;;;;;14.0;-13.0;14.0;20.0;;20.0;;2.0;1.0;;;2.0;;-1.0;;11.0;-2.0;-0.0;;-8.0;7.0;0.0;;;;-1.0;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
