;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;;;-0.0;-0.0;-0.0;-0.0;7.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;0.0;;-inf;-inf;-0.0;-inf;;-inf;-0.01;-0.01;7.0;;0.0;;0.0;;;0.0;;;;;;;;;;0.0;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;0.0;;;0.0;-0.0;;;;;;;-0.0;0.0;;;0.0;;0.0;0.0;;;;-0.01;-0.01;;;-0.01;7.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;231.2;-3018.9;236.7;100.0;
2012.0;;;-0.0;-0.0;-0.0;-0.0;7.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;;;;;;;;0.0;;0.0;;-inf;-inf;-0.0;-inf;;-inf;-0.01;-0.01;7.0;;0.0;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;0.0;;;-0.0;-0.0;-0.0;;;;;;;;;;0.0;;0.0;0.0;;;;-0.01;-0.01;;;-0.0;7.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;62344.9;-9981.0;66102.9;100.0;
2013.0;2.0;1.0;-1.0;-2.0;-2.0;-2.0;10.0;8.0;14.0;0.0;6.0;8.0;-5.0;-2.0;9.0;2.0;-5.0;1.0;59.13;3.0;1.0;2.0;2.0;;;4.0;;0.0;1.0;-53.89;-75.08;-1.0;-106.78;;-106.78;-0.23;-0.23;10.0;;2.0;;2.0;1.0;2.0;2.0;0.0;2.0;3.0;5.0;0.0;;0.0;6.0;;0.0;;;;0.0;6.0;;;;6.0;;;;0.0;-2.0;-0.0;11.0;14.0;;14.0;;-2.0;1.0;;0.0;8.0;-2.0;-2.0;0.0;8.0;-11.0;-0.0;-2.0;-1.0;;1.0;-0.0;3.0;;;6.0;;2.0;0.0;;;0.22;-0.23;-0.52;;0.02;0.84;10.0;-87.1;-5.1;;2.0;-75.1;1.0;-2.0;;-106.8;8.0;6.0;8.0;-14.0;-13.5;-27.7;100.0;
2014.0;10.0;6.0;0.0;-9.0;-1.0;-1.0;32.0;17.0;22.0;1.0;1.0;21.0;-7.0;-1.0;8.0;0.0;-7.0;4.0;56.95;14.0;1.0;13.0;13.0;;;19.0;0.0;1.0;1.0;2.33;-83.93;7.0;-12.87;;-12.87;-0.04;-0.04;32.0;;2.0;;2.0;2.0;12.0;1.0;1.0;2.0;3.0;4.0;;;0.0;5.0;;1.0;;;;0.0;;;;;;;;;0.0;-4.0;-0.0;25.0;22.0;;22.0;;-1.0;1.0;;8.0;9.0;1.0;-9.0;0.0;16.0;-23.0;-0.0;;;;-1.0;-0.0;8.0;;;;;2.0;2.0;;;0.32;-0.04;-0.23;;0.01;0.67;32.0;-733.2;-40.4;;10.0;-83.9;1.0;-1.0;;-12.9;16.0;;21.0;-3.3;-3.2;-6.2;100.0;
2015.0;12.0;7.0;-10.0;-11.0;-12.0;-12.0;35.0;17.0;27.0;2.0;4.0;23.0;-4.0;-2.0;4.0;-2.0;-4.0;4.0;61.65;19.0;1.0;18.0;18.0;;;23.0;0.0;1.0;1.0;-88.92;-97.23;-1.0;-106.1;;-106.1;-0.35;-0.35;35.0;;1.0;;1.0;1.0;14.0;0.0;0.0;5.0;6.0;10.0;;;;11.0;;1.0;1.0;;;1.0;;;2.0;;2.0;;;;0.0;-16.0;-0.0;40.0;27.0;;27.0;;-12.0;1.0;;6.0;-2.0;-1.0;-2.0;0.0;14.0;3.0;-0.0;-0.0;;;-1.0;-0.0;3.0;;;2.0;;1.0;2.0;;;0.33;-0.35;-0.12;;0.0;0.66;35.0;-4.6;-0.2;;12.0;-97.2;1.0;-12.0;;-106.1;14.0;;23.0;-45.3;-41.3;-52.5;100.0;
2016.0;11.0;7.0;-12.0;-13.0;-14.0;-14.0;53.0;5.0;19.0;3.0;5.0;13.0;-2.0;1.0;2.0;1.0;-2.0;4.0;63.27;14.0;1.0;13.0;13.0;;-0.0;18.0;0.0;1.0;1.0;-108.51;-118.2;-1.0;-127.85;;-127.85;-0.27;-0.27;53.0;;1.0;;1.0;0.0;3.0;1.0;0.0;3.0;4.0;7.0;;;7.0;14.0;;1.0;2.0;;;1.0;1.0;;2.0;;2.0;;;;0.0;-30.0;-0.0;44.0;19.0;;19.0;;-14.0;1.0;;3.0;-12.0;0.0;1.0;-0.0;2.0;21.0;-0.0;;;;1.0;-1.0;;;;3.0;;1.0;1.0;;;0.21;-0.27;-0.04;;0.0;0.25;53.0;-1.5;-0.1;;11.0;-118.2;1.0;-14.0;;-127.9;2.0;1.0;13.0;-84.5;-70.2;-107.1;100.0;
2017.0;21.0;14.0;-5.0;-5.0;-5.0;-5.0;80.0;8.0;23.0;3.0;6.0;16.0;4.0;-2.0;0.0;2.0;2.0;6.0;70.06;17.0;1.0;16.0;16.0;;;23.0;0.0;1.0;0.0;-22.68;-23.5;-1.0;-26.01;-0.0;-23.68;-0.06;-0.06;80.0;;2.0;;2.0;2.0;3.0;2.0;2.0;3.0;4.0;7.0;;;6.0;15.0;;1.0;1.0;;;2.0;1.0;;1.0;1.0;3.0;;;;0.0;-35.0;-0.0;52.0;23.0;;23.0;;-5.0;0.0;-0.0;3.0;3.0;-1.0;1.0;2.0;5.0;2.0;-2.0;;;;;-1.0;;;;1.0;;3.0;1.0;;;0.26;-0.06;0.02;;0.02;0.2;80.0;-5.6;-0.2;;21.0;-23.5;0.0;-5.0;9.0;-23.7;5.0;1.0;16.0;-22.9;-21.5;-29.9;100.0;
2018.0;48.0;34.0;11.0;10.0;10.0;10.0;114.0;25.0;37.0;4.0;7.0;30.0;13.0;-1.0;-1.0;10.0;11.0;14.0;70.22;24.0;2.0;22.0;22.0;;;38.0;;0.0;1.0;22.32;21.24;-0.0;20.92;0.0;20.73;0.11;0.09;92.0;;13.0;;13.0;3.0;7.0;2.0;3.0;3.0;4.0;7.0;;;2.0;11.0;;1.0;0.0;;;3.0;;;1.0;1.0;2.0;;;;0.0;-25.0;-1.0;56.0;37.0;;37.0;;10.0;1.0;-0.0;3.0;16.0;-2.0;-0.0;1.0;21.0;-17.0;-1.0;;;;;-2.0;;;;1.0;;13.0;3.0;;;0.52;0.11;0.12;;0.01;0.33;92.0;25.2;1.0;;48.0;21.2;1.0;10.0;0.9;20.7;21.0;;30.0;31.2;27.8;33.2;100.0;
2019.0;54.0;35.0;-17.0;-17.0;-17.0;-17.0;98.0;32.0;53.0;13.0;24.0;29.0;-2.0;-1.0;0.0;-3.0;-3.0;19.0;65.35;52.0;6.0;46.0;46.0;;;71.0;0.0;;1.0;-30.75;-32.11;0.0;-32.08;-1.0;-30.93;-0.17;-0.17;98.0;;9.0;;9.0;2.0;10.0;11.0;12.0;3.0;4.0;7.0;;;1.0;20.0;;2.0;1.0;;;11.0;;;0.0;10.0;10.0;;10.0;;0.0;-42.0;-2.0;72.0;53.0;;53.0;;-17.0;1.0;-1.0;15.0;-2.0;1.0;-2.0;;19.0;1.0;-1.0;;;;;-0.0;;;;1.0;;10.0;13.0;;;0.55;-0.17;-0.03;;0.01;0.3;98.0;-22.3;-0.9;;54.0;-32.1;1.0;-17.0;3.6;-30.9;19.0;;29.0;-42.1;-32.7;-57.0;100.0;
2020.0;24.0;11.0;-22.0;-23.0;-23.0;-22.0;100.0;17.0;31.0;14.0;19.0;11.0;-7.0;-1.0;3.0;-5.0;-8.0;13.0;45.07;34.0;3.0;31.0;31.0;;;47.0;;;1.0;-88.95;-92.48;-0.0;-92.52;-0.0;-91.22;-0.22;-0.22;100.0;;4.0;;4.0;1.0;9.0;3.0;6.0;3.0;4.0;7.0;;;1.0;14.0;;2.0;3.0;;;10.0;1.0;;0.0;3.0;5.0;;4.0;;0.0;-64.0;;75.0;31.0;;31.0;;-22.0;1.0;6.0;4.0;-17.0;1.0;2.0;;3.0;21.0;-1.0;;;;;;0.0;;;3.0;;5.0;10.0;;;0.24;-0.22;-0.08;;0.01;0.11;100.0;-3.0;-0.1;;24.0;-92.5;1.0;-22.0;1.4;-91.2;3.0;1.0;11.0;-136.8;-73.8;-198.8;100.0;
