;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CNY/USD)
1995.0;1163.0;;147.0;1163.0;;147.0;6.0;;;;;;;;;;;;;;;;;;;;;;;12.66;100.0;;;;12.66;0.77;0.76;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;139.0;57.0;17.0;-3.0;-9.0;-8.0;33.0;150.0;408.0;131.0;131.0;277.0;-2.0;-13.0;19.0;;-4.0;82.0;41.04;60.0;;;;;60.0;142.0;;7.0;19.0;12.08;-2.13;-6.0;-6.52;-1.0;-5.9;-0.25;-0.25;33.0;;30.0;;30.0;74.0;38.0;8.0;200.0;;34.0;34.0;;;24.0;257.0;;23.0;78.0;;;30.0;;;;;;;;;;36.0;-17.0;258.0;408.0;;408.0;;-8.0;19.0;-1.0;;-11.0;;-3.0;;;0.0;-3.0;;;;-10.0;;;;-2.0;21.0;;;25.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;108.0;46.0;-30.0;-8.0;-51.0;-52.0;35.0;131.0;323.0;81.0;113.0;210.0;6.0;-7.0;-12.0;;6.0;62.0;42.83;54.0;;;;;54.0;116.0;;;21.0;-27.97;-7.39;-43.0;-47.32;1.0;-47.85;-1.46;-1.46;35.0;;17.0;;17.0;71.0;37.0;6.0;143.0;;32.0;32.0;;;17.0;192.0;;22.0;46.0;;;14.0;32.0;;;;32.0;;;;;-111.0;-38.0;359.0;323.0;;323.0;;-52.0;21.0;0.0;;2.0;;0.0;;;35.0;-0.0;;;;-6.0;;;;;-12.0;;;30.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;135.0;61.0;25.0;10.0;1.0;1.0;35.0;137.0;311.0;76.0;100.0;211.0;21.0;-0.0;-18.0;3.0;20.0;73.0;45.48;51.0;;;;;51.0;124.0;;7.0;17.0;18.86;7.7;-9.0;0.85;0.0;0.49;0.02;0.02;35.0;;20.0;;20.0;79.0;35.0;4.0;130.0;;30.0;30.0;;;14.0;174.0;;23.0;36.0;;;17.0;24.0;;;;24.0;;;;4.0;-15.0;-52.0;275.0;311.0;;311.0;;1.0;17.0;;;2.0;;3.0;;;2.0;-1.0;;;0.0;0.0;;;;;-18.0;;20.0;17.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;146.0;65.0;23.0;13.0;6.0;5.0;35.0;138.0;298.0;76.0;83.0;216.0;27.0;-3.0;-11.0;13.0;23.0;80.0;44.82;52.0;;;;;52.0;133.0;;;17.0;15.72;9.02;-7.0;4.32;1.0;3.44;0.14;0.14;35.0;;33.0;;33.0;64.0;34.0;7.0;129.0;;28.0;28.0;;;3.0;161.0;;15.0;44.0;;;17.0;7.0;;;;7.0;;;;3.0;-11.0;-65.0;289.0;298.0;;298.0;;5.0;17.0;-0.0;;3.0;;1.0;;;3.0;-4.0;;;;1.0;;;;;-11.0;;33.0;20.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;162.0;52.0;25.0;10.0;5.0;4.0;35.0;170.0;318.0;78.0;97.0;220.0;20.0;-2.0;-3.0;15.0;18.0;110.0;32.13;42.0;;;;;42.0;152.0;1.0;3.0;16.0;15.45;6.38;-5.0;3.38;1.0;2.62;0.12;0.12;35.0;;48.0;;48.0;71.0;42.0;9.0;118.0;;26.0;26.0;;3.0;1.0;147.0;;24.0;32.0;;;22.0;19.0;;;;19.0;;;;3.0;-9.0;-79.0;304.0;318.0;;318.0;;4.0;16.0;-0.0;;-3.0;;-9.0;;;2.0;-2.0;;;;0.0;;;;-3.0;0.0;;48.0;33.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;205.0;69.0;40.0;34.0;21.0;29.0;35.0;225.0;375.0;98.0;119.0;256.0;7.0;-5.0;-3.0;-1.0;2.0;136.0;33.64;35.0;5.0;;;;30.0;171.0;1.0;3.0;15.0;19.47;16.55;-12.0;10.48;-7.0;14.04;0.82;0.82;35.0;;47.0;;47.0;94.0;63.0;21.0;110.0;;24.0;24.0;;14.0;2.0;150.0;;40.0;30.0;;;28.0;21.0;;;;21.0;;;;3.0;19.0;-92.0;324.0;375.0;;375.0;;29.0;15.0;-11.0;;-36.0;;-20.0;;;9.0;-5.0;;;;0.0;;;;-3.0;0.0;;47.0;48.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;424.0;138.0;77.0;77.0;60.0;50.0;35.0;317.0;482.0;155.0;161.0;261.0;80.0;-21.0;-30.0;28.0;59.0;286.0;32.51;61.0;9.0;;;;51.0;347.0;;3.0;14.0;18.21;18.23;-17.0;14.11;10.0;11.74;1.41;1.41;35.0;;78.0;;78.0;125.0;102.0;12.0;108.0;;26.0;26.0;;18.0;12.0;164.0;;76.0;32.0;;;47.0;6.0;;;;6.0;;;;4.0;57.0;21.0;180.0;423.0;59.0;482.0;;50.0;14.0;-4.0;;-0.0;;-36.0;;;19.0;-21.0;;;;0.0;;;;-15.0;-16.0;;78.0;49.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;552.0;166.0;85.0;87.0;84.0;53.0;35.0;297.0;487.0;181.0;181.0;241.0;130.0;-45.0;-86.0;-1.0;85.0;386.0;30.14;79.0;11.0;;;;68.0;465.0;0.0;3.0;15.0;15.32;15.79;-3.0;15.25;14.0;9.59;1.5;1.5;35.0;;76.0;;76.0;110.0;106.0;5.0;137.0;;26.0;26.0;;17.0;10.0;190.0;;88.0;35.0;;;57.0;;;;;;;;;4.0;30.0;28.0;180.0;422.0;66.0;487.0;;53.0;15.0;1.0;;42.0;;-4.0;;;20.0;-45.0;;;;0.0;;;;-84.0;-2.0;;76.0;78.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;674.0;190.0;92.0;94.0;91.0;59.0;35.0;420.0;651.0;251.0;263.0;300.0;71.0;-91.0;31.0;11.0;4.0;484.0;28.22;96.0;17.0;;;;80.0;580.0;0.0;4.0;16.0;13.63;13.97;-3.0;13.5;13.0;8.8;1.68;1.68;35.0;;87.0;;87.0;130.0;163.0;40.0;186.0;;26.0;26.0;;9.0;10.0;230.0;;132.0;52.0;;;67.0;12.0;;;;12.0;;;;4.0;85.0;32.0;180.0;563.0;88.0;651.0;;59.0;16.0;0.0;;-25.0;;-57.0;;;21.0;-67.0;;-0.0;;-24.0;;;;-1.0;32.0;;87.0;76.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
