;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;;;-14.0;-14.0;;-13.0;0.0;;61.0;;83.0;-22.0;;;;;;;;14.0;10.0;3.0;;;;14.0;;0.0;;-inf;-inf;;;;-inf;-81.3;-81.3;0.0;;;;;;;;;;;;;;;;61.0;;;;;;;;;;;83.0;;;;-22.0;;1.0;61.0;;61.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;8.0;;-15.0;-18.0;;-16.0;0.0;;79.0;;116.0;-37.0;;;;;;;;27.0;21.0;6.0;6.0;;;27.0;;0.0;;-182.33;-217.25;;;;-187.5;-67.08;-67.08;0.0;;;;;;;;;;;;;;;;79.0;;;;;;;;;;;116.0;;;;-38.0;;1.0;79.0;;79.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;11.0;11.0;-19.0;-24.0;;-23.0;0.0;28.0;56.0;9.0;117.0;-61.0;-22.0;23.0;5.0;5.0;-29.0;;100.0;35.0;28.0;7.0;7.0;;;35.0;2.0;1.0;3.0;-165.85;-210.43;;;;-202.53;-79.5;-79.5;0.0;;16.0;10.0;27.0;0.0;;1.0;10.0;;;;;;18.0;28.0;;2.0;2.0;;3.0;2.0;7.0;;;100.0;107.0;;;;0.0;-61.0;-0.0;1.0;56.0;;56.0;;-23.0;3.0;;;-2.0;;-0.0;;19.0;-0.0;-7.0;;;37.0;-8.0;;0.0;-0.0;;5.0;;16.0;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;11.0;11.0;-27.0;-33.0;;-33.0;0.0;37.0;63.0;9.0;155.0;-92.0;-31.0;-15.0;40.0;-5.0;-34.0;;100.0;43.0;34.0;9.0;9.0;;;43.0;2.0;2.0;3.0;-255.4;-308.12;;;;-309.02;-102.6;-102.6;0.0;;11.0;24.0;35.0;0.0;;2.0;9.0;;;;;;17.0;26.0;;2.0;2.0;;3.0;3.0;8.0;;;137.0;145.0;;;;0.0;-94.0;-4.0;6.0;63.0;;63.0;;-33.0;3.0;;;9.0;;;;28.0;-10.0;-3.0;;-55.0;37.0;6.0;;40.0;;;0.0;;11.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;13.0;13.0;-33.0;-38.0;;-37.0;3.0;109.0;128.0;11.0;21.0;108.0;-34.0;-66.0;102.0;3.0;-35.0;;100.0;52.0;40.0;12.0;12.0;;;52.0;2.0;1.0;3.0;-248.27;-285.92;;;;-276.73;-11.28;-11.28;3.0;;13.0;93.0;106.0;1.0;;3.0;7.0;;;;;;12.0;19.0;;2.0;2.0;;3.0;4.0;8.0;;;1.0;10.0;;;;0.0;-131.0;-4.0;243.0;128.0;;128.0;;-37.0;3.0;;;70.0;;;;98.0;-71.0;-1.0;;-189.0;124.0;1.0;;102.0;-0.0;;0.0;;13.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;9.0;9.0;-39.0;-45.0;;-42.0;5.0;79.0;91.0;11.0;18.0;74.0;-39.0;34.0;5.0;0.0;-41.0;;100.0;54.0;41.0;13.0;13.0;;;54.0;3.0;1.0;3.0;-433.74;-500.82;;;;-474.1;-8.88;-8.88;5.0;;14.0;63.0;76.0;1.0;;2.0;6.0;;;;;;6.0;13.0;;2.0;3.0;;1.0;5.0;7.0;;;;7.0;;;;0.0;-174.0;-2.0;250.0;91.0;;91.0;;-42.0;3.0;;;-30.0;;;;68.0;30.0;-1.0;;-89.0;124.0;1.0;;1.0;-0.0;;4.0;;14.0;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;3.0;3.0;-54.0;-61.0;;-57.0;6.0;154.0;170.0;26.0;63.0;106.0;-47.0;-14.0;87.0;26.0;-53.0;;100.0;64.0;49.0;15.0;15.0;;;64.0;5.0;1.0;3.0;-1716.18;-1961.56;;;;-1826.51;-9.36;-9.36;6.0;;39.0;70.0;110.0;42.0;;2.0;9.0;;;;;;7.0;16.0;;3.0;4.0;;12.0;8.0;7.0;;;30.0;37.0;;;;0.0;-231.0;-1.0;338.0;170.0;;170.0;;-57.0;3.0;;;60.0;;;;127.0;-53.0;-5.0;;-143.0;136.0;-1.0;;85.0;-0.0;;1.0;;39.0;14.0;;;0.51;-9.36;-8.61;;0.88;17.42;6.0;-4.5;-0.2;;3.0;-1961.6;3.0;-57.0;;-1826.5;127.0;7.0;106.0;;-33.4;-53.7;100.0;
2007.0;14.0;14.0;-45.0;-56.0;;-49.0;8.0;122.0;155.0;26.0;55.0;100.0;-3.0;45.0;35.0;77.0;-6.0;;100.0;70.0;53.0;17.0;17.0;;;70.0;8.0;1.0;3.0;-333.03;-414.67;;;;-358.93;-6.18;-6.18;8.0;;117.0;3.0;120.0;0.0;;2.0;8.0;;;;20.0;;6.0;33.0;;2.0;4.0;;12.0;9.0;5.0;;;24.0;29.0;;;;0.0;-280.0;-0.0;380.0;155.0;;155.0;;-49.0;3.0;;;-32.0;;;;96.0;75.0;-3.0;;-52.0;99.0;1.0;;37.0;;;-2.0;;117.0;39.0;;;1.72;-6.16;-0.7;;0.32;12.6;8.0;-6.1;-0.4;;14.0;-414.7;3.0;-49.0;;-358.9;96.0;5.0;100.0;;-31.0;-48.9;100.0;
2008.0;12.0;12.0;-53.0;-59.0;;-56.0;8.0;59.0;87.0;23.0;38.0;50.0;-61.0;-10.0;-3.0;-75.0;-62.0;;100.0;69.0;54.0;15.0;15.0;;;69.0;3.0;0.0;2.0;-430.17;-475.68;-2.0;;;-453.9;-6.84;-6.84;8.0;;42.0;15.0;57.0;0.0;;2.0;5.0;;;;20.0;;3.0;29.0;;1.0;2.0;;12.0;7.0;3.0;;;12.0;15.0;;;;0.0;-336.0;0.0;386.0;87.0;;87.0;;-56.0;2.0;;;-60.0;;;;36.0;52.0;-1.0;;-24.0;13.0;3.0;;1.0;;;-4.0;;42.0;117.0;;;1.51;-6.85;-7.53;;0.08;6.05;8.0;-3.2;-0.2;;12.0;-475.7;2.0;-56.0;;-453.9;36.0;3.0;50.0;;-63.9;-113.3;100.0;
2009.0;82.0;82.0;27.0;26.0;25.0;25.0;10.0;117.0;123.0;20.0;21.0;101.0;8.0;-53.0;29.0;-16.0;8.0;;100.0;55.0;40.0;16.0;16.0;;;55.0;1.0;0.0;2.0;33.27;32.0;-1.0;30.29;0.0;30.1;2.58;2.52;10.0;;26.0;87.0;112.0;0.0;;4.0;4.0;;;;;;2.0;6.0;;2.0;2.0;;1.0;16.0;1.0;;;;1.0;;;;0.0;-311.0;0.0;413.0;123.0;;123.0;;25.0;2.0;;5.0;61.0;0.0;;0.0;97.0;-84.0;-1.0;;-132.0;78.0;1.0;-4.0;14.0;;;19.0;;26.0;42.0;;;8.52;2.57;0.82;;0.06;10.6;10.0;6.6;0.1;;82.0;32.0;2.0;25.0;0.6;30.1;97.0;1.0;101.0;24.4;20.5;24.2;100.0;-175.1
