;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;3754.0;794.0;428.0;374.0;334.0;165.0;112.0;1299.0;2424.0;688.0;1230.0;1195.0;;;;;;2961.0;21.14;420.0;;327.0;327.0;;93.0;3381.0;;;93.0;11.39;9.96;-39.0;8.91;169.0;4.4;1.48;1.48;112.0;;29.0;;29.0;504.0;707.0;60.0;737.0;;190.0;190.0;;;198.0;1125.0;;;191.0;;;496.0;354.0;;107.0;;460.0;1002.0;;;;1041.0;-669.0;823.0;2424.0;;2424.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;3695.0;758.0;286.0;293.0;182.0;86.0;102.0;1336.0;2525.0;745.0;1570.0;955.0;;;;;;2937.0;20.52;466.0;;362.0;362.0;;104.0;3402.0;;;104.0;7.73;7.92;-111.0;4.92;96.0;2.32;0.84;0.84;102.0;;51.0;;51.0;512.0;690.0;83.0;765.0;;182.0;182.0;;;242.0;1189.0;;;253.0;;;493.0;618.0;;117.0;;735.0;1560.0;;;;1062.0;-719.0;613.0;2525.0;;2525.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;4142.0;797.0;333.0;336.0;228.0;141.0;87.0;1516.0;2802.0;1033.0;1923.0;879.0;;;;;;3345.0;19.23;461.0;;356.0;356.0;;105.0;3806.0;;;105.0;8.04;8.12;-108.0;5.51;88.0;3.39;1.61;1.61;87.0;;44.0;;44.0;689.0;726.0;57.0;820.0;;177.0;177.0;;;288.0;1286.0;;;425.0;;;608.0;690.0;;101.0;;791.0;1681.0;;;;1145.0;-788.0;522.0;2802.0;;2802.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;5222.0;;259.0;511.0;259.0;162.0;85.0;;4786.0;;3827.0;960.0;;;;;;;;4711.0;;;;;4711.0;4711.0;;;;4.97;9.79;-252.0;4.97;97.0;3.11;2.0;1.9;81.0;;;;;;;;;;;;;;;;4786.0;;;;;;1324.0;;;;1324.0;5150.0;;;;1231.0;;;4786.0;;4786.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;4865.0;933.0;54.0;218.0;223.0;132.0;85.0;2444.0;5225.0;1368.0;4080.0;1146.0;323.0;-393.0;97.0;;95.0;3932.0;19.18;716.0;;547.0;547.0;;169.0;4647.0;;;-169.0;1.1;4.47;5.0;4.58;91.0;2.72;1.62;1.55;82.0;;82.0;;82.0;1428.0;712.0;222.0;1118.0;;;;;;1664.0;2782.0;;698.0;670.0;;;;1522.0;;249.0;;1771.0;4483.0;;;;1297.0;-1056.0;904.0;5225.0;;5225.0;;132.0;-169.0;-27.0;;59.0;67.0;33.0;;1076.0;328.0;-229.0;;-72.0;155.0;-248.0;;;;-65.0;162.0;;;55.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;4952.0;1024.0;-30.0;184.0;163.0;76.0;83.0;1592.0;4513.0;1448.0;3335.0;1179.0;362.0;-453.0;94.0;;133.0;3928.0;20.68;840.0;;647.0;647.0;;194.0;4768.0;;;-194.0;-0.61;3.72;-21.0;3.3;88.0;1.53;0.92;0.91;82.0;;86.0;;86.0;795.0;696.0;16.0;1232.0;;;;;;1689.0;2921.0;;681.0;767.0;;;;1486.0;;241.0;;1728.0;3614.0;;;;1307.0;-1170.0;1041.0;4513.0;;4513.0;;76.0;-194.0;-3.0;;-932.0;-4.0;16.0;;144.0;587.0;-229.0;;-82.0;108.0;-249.0;;;;-66.0;160.0;;;82.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;4398.0;749.0;-196.0;-14.0;-4.0;14.0;79.0;1343.0;4179.0;1303.0;3070.0;1109.0;284.0;44.0;-340.0;;134.0;3649.0;17.03;763.0;;570.0;570.0;;193.0;4412.0;;;-193.0;-4.46;-0.31;10.0;-0.08;-17.0;0.31;0.17;0.17;79.0;;73.0;;73.0;674.0;596.0;;1182.0;;;;;;1654.0;2836.0;;696.0;607.0;;;;1541.0;;196.0;;1737.0;3504.0;;;;1255.0;-1225.0;1079.0;4179.0;;4179.0;;14.0;-193.0;-20.0;;-104.0;10.0;87.0;;40.0;272.0;-150.0;;-84.0;260.0;18.0;;;;-66.0;-275.0;;;86.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;4872.0;829.0;-576.0;56.0;41.0;-382.0;88.0;1419.0;4343.0;1167.0;3507.0;836.0;247.0;-601.0;356.0;;133.0;4044.0;17.01;773.0;;582.0;582.0;;192.0;4817.0;;;-192.0;-11.82;1.14;-15.0;0.84;-2.0;-7.84;-4.35;-4.35;88.0;;75.0;;75.0;711.0;632.0;;1113.0;;;;;;1811.0;2924.0;;771.0;396.0;;;0.0;1467.0;;;;1467.0;3807.0;;;;803.0;-1327.0;1360.0;4343.0;;4343.0;;-382.0;-192.0;-0.0;;212.0;-31.0;-2.0;;252.0;340.0;-114.0;;-219.0;47.0;-316.0;;;;-70.0;426.0;;;73.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;5460.0;1020.0;-27.0;262.0;218.0;80.0;93.0;1518.0;4632.0;785.0;3688.0;944.0;485.0;-767.0;285.0;;307.0;4440.0;18.68;758.0;;562.0;562.0;;196.0;5198.0;;;-196.0;-0.49;4.8;-44.0;3.99;90.0;1.46;0.86;0.86;93.0;;78.0;;78.0;791.0;650.0;;1142.0;;;;;;1972.0;3114.0;;311.0;474.0;;;;1207.0;;;;1207.0;4111.0;;;;809.0;-1387.0;1522.0;4632.0;;4632.0;;80.0;-196.0;31.0;;481.0;-99.0;9.0;;733.0;1212.0;-178.0;;-8.0;11.0;-592.0;;;;-74.0;359.0;;;75.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;6741.0;1117.0;596.0;505.0;392.0;228.0;99.0;1813.0;5111.0;1722.0;4019.0;1092.0;466.0;-423.0;-8.0;;-245.0;5624.0;16.56;612.0;;612.0;612.0;;;6236.0;;;211.0;8.85;7.49;-113.0;5.81;157.0;3.39;2.31;2.31;99.0;;48.0;64.0;112.0;960.0;740.0;0.0;1347.0;;;;;227.0;1724.0;3298.0;;390.0;583.0;;;749.0;1187.0;;;1263.0;2449.0;;;;99.0;888.0;;106.0;5111.0;;5111.0;;228.0;211.0;59.0;;-642.0;;-83.0;;91.0;-0.0;-711.0;;;;288.0;-373.0;;;-82.0;447.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
