;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;1.0;1.0;-21.0;-22.0;-22.0;-22.0;0.0;17.0;18.0;7.0;98.0;-80.0;-21.0;-0.0;23.0;1.0;-21.0;;100.0;22.0;16.0;6.0;6.0;;;22.0;0.0;1.0;0.0;-3390.08;-3452.0;-1.0;-3536.16;;-3536.16;-281.76;-281.76;0.0;;17.0;;17.0;0.0;;;0.0;;;;;;0.0;1.0;;1.0;3.0;;;3.0;6.0;;;85.0;91.0;;;;;-81.0;-2.0;3.0;18.0;;18.0;;-22.0;0.0;;1.0;0.0;-0.0;;-0.0;11.0;-0.0;-0.0;;;;;-0.0;0.0;;;23.0;;17.0;15.0;;;7.94;-280.83;-269.19;;2.29;-1017.04;0.0;;;;1.0;-3452.0;0.0;-22.0;;-3536.2;11.0;6.0;-80.0;-193.4;-121.9;27.6;100.0;
2013.0;0.0;0.0;-15.0;-16.0;-17.0;-17.0;1.0;6.0;7.0;6.0;10.0;-3.0;-17.0;-0.0;5.0;-11.0;-17.0;;100.0;16.0;10.0;6.0;6.0;;;16.0;0.0;1.0;0.0;-257650.0;-264333.33;-1.0;-285716.67;;-285716.67;-20.9;-20.9;1.0;;5.0;;5.0;1.0;;;0.0;;;;;;0.0;0.0;;1.0;3.0;;;2.0;3.0;;;0.0;4.0;;;;0.0;-98.0;-2.0;97.0;7.0;;7.0;;-17.0;0.0;;1.0;-10.0;-0.0;;0.0;0.0;10.0;-0.0;;;;;-3.0;0.0;;;8.0;;5.0;17.0;;;0.01;-21.22;-20.57;;0.01;-3.45;1.0;;;;0.0;-264333.3;0.0;-17.0;;-285716.7;0.0;3.0;-3.0;-2118.5;-229.3;614.9;100.0;
2014.0;0.0;0.0;-22.0;-20.0;-23.0;-23.0;1.0;53.0;53.0;8.0;8.0;45.0;-19.0;-0.0;65.0;46.0;-19.0;;100.0;20.0;12.0;9.0;9.0;;;20.0;0.0;1.0;0.0;-27666.25;-25348.75;-3.0;-29177.5;;-29177.5;-16.0;-16.0;1.0;;51.0;;51.0;2.0;;;0.0;;;;;;0.0;1.0;;1.0;3.0;;;4.0;;;;0.0;0.0;;;;0.0;-122.0;-1.0;169.0;53.0;;53.0;;-23.0;0.0;;1.0;44.0;-1.0;;0.0;45.0;-41.0;-0.0;;;;0.0;-3.0;60.0;;;8.0;;51.0;5.0;;;0.05;-16.04;-13.26;;0.15;31.15;1.0;-3.4;-0.2;;0.0;-25348.8;0.0;-23.0;;-29177.5;45.0;;45.0;-49.1;-41.7;-51.5;100.0;
2015.0;;;-37.0;-37.0;-40.0;-40.0;3.0;77.0;78.0;16.0;29.0;49.0;-32.0;-0.0;57.0;25.0;-32.0;;;37.0;26.0;11.0;11.0;;;37.0;0.0;2.0;0.0;-inf;-inf;-2.0;-inf;;-inf;-15.6;-15.6;3.0;;76.0;;76.0;1.0;;;1.0;;;;;;0.0;1.0;;2.0;8.0;;;6.0;13.0;;;0.0;13.0;;;;0.0;-161.0;-1.0;211.0;78.0;;78.0;;-40.0;0.0;;2.0;16.0;0.0;;1.0;61.0;-11.0;-0.0;;;;-0.0;-3.0;40.0;;;21.0;;76.0;51.0;;;;-15.57;-12.66;;0.11;19.17;3.0;-3.5;-0.2;;;-inf;0.0;-40.0;;-inf;61.0;13.0;49.0;-60.1;-47.5;-81.2;100.0;
2016.0;1.0;;-37.0;-37.0;-39.0;-39.0;3.0;37.0;38.0;17.0;25.0;13.0;-34.0;-0.0;-7.0;-41.0;-34.0;;;38.0;28.0;10.0;10.0;;;38.0;0.0;2.0;0.0;-4805.09;-4850.39;-2.0;-5131.2;;-5131.2;-14.2;-14.2;3.0;;35.0;;35.0;2.0;;;1.0;;;;;;0.0;1.0;;1.0;8.0;;3.0;5.0;4.0;2.0;;1.0;8.0;;;;0.0;-201.0;-1.0;215.0;38.0;;38.0;;-39.0;0.0;;3.0;-41.0;-0.0;;-1.0;20.0;44.0;-1.0;;;;0.0;-8.0;1.0;;;;;35.0;76.0;;;0.28;-14.18;-12.3;;0.19;4.73;3.0;-1.4;-0.1;;1.0;-4850.4;0.0;-39.0;;-5131.2;20.0;4.0;13.0;-178.6;-98.4;-299.8;100.0;
2017.0;;;-4.0;-11.0;-12.0;-12.0;3.0;8.0;14.0;1.0;1.0;13.0;-3.0;10.0;0.0;8.0;-3.0;;;4.0;1.0;3.0;3.0;;;4.0;;0.0;;-inf;-inf;-0.0;-inf;;-inf;-3.56;-3.56;3.0;;8.0;;8.0;0.0;;1.0;;5.0;;5.0;;;1.0;6.0;;0.0;;;;1.0;;;;0.0;0.0;;;;0.0;-12.0;-0.0;26.0;14.0;;14.0;;-12.0;;;0.0;-12.0;;;1.0;7.0;21.0;;;;;10.0;;;;;0.0;-0.0;8.0;0.0;;;;-3.56;-0.79;;;4.11;3.0;-1.9;-0.1;;;-inf;;-12.0;;-inf;7.0;;13.0;-27.8;-25.9;-86.5;100.0;
2018.0;;;-12.0;-17.0;-17.0;-17.0;11.0;7.0;8.0;1.0;1.0;7.0;-10.0;-1.0;10.0;-1.0;-10.0;;;12.0;6.0;5.0;5.0;;;12.0;;;0.0;-inf;-inf;0.0;-inf;;-inf;-1.57;-1.57;11.0;;7.0;;7.0;0.0;;0.0;0.0;;;;;;1.0;1.0;;0.0;;;;1.0;;;;0.0;0.0;;;;0.0;-29.0;-0.0;36.0;8.0;;8.0;;-17.0;0.0;;0.0;-1.0;;;0.0;6.0;8.0;-0.0;-1.0;;;;;10.0;;;;-0.0;7.0;8.0;;;;-1.56;-0.96;;0.0;0.63;11.0;-0.9;-0.0;;;-inf;0.0;-17.0;;-inf;6.0;;7.0;-173.6;-149.4;-248.8;100.0;
2019.0;;;-14.0;-14.0;-14.0;-14.0;16.0;6.0;7.0;6.0;7.0;0.0;-13.0;6.0;5.0;-2.0;-13.0;;;14.0;9.0;6.0;6.0;;;14.0;;;0.0;-inf;-inf;0.0;-inf;;-inf;-0.97;-0.97;16.0;;5.0;;5.0;1.0;;1.0;1.0;;;;;;0.0;1.0;;1.0;0.0;;;4.0;;;;1.0;1.0;;1.0;;0.0;-44.0;-0.0;45.0;7.0;;7.0;;-14.0;0.0;;0.0;-5.0;;;1.0;1.0;6.0;;6.0;;;;;5.0;;;;-0.0;5.0;7.0;;;;-0.92;-0.85;;;0.03;16.0;-1.1;-0.0;;;-inf;0.0;-14.0;;-inf;1.0;;0.0;-783.7;-192.7;-3235.7;100.0;
2020.0;;;-27402.0;-27.0;-27401.0;-27401.0;30.0;7.0;7.0;8.0;9.0;-1.0;-25.0;-0.0;25.0;-0.0;-25.0;;;27319.0;20769.0;6550.0;6550.0;;;27319.0;;;0.0;-inf;-inf;-27373.0;-inf;;-inf;-0.91;-0.91;30.0;;5.0;;5.0;;;2.0;0.0;;;;;;;0.0;;1.0;1.0;;1.0;5.0;;;;;;1.0;0.0;;0.0;;-0.0;-1.0;8.0;-1.0;7.0;;-27401.0;0.0;;1.0;-2.0;0.0;;-0.0;-1.0;27376.0;-0.0;;;;;;23.0;;0.0;2.0;0.0;5.0;5.0;;;;-910.58;-0.84;0.0;0.0;-0.04;30.0;-0.0;-0.0;0.0;;-inf;0.0;-27401.0;;-inf;-1.0;;-1.0;24936305.7;-362909.6;2379088.1;100.0;
2021.0;;;-39042.0;-39069.0;-38696.0;-38696.0;30.0;55.0;56.0;16.0;17.0;39.0;-28764.0;-15.0;75847.0;51669.0;-28779.0;;;38969.0;30618.0;8351.0;8351.0;;;;;;26.0;-inf;-inf;372.0;-inf;;-inf;-1285.95;-1285.95;30.0;;52.0;;52.0;1.0;;2.0;0.0;;;;;;0.0;1.0;;2.0;0.0;;1.0;13.0;;1.0;;;1.0;;;;0.0;-110.0;-0.0;149.0;56.0;;56.0;;-38696.0;26.0;;1600.0;40.0;;;1082.0;39.0;8266.0;-15.0;925.0;;;-925.0;;75314.0;;;533.0;-64.0;51674.0;5.0;;;;-1285.95;-956.37;;0.48;1.29;30.0;-0.0;-0.0;;;-inf;26.0;-38696.0;;-inf;39.0;;39.0;-98274.9;-70006.3;-99849.8;100.0;
