;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;348.0;44.0;26.0;14.0;;15.0;18.0;;232.0;;21.0;211.0;;;;;;304.0;12.59;17.0;;6.0;6.0;;11.0;321.0;;;11.0;7.56;3.91;;;;4.31;0.86;0.86;18.0;;;;;;;;187.0;;;;;;;;232.0;16.0;;;;;;;;;;21.0;;;;;;211.0;232.0;;232.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;553.0;;15.0;15.0;15.0;14.0;18.0;;340.0;;70.0;;;;;;;;;39.0;;;;;39.0;39.0;;;;2.73;2.64;1.0;2.73;1.0;2.53;0.8;0.8;18.0;;;;;;;;202.0;;;;;;;;340.0;61.0;;;;;0.0;;;;0.0;70.0;;;;;;270.0;340.0;;340.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;766.0;60.0;43.0;16.0;28.0;24.0;18.0;;467.0;;72.0;;;;;;;706.0;7.78;16.0;;;;;16.0;722.0;;;16.0;5.62;2.13;11.0;3.59;4.0;3.12;1.37;1.37;18.0;;;;;;;;190.0;;;;;;;;467.0;62.0;;;;;;;;;;72.0;;;;;;;72.0;395.0;467.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;510.0;57.0;37.0;24.0;;20.0;18.0;61.0;241.0;43.0;43.0;198.0;26.0;-3.0;-23.0;;23.0;453.0;11.17;33.0;;;;;33.0;485.0;;;17.0;7.34;4.75;;;;4.0;1.17;1.17;18.0;;;;;61.0;;0.0;172.0;;;2.0;6.0;;;180.0;;40.0;;;;3.0;;;;;;;;;;;;198.0;241.0;;241.0;;20.0;17.0;;;-11.0;;;;18.0;-1.0;-3.0;;;;-3.0;;;;;-23.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;785.0;76.0;50.0;38.0;;38.0;18.0;125.0;407.0;93.0;306.0;101.0;76.0;-107.0;74.0;;68.0;709.0;9.67;38.0;;;;;38.0;747.0;;;12.0;6.33;4.83;-0.0;;;4.84;0.2;0.2;18.0;;42.0;;42.0;82.0;0.0;0.0;169.0;;2.0;2.0;106.0;;6.0;283.0;;87.0;;;;6.0;210.0;;;3.0;213.0;;;;101.0;0.0;-119.0;119.0;407.0;;407.0;;38.0;12.0;;;13.0;;-0.0;;31.0;13.0;-8.0;;-731.0;631.0;1.0;;206.0;;;-133.0;;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;796.0;72.0;46.0;38.0;;33.0;18.0;160.0;502.0;127.0;398.0;103.0;69.0;-83.0;18.0;4.0;42.0;724.0;9.0;34.0;;;;;34.0;758.0;;;13.0;5.76;4.76;0.0;;;4.15;1.9;1.9;18.0;;46.0;1.0;47.0;78.0;30.0;5.0;195.0;29.0;3.0;32.0;272.0;;-157.0;342.0;;117.0;;;;9.0;268.0;;;4.0;272.0;;;;96.0;;7.0;;502.0;;502.0;;33.0;13.0;;;2.0;;12.0;;33.0;21.0;-27.0;-57.0;-7372.0;7373.0;0.0;;0.0;;-22.0;40.0;;46.0;42.0;;;45.47;1.89;2.38;1.26;1.55;5.91;18.0;15.2;0.8;4.4;796.0;4.8;13.0;33.0;;4.1;33.0;268.0;103.0;;6.6;31.9;33.0;52.8
2007.0;878.0;19.0;9.0;34.0;-16.0;-16.0;21.0;219.0;1121.0;220.0;925.0;168.0;65.0;-522.0;435.0;-22.0;44.0;859.0;2.16;-15.0;;;;;-15.0;844.0;;;24.0;0.99;3.87;-50.0;-1.79;0.0;-1.8;-1.05;-1.05;21.0;;25.0;1.0;26.0;134.0;37.0;22.0;501.0;80.0;30.0;110.0;288.0;;4.0;902.0;;166.0;;;;54.0;630.0;;;76.0;706.0;;;;183.0;;-15.0;;1094.0;27.0;1121.0;;-16.0;24.0;;;-34.0;;-7.0;;-1.0;91.0;-21.0;-503.0;-6922.0;6924.0;0.0;;229.0;;-44.0;250.0;;25.0;46.0;;;42.82;-0.77;2.15;2.15;1.04;8.21;21.0;-54.0;-3.1;5.2;878.0;3.9;24.0;-16.0;-0.6;-1.8;-1.0;630.0;168.0;-1.8;-1.4;-9.4;378.5;
2008.0;1289.0;228.0;162.0;123.0;126.0;126.0;27.0;165.0;1180.0;125.0;816.0;329.0;102.0;-167.0;89.0;24.0;61.0;1061.0;17.67;105.0;;;;;105.0;1166.0;;;37.0;12.59;9.51;3.0;9.76;0.0;9.75;3.25;3.25;27.0;;48.0;;48.0;80.0;21.0;16.0;629.0;89.0;48.0;137.0;172.0;;77.0;1015.0;;78.0;;;;46.0;657.0;;;35.0;691.0;;;;374.0;;-45.0;;1145.0;35.0;1180.0;;126.0;37.0;;;42.0;;16.0;;40.0;-102.0;-41.0;-157.0;-608.0;651.0;-11.0;;132.0;;-76.0;33.0;;48.0;25.0;;;47.04;4.59;2.21;2.78;1.5;12.01;27.0;5.6;0.3;10.8;1289.0;9.5;37.0;126.0;0.1;9.8;40.0;657.0;329.0;12.3;11.0;38.2;39.4;-92.4
2009.0;942.0;97.0;75.0;-1.0;-10.0;-19.0;31.0;198.0;1482.0;191.0;876.0;;108.0;-164.0;-4.0;-60.0;-57.0;846.0;10.24;97.0;;;;;97.0;943.0;0.0;28.0;65.0;7.93;-0.07;-10.0;-1.08;1.0;-2.03;-0.99;-0.99;31.0;;2.0;;2.0;153.0;34.0;9.0;1000.0;92.0;61.0;153.0;125.0;;7.0;1284.0;;129.0;;;;63.0;613.0;;;72.0;685.0;;;;;;-32.0;637.0;1482.0;;1482.0;;-19.0;65.0;;;-34.0;-37.0;-13.0;22.0;7.0;96.0;-165.0;-45.0;-8.0;53.0;-165.0;-281.0;70.0;;-85.0;292.0;;2.0;62.0;;;30.21;-0.61;-1.82;2.73;5.28;;31.0;-32.1;-0.5;13.9;942.0;-0.1;65.0;-19.0;-5.9;-2.0;7.0;613.0;;0.8;0.7;-inf;546.6;
2010.0;1270.0;157.0;151.0;63.0;58.0;48.0;36.0;233.0;1701.0;211.0;962.0;;141.0;-242.0;105.0;5.0;90.0;1112.0;12.37;94.0;;;;;94.0;1207.0;;29.0;74.0;11.9;4.95;-5.0;4.53;0.0;3.78;0.86;0.86;36.0;;7.0;;7.0;151.0;65.0;10.0;1169.0;100.0;87.0;187.0;104.0;;7.0;1468.0;;137.0;;;;75.0;648.0;;;103.0;751.0;;;;;;-28.0;766.0;1701.0;;1701.0;;48.0;74.0;;;15.0;6.0;-9.0;6.0;22.0;4.0;-51.0;-203.0;-2.0;11.0;-47.0;-833.0;189.0;;-102.0;851.0;;7.0;2.0;;;35.17;1.33;2.5;2.82;1.4;;36.0;24.6;1.2;8.6;1270.0;4.9;74.0;48.0;0.5;3.8;22.0;648.0;;5.2;4.6;inf;-112.3;-97.0
