;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;3.0;0.0;-3.0;-3.0;-3.0;-3.0;102.0;0.0;4.0;4.0;4.0;-0.0;;;;;;3.0;1.17;3.0;;;;;3.0;5.0;;-0.0;;-108.59;-103.13;-0.0;-105.86;;-105.86;-923.65;-923.65;102.0;;;;;;;0.0;0.0;;3.0;3.0;;;;3.0;;1.0;1.0;;;2.0;;;;;;;;;;;-1.0;0.0;4.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;-0.0;-0.0;-0.0;-0.0;102.0;;;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;;;;0.0;;0.0;;-inf;-inf;-0.0;-inf;;-inf;-13551.86;-13551.86;102.0;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;;;;;;;;0.0;-13.0;;13.0;;;;;-0.0;;;;4.0;;;;-0.0;-4.0;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;-0.0;-0.0;-0.0;-0.0;0.0;;;0.0;0.0;-0.0;;;;;;;;0.0;;0.0;;;;0.0;;0.0;;-inf;-inf;-0.0;-inf;;-inf;-6870.86;-6870.86;0.0;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;;;;;;;;0.0;-13.0;;13.0;;;;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007.0;;;-0.0;-0.0;-0.0;-0.0;0.0;;;0.0;0.0;-0.0;;;;;;;;0.0;;0.0;;;;0.0;;0.0;;-inf;-inf;-0.0;-inf;;-inf;-3797.63;-3797.63;0.0;;;;;;;;;;;;;;;;;0.0;0.0;;;0.0;;;;;;;;;0.0;-13.0;;13.0;;;;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;;;;;;;;-3797.63;;;;-12732.56;0.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;27.4;-inf;29.8;100.0;
2008.0;0.0;0.0;-1.0;-1.0;;-1.0;0.0;0.0;6.0;4.0;5.0;2.0;-1.0;;1.0;0.0;-1.0;0.0;38.59;1.0;;1.0;1.0;;0.0;1.0;;0.0;0.0;-2117.31;-2466.08;0.0;;;-2720.31;-300.0;-300.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;2.0;4.0;6.0;;;;6.0;;1.0;1.0;;;2.0;1.0;;;;1.0;;;;0.0;-14.0;-0.0;15.0;6.0;;6.0;;-1.0;0.0;;;-3.0;;;0.0;-4.0;4.0;;;;;;-0.0;1.0;;;0.0;;0.0;0.0;;;11.17;-303.94;-140.66;;;418.21;0.0;-4480.2;-208.8;;0.0;-2466.1;0.0;-1.0;;-2720.3;-4.0;1.0;2.0;;-14.3;-72.7;100.0;
2009.0;;;-3.0;-4.0;;-3.0;0.0;0.0;4.0;3.0;4.0;0.0;-1.0;-0.0;1.0;1.0;-1.0;;;3.0;;2.0;2.0;;1.0;3.0;;0.0;0.0;-inf;-inf;-0.0;;;-inf;-900.0;-900.0;0.0;;;;;;;0.0;0.0;1.0;3.0;4.0;0.0;;;4.0;;0.0;1.0;;;1.0;1.0;;;;1.0;;;;0.0;-18.0;-0.0;19.0;4.0;;4.0;;-3.0;0.0;;;1.0;;0.0;-0.0;-3.0;2.0;-0.0;-0.0;;;-0.0;-0.0;1.0;;;0.0;;;0.0;;;;-884.32;-275.14;;0.29;128.34;0.0;-1505.7;-21.2;;;-inf;0.0;-3.0;;-inf;-3.0;1.0;0.0;;-68.8;-689.0;100.0;
2010.0;0.0;-0.0;-8.0;-8.0;-8.0;-8.0;0.0;1.0;6.0;5.0;6.0;0.0;-2.0;-1.0;3.0;3.0;-2.0;0.0;-423.51;7.0;;7.0;7.0;;0.0;7.0;;0.0;0.0;-20599.03;-19002.6;-1.0;-20925.14;;-20925.14;-2099.99;-2099.99;0.0;;;;;;;1.0;0.0;1.0;2.0;3.0;;;2.0;5.0;;1.0;0.0;;;4.0;;;;1.0;1.0;;;1.0;0.0;-26.0;-0.0;26.0;6.0;;6.0;;-8.0;0.0;;1.0;-1.0;;;1.0;-4.0;6.0;-0.0;-1.0;;;-0.0;;2.0;;;1.0;;;;;;9.79;-2048.62;-485.93;;3.32;4.93;0.0;-417.5;-20.2;;0.0;-19002.6;0.0;-8.0;;-20925.1;-4.0;;0.0;-1290.8;-149.4;-41584.4;100.0;
