;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1986.0;565.0;161.0;14.0;;8.0;4.0;215.0;194.0;232.0;65.0;124.0;109.0;;;;;;404.0;28.56;147.0;;141.0;141.0;;6.0;550.0;;;6.0;2.39;;-7.0;1.35;3.0;0.76;0.02;0.02;215.0;;5.0;;5.0;;184.0;5.0;29.0;;;;;;9.0;38.0;;;7.0;;;59.0;52.0;;6.0;;58.0;58.0;;;;79.0;-20.0;50.0;232.0;;232.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;588.0;172.0;19.0;;12.0;7.0;325.0;190.0;225.0;61.0;115.0;110.0;;;;;;417.0;29.2;154.0;;147.0;147.0;;7.0;570.0;;;7.0;3.14;;-7.0;1.97;5.0;1.1;0.02;0.02;325.0;;7.0;;7.0;;177.0;6.0;25.0;;;;;;9.0;35.0;;;16.0;;;45.0;49.0;;5.0;;54.0;54.0;;;;82.0;-25.0;52.0;225.0;;225.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;613.0;180.0;22.0;;16.0;10.0;250.0;183.0;210.0;52.0;99.0;112.0;;;;;;433.0;29.4;158.0;;152.0;152.0;;6.0;591.0;;;6.0;3.61;;-6.0;2.63;6.0;1.63;0.04;0.04;250.0;;6.0;;6.0;;171.0;6.0;23.0;;;;;;5.0;28.0;;;1.0;;;52.0;46.0;;1.0;;46.0;46.0;;;;86.0;-29.0;55.0;210.0;;210.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;615.0;187.0;14.0;;20.0;12.0;248.0;155.0;194.0;45.0;73.0;121.0;33.0;-17.0;-15.0;-15.0;16.0;428.0;30.35;161.0;;155.0;155.0;;6.0;589.0;;;-6.0;2.32;;-6.0;3.3;8.0;2.02;0.05;0.05;248.0;;7.0;;7.0;;140.0;8.0;33.0;;;;;;6.0;39.0;;22.0;8.0;;;15.0;27.0;;1.0;;28.0;28.0;;;;95.0;-31.0;57.0;194.0;;194.0;;12.0;-6.0;-0.0;;15.0;;31.0;-12.0;113.0;12.0;-17.0;;;;;;;;-4.0;-11.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;653.0;194.0;17.0;;23.0;15.0;292.0;168.0;208.0;55.0;76.0;132.0;24.0;-9.0;-18.0;-18.0;15.0;459.0;29.68;166.0;;159.0;159.0;;7.0;625.0;;;-7.0;2.54;;-5.0;3.54;9.0;2.24;0.05;0.05;292.0;;4.0;;4.0;;155.0;10.0;35.0;;;;;;5.0;40.0;;32.0;2.0;;;22.0;19.0;;2.0;;21.0;21.0;;;;105.0;-33.0;60.0;208.0;;208.0;;15.0;-7.0;-0.0;;17.0;;-14.0;9.0;130.0;-1.0;-9.0;;;;;;;;-4.0;-14.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;754.0;222.0;28.0;;35.0;22.0;307.0;192.0;237.0;62.0;86.0;151.0;17.0;-13.0;-0.0;-0.0;5.0;532.0;29.45;184.0;;178.0;178.0;;7.0;717.0;;;-7.0;3.71;;-3.0;4.6;13.0;2.85;0.07;0.07;307.0;;8.0;;8.0;;173.0;12.0;40.0;;;;;;5.0;45.0;;38.0;1.0;;;23.0;21.0;;3.0;;24.0;24.0;;;;95.0;-36.0;92.0;237.0;;237.0;;22.0;-7.0;-2.0;;9.0;;-18.0;6.0;139.0;-4.0;-13.0;;;;;;;;-4.0;4.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;921.0;275.0;50.0;;58.0;36.0;324.0;256.0;316.0;117.0;127.0;190.0;43.0;-25.0;-1.0;-1.0;18.0;645.0;29.9;214.0;;206.0;206.0;;8.0;860.0;;;-8.0;5.43;;-3.0;6.32;23.0;3.87;0.11;0.11;324.0;;25.0;;25.0;;217.0;14.0;56.0;;;;;;5.0;61.0;;64.0;11.0;;;42.0;7.0;;3.0;;10.0;10.0;;;;120.0;-37.0;108.0;316.0;;316.0;;36.0;-8.0;-2.0;;28.0;;-44.0;26.0;167.0;-11.0;-25.0;;;;;;;;-6.0;5.0;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;1133.0;330.0;75.0;;78.0;49.0;324.0;315.0;397.0;148.0;157.0;241.0;63.0;-10.0;-51.0;-51.0;53.0;804.0;29.08;249.0;;246.0;246.0;;4.0;1053.0;;;-4.0;6.58;;-2.0;6.88;29.0;4.29;0.15;0.15;324.0;;35.0;;35.0;;260.0;20.0;78.0;;;;;;5.0;82.0;;81.0;19.0;;;48.0;6.0;;3.0;;8.0;8.0;;;;156.0;-47.0;132.0;397.0;;397.0;;49.0;-4.0;-0.0;;34.0;;63.0;-31.0;201.0;-17.0;-10.0;;;;;;;;-2.0;-49.0;;;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;1449.0;421.0;136.0;121.0;118.0;74.0;340.0;410.0;541.0;209.0;217.0;324.0;43.0;-66.0;20.0;-2.0;-23.0;1028.0;29.04;300.0;;300.0;300.0;;;1328.0;;;17.0;9.36;8.36;-3.0;8.17;45.0;5.08;1.33;1.33;55.0;;33.0;;33.0;;356.0;21.0;125.0;;;;;;5.0;131.0;;112.0;31.0;;;66.0;5.0;;3.0;;8.0;;;;34.0;207.0;-62.0;144.0;541.0;;541.0;;74.0;17.0;-1.0;;61.0;;-96.0;;263.0;-108.0;-66.0;;;;;-90.0;9.0;-201.0;-11.0;312.0;;33.0;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;1764.0;504.0;167.0;149.0;142.0;88.0;352.0;516.0;680.0;254.0;260.0;420.0;-18.0;-61.0;50.0;-29.0;-78.0;1261.0;28.55;355.0;;355.0;355.0;;;1615.0;;;25.0;9.45;8.44;-7.0;8.02;54.0;4.98;1.25;1.25;70.0;;4.0;;4.0;;488.0;24.0;159.0;;;;;;5.0;164.0;;103.0;74.0;;;77.0;3.0;;3.0;;6.0;;;;43.0;273.0;-84.0;188.0;680.0;;680.0;;88.0;25.0;-1.0;;18.0;;-132.0;;280.0;-148.0;-61.0;;;;;-109.0;13.0;;-13.0;158.0;;4.0;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;2134.0;605.0;216.0;190.0;185.0;115.0;335.0;505.0;718.0;224.0;233.0;486.0;170.0;-84.0;-83.0;2.0;86.0;1530.0;28.34;415.0;;415.0;415.0;;;1945.0;;;31.0;10.12;8.89;-5.0;8.67;70.0;5.39;1.3;1.3;88.0;;7.0;;7.0;;476.0;22.0;209.0;;;;;;5.0;214.0;;104.0;40.0;;;80.0;3.0;;6.0;;8.0;;;;53.0;302.0;-113.0;244.0;718.0;;718.0;;115.0;31.0;11.0;;79.0;;12.0;;359.0;-66.0;-84.0;;;;;-229.0;18.0;-60.0;-17.0;205.0;;7.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;2627.0;742.0;267.0;236.0;232.0;145.0;172.0;667.0;915.0;308.0;331.0;584.0;139.0;-74.0;-65.0;1.0;31.0;1885.0;28.25;507.0;;507.0;507.0;;0.0;2392.0;;-4.0;39.0;10.15;8.97;-4.0;8.83;87.0;5.52;1.0;0.84;171.0;;7.0;;7.0;;632.0;28.0;241.0;;;;;22.0;-15.0;248.0;;180.0;22.0;;;106.0;1.0;;;22.0;23.0;;;;84.0;320.0;-150.0;330.0;915.0;;915.0;;145.0;39.0;14.0;;65.0;;-156.0;;424.0;-124.0;-108.0;;;;34.0;-185.0;31.0;-75.0;-22.0;187.0;;7.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;3221.0;906.0;326.0;289.0;281.0;182.0;215.0;879.0;1212.0;455.0;486.0;726.0;219.0;-140.0;-63.0;15.0;78.0;2315.0;28.13;617.0;;617.0;617.0;;0.0;2932.0;;-8.0;53.0;10.12;8.98;-8.0;8.72;99.0;5.65;1.01;0.85;215.0;;22.0;;22.0;;812.0;45.0;326.0;;;;;30.0;-23.0;333.0;;258.0;;;;197.0;1.0;;;30.0;31.0;;;;105.0;402.0;-202.0;421.0;1212.0;;1212.0;;182.0;53.0;11.0;;200.0;;-180.0;;624.0;-228.0;-140.0;;;;0.0;-297.0;29.0;-73.0;-28.0;305.0;;22.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;3888.0;1098.0;403.0;349.0;344.0;219.0;271.0;1096.0;1451.0;472.0;525.0;926.0;140.0;-86.0;-18.0;36.0;-12.0;2790.0;28.24;749.0;;748.0;748.0;;1.0;3539.0;;-5.0;64.0;10.36;8.98;-5.0;8.85;125.0;5.63;0.89;0.81;270.0;;59.0;;59.0;;986.0;51.0;346.0;;;;;52.0;-43.0;355.0;;335.0;;;;137.0;1.0;;;52.0;53.0;;;;132.0;538.0;-251.0;507.0;1451.0;;1451.0;;219.0;64.0;18.0;;-37.0;;-174.0;;587.0;-124.0;-153.0;;;;67.0;-221.0;36.0;-51.0;-34.0;252.0;;59.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;4551.0;1251.0;175.0;154.0;109.0;71.0;334.0;1125.0;2282.0;538.0;1421.0;862.0;216.0;-119.0;11.0;108.0;-1.0;3300.0;27.49;1097.0;;935.0;935.0;;162.0;4397.0;;-45.0;111.0;3.85;3.38;-45.0;2.4;38.0;1.56;0.21;0.21;334.0;;162.0;;162.0;;896.0;67.0;973.0;;;;;;184.0;1157.0;;297.0;;;;241.0;721.0;;;162.0;883.0;;;;166.0;414.0;-4.0;286.0;2283.0;-1.0;2282.0;;71.0;111.0;-78.0;;-165.0;;-60.0;-47.0;422.0;276.0;-217.0;;;;98.0;-332.0;;-65.0;-42.0;451.0;;162.0;55.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;5323.0;1510.0;405.0;374.0;328.0;208.0;335.0;1556.0;2552.0;1134.0;1511.0;1042.0;266.0;-124.0;-42.0;99.0;140.0;3813.0;28.37;1136.0;;1136.0;1136.0;;0.0;4949.0;;-46.0;123.0;7.61;7.02;-46.0;6.16;120.0;3.91;0.63;0.62;335.0;;262.0;;262.0;;1131.0;163.0;989.0;;;;;38.0;-31.0;996.0;;322.0;;;;812.0;339.0;;;38.0;377.0;;;;166.0;579.0;-12.0;309.0;2553.0;-1.0;2552.0;;208.0;123.0;7.0;;237.0;;-119.0;25.0;659.0;-310.0;-125.0;;;;1.0;-12.0;;-0.0;-43.0;12.0;;262.0;162.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;6100.0;1724.0;592.0;457.0;415.0;265.0;335.0;1324.0;2333.0;665.0;1045.0;1288.0;434.0;-134.0;-440.0;-140.0;300.0;4376.0;28.26;1297.0;;1297.0;1297.0;;;5673.0;;43.0;135.0;9.71;7.5;-43.0;6.8;150.0;4.34;0.8;0.79;333.0;;121.0;;121.0;;1123.0;80.0;994.0;;;;;;15.0;1009.0;;341.0;16.0;67.0;;307.0;330.0;;50.0;;381.0;;;;167.0;812.0;-1.0;311.0;2333.0;;2333.0;;265.0;135.0;83.0;;249.0;;8.0;19.0;908.0;-297.0;-134.0;;;;0.0;-397.0;;;-43.0;-1.0;;121.0;262.0;;;;;;;;;;;;;;;;;;;;;;;;;;
