;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1990.0;97.0;38.0;10.0;18.0;6.0;3.0;11.0;13.0;94.0;20.0;79.0;15.0;11.0;-13.0;2.0;2.0;-1.0;60.0;38.85;20.0;;15.0;15.0;;5.0;80.0;;;5.0;10.69;18.19;-12.0;5.65;2.0;3.19;0.14;0.14;11.0;;2.0;;2.0;9.0;1.0;2.0;28.0;;16.0;16.0;;;37.0;81.0;;8.0;7.0;;;5.0;51.0;;8.0;0.0;59.0;;;;;6.0;-8.0;17.0;94.0;;94.0;;3.0;5.0;2.0;;;;0.0;;-7.0;1.0;-11.0;;;;-1.0;;;;;2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;105.0;44.0;14.0;22.0;9.0;5.0;18.0;16.0;113.0;15.0;64.0;49.0;11.0;-15.0;5.0;5.0;-3.0;62.0;41.31;22.0;;17.0;17.0;;5.0;84.0;;;5.0;13.2;20.7;-13.0;8.55;4.0;5.03;0.18;0.18;18.0;;3.0;;3.0;10.0;1.0;2.0;36.0;;15.0;15.0;;;45.0;97.0;;8.0;2.0;;;5.0;39.0;;10.0;;49.0;;;;;11.0;-9.0;47.0;113.0;;113.0;;5.0;5.0;1.0;;8.0;;;;1.0;-8.0;-14.0;;;;-1.0;;28.0;;;-23.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;99.0;71.0;19.0;12.0;15.0;8.0;18.0;22.0;150.0;18.0;92.0;58.0;18.0;-24.0;9.0;9.0;-6.0;28.0;71.63;59.0;;54.0;54.0;;5.0;87.0;;;5.0;19.11;12.37;3.0;14.89;6.0;8.05;0.22;0.22;18.0;;6.0;;6.0;13.0;1.0;3.0;52.0;;15.0;15.0;;;61.0;128.0;;10.0;1.0;;;7.0;55.0;;18.0;;74.0;;;;;19.0;-11.0;50.0;150.0;;150.0;;8.0;5.0;2.0;;3.0;;-0.0;;4.0;0.0;-24.0;;;;-0.0;;0.0;;;9.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;143.0;109.0;24.0;38.0;19.0;11.0;18.0;20.0;180.0;17.0;109.0;71.0;15.0;-23.0;4.0;4.0;-15.0;34.0;76.28;71.0;;65.0;65.0;;6.0;104.0;;;6.0;17.05;26.81;-20.0;13.05;8.0;7.51;0.3;0.29;18.0;;1.0;;1.0;15.0;1.0;3.0;63.0;;14.0;14.0;;;83.0;160.0;;9.0;0.0;;;7.0;68.0;;24.0;-0.0;92.0;;;;;29.0;-13.0;55.0;180.0;;180.0;;11.0;6.0;3.0;;-0.0;;-0.0;;3.0;-4.0;-30.0;;;;7.0;;1.0;;;3.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;150.0;73.0;31.0;32.0;25.0;15.0;18.0;21.0;203.0;17.0;114.0;88.0;24.0;-22.0;-2.0;-2.0;-7.0;77.0;48.53;41.0;;35.0;35.0;;6.0;118.0;;;6.0;20.93;21.2;-7.0;16.67;10.0;10.07;0.41;0.4;18.0;;2.0;;2.0;17.0;1.0;2.0;70.0;;14.0;14.0;;;98.0;181.0;;11.0;0.0;;;6.0;79.0;;18.0;0.0;97.0;;;;;45.0;-17.0;61.0;203.0;;203.0;;15.0;6.0;4.0;;1.0;;0.0;;4.0;-3.0;-31.0;;;;10.0;;1.0;;;-2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;164.0;79.0;34.0;50.0;27.0;16.0;19.0;28.0;252.0;29.0;144.0;108.0;31.0;-32.0;3.0;3.0;-11.0;85.0;48.2;29.0;;22.0;22.0;;7.0;114.0;;;7.0;20.45;30.49;-23.0;16.25;11.0;9.86;0.43;0.42;19.0;;4.0;;4.0;22.0;1.0;1.0;88.0;;13.0;13.0;;;124.0;225.0;;16.0;5.0;;;7.0;94.0;;22.0;;115.0;;;;;61.0;-21.0;69.0;252.0;;252.0;;16.0;7.0;6.0;;-5.0;;;;-1.0;8.0;-42.0;;;;10.0;;3.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;190.0;92.0;39.0;58.0;31.0;19.0;19.0;41.0;329.0;35.0;200.0;129.0;32.0;-54.0;28.0;28.0;-26.0;98.0;48.45;34.0;;26.0;26.0;;8.0;132.0;;;8.0;20.52;30.35;-27.0;16.15;12.0;9.78;0.97;0.97;19.0;;9.0;;9.0;29.0;1.0;2.0;121.0;;13.0;13.0;;;154.0;288.0;;18.0;6.0;;;12.0;139.0;;25.0;-0.0;164.0;;;;;79.0;-25.0;75.0;329.0;;329.0;;19.0;8.0;4.0;;7.0;;-0.0;;6.0;-7.0;-57.0;;;;3.0;;1.0;;;27.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;216.0;107.0;44.0;68.0;34.0;21.0;19.0;41.0;383.0;39.0;226.0;156.0;42.0;-45.0;1.0;1.0;-18.0;109.0;49.61;39.0;;29.0;29.0;;10.0;148.0;;;10.0;20.56;31.32;-33.0;15.92;13.0;9.7;1.09;1.07;19.0;;6.0;;6.0;31.0;1.0;3.0;143.0;;13.0;13.0;;;187.0;342.0;;21.0;6.0;;;13.0;158.0;;29.0;;187.0;;;;;100.0;-32.0;88.0;383.0;;383.0;;21.0;10.0;3.0;;-5.0;;-0.0;;2.0;12.0;-60.0;;;;14.0;;5.0;;;-4.0;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;256.0;105.0;54.0;62.0;43.0;26.0;20.0;41.0;446.0;43.0;258.0;188.0;54.0;-50.0;-1.0;-1.0;-18.0;151.0;41.14;44.0;;32.0;32.0;;11.0;195.0;;;11.0;21.12;24.08;-19.0;16.71;17.0;10.19;1.33;1.3;20.0;;9.0;;9.0;29.0;1.0;3.0;162.0;;12.0;12.0;;;231.0;405.0;;23.0;7.0;;;14.0;180.0;;35.0;;215.0;;;;;126.0;-38.0;99.0;446.0;;446.0;;26.0;11.0;5.0;;-4.0;;0.0;;-2.0;16.0;-72.0;;;;22.0;;4.0;;;-5.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;273.0;119.0;65.0;72.0;52.0;32.0;20.0;48.0;520.0;46.0;294.0;227.0;50.0;-77.0;29.0;2.0;-22.0;154.0;43.56;47.0;;35.0;35.0;;12.0;201.0;;;12.0;23.61;26.43;-20.0;19.11;20.0;11.75;1.61;1.58;20.0;;4.0;;4.0;35.0;1.0;7.0;178.0;;12.0;12.0;;;283.0;473.0;;18.0;11.0;;;18.0;208.0;;40.0;;248.0;;;;0.0;158.0;-46.0;114.0;520.0;;520.0;;32.0;12.0;6.0;;4.0;;;;2.0;-5.0;-72.0;;;;-5.0;;5.0;;;24.0;;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
