;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2004.0;7.0;1.0;-3.0;-4.0;-4.0;-2.0;18.0;106.0;392.0;15.0;196.0;196.0;-1.0;-295.0;373.0;373.0;-1.0;6.0;12.82;5.0;;4.0;;;1.0;11.0;;;1.0;-36.85;-60.23;1.0;-52.3;-2.0;-29.94;-0.12;-0.12;18.0;;77.0;;77.0;3.0;;26.0;286.0;;;;;;;286.0;;3.0;;;2.0;10.0;181.0;;;;181.0;;;;0.0;-2.0;-1.0;199.0;392.0;;392.0;;-2.0;1.0;;;0.0;;;;91.0;-0.0;;-279.0;;;-15.0;;197.0;;;175.0;;77.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;229.0;48.0;20.0;7.0;-9.0;-7.0;39.0;95.0;966.0;71.0;503.0;463.0;20.0;-620.0;532.0;-68.0;2.0;181.0;21.0;41.0;;13.0;13.0;;28.0;222.0;;;29.0;8.64;3.11;-16.0;-3.79;-1.0;-3.2;-0.19;-0.19;39.0;;9.0;;9.0;39.0;;47.0;871.0;;;;;;;871.0;;24.0;;;10.0;37.0;431.0;;;;431.0;;;;1.0;-29.0;-29.0;521.0;966.0;;966.0;;-7.0;29.0;-2.0;;-67.0;;;;24.0;67.0;-18.0;-612.0;;;10.0;;292.0;;-11.0;251.0;;9.0;77.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;492.0;157.0;90.0;71.0;39.0;35.0;68.0;119.0;1819.0;102.0;1034.0;785.0;93.0;-562.0;479.0;10.0;-472.0;335.0;31.83;86.0;;33.0;33.0;;52.0;421.0;;;52.0;18.33;14.41;-32.0;7.85;3.0;7.16;0.51;0.51;68.0;;20.0;;20.0;58.0;;41.0;1686.0;;;;;;14.0;1700.0;;43.0;;;11.0;48.0;844.0;;;88.0;932.0;;;;1.0;-43.0;-75.0;902.0;1819.0;;1819.0;;35.0;52.0;2.0;;-8.0;;;;16.0;12.0;-565.0;;;;3.0;;336.0;-3.0;-44.0;190.0;;20.0;9.0;;;7.28;0.52;-6.99;0.65;8.37;11.62;68.0;29.1;1.6;4.3;492.0;14.4;52.0;35.0;8.8;7.2;16.0;844.0;785.0;2.1;2.1;4.5;-24.1;61.3
2007.0;711.0;235.0;147.0;117.0;68.0;68.0;94.0;147.0;2132.0;141.0;1051.0;1080.0;149.0;-351.0;213.0;10.0;92.0;476.0;33.02;118.0;;44.0;44.0;;74.0;594.0;;;73.0;20.66;16.44;-49.0;9.59;5.0;9.61;0.72;0.72;94.0;;30.0;;30.0;68.0;;49.0;1939.0;;;;;;46.0;1985.0;;65.0;;;16.0;60.0;825.0;;;86.0;911.0;;;;1.0;-66.0;-148.0;1294.0;2132.0;;2132.0;;68.0;73.0;3.0;;-10.0;;;;6.0;14.0;-56.0;-331.0;;;36.0;;318.0;-3.0;-82.0;-20.0;;30.0;20.0;;;7.55;0.73;0.98;0.87;0.6;11.47;94.0;25.0;1.4;4.8;711.0;16.4;73.0;68.0;7.7;9.6;6.0;825.0;1080.0;3.4;3.5;6.3;-20.5;-251.9
2008.0;693.0;214.0;120.0;92.0;44.0;53.0;93.0;138.0;2103.0;122.0;1085.0;1018.0;130.0;-57.0;-89.0;-16.0;64.0;480.0;30.83;121.0;;43.0;43.0;;79.0;601.0;;;76.0;17.25;13.32;-49.0;6.28;-9.0;7.64;0.56;0.56;93.0;;14.0;;14.0;61.0;;63.0;1920.0;;;;;;44.0;1964.0;;67.0;;;20.0;35.0;878.0;;;84.0;963.0;;;;1.0;-84.0;-226.0;1327.0;2103.0;;2103.0;;53.0;76.0;-10.0;;10.0;;;;16.0;0.0;-65.0;;;;8.0;;;-49.0;-93.0;54.0;;14.0;30.0;;;7.45;0.57;0.69;1.0;0.7;10.93;93.0;17.9;0.8;9.8;693.0;13.3;76.0;53.0;-21.5;7.6;16.0;878.0;1018.0;2.7;2.1;5.2;-75.8;221.3
2009.0;576.0;142.0;102.0;19.0;-32.0;-11.0;107.0;353.0;2215.0;109.0;1040.0;1176.0;81.0;-28.0;111.0;164.0;56.0;433.0;24.71;121.0;;38.0;38.0;;83.0;554.0;0.0;52.0;83.0;17.78;3.32;-51.0;-5.58;-21.0;-1.93;-0.1;-0.1;107.0;;177.0;;177.0;45.0;;131.0;1862.0;;;;;;;1862.0;;;;;;109.0;787.0;20.0;;124.0;931.0;;;;1.0;-137.0;-309.0;1620.0;2215.0;;2215.0;;-11.0;83.0;-22.0;7.0;228.0;;;;244.0;-205.0;-25.0;;;;-28.0;-135.0;206.0;-2.0;-0.0;42.0;;177.0;14.0;;;5.36;-0.1;0.52;0.0;0.23;10.94;107.0;-61.3;-0.9;0.0;576.0;3.3;83.0;-11.0;65.5;-1.9;244.0;787.0;1176.0;0.3;0.9;-0.9;100.7;
2010.0;624.0;166.0;128.0;38.0;-7.0;-9.0;144.0;343.0;2415.0;117.0;1001.0;1414.0;85.0;-371.0;192.0;-93.0;-212.0;458.0;26.67;127.0;;38.0;38.0;;88.0;585.0;1.0;46.0;89.0;20.45;6.12;-45.0;-1.05;3.0;-1.47;-0.06;-0.06;144.0;;84.0;;84.0;109.0;;150.0;2072.0;;;;;;;2072.0;;117.0;;;;;781.0;19.0;;84.0;884.0;;;;2.0;-146.0;-397.0;1955.0;2415.0;;2415.0;;-9.0;89.0;2.0;4.0;-19.0;;;;226.0;18.0;-298.0;;;;-105.0;-6.0;210.0;-4.0;-4.0;-3.0;;84.0;177.0;;;4.32;-0.06;-1.47;0.03;2.06;9.78;144.0;-151.4;-7.3;0.3;624.0;6.1;89.0;-9.0;-40.5;-1.5;226.0;781.0;1414.0;2.4;1.6;-0.6;147.1;
2011.0;638.0;174.0;141.0;41.0;-4.0;-8.0;167.0;564.0;2799.0;147.0;1296.0;1502.0;104.0;-456.0;294.0;-58.0;49.0;464.0;27.23;131.0;;43.0;43.0;;87.0;595.0;1.0;45.0;99.0;22.04;6.38;-45.0;-0.64;4.0;-1.2;-0.05;-0.05;167.0;;26.0;;26.0;106.0;;432.0;2235.0;;;;;;;2235.0;;88.0;;;;59.0;1043.0;25.0;;82.0;1149.0;;;;2.0;-208.0;-433.0;2142.0;2799.0;;2799.0;;-8.0;99.0;2.0;4.0;191.0;;;;417.0;-185.0;-55.0;-385.0;;;-71.0;-39.0;150.0;-4.0;-40.0;228.0;;26.0;84.0;;;3.83;-0.05;0.3;0.24;0.33;9.01;167.0;-218.4;-13.4;2.4;638.0;6.4;99.0;-8.0;-89.5;-1.2;417.0;1043.0;1502.0;3.0;1.5;-0.5;625.7;
2012.0;750.0;219.0;133.0;31.0;-22.0;-17.0;181.0;282.0;2944.0;156.0;1249.0;1695.0;93.0;-369.0;259.0;-17.0;44.0;531.0;29.18;146.0;;46.0;46.0;;100.0;677.0;0.0;54.0;102.0;17.69;4.15;-53.0;-2.96;-6.0;-2.21;-0.09;-0.09;181.0;;10.0;;10.0;122.0;;150.0;2611.0;;41.0;41.0;;;10.0;2662.0;;140.0;20.0;;;-4.0;989.0;104.0;;;1093.0;;;;2.0;-283.0;-520.0;2496.0;2944.0;;2944.0;;-17.0;102.0;-7.0;5.0;-291.0;;;;126.0;301.0;-49.0;-445.0;;;76.0;-318.0;200.0;-3.0;-56.0;437.0;;10.0;26.0;;;4.15;-0.09;0.24;0.31;0.27;9.37;181.0;-106.3;-7.1;3.2;750.0;4.2;102.0;-17.0;27.8;-2.2;126.0;989.0;1695.0;0.8;1.1;-1.0;437.6;
2013.0;800.0;228.0;211.0;75.0;23.0;49.0;196.0;433.0;3048.0;173.0;1367.0;1681.0;144.0;-42.0;33.0;135.0;36.0;572.0;28.47;153.0;;49.0;49.0;;104.0;725.0;6.0;57.0;106.0;26.38;9.4;-52.0;2.84;-1.0;6.14;0.25;0.25;196.0;;145.0;;145.0;119.0;;169.0;2568.0;;40.0;40.0;;;8.0;2615.0;;156.0;;;;17.0;1092.0;102.0;;;1194.0;;;;2.0;-301.0;-601.0;2580.0;3048.0;;3048.0;;49.0;106.0;-0.0;5.0;133.0;;;;259.0;-149.0;-107.0;;;;-42.0;-88.0;;-2.0;-66.0;189.0;;145.0;10.0;;;4.07;0.25;0.19;0.33;0.55;8.56;196.0;39.9;2.3;3.4;800.0;9.4;106.0;49.0;-4.9;6.1;259.0;1092.0;1681.0;3.8;3.5;2.9;-33.9;185.7
