;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1993.0;10.0;2.0;-1.0;;;-1.0;1.0;6.0;10.0;3.0;7.0;4.0;-0.0;-3.0;4.0;;-3.0;8.0;24.0;3.0;;;;;3.0;10.0;;0.0;-0.0;-8.0;;;;;-6.0;-0.59;-0.59;1.0;;1.0;;1.0;2.0;3.0;0.0;4.0;;;;;;;4.0;;1.0;;;;2.0;4.0;;;;4.0;4.0;;;;-1.0;-2.0;7.0;10.0;;10.0;;-1.0;-0.0;;;-1.0;-2.0;-0.0;1.0;3.0;2.0;-3.0;;;;;-0.0;;;;4.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;23.0;5.0;2.0;;;;1.0;7.0;14.0;4.0;10.0;4.0;1.0;-4.0;2.0;;-2.0;18.0;20.09;4.0;;;;;4.0;22.0;;1.0;-1.0;6.55;;;;;;;;1.0;;0.0;;0.0;3.0;3.0;1.0;6.0;;1.0;1.0;;;0.0;7.0;;2.0;;;;2.0;6.0;;;;6.0;6.0;;;;-1.0;-3.0;7.0;14.0;;14.0;;;-1.0;;;-0.0;-1.0;0.0;1.0;3.0;2.0;-4.0;;;;;-0.0;;;;2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;22.0;2.0;-0.0;-2.0;-3.0;-3.0;1.0;7.0;13.0;11.0;11.0;2.0;0.0;-1.0;1.0;-0.0;-1.0;20.0;9.14;4.0;;3.0;3.0;;1.0;24.0;;1.0;1.0;-2.15;-8.47;-1.0;-12.16;;-12.16;-2.8;-2.8;1.0;;0.0;;0.0;2.0;4.0;1.0;6.0;;;;;;0.0;6.0;;3.0;0.0;;;8.0;;;;0.0;0.0;;;;1.0;-4.0;-4.0;8.0;13.0;;13.0;;-3.0;1.0;;;-7.0;;-1.0;;-4.0;8.0;-1.0;;;;0.0;;1.0;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;9.0;1.0;-0.0;-1.0;0.0;-1.0;1.0;2.0;9.0;4.0;6.0;3.0;2.0;-3.0;2.0;1.0;-1.0;8.0;13.53;1.0;;1.0;1.0;;;9.0;;0.0;1.0;-1.45;-15.02;2.0;4.16;;-10.86;-1.16;-1.16;1.0;;1.0;;1.0;1.0;;1.0;7.0;;;;;;0.0;7.0;;1.0;;;;2.0;1.0;;;1.0;2.0;;;;1.0;-5.0;-2.0;9.0;9.0;;9.0;;-1.0;1.0;;;3.0;;;;-1.0;-1.0;-3.0;;;;-3.0;;;;;2.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;16.0;2.0;3.0;1.0;1.0;1.0;2.0;3.0;11.0;5.0;7.0;4.0;2.0;-1.0;-1.0;-1.0;1.0;14.0;13.85;1.0;;1.0;1.0;;;15.0;;;1.0;15.71;8.21;-0.0;6.97;-0.0;8.01;0.79;0.55;1.0;;0.0;;0.0;3.0;;0.0;8.0;;;;;;0.0;8.0;;1.0;;;;4.0;;;;2.0;2.0;;;;1.0;-3.0;-3.0;10.0;11.0;;11.0;;1.0;1.0;-0.0;;-1.0;;;;-2.0;1.0;-2.0;;;;-1.0;;;;-1.0;-1.0;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;17.0;3.0;4.0;2.0;2.0;2.0;2.0;2.0;9.0;3.0;4.0;5.0;2.0;-0.0;-1.0;1.0;2.0;14.0;19.06;1.0;;1.0;1.0;;;15.0;;0.0;2.0;22.68;12.27;-0.0;10.73;0.0;10.73;1.3;0.77;1.0;;1.0;;1.0;1.0;;0.0;7.0;;;;;;0.0;7.0;;1.0;0.0;;;2.0;;;;1.0;1.0;;;;1.0;-1.0;-5.0;11.0;9.0;;9.0;;2.0;2.0;-0.0;;1.0;;;;-1.0;-3.0;-0.0;;;;-0.0;;;;-0.0;-1.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;5.0;1.0;-0.0;-1.0;;-2.0;1.0;2.0;7.0;1.0;4.0;3.0;0.0;0.0;1.0;1.0;0.0;3.0;27.92;3.0;;1.0;1.0;;2.0;6.0;;;2.0;-4.08;-32.16;-0.0;;;-45.06;-2.29;-2.29;1.0;;2.0;;2.0;;;0.0;5.0;;;;;;0.0;5.0;;0.0;1.0;;;0.0;3.0;;;;3.0;;;;1.0;-3.0;-7.0;13.0;7.0;;7.0;;-2.0;2.0;;;2.0;;;;1.0;-1.0;-0.0;;;0.0;;;;;-0.0;1.0;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;6.0;1.0;0.0;-2.0;-2.0;-2.0;1.0;1.0;5.0;1.0;1.0;4.0;-0.0;-1.0;-1.0;-2.0;-1.0;5.0;16.21;3.0;;1.0;1.0;;2.0;8.0;;0.0;2.0;1.19;-24.28;-0.0;-26.49;0.0;-29.62;-2.19;-2.19;1.0;;0.0;;0.0;1.0;;0.0;4.0;;;;;;0.0;4.0;;0.0;0.0;;;0.0;0.0;;;;0.0;;;;1.0;-5.0;-8.0;17.0;5.0;;5.0;;-2.0;2.0;0.0;;-1.0;;;;0.0;0.0;-1.0;;;;0.0;;;;;-1.0;;0.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;10.0;-0.0;0.0;-1.0;;-1.0;1.0;2.0;5.0;2.0;2.0;3.0;1.0;-0.0;-0.0;1.0;1.0;10.0;-2.12;1.0;;1.0;1.0;;0.0;11.0;;0.0;2.0;4.82;-11.37;;;;-11.37;-1.52;-1.52;1.0;;1.0;;1.0;1.0;;0.0;3.0;;;;;;0.0;3.0;;1.0;0.0;;;1.0;0.0;;;0.0;0.0;;;;1.0;-7.0;-10.0;19.0;5.0;;5.0;;-1.0;2.0;;;-0.0;;;;0.0;1.0;-0.0;;;;0.0;;0.0;;;-0.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;6.0;-1.0;-0.0;-2.0;;-2.0;3.0;1.0;3.0;1.0;2.0;1.0;-0.0;-0.0;-0.0;-1.0;-0.0;7.0;-12.22;1.0;;1.0;1.0;;;8.0;;0.0;2.0;-2.74;-26.34;-0.0;;;-27.33;-0.75;-0.75;3.0;;1.0;;1.0;1.0;;0.0;2.0;;;;;;0.0;2.0;;0.0;0.0;;;1.0;0.0;;;0.0;0.0;;0.0;3.0;2.0;-8.0;-11.0;16.0;3.0;;3.0;;-2.0;2.0;;;-0.0;;;;-0.0;0.0;-0.0;;;;;;;;;-0.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
