;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;45.0;;-1.0;-0.0;-1.0;-1.0;18.0;;25.0;;58.0;-32.0;;;;;;;;;;;;;;;;;;-1.22;-0.8;-0.0;-1.22;;-1.22;-0.03;-0.03;18.0;;6.0;;6.0;;;;;;;;;;;;25.0;;;;;;;;;;;58.0;;;;;;;25.0;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;79.0;54.0;37.0;38.0;37.0;36.0;21.0;;23.0;;19.0;4.0;;;;;;25.0;68.72;16.0;3.0;13.0;;;;41.0;;;;47.27;48.09;-1.0;47.27;1.0;46.34;1.97;1.75;18.0;;5.0;;5.0;;;;;;;;;;;;23.0;;;;;;;;;;;19.0;;;;;;4.0;23.0;;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;56.0;;4.0;;;4.0;20.0;;;;;;;;;;;;;;;;;;;;;;;7.99;;;;;7.99;0.24;0.22;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;83.0;53.0;18.0;17.0;17.0;11.0;20.0;42.0;69.0;34.0;46.0;23.0;9.0;-18.0;9.0;-0.0;-8.0;30.0;63.95;40.0;10.0;30.0;;;;71.0;;;2.0;22.12;20.09;-0.0;19.88;5.0;13.74;0.61;0.56;19.0;;7.0;;7.0;19.0;13.0;3.0;27.0;;;;;0.0;0.0;27.0;;6.0;1.0;;18.0;9.0;12.0;;;0.0;12.0;;;;0.0;15.0;-6.0;13.0;69.0;;69.0;;11.0;2.0;-0.0;;-4.0;;-2.0;;29.0;1.0;-17.0;;;0.0;-1.0;;0.0;-1.0;;9.0;;7.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;131.0;99.0;25.0;21.0;21.0;16.0;23.0;59.0;100.0;30.0;41.0;60.0;42.0;-6.0;-7.0;29.0;36.0;32.0;75.82;51.0;18.0;43.0;;;-10.0;83.0;;;4.0;18.87;16.33;-0.0;16.15;5.0;12.08;0.77;0.69;21.0;;36.0;;36.0;3.0;16.0;3.0;31.0;;;;;10.0;1.0;41.0;;10.0;1.0;;7.0;11.0;11.0;;;;11.0;;;;0.0;25.0;-0.0;35.0;100.0;;100.0;;16.0;4.0;-11.0;;54.0;;-3.0;;83.0;-20.0;-7.0;-1.0;;;1.0;;0.0;-0.0;-5.0;-1.0;-0.0;36.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;153.0;129.0;43.0;38.0;38.0;23.0;25.0;147.0;238.0;64.0;100.0;138.0;-4.0;-42.0;86.0;40.0;-45.0;24.0;84.2;90.0;46.0;45.0;;;;114.0;;;5.0;27.98;24.9;-0.0;24.89;15.0;14.92;0.99;0.93;23.0;;76.0;;76.0;44.0;25.0;2.0;78.0;;;;;11.0;1.0;91.0;;27.0;11.0;;1.0;24.0;31.0;;;4.0;35.0;;;;0.0;48.0;-0.0;91.0;238.0;;238.0;;23.0;5.0;1.0;;6.0;;-8.0;;89.0;-38.0;-41.0;-0.0;;;-0.0;;55.0;-0.0;;31.0;-0.0;76.0;36.0;;;6.63;0.99;-1.97;;1.79;6.01;23.0;11.3;0.6;;153.0;24.9;5.0;23.0;40.0;14.9;83.0;31.0;138.0;13.1;16.0;16.5;100.0;120.6
2007.0;183.0;143.0;41.0;33.0;36.0;23.0;30.0;144.0;274.0;56.0;102.0;171.0;55.0;-44.0;18.0;29.0;11.0;40.0;77.96;110.0;54.0;56.0;56.0;;;150.0;;;5.0;22.31;18.09;3.0;19.67;13.0;12.54;0.79;0.77;29.0;;106.0;;106.0;19.0;17.0;3.0;110.0;;;;;12.0;7.0;129.0;;18.0;15.0;;1.0;21.0;43.0;;;4.0;47.0;;;;0.0;70.0;-1.0;102.0;274.0;;274.0;;23.0;5.0;6.0;;10.0;;8.0;;99.0;12.0;-44.0;;;;;;2.0;;;16.0;-1.0;106.0;76.0;;;6.31;0.79;0.4;;1.52;5.9;29.0;13.4;0.8;;183.0;18.1;5.0;23.0;36.3;12.5;89.0;43.0;171.0;10.5;13.2;13.4;100.0;-21.5
2008.0;179.0;144.0;38.0;30.0;33.0;21.0;30.0;153.0;291.0;54.0;91.0;199.0;7.0;-31.0;9.0;-14.0;-13.0;34.0;80.91;115.0;59.0;55.0;55.0;;;149.0;;;5.0;21.11;16.76;3.0;18.33;12.0;11.58;0.69;0.68;30.0;;91.0;;91.0;35.0;20.0;7.0;125.0;;;;;12.0;1.0;138.0;;18.0;21.0;;0.0;14.0;36.0;;;1.0;37.0;;;;0.0;91.0;-1.0;109.0;291.0;;291.0;;21.0;5.0;2.0;;40.0;;-3.0;;139.0;-61.0;-21.0;;;;-10.0;;3.0;;;6.0;0.0;91.0;106.0;;;5.98;0.69;-0.45;;0.7;6.68;30.0;17.6;0.8;;179.0;16.8;5.0;21.0;36.8;11.6;99.0;36.0;199.0;8.7;11.3;10.4;100.0;25.1
2009.0;235.0;189.0;51.0;40.0;42.0;31.0;31.0;194.0;345.0;55.0;101.0;241.0;31.0;-33.0;15.0;11.0;-3.0;46.0;80.3;148.0;75.0;74.0;74.0;;;195.0;1.0;0.0;5.0;21.77;17.1;1.0;17.68;15.0;13.26;1.02;0.99;30.0;;103.0;;103.0;67.0;14.0;10.0;132.0;;;;;4.0;15.0;151.0;;17.0;21.0;;0.0;16.0;45.0;;;1.0;46.0;;;;0.0;122.0;-1.0;120.0;342.0;3.0;345.0;;31.0;5.0;8.0;5.0;29.0;-30.0;6.0;-1.0;168.0;-47.0;-33.0;;;;;-49.0;4.0;;;59.0;-1.0;103.0;91.0;;;7.71;1.02;-0.09;;1.09;7.92;30.0;15.5;0.2;;235.0;17.1;5.0;31.0;36.1;13.3;139.0;45.0;241.0;10.3;13.5;12.9;100.0;160.8
2010.0;286.0;239.0;84.0;74.0;73.0;52.0;33.0;243.0;500.0;76.0;127.0;369.0;100.0;-23.0;-9.0;66.0;77.0;47.0;83.54;166.0;89.0;76.0;76.0;;;213.0;1.0;;6.0;29.31;25.7;-0.0;25.64;26.0;18.07;1.63;1.59;32.0;;169.0;2.0;171.0;48.0;13.0;12.0;153.0;5.0;51.0;56.0;;34.0;14.0;257.0;;25.0;17.0;;8.0;25.0;30.0;4.0;;16.0;51.0;;;;0.0;174.0;-2.0;198.0;496.0;4.0;500.0;;52.0;6.0;11.0;7.0;16.0;19.0;1.0;4.0;183.0;8.0;-22.0;-18.0;;17.0;;-33.0;7.0;;;17.0;-1.0;169.0;103.0;;;9.0;1.63;2.44;;0.7;11.62;32.0;10.4;0.5;;286.0;25.7;6.0;52.0;35.7;18.1;168.0;30.0;369.0;11.9;15.7;14.0;100.0;-9.3
