;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;27.0;25.0;13.0;16.0;13.0;7.0;5.0;31.0;35.0;5.0;21.0;14.0;3.0;9.0;-8.0;;1.0;2.0;92.94;10.0;;;;;10.0;11.0;;;1.0;48.7;57.62;-3.0;46.84;5.0;27.14;1.49;1.49;5.0;;5.0;;5.0;26.0;;;4.0;;;;;;0.0;4.0;;2.0;;;;4.0;8.0;;8.0;;16.0;;;;;9.0;-1.0;6.0;35.0;;35.0;;7.0;1.0;5.0;;1.0;;;;26.0;-11.0;-3.0;;-25.0;37.0;-0.0;;;;;-8.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;28.0;23.0;-1.0;2.0;;-0.0;6.0;91.0;102.0;12.0;69.0;33.0;-3.0;-60.0;59.0;-4.0;-8.0;6.0;80.5;21.0;;;;;21.0;26.0;;;-1.0;-4.26;7.09;0.0;;;-0.35;-0.01;-0.01;6.0;;0.0;;0.0;88.0;;3.0;8.0;;;;;;2.0;10.0;;11.0;;;;1.0;49.0;;8.0;;57.0;;;;0.0;9.0;-2.0;26.0;102.0;;102.0;;-0.0;-1.0;;;54.0;;;;79.0;-56.0;-4.0;;-52.0;0.0;-4.0;;23.0;;;36.0;;0.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;37.0;;-29.0;-23.0;-31.0;-24.0;7.0;61.0;71.0;59.0;61.0;10.0;-12.0;9.0;4.0;1.0;-13.0;;;;;;;;;58.0;;;2.0;-79.39;-63.15;-8.0;-84.76;-7.0;-64.91;-3.2;-3.2;7.0;;1.0;26.0;27.0;32.0;;2.0;7.0;;;;;;3.0;10.0;;6.0;53.0;;;;;;;2.0;2.0;;;;0.0;-15.0;-3.0;28.0;71.0;;71.0;;-24.0;2.0;-7.0;;-77.0;;;;2.0;93.0;-1.0;;;;10.0;;;-0.0;;4.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;48.0;;-6.0;1.0;-10.0;-11.0;7.0;69.0;78.0;79.0;80.0;-2.0;9.0;-22.0;13.0;1.0;8.0;;;;;;;;;47.0;;;4.0;-11.77;2.13;-11.0;-20.31;1.0;-22.71;-1.52;-1.52;7.0;;1.0;47.0;48.0;18.0;;3.0;5.0;;;;;;3.0;8.0;;10.0;69.0;;;;;;;1.0;1.0;;;;0.0;-26.0;-6.0;29.0;78.0;;78.0;;-11.0;4.0;1.0;;-12.0;;;;-9.0;26.0;-0.0;;;;-21.0;;;;;13.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;90.0;71.0;11.0;28.0;8.0;14.0;16.0;76.0;90.0;22.0;70.0;20.0;25.0;-11.0;-14.0;-1.0;24.0;19.0;79.02;44.0;;;;;44.0;63.0;;;3.0;12.51;30.44;-19.0;8.95;-6.0;15.26;1.82;0.84;7.0;;1.0;64.0;65.0;8.0;;3.0;4.0;;;;;;10.0;14.0;;11.0;;;;12.0;48.0;;;0.0;48.0;;0.0;0.0;0.0;-12.0;0.0;31.0;90.0;;90.0;;14.0;3.0;-6.0;;63.0;;;;54.0;-49.0;-1.0;;;;-10.0;;5.0;;-0.0;-19.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;118.0;90.0;33.0;43.0;29.0;18.0;21.0;130.0;138.0;25.0;67.0;71.0;34.0;-19.0;23.0;38.0;33.0;27.0;76.88;48.0;;;;;48.0;75.0;;;3.0;28.02;36.19;-13.0;25.04;11.0;15.68;1.65;0.88;21.0;;39.0;89.0;128.0;1.0;;1.0;3.0;;;;;1.0;4.0;8.0;;12.0;;;;14.0;41.0;;;0.0;42.0;;0.0;;0.0;6.0;0.0;65.0;138.0;;138.0;;18.0;3.0;5.0;;51.0;;;;105.0;-44.0;-1.0;;;;-18.0;;31.0;;-0.0;-8.0;;39.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;178.0;150.0;41.0;73.0;39.0;23.0;23.0;191.0;201.0;38.0;105.0;96.0;36.0;-50.0;25.0;11.0;34.0;28.0;84.2;77.0;;;;;77.0;105.0;;;2.0;22.96;41.17;-35.0;21.77;16.0;12.99;1.05;0.99;22.0;;50.0;138.0;188.0;;;3.0;3.0;;;;;0.0;6.0;10.0;;17.0;;;;21.0;67.0;;;0.0;67.0;;0.0;;0.0;29.0;0.0;67.0;201.0;;201.0;;23.0;2.0;1.0;;48.0;;;;153.0;-38.0;-3.0;;;;-48.0;;0.0;;;25.0;;50.0;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;222.0;152.0;56.0;84.0;52.0;31.0;24.0;273.0;361.0;45.0;243.0;118.0;31.0;-144.0;110.0;-3.0;28.0;69.0;68.74;68.0;;;;;68.0;138.0;;;4.0;25.16;37.87;-32.0;23.54;21.0;14.02;1.39;1.3;22.0;;7.0;256.0;263.0;6.0;;4.0;5.0;;19.0;19.0;;2.0;62.0;88.0;;23.0;;;3.0;18.0;198.0;;;;198.0;;;;0.0;60.0;0.0;;361.0;;361.0;;31.0;4.0;-2.0;;76.0;;;;228.0;-77.0;-3.0;-159.0;;40.0;-23.0;;1.0;;;109.0;;7.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;255.0;203.0;46.0;72.0;41.0;24.0;23.0;322.0;395.0;33.0;244.0;151.0;38.0;-37.0;3.0;4.0;36.0;52.0;79.59;131.0;;;;;131.0;184.0;;;5.0;18.19;28.07;-30.0;16.14;17.0;9.41;1.06;1.03;23.0;;11.0;300.0;311.0;3.0;;8.0;5.0;14.0;4.0;17.0;300.0;;-249.0;73.0;;24.0;;;2.0;7.0;200.0;;11.0;1.0;211.0;;;;0.0;84.0;0.0;67.0;395.0;;395.0;;24.0;5.0;3.0;;61.0;;;;289.0;-56.0;-2.0;;-134.0;99.0;;;0.0;;;3.0;;11.0;7.0;;;11.21;1.06;1.56;;0.11;6.64;23.0;13.1;0.7;;255.0;28.1;5.0;24.0;41.7;9.4;289.0;200.0;151.0;6.6;10.4;15.9;100.0;-0.4
2007.0;254.0;154.0;28.0;52.0;23.0;15.0;23.0;415.0;483.0;24.0;312.0;172.0;16.0;-95.0;73.0;-6.0;14.0;100.0;60.57;102.0;;;;;102.0;202.0;;;5.0;11.04;20.54;-29.0;9.24;8.0;5.92;0.66;0.64;23.0;;5.0;392.0;397.0;4.0;;14.0;4.0;16.0;3.0;19.0;392.0;;-347.0;68.0;;20.0;;;4.0;;272.0;;14.0;2.0;288.0;;;;0.0;99.0;-1.0;73.0;483.0;;483.0;;15.0;5.0;3.0;;102.0;;;;391.0;-109.0;-1.0;;-197.0;106.0;-2.0;;0.0;;;73.0;;5.0;11.0;;;11.11;0.66;0.63;;0.06;7.5;23.0;16.7;1.0;;254.0;20.5;5.0;15.0;35.9;5.9;391.0;272.0;172.0;3.3;4.9;8.8;100.0;-2.4
