;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;19.0;13.0;-8.0;-14.0;-13.0;-14.0;5.0;11.0;13.0;7.0;7.0;6.0;-4.0;5.0;4.0;4.0;-5.0;7.0;65.45;26.0;11.0;;;;16.0;33.0;;;5.0;-41.88;-70.68;0.0;-70.16;0.0;-71.2;-2.56;-2.56;5.0;;9.0;;9.0;1.0;1.0;0.0;1.0;;;;;;0.0;1.0;;1.0;;;;5.0;;;;;;;;;;-13.0;-5.0;25.0;13.0;;13.0;;-14.0;5.0;;;3.0;;6.0;;5.0;1.0;-1.0;;;0.0;5.0;;4.0;;;0.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;50.0;31.0;5.0;1.0;3.0;4.0;15.0;45.0;46.0;10.0;10.0;37.0;-6.0;-1.0;25.0;18.0;-6.0;19.0;62.13;30.0;12.0;17.0;17.0;;;49.0;;;2.0;9.87;2.47;2.0;5.51;-1.0;7.49;0.31;0.25;12.0;;27.0;0.0;27.0;5.0;13.0;1.0;1.0;;;;;;0.0;2.0;;3.0;;;2.0;5.0;;;;;;;;;0.0;-10.0;-6.0;52.0;46.0;;46.0;;4.0;2.0;;;30.0;;-12.0;;35.0;-43.0;;-1.0;-0.0;;;;25.0;;;0.0;;27.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;32.0;7.0;-18.0;-20.0;-19.0;-19.0;15.0;26.0;29.0;10.0;10.0;19.0;-10.0;-2.0;1.0;-11.0;-10.0;24.0;23.36;28.0;10.0;18.0;18.0;;;52.0;;;1.0;-56.31;-63.86;1.0;-60.68;;-60.68;-1.28;-1.28;15.0;;16.0;;16.0;6.0;4.0;1.0;2.0;;;;;;0.0;2.0;;2.0;;;4.0;4.0;;;;;;;;;0.0;-29.0;-7.0;55.0;29.0;;29.0;;-19.0;1.0;;;-18.0;;9.0;;17.0;26.0;;-2.0;;0.0;-0.0;;1.0;;;0.0;;16.0;27.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;25.0;17.0;-22.0;-27.0;-25.0;-25.0;18.0;53.0;60.0;7.0;13.0;47.0;-4.0;0.0;37.0;33.0;-6.0;9.0;66.13;34.0;12.0;21.0;21.0;;1.0;42.0;;;2.0;-88.44;-106.93;2.0;-97.42;0.0;-97.89;-1.38;-1.38;18.0;;49.0;;49.0;2.0;1.0;1.0;3.0;;4.0;4.0;;;;7.0;;2.0;;;1.0;4.0;5.0;;;;5.0;;;;0.0;-54.0;-8.0;109.0;60.0;;60.0;;-25.0;2.0;;;30.0;;3.0;;46.0;-11.0;-2.0;-0.0;;2.0;;;30.0;;;7.0;;49.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;18.0;11.0;-60.0;-74.0;-73.0;-74.0;25.0;31.0;39.0;11.0;18.0;22.0;-25.0;-1.0;1.0;-24.0;-31.0;7.0;61.67;48.0;19.0;18.0;18.0;;11.0;55.0;;;14.0;-329.31;-408.56;1.0;-402.13;0.0;-408.16;-2.99;-2.99;25.0;;24.0;;24.0;3.0;1.0;3.0;5.0;;3.0;3.0;;;;8.0;;1.0;;;6.0;4.0;6.0;;;;6.0;;;;0.0;-128.0;-9.0;159.0;39.0;;39.0;;-74.0;14.0;;;-27.0;;-0.0;;20.0;62.0;-6.0;-1.0;;0.0;5.0;;3.0;-1.0;;-1.0;;24.0;49.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;15.0;12.0;-5.0;-10.0;-10.0;-9.0;27.0;15.0;20.0;6.0;6.0;13.0;-8.0;0.0;-4.0;-12.0;-8.0;3.0;80.78;22.0;12.0;10.0;10.0;;1.0;25.0;;;4.0;-35.59;-68.16;0.0;-67.18;0.0;-61.98;-0.33;-0.33;27.0;;12.0;;12.0;1.0;1.0;1.0;3.0;;2.0;2.0;;;;5.0;;1.0;;;2.0;3.0;;;;1.0;1.0;;;;0.0;-137.0;-12.0;162.0;20.0;;20.0;;-9.0;4.0;;;-10.0;;1.0;;9.0;8.0;-0.0;;;1.0;0.0;;0.0;;;-5.0;;12.0;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;11.0;7.0;-10.0;-12.0;-11.0;-11.0;28.0;6.0;7.0;4.0;5.0;2.0;-9.0;-0.0;0.0;-9.0;-9.0;4.0;61.01;15.0;8.0;7.0;7.0;;;20.0;;;2.0;-87.46;-109.06;1.0;-103.64;;-103.64;-0.4;-0.4;28.0;;3.0;0.0;4.0;1.0;0.0;1.0;1.0;;0.0;0.0;;;;1.0;;1.0;;;1.0;3.0;;;;1.0;1.0;;;;0.0;-149.0;-0.0;151.0;7.0;;7.0;;-11.0;2.0;;;-7.0;;0.0;;2.0;8.0;-0.0;;-0.0;;0.0;;0.0;;;;;3.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;9.0;5.0;-2.0;-4.0;-3.0;-3.0;33.0;15.0;16.0;3.0;3.0;13.0;-2.0;-0.0;12.0;10.0;-2.0;4.0;53.14;9.0;3.0;6.0;6.0;;;13.0;;;1.0;-26.58;-41.48;1.0;-32.65;;-32.65;-0.09;-0.09;33.0;;13.0;;13.0;1.0;0.0;1.0;0.0;;;;;;0.0;0.0;;1.0;;;1.0;1.0;;;;0.0;0.0;;;;0.0;-152.0;-0.0;164.0;16.0;;16.0;;-3.0;1.0;;;11.0;;0.0;;13.0;-10.0;-0.0;;;0.0;-0.0;;2.0;;;10.0;;13.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;11.0;2.0;-19.0;-20.0;-19.0;-19.0;44.0;37.0;39.0;9.0;9.0;30.0;-17.0;-10.0;36.0;9.0;-18.0;10.0;15.11;22.0;3.0;19.0;19.0;;;31.0;;;0.0;-166.76;-173.5;1.0;-168.64;-0.0;-166.87;-0.43;-0.43;44.0;;23.0;9.0;32.0;1.0;2.0;3.0;2.0;;;;;;0.0;2.0;;4.0;;;3.0;2.0;;;;;;;;;0.0;-171.0;-0.0;201.0;39.0;;39.0;;-19.0;0.0;;;15.0;;-2.0;;28.0;-13.0;-2.0;;-10.0;1.0;0.0;;0.0;;;36.0;;23.0;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;32.0;9.0;-23.0;-25.0;-24.0;-24.0;56.0;24.0;31.0;11.0;11.0;20.0;-21.0;-9.0;14.0;-16.0;-23.0;23.0;27.57;34.0;6.0;28.0;28.0;;;57.0;;;1.0;-73.22;-78.35;1.0;-75.69;;-75.69;-0.43;-0.43;56.0;;6.0;13.0;19.0;1.0;2.0;2.0;3.0;;;;2.0;;2.0;7.0;;5.0;;;2.0;4.0;;;;0.0;0.0;;;;0.0;-195.0;-0.0;215.0;31.0;;31.0;;-24.0;1.0;;;-15.0;;-0.0;;13.0;17.0;-2.0;;-16.0;1.0;8.0;;0.0;;;14.0;;6.0;23.0;;;0.57;-0.43;-0.41;;0.03;0.36;56.0;-3.3;-0.2;;32.0;-78.3;1.0;-24.0;;-75.7;13.0;;20.0;-119.7;-77.6;-120.1;100.0;
