;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;3.0;-1.0;-20.0;-20.0;-20.0;-19.0;11.0;9.0;9.0;21.0;22.0;-12.0;-16.0;3.0;10.0;-3.0;-16.0;3.0;-24.69;19.0;13.0;;;;6.0;22.0;0.0;0.0;0.0;-772.55;-781.06;-0.0;-794.17;-1.0;-763.41;-2.21;-2.21;11.0;;5.0;2.0;7.0;2.0;0.0;1.0;0.0;;;;;;0.0;1.0;;1.0;9.0;;9.0;1.0;;;;1.0;1.0;;;81.0;0.0;-96.0;-1.0;3.0;9.0;;9.0;;-19.0;0.0;;0.0;3.0;-1.0;1.0;-0.0;-12.0;0.0;-0.0;;;;3.0;;;;;10.0;;5.0;8.0;;;0.24;-1.83;-1.47;;0.0;-1.14;11.0;;;;3.0;-781.1;0.0;-19.0;3.9;-763.4;-12.0;;-12.0;166.8;-210.4;160.2;100.0;
2013.0;14.0;6.0;-5.0;-8.0;-7.0;-6.0;10.0;17.0;18.0;14.0;16.0;2.0;-6.0;1.0;10.0;5.0;-6.0;7.0;46.04;15.0;10.0;;;;5.0;22.0;0.0;1.0;0.0;-39.57;-61.81;2.0;-50.79;-1.0;-44.22;-0.63;-0.63;10.0;;10.0;;10.0;5.0;;2.0;0.0;;;;;;0.0;1.0;;1.0;;;10.0;3.0;;;;2.0;2.0;;;90.0;0.0;-102.0;-1.0;15.0;18.0;;18.0;;-6.0;0.0;;0.0;15.0;-4.0;0.0;-0.0;3.0;-15.0;-0.0;;;2.0;;;;;;10.0;;10.0;5.0;;;1.42;-0.63;-0.61;;0.0;0.21;10.0;;;;14.0;-61.8;0.0;-6.0;12.9;-44.2;3.0;;2.0;-128.4;-30.6;-294.5;100.0;
2014.0;19.0;7.0;-19.0;-19.0;-19.0;-18.0;10.0;53.0;53.0;20.0;20.0;33.0;-14.0;-20.0;46.0;12.0;-14.0;12.0;38.67;26.0;17.0;;;;9.0;38.0;0.0;0.0;0.0;-100.32;-98.21;-1.0;-100.91;-1.0;-94.13;-1.97;-1.97;10.0;;23.0;20.0;43.0;7.0;1.0;2.0;0.0;;;;;;0.0;0.0;;4.0;;;7.0;10.0;;;;;;;;;0.0;-104.0;-1.0;138.0;53.0;;53.0;;-18.0;0.0;;1.0;30.0;-2.0;-1.0;3.0;33.0;-26.0;-0.0;;;;-20.0;;46.0;;;0.0;;23.0;10.0;;;1.92;-1.81;-1.4;;0.0;3.32;10.0;-6.9;-0.4;;19.0;-98.2;0.0;-18.0;6.7;-94.1;33.0;;33.0;-54.3;-36.1;-54.3;100.0;
2015.0;66.0;51.0;3.0;3.0;3.0;3.0;16.0;122.0;125.0;34.0;34.0;90.0;-10.0;-2.0;56.0;44.0;-12.0;16.0;76.37;48.0;28.0;20.0;;;;64.0;0.0;0.0;0.0;4.07;3.87;0.0;3.89;0.0;3.88;0.17;0.16;15.0;;79.0;;79.0;26.0;15.0;2.0;2.0;;;;;;0.0;2.0;;4.0;;;6.0;24.0;;;;;;;;;0.0;-107.0;;197.0;125.0;;125.0;;3.0;0.0;;4.0;55.0;-14.0;-14.0;0.0;88.0;-72.0;-2.0;;-106.0;106.0;;;54.0;;;1.0;;79.0;35.0;;;4.34;0.17;-0.76;;0.12;5.92;15.0;379.1;18.9;;66.0;3.9;0.0;3.0;0.1;3.9;88.0;;90.0;2.9;2.1;2.8;100.0;468.4
2016.0;189.0;134.0;55.0;53.0;53.0;81.0;16.0;109.0;214.0;41.0;63.0;151.0;53.0;-46.0;-34.0;-26.0;33.0;55.0;70.81;83.0;30.0;;;;52.0;138.0;0.0;0.0;2.0;29.04;28.16;0.0;28.2;-28.0;42.99;5.24;4.96;16.0;;53.0;;53.0;42.0;3.0;11.0;3.0;40.0;33.0;73.0;;29.0;0.0;105.0;;15.0;;;;26.0;;;;22.0;22.0;;;;0.0;-26.0;-2.0;178.0;214.0;;214.0;;81.0;2.0;-30.0;10.0;-20.0;-16.0;12.0;11.0;68.0;10.0;-21.0;-27.0;-62.0;62.0;-17.0;;;-37.0;;3.0;;53.0;79.0;;;12.2;5.24;2.09;;1.33;9.74;16.0;11.0;0.5;;189.0;28.2;2.0;81.0;-52.5;43.0;68.0;;151.0;47.0;24.9;53.9;100.0;113.8
2017.0;237.0;180.0;78.0;74.0;73.0;52.0;16.0;189.0;270.0;47.0;91.0;179.0;59.0;-5.0;8.0;62.0;54.0;57.0;75.84;104.0;33.0;73.0;73.0;;-2.0;161.0;0.0;1.0;4.0;32.88;31.26;-1.0;30.82;21.0;21.94;3.44;3.27;15.0;;115.0;;115.0;54.0;5.0;15.0;7.0;40.0;23.0;63.0;;11.0;0.0;81.0;;12.0;5.0;;;30.0;43.0;;;1.0;44.0;;;;0.0;26.0;-2.0;155.0;270.0;;270.0;;52.0;4.0;17.0;15.0;73.0;-12.0;-2.0;-8.0;141.0;-103.0;-5.0;;;;-1.0;-1.0;;-44.0;;53.0;;115.0;53.0;;;15.67;3.44;3.56;;0.34;11.86;15.0;19.8;0.8;;237.0;31.3;4.0;52.0;28.8;21.9;141.0;43.0;179.0;23.7;27.4;29.0;100.0;81.5
2018.0;213.0;151.0;40.0;37.0;34.0;32.0;15.0;164.0;239.0;40.0;78.0;161.0;52.0;-0.0;-88.0;-36.0;52.0;62.0;70.97;105.0;44.0;;;;61.0;167.0;0.0;3.0;4.0;18.96;17.17;-3.0;15.96;2.0;14.96;2.16;2.09;15.0;;79.0;;79.0;66.0;8.0;10.0;2.0;40.0;18.0;58.0;;14.0;1.0;75.0;;10.0;6.0;;;24.0;38.0;;;;38.0;;;;0.0;58.0;-3.0;106.0;239.0;;239.0;;32.0;4.0;-2.0;19.0;-17.0;-13.0;-6.0;-2.0;124.0;17.0;-0.0;;;;;-4.0;;-73.0;;-11.0;;79.0;115.0;;;14.44;2.16;3.54;;0.01;10.89;15.0;28.4;1.1;;213.0;17.2;4.0;32.0;6.3;15.0;124.0;38.0;161.0;17.3;15.4;19.8;100.0;139.9
2019.0;196.0;135.0;29.0;22.0;22.0;14.0;14.0;179.0;255.0;39.0;75.0;179.0;56.0;-1.0;-24.0;31.0;55.0;61.0;68.91;113.0;37.0;;;;76.0;174.0;2.0;3.0;5.0;14.98;11.14;0.0;11.23;8.0;7.31;1.04;1.01;14.0;;110.0;;110.0;48.0;7.0;15.0;2.0;40.0;16.0;55.0;;14.0;4.0;75.0;;5.0;5.0;;;28.0;34.0;;;3.0;37.0;;3.0;;0.0;73.0;-4.0;111.0;255.0;;255.0;;14.0;5.0;0.0;22.0;16.0;18.0;2.0;-4.0;141.0;-2.0;-1.0;;;;;-6.0;;-18.0;;-0.0;;110.0;79.0;;;14.24;1.04;4.01;;0.06;13.03;14.0;51.0;2.1;;196.0;11.1;5.0;14.0;34.9;7.3;141.0;34.0;179.0;7.4;9.7;8.0;100.0;32.5
2020.0;188.0;142.0;30.0;33.0;23.0;12.0;14.0;166.0;253.0;38.0;67.0;186.0;49.0;-18.0;-38.0;-7.0;49.0;45.0;75.79;109.0;31.0;;;;79.0;155.0;1.0;3.0;5.0;15.98;17.55;-10.0;12.07;11.0;6.38;0.89;0.87;13.0;;103.0;;103.0;51.0;8.0;4.0;2.0;40.0;13.0;53.0;;15.0;17.0;87.0;;6.0;8.0;;;24.0;25.0;;;4.0;29.0;;4.0;;0.0;84.0;;102.0;253.0;;253.0;;12.0;5.0;-2.0;25.0;-13.0;-3.0;-2.0;1.0;128.0;22.0;-1.0;;-18.0;;;-115.0;4.0;-35.0;;108.0;;103.0;110.0;;;13.93;0.89;3.62;;0.06;13.8;13.0;53.5;1.4;;188.0;17.5;5.0;12.0;47.1;6.4;128.0;25.0;186.0;6.2;10.0;6.4;100.0;64.3
2021.0;172.0;129.0;-2.0;3.0;-5.0;-0.0;13.0;173.0;254.0;74.0;77.0;176.0;28.0;-5.0;-28.0;-5.0;28.0;42.0;75.41;169.0;51.0;75.0;;;42.0;211.0;1.0;-2.0;4.0;-1.41;1.61;-7.0;-2.65;-4.0;-0.27;-0.04;-0.04;13.0;;98.0;;98.0;41.0;22.0;12.0;2.0;40.0;11.0;50.0;;19.0;10.0;81.0;;16.0;26.0;;;32.0;;;;3.0;3.0;;;;0.0;76.0;-0.0;101.0;254.0;;254.0;;-0.0;4.0;-4.0;20.0;-30.0;10.0;-14.0;10.0;98.0;39.0;-0.0;;;;-5.0;-8.0;2.0;-21.0;;-2.0;;98.0;103.0;;;13.12;-0.04;2.13;;0.02;13.49;13.0;-1318.0;-43.9;;172.0;1.6;4.0;-0.0;89.7;-0.3;98.0;;176.0;-0.4;-2.4;-0.3;100.0;
