;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;9.0;;-20.0;-21.0;-20.0;-20.0;4.0;;29.0;;91.0;-63.0;;;;;;;;;;23.0;13.0;10.0;;30.0;;;;-212.85;-228.16;1.0;-212.85;;-212.85;-4.67;-4.67;4.0;;;;;;;;;;;;;;;;29.0;;;;;;;;;;;91.0;;;;-64.0;;1.0;29.0;;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;17.0;;-10.0;-10.0;-10.0;-10.0;4.0;;18.0;;4.0;14.0;;;;;;;;;;20.0;12.0;7.0;;26.0;;;;-58.18;-58.21;0.0;-58.18;;-58.18;-2.18;-2.18;4.0;;;;;;;;;;;;;;;;18.0;;;;;;;;;;;4.0;;86.0;;-73.0;;87.0;18.0;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;22.0;15.0;-3.0;-3.0;-3.0;-3.0;19.0;;15.0;;90.0;-75.0;;;;;;7.0;69.49;19.0;;7.0;;7.0;12.0;26.0;;;;-14.37;-14.7;0.0;-14.37;;-14.37;-0.65;-0.65;5.0;;;;;;;;;;;;;;;;15.0;;;;;;;;;;;90.0;;86.0;;-76.0;;1.0;15.0;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;30.0;30.0;-2.0;-3.0;-3.0;-3.0;4.0;10.0;13.0;5.0;91.0;-78.0;-1.0;5.0;0.0;5.0;-2.0;0.0;98.52;33.0;7.0;26.0;13.0;13.0;;34.0;;;1.0;-6.1;-11.21;0.0;-11.01;;-11.01;-0.74;-0.74;4.0;;9.0;;9.0;0.0;;1.0;3.0;;;;;;1.0;3.0;;1.0;;;0.0;4.0;;;;86.0;86.0;;;;0.0;-80.0;-0.0;1.0;13.0;;13.0;;-3.0;1.0;;;1.0;;;;5.0;0.0;-2.0;;;7.0;0.0;;0.0;;;-0.0;;9.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;42.0;41.0;1.0;-1.0;-0.0;-0.0;5.0;10.0;15.0;7.0;93.0;-78.0;3.0;-1.0;-1.0;1.0;1.0;1.0;98.53;42.0;8.0;34.0;16.0;18.0;;42.0;;;1.0;1.78;-1.51;0.0;-0.94;0.0;-0.99;-0.09;-0.09;5.0;;9.0;;9.0;0.0;;1.0;3.0;;;;;;2.0;5.0;;1.0;;;1.0;5.0;;;;87.0;87.0;;;;0.0;-80.0;-0.0;2.0;15.0;;15.0;;-0.0;1.0;;;-1.0;;;;4.0;3.0;-1.0;;-0.0;;0.0;;0.0;-1.0;;-0.0;;9.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;61.0;60.0;11.0;8.0;9.0;17.0;21.0;95.0;105.0;9.0;9.0;96.0;11.0;-2.0;72.0;81.0;9.0;1.0;97.87;52.0;10.0;42.0;20.0;21.0;;53.0;;;2.0;17.73;13.03;1.0;15.19;-7.0;26.92;1.91;0.8;9.0;;90.0;0.0;90.0;1.0;;4.0;4.0;;;;;5.0;0.0;10.0;;1.0;0.0;;0.0;7.0;;;;0.0;0.0;;;;0.0;-64.0;-0.0;160.0;105.0;;105.0;;17.0;2.0;-7.0;;83.0;;;;87.0;-82.0;-2.0;;-0.0;;;;75.0;;;-4.0;;90.0;9.0;;;7.14;1.92;1.07;;0.26;11.15;9.0;12.0;0.7;;61.0;13.0;2.0;17.0;-76.9;26.9;87.0;;96.0;17.2;8.9;17.2;100.0;-820.9
2007.0;88.0;86.0;23.0;16.0;21.0;32.0;26.0;138.0;147.0;11.0;12.0;136.0;26.0;-42.0;6.0;-9.0;24.0;2.0;98.06;70.0;12.0;58.0;28.0;29.0;;72.0;;;2.0;26.21;18.24;5.0;24.27;-10.0;35.99;1.37;1.22;23.0;;81.0;40.0;122.0;2.0;;15.0;4.0;;;;40.0;5.0;-39.0;9.0;;1.0;;;0.0;9.0;;;;0.0;0.0;;;;0.0;-32.0;0.0;168.0;147.0;;147.0;;32.0;2.0;-10.0;;40.0;;;;127.0;-37.0;-2.0;;-54.0;14.0;0.0;;7.0;;;-0.0;;81.0;90.0;;;3.8;1.37;1.06;;0.08;5.88;23.0;17.5;1.0;;88.0;18.2;2.0;32.0;-48.3;36.0;127.0;;136.0;23.2;14.4;23.2;100.0;-28.1
2008.0;112.0;110.0;27.0;21.0;25.0;14.0;26.0;162.0;169.0;13.0;14.0;155.0;30.0;-19.0;1.0;13.0;28.0;2.0;98.44;89.0;14.0;75.0;32.0;42.0;;90.0;;;2.0;24.02;19.03;4.0;22.36;11.0;12.68;0.57;0.55;25.0;;94.0;56.0;151.0;3.0;;9.0;5.0;;;;56.0;1.0;-55.0;7.0;;2.0;;;0.0;11.0;;;;1.0;1.0;;;;0.0;-18.0;0.0;172.0;169.0;;169.0;;14.0;2.0;9.0;;22.0;;;;149.0;-17.0;-2.0;;-86.0;69.0;;;2.0;-1.0;;0.0;;94.0;81.0;;;4.48;0.57;1.11;;0.1;6.21;25.0;33.8;1.6;;112.0;19.0;2.0;14.0;43.3;12.7;149.0;;155.0;9.1;14.8;9.1;100.0;-3.3
2009.0;135.0;130.0;29.0;26.0;27.0;15.0;25.0;164.0;170.0;15.0;18.0;151.0;30.0;31.0;-24.0;37.0;29.0;5.0;96.6;104.0;16.0;89.0;35.0;54.0;;109.0;1.0;;2.0;21.49;19.16;1.0;19.85;11.0;11.38;0.63;0.61;24.0;;131.0;22.0;154.0;2.0;;8.0;4.0;;;;22.0;1.0;-21.0;6.0;;3.0;;;0.0;12.0;;;;3.0;3.0;;;;0.0;-3.0;0.0;154.0;170.0;;170.0;;15.0;2.0;9.0;5.0;-0.0;-0.0;;1.0;149.0;-2.0;-1.0;;-41.0;74.0;-1.0;-0.0;;-29.0;;6.0;;131.0;94.0;;;5.55;0.63;1.18;;0.06;6.23;24.0;24.5;0.3;;135.0;19.2;2.0;15.0;42.7;11.4;149.0;;151.0;9.9;15.8;10.1;100.0;102.5
2010.0;160.0;155.0;36.0;33.0;33.0;17.0;24.0;149.0;186.0;20.0;24.0;162.0;21.0;-11.0;-13.0;-3.0;18.0;5.0;96.57;122.0;19.0;102.0;42.0;60.0;1.0;128.0;;;3.0;22.39;20.3;0.0;20.3;15.0;10.9;0.76;0.73;23.0;;128.0;;128.0;11.0;;10.0;5.0;14.0;12.0;26.0;;3.0;3.0;37.0;;4.0;;;3.0;14.0;;;;3.0;3.0;;;;0.0;15.0;0.0;147.0;186.0;;186.0;;17.0;3.0;14.0;6.0;-20.0;-8.0;;-0.0;128.0;-0.0;-3.0;-27.0;;22.0;-3.0;-0.0;;-26.0;;13.0;;128.0;131.0;;;6.94;0.76;0.76;;0.13;7.02;23.0;18.4;0.9;;160.0;20.3;3.0;17.0;46.3;10.9;128.0;;162.0;10.6;17.5;10.8;100.0;149.2
