;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1995.0;2899.0;2266.0;271.0;231.0;229.0;121.0;426.0;;;;;;161.0;-51.0;-16.0;-16.0;115.0;633.0;78.17;2035.0;;1993.0;;;42.0;2668.0;;;42.0;9.35;7.96;-2.0;7.91;108.0;4.18;0.23;0.23;426.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121.0;42.0;-14.0;;-3.0;;1.0;;;15.0;-46.0;;;;-5.0;;;-1.0;-36.0;21.0;2.0;;171.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;3195.0;2522.0;358.0;310.0;299.0;160.0;349.0;;;;;;172.0;-75.0;-113.0;-113.0;109.0;672.0;78.96;2212.0;;2153.0;;;59.0;2884.0;;;59.0;11.19;9.71;-12.0;9.35;138.0;5.02;0.29;0.29;349.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160.0;59.0;-5.0;;-82.0;;-75.0;;;40.0;-63.0;;;13.0;-24.0;;61.0;;-107.0;-67.0;3.0;;268.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;3382.0;2693.0;426.0;359.0;350.0;198.0;477.0;1311.0;1873.0;760.0;965.0;908.0;253.0;-131.0;-117.0;1.0;170.0;689.0;79.62;2333.0;;2257.0;2257.0;;76.0;3023.0;;;76.0;12.6;10.62;-9.0;10.35;152.0;5.84;0.36;0.36;477.0;;256.0;;256.0;472.0;441.0;143.0;265.0;;161.0;161.0;;;136.0;562.0;;166.0;31.0;;;563.0;;;;206.0;206.0;;;;;386.0;-338.0;859.0;1873.0;;1873.0;;198.0;76.0;-13.0;;-49.0;;4.0;;552.0;41.0;-83.0;;;;-48.0;;43.0;;-63.0;-96.0;-5.0;256.0;255.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;3618.0;2896.0;495.0;409.0;398.0;237.0;479.0;1455.0;2513.0;837.0;1456.0;1056.0;258.0;-577.0;345.0;22.0;-322.0;722.0;80.04;2487.0;;2389.0;2389.0;;98.0;3209.0;;;98.0;13.69;11.31;-11.0;11.0;161.0;6.55;0.45;0.45;474.0;;278.0;;278.0;498.0;513.0;166.0;336.0;;563.0;563.0;;;159.0;1058.0;;209.0;12.0;;;617.0;425.0;;;194.0;619.0;;;;;560.0;-365.0;862.0;2513.0;;2513.0;;237.0;98.0;-12.0;;-69.0;;-72.0;;617.0;5.0;-581.0;;-2.0;5.0;;;0.0;;-54.0;399.0;-4.0;278.0;256.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;3961.0;3179.0;558.0;457.0;440.0;273.0;482.0;1570.0;2747.0;862.0;1462.0;1285.0;352.0;-200.0;-73.0;70.0;159.0;783.0;80.24;2722.0;;2605.0;2605.0;;117.0;3505.0;;;117.0;14.07;11.53;-17.0;11.11;167.0;6.89;0.53;0.52;474.0;;348.0;;348.0;534.0;513.0;176.0;384.0;;609.0;609.0;;;184.0;1177.0;;223.0;7.0;;;633.0;423.0;;;178.0;600.0;;;;2.0;766.0;-416.0;932.0;2747.0;;2747.0;;273.0;117.0;-4.0;;-42.0;;;;708.0;8.0;-193.0;;-8.0;1.0;;;15.0;-13.0;-64.0;-12.0;-9.0;348.0;278.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;4367.0;3542.0;646.0;516.0;499.0;314.0;485.0;1619.0;3043.0;902.0;1523.0;1520.0;443.0;-374.0;-88.0;-27.0;262.0;825.0;81.1;3026.0;;2879.0;2879.0;;147.0;3851.0;;;147.0;14.78;11.81;-17.0;11.42;185.0;7.19;0.61;0.6;475.0;;320.0;;320.0;550.0;546.0;202.0;480.0;;739.0;739.0;;;205.0;1425.0;;237.0;7.0;;;658.0;418.0;;;203.0;621.0;;;;2.0;1009.0;-494.0;1003.0;3043.0;;3043.0;;314.0;147.0;-6.0;;-15.0;;-31.0;;717.0;2.0;-181.0;-181.0;-16.0;3.0;;;14.0;-24.0;-71.0;-7.0;-8.0;320.0;348.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;4608.0;3636.0;642.0;496.0;481.0;305.0;484.0;1739.0;3219.0;857.0;1867.0;1352.0;305.0;-206.0;-64.0;26.0;113.0;972.0;78.9;3103.0;;3086.0;3086.0;;16.0;4075.0;;;163.0;13.93;10.75;-14.0;10.45;174.0;6.62;0.59;0.58;477.0;;347.0;;347.0;581.0;630.0;181.0;529.0;700.0;21.0;721.0;;70.0;160.0;1480.0;;240.0;6.0;;;611.0;411.0;;;599.0;1010.0;;;;2.0;1243.0;-572.0;679.0;3219.0;;3219.0;;305.0;163.0;5.0;;-199.0;;-102.0;;882.0;32.0;-192.0;-16.0;;2.0;;;13.0;-0.0;-71.0;-6.0;-9.0;347.0;320.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;4744.0;3470.0;468.0;341.0;327.0;192.0;482.0;1928.0;3417.0;960.0;1955.0;1462.0;518.0;-217.0;-122.0;200.0;315.0;1273.0;73.16;3019.0;;3019.0;3019.0;;;4292.0;;;162.0;9.87;7.2;-15.0;6.89;114.0;4.05;0.35;0.35;476.0;;547.0;;547.0;625.0;545.0;211.0;581.0;;694.0;694.0;;73.0;142.0;1489.0;;216.0;7.0;;;737.0;404.0;;;591.0;995.0;;;;2.0;1364.0;-721.0;817.0;3417.0;;3417.0;;192.0;162.0;-23.0;;103.0;;102.0;;968.0;84.0;-203.0;-19.0;;;5.0;;8.0;-50.0;-71.0;-9.0;21.0;547.0;347.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;5118.0;3782.0;655.0;495.0;487.0;320.0;469.0;1845.0;3350.0;1054.0;1914.0;1424.0;549.0;-193.0;-550.0;-183.0;385.0;1336.0;73.9;3265.0;;3245.0;3245.0;;20.0;4601.0;;;175.0;12.8;9.67;-8.0;9.52;161.0;6.25;0.64;0.63;465.0;;364.0;;364.0;634.0;599.0;248.0;608.0;;761.0;761.0;;39.0;98.0;1505.0;;230.0;8.0;;;816.0;284.0;;;577.0;860.0;;;;2.0;1614.0;-53.0;-139.0;3338.0;12.0;3350.0;;320.0;175.0;37.0;;8.0;;-16.0;;791.0;9.0;-163.0;-50.0;;21.0;;;17.0;-353.0;-82.0;-133.0;12.0;364.0;547.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;5790.0;4314.0;766.0;644.0;617.0;342.0;463.0;2199.0;3708.0;1322.0;1959.0;1734.0;667.0;-208.0;-216.0;248.0;461.0;1476.0;74.5;3670.0;;3651.0;3651.0;;19.0;5146.0;;;192.0;13.24;11.12;-27.0;10.65;233.0;5.91;0.75;0.74;456.0;;612.0;;612.0;665.0;654.0;269.0;647.0;;744.0;744.0;;;118.0;1509.0;;267.0;74.0;;;981.0;462.0;;;176.0;637.0;;;;2.0;1887.0;11.0;-167.0;3693.0;16.0;3708.0;;342.0;192.0;18.0;;67.0;;-46.0;;877.0;48.0;-207.0;-4.0;-0.0;;3.0;;61.0;-116.0;-76.0;-85.0;4.0;612.0;364.0;;;;;;;;;;;;;;;;;;;;;;;;;;
