;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1999.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;49.0;0.0;0.0;0.0;0.0;0.0;-0.0;;0.0;;-0.0;0.0;50.0;0.0;;0.0;0.0;;-0.0;0.0;;-0.0;;-150.0;-50.0;-0.0;-100.0;;-100.0;-0.0;-0.0;49.0;;;;;;0.0;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-1.0;-0.0;1.0;0.0;-0.0;0.0;;-0.0;;;;0.0;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;;0.0;0.0;0.0;59.49;0.0;;0.0;0.0;;;0.0;0.0;;0.0;-47.91;-49.6;0.0;-49.53;0.0;-55.14;-5.05;-5.05;0.0;;0.0;;0.0;0.0;0.0;;0.0;;;;;;;0.0;;0.0;;;;0.0;;;;;;;;;0.0;-1.0;-0.0;1.0;0.0;;0.0;;-0.0;0.0;;;-0.0;;0.0;;-0.0;0.0;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;0.0;86.15;0.0;;0.0;0.0;;;0.0;0.0;0.0;0.0;-111.13;-111.99;-0.0;-114.37;0.0;-124.03;-6.6;-6.6;0.0;;0.0;;0.0;0.0;0.0;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;0.0;-1.0;-0.0;1.0;0.0;;0.0;;-0.0;0.0;;;-0.0;;0.0;;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;0.0;84.66;0.0;;0.0;;;-0.0;0.0;;0.0;;-131.43;-131.43;-0.0;-137.23;0.0;-147.37;-7.48;-7.48;0.0;;0.0;;0.0;0.0;;;;;;;;;;;;0.0;0.0;;;;;;;-0.0;-0.0;;;;0.0;-1.0;-0.0;1.0;0.0;;0.0;;-0.0;;;;-0.0;;0.0;;-0.0;0.0;;;;;;;0.0;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;0.0;86.98;0.0;;0.0;;;;0.0;;0.0;;-2038.45;-2039.86;-0.0;-2049.12;0.0;-2060.89;-90.01;-90.01;0.0;;0.0;;0.0;0.0;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;0.0;-1.0;-0.0;1.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;-0.0;-0.0;-0.0;-0.0;0.0;;;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;;;;0.0;;0.0;;-inf;-inf;-0.0;-inf;0.0;-inf;-171.21;-171.21;0.0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;0.0;-1.0;-4.0;5.0;;;;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;-0.0;-0.0;-0.0;-0.0;0.0;;;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;;;;0.0;;0.0;;-inf;-inf;0.0;-inf;0.0;-inf;-13.25;-13.25;0.0;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;;;;;;;0.0;-1.0;-0.0;1.0;;;;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;;;;0.0;;0.0;0.0;-inf;-inf;-0.0;-inf;0.0;-inf;-279.91;-279.91;0.0;;0.0;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-2.0;;1.0;0.0;;0.0;;-0.0;0.0;;;0.0;;;;-0.0;0.0;;;;;;;0.0;;;-0.0;;0.0;;;;;-279.91;-55.91;;;-139.54;0.0;-635.3;-35.2;;;-inf;0.0;-0.0;-0.2;-inf;-0.0;;-0.0;192.0;-370.3;200.6;100.0;
2007.0;0.0;0.0;-3.0;-3.0;-3.0;-3.0;0.0;6.0;6.0;1.0;1.0;5.0;-3.0;-0.0;9.0;6.0;-3.0;0.0;30.29;3.0;1.0;2.0;;;;4.0;;0.0;0.0;-1318.29;-1371.48;-0.0;-1375.13;0.0;-1375.46;-2107.39;-2107.39;0.0;;6.0;;6.0;0.0;;0.0;;;;;;;0.0;0.0;;0.0;0.0;;;0.0;;;;;;;;;0.0;-11.0;;17.0;6.0;;6.0;;-3.0;0.0;;;6.0;;;;5.0;-5.0;;;;;-0.0;;9.0;;;-0.0;;6.0;0.0;;;153.21;-2107.39;-1901.61;;;3440.3;0.0;-23.8;-1.4;;0.0;-1371.5;0.0;-3.0;-0.0;-1375.5;5.0;;5.0;-59.1;-52.6;-61.3;100.0;
2008.0;1.0;1.0;-5.0;-5.0;-5.0;-5.0;0.0;2.0;3.0;1.0;2.0;1.0;-4.0;-0.0;-0.0;-4.0;-4.0;0.0;78.9;6.0;2.0;4.0;;;;6.0;0.0;;0.0;-693.45;-707.71;0.0;-694.26;0.0;-694.44;-7651.71;-7651.71;0.0;;2.0;;2.0;0.0;;0.0;;0.0;;0.0;;;0.0;0.0;;0.0;0.0;;;1.0;0.0;;;0.0;0.0;;0.0;;0.0;-17.0;;18.0;3.0;;3.0;;-5.0;0.0;;;-5.0;;;;1.0;6.0;-0.0;;;;-0.0;;;;;-0.0;;2.0;6.0;;;1101.85;-7651.71;-5253.28;;44.02;1499.86;0.0;-4.5;-0.2;;1.0;-707.7;0.0;-5.0;-0.0;-694.4;1.0;0.0;1.0;-455.5;-203.9;-510.2;100.0;
