;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1993.0;3903.0;1243.0;309.0;451.0;439.0;-209.0;165.0;;;;;;752.0;-398.0;-226.0;-226.0;348.0;2660.0;31.85;792.0;;446.0;;;346.0;3452.0;;;346.0;7.92;11.56;-12.0;11.25;172.0;-5.35;1.24;1.23;165.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-209.0;346.0;11.0;;105.0;;29.0;;;499.0;-404.0;;;;6.0;;;;-18.0;-208.0;;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;4329.0;1442.0;879.0;636.0;550.0;336.0;166.0;;;;;;816.0;-176.0;-691.0;-51.0;535.0;2887.0;33.31;806.0;167.0;310.0;;;329.0;3693.0;;;329.0;20.3;14.69;-86.0;12.71;214.0;7.76;2.03;2.02;165.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;336.0;329.0;-8.0;;11.0;;-60.0;;11.0;148.0;-281.0;;;;105.0;;;;-99.0;-592.0;;90.0;141.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;5040.0;1812.0;1207.0;964.0;899.0;559.0;165.0;;;;;;838.0;-524.0;-304.0;10.0;392.0;3228.0;35.95;848.0;176.0;364.0;;;308.0;4076.0;;;308.0;23.95;19.13;-65.0;17.84;340.0;11.09;3.42;3.39;163.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;559.0;308.0;-11.0;;-28.0;;-108.0;;-17.0;10.0;-446.0;-56.0;;;-22.0;;;-200.0;-133.0;29.0;;100.0;90.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;4782.0;1493.0;921.0;663.0;607.0;380.0;159.0;1345.0;5266.0;787.0;3627.0;1639.0;746.0;-809.0;-13.0;-76.0;-43.0;3289.0;31.22;830.0;184.0;332.0;332.0;;314.0;4119.0;;;314.0;19.26;13.86;-56.0;12.69;227.0;7.95;2.4;2.4;158.0;;24.0;;24.0;744.0;465.0;112.0;3520.0;;;;;;401.0;3921.0;;312.0;;;;475.0;1523.0;;348.0;969.0;2840.0;;;;;1929.0;-4010.0;3720.0;5266.0;;5266.0;;380.0;314.0;8.0;;575.0;;10.0;;558.0;-531.0;-789.0;-26.0;;;6.0;;;-161.0;-134.0;282.0;;24.0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;4678.0;1096.0;773.0;506.0;446.0;286.0;158.0;1490.0;5778.0;954.0;4025.0;1753.0;698.0;-745.0;52.0;5.0;-51.0;3582.0;23.43;590.0;191.0;337.0;337.0;;62.0;4172.0;;;327.0;16.52;10.82;-60.0;9.53;160.0;6.11;1.83;1.81;156.0;;29.0;;29.0;793.0;511.0;157.0;3881.0;;;;;;407.0;4288.0;;281.0;;;;673.0;1714.0;;397.0;960.0;3071.0;;;;1.0;2078.0;-4223.0;3897.0;5778.0;;5778.0;;286.0;327.0;7.0;;-22.0;;-65.0;;536.0;100.0;-749.0;;;;4.0;;;-8.0;-138.0;198.0;;29.0;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;4481.0;935.0;711.0;434.0;360.0;249.0;159.0;1415.0;5876.0;985.0;3942.0;1934.0;731.0;-545.0;-186.0;;231.0;3546.0;20.87;501.0;185.0;316.0;316.0;;;4047.0;;;351.0;15.87;9.69;-74.0;8.03;111.0;5.56;1.57;1.56;158.0;;29.0;;29.0;776.0;493.0;117.0;4060.0;;;;;;401.0;4461.0;;316.0;;;;669.0;1649.0;;415.0;893.0;2957.0;;;;1.0;2188.0;-4534.0;4279.0;5876.0;;5876.0;;249.0;351.0;66.0;;-106.0;;19.0;;430.0;171.0;-500.0;-27.0;;;-18.0;;;;-138.0;-48.0;;29.0;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;4590.0;822.0;455.0;202.0;72.0;48.0;157.0;1489.0;6303.0;1608.0;4544.0;1759.0;744.0;-715.0;128.0;157.0;452.0;3768.0;17.91;595.0;187.0;355.0;355.0;;53.0;4363.0;;;383.0;9.91;4.4;-130.0;1.57;24.0;1.05;0.3;0.3;157.0;;186.0;;186.0;631.0;485.0;187.0;3950.0;;446.0;446.0;;;418.0;4814.0;;323.0;474.0;;;811.0;1506.0;;485.0;945.0;2936.0;;;;1.0;2098.0;-4870.0;4530.0;6303.0;;6303.0;;48.0;383.0;-18.0;;-549.0;;63.0;;-119.0;880.0;-292.0;-381.0;;;-42.0;;;-51.0;-138.0;317.0;;186.0;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;5292.0;1066.0;870.0;562.0;452.0;303.0;154.0;1523.0;6550.0;1258.0;4738.0;1812.0;831.0;-465.0;-451.0;-85.0;605.0;4226.0;20.14;495.0;149.0;346.0;346.0;;;4721.0;;;418.0;16.44;10.62;-110.0;8.54;149.0;5.73;1.98;1.97;153.0;;101.0;;101.0;737.0;580.0;105.0;3925.0;;612.0;612.0;;;490.0;5027.0;;526.0;5.0;;;727.0;1914.0;;607.0;959.0;3480.0;;;;1.0;2266.0;-5114.0;4659.0;6550.0;;6550.0;;303.0;418.0;64.0;;384.0;;-43.0;;265.0;-338.0;-226.0;-261.0;;12.0;10.0;;;-57.0;-135.0;-259.0;;101.0;186.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;5384.0;887.0;138.0;-126.0;-297.0;-179.0;154.0;1458.0;6086.0;958.0;4708.0;1378.0;431.0;-523.0;57.0;-35.0;197.0;4497.0;16.47;612.0;160.0;407.0;407.0;;45.0;5109.0;;;435.0;2.56;-2.34;-171.0;-5.52;-118.0;-3.32;-1.17;-1.17;154.0;;66.0;;66.0;656.0;659.0;77.0;3627.0;;614.0;614.0;;;387.0;4628.0;;438.0;54.0;;;466.0;2143.0;;452.0;1155.0;3750.0;;;;1.0;1952.0;-5675.0;5100.0;6086.0;;6086.0;;-179.0;435.0;-148.0;;235.0;;-8.0;;500.0;88.0;-234.0;-257.0;;;-32.0;;20.0;-4.0;-135.0;176.0;;66.0;101.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;5320.0;779.0;463.0;208.0;84.0;61.0;154.0;1529.0;6273.0;1224.0;5002.0;1271.0;801.0;-467.0;-323.0;11.0;374.0;4541.0;14.64;566.0;159.0;407.0;407.0;;;5107.0;;;397.0;8.7;3.91;-124.0;1.58;5.0;1.15;0.4;0.4;154.0;;77.0;;77.0;659.0;713.0;80.0;3753.0;;573.0;573.0;;;418.0;4744.0;;1221.0;3.0;;;;2054.0;;484.0;1240.0;3778.0;;;;1.0;1882.0;-295.0;-317.0;6273.0;;6273.0;;61.0;397.0;95.0;;-195.0;;-58.0;;305.0;443.0;-427.0;-6.0;;;-34.0;;;-1.0;-135.0;-187.0;;77.0;66.0;;;;;;;;;;;;;;;;;;;;;;;;;;
