;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;;;-0.0;-0.0;-0.0;-0.0;3.0;0.0;0.0;0.0;0.0;-0.0;-0.0;-0.0;0.0;0.0;-0.0;;;0.0;;;;;0.0;0.0;;;;-inf;-inf;;-inf;;-inf;-0.01;-0.01;3.0;;0.0;;0.0;0.0;;;;;;;;;;;;;0.0;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;-0.0;;0.0;;;0.0;;0.0;;;;;-0.01;-0.01;;;-0.0;3.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;218.9;-220.9;218.9;100.0;
2013.0;;;-0.0;;-0.0;-0.0;5.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;0.0;;-inf;;-0.0;-inf;;-inf;-0.01;-0.01;5.0;;0.0;;0.0;0.0;;;;;;;;;;;;;0.0;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;;-0.01;-0.01;;;-0.01;5.0;;;;;;;-0.0;;-inf;-0.0;;-0.0;72.3;-185.8;73.3;100.0;
2014.0;;-0.0;-2.0;-2.0;-3.0;-2.0;8.0;5.0;5.0;2.0;2.0;3.0;-2.0;-2.0;7.0;3.0;-2.0;0.0;-inf;2.0;;2.0;2.0;;0.0;2.0;0.0;0.0;0.0;-inf;-inf;-0.0;-inf;-0.0;-inf;-0.32;-0.32;8.0;;3.0;;3.0;0.0;;2.0;;;0.0;0.0;;;0.0;0.0;;1.0;0.0;;;1.0;;;;;;;;;0.0;-22.0;0.0;;5.0;;5.0;;-2.0;0.0;;;3.0;0.0;;0.0;3.0;-3.0;;;;;-2.0;-1.0;7.0;;;1.0;0.0;3.0;0.0;;;;-0.32;-0.27;;;0.46;8.0;;;;;-inf;0.0;-2.0;7.0;-inf;3.0;;3.0;-64.7;-46.2;-68.1;100.0;
2015.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016.0;0.0;0.0;-2.0;-2.0;-2.0;-2.0;10.0;1.0;1.0;2.0;2.0;-1.0;-1.0;1.0;;-0.0;-1.0;0.0;87.67;2.0;1.0;1.0;1.0;;0.0;2.0;;0.0;0.0;-5069.72;-4959.04;-0.0;-5139.3;-0.0;-4057.24;-0.18;-0.18;10.0;;0.0;;0.0;1.0;;0.0;;;0.0;0.0;;;0.0;0.0;;1.0;0.0;;;0.0;;;;;;;;;0.0;-26.0;1.0;;1.0;;1.0;;-2.0;0.0;;;-4.0;;;0.0;-1.0;4.0;;;;;1.0;;;;;;0.0;0.0;0.0;;;0.0;-0.18;-0.15;;;-0.07;10.0;-11.4;-0.5;;0.0;-4959.0;0.0;-2.0;21.1;-4057.2;-1.0;;-1.0;271.9;-252.1;272.2;100.0;
2017.0;;;-3.0;-3.0;-2.0;-2.0;12.0;4.0;5.0;3.0;3.0;2.0;-1.0;-0.0;6.0;4.0;-1.0;;;3.0;0.0;3.0;3.0;;0.0;3.0;;0.0;0.0;-inf;-inf;0.0;-inf;-0.0;-inf;-0.2;-0.2;12.0;;4.0;;4.0;0.0;;0.0;;;0.0;0.0;;;0.0;0.0;;1.0;2.0;;;0.0;;;;;;;;;0.0;-29.0;0.0;30.0;5.0;;5.0;;-2.0;0.0;;1.0;2.0;;;-1.0;1.0;-2.0;;;;;-0.0;;4.0;;;2.0;-0.0;4.0;0.0;;;;-0.2;-0.1;;;0.12;12.0;-11.6;-0.5;;;-inf;0.0;-2.0;2.6;-inf;1.0;;2.0;-168.4;-58.6;-156.1;100.0;
2018.0;;;-5.0;-8.0;-9.0;-9.0;22.0;16.0;180.0;1.0;24.0;156.0;-4.0;-1.0;17.0;12.0;-4.0;;;8.0;1.0;5.0;5.0;;3.0;8.0;0.0;0.0;3.0;-inf;-inf;-1.0;-inf;-0.0;-inf;-0.42;-0.42;22.0;;16.0;;16.0;0.0;;0.0;0.0;12.0;152.0;164.0;;;0.0;164.0;;1.0;;;;0.0;;;;23.0;23.0;;;;0.0;-38.0;0.0;193.0;180.0;-0.0;180.0;;-9.0;3.0;;0.0;14.0;;;0.0;15.0;-12.0;-0.0;-0.0;;;-0.0;;17.0;;;;-0.0;16.0;4.0;;;;-0.42;-0.2;;0.0;7.11;22.0;-13.0;-0.5;;;-inf;3.0;-9.0;1.2;-inf;15.0;;156.0;-4.5;-4.5;-5.9;100.0;
2019.0;;;-11.0;-11.0;-18.0;-18.0;38.0;12.0;180.0;1.0;7.0;173.0;-9.0;-1.0;6.0;-3.0;-9.0;;;11.0;2.0;8.0;8.0;;0.0;11.0;0.0;0.0;0.0;-inf;-inf;-7.0;-inf;;-inf;-0.48;-0.48;38.0;;12.0;;12.0;0.0;;0.0;1.0;12.0;155.0;167.0;;;0.0;167.0;;1.0;;;;1.0;;;;6.0;6.0;;;;0.0;-53.0;0.0;226.0;180.0;;180.0;;-18.0;0.0;;2.0;-4.0;;;-0.0;11.0;11.0;-1.0;;;;;;;;;6.0;-0.0;12.0;16.0;;;;-0.48;-0.25;;0.02;4.61;38.0;-12.3;-0.5;;;-inf;0.0;-18.0;;-inf;11.0;;173.0;-6.1;-6.1;-10.4;100.0;
2020.0;;;-12.0;-12.0;-11.0;-11.0;46.0;9.0;178.0;1.0;12.0;166.0;-10.0;-0.0;7.0;-4.0;-11.0;;;12.0;5.0;7.0;7.0;;0.0;12.0;0.0;0.0;0.0;-inf;-inf;1.0;-inf;;-inf;-0.25;-0.25;46.0;;9.0;;9.0;0.0;;0.0;2.0;12.0;155.0;167.0;;;0.0;169.0;;1.0;0.0;;;0.0;6.0;;;5.0;10.0;;2.0;;0.0;-64.0;-0.0;230.0;178.0;;178.0;;-11.0;0.0;;1.0;-4.0;;;0.0;8.0;4.0;-0.0;;;;;-0.0;;;;7.0;-0.0;9.0;12.0;;;;-0.25;-0.23;;0.0;3.59;46.0;-16.6;-0.4;;;-inf;0.0;-11.0;;-inf;8.0;6.0;166.0;-6.7;-6.7;-6.9;100.0;
2021.0;;;-23.0;-23.0;-27.0;-27.0;47.0;21.0;190.0;2.0;15.0;175.0;-21.0;-0.0;33.0;12.0;-21.0;;;23.0;16.0;8.0;8.0;;0.0;23.0;0.0;0.0;0.0;-inf;-inf;-3.0;-inf;-0.0;-inf;-0.57;-0.57;47.0;;21.0;;21.0;0.0;;0.0;2.0;12.0;155.0;167.0;;;0.0;169.0;;0.0;0.0;;;1.0;7.0;;;6.0;13.0;;2.0;;0.0;-91.0;-0.0;266.0;190.0;;190.0;;-27.0;0.0;;1.0;11.0;;;-0.0;19.0;-7.0;-0.0;;;;;-1.0;32.0;;;1.0;0.0;21.0;9.0;;;;-0.57;-0.44;;0.0;3.7;47.0;-11.0;-0.4;;;-inf;0.0;-27.0;0.5;-inf;19.0;7.0;175.0;-12.4;-12.3;-15.3;100.0;
