;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2009.0;150.0;62.0;20.0;16.0;14.0;14.0;18.0;99.0;135.0;30.0;119.0;17.0;26.0;-9.0;6.0;22.0;25.0;88.0;41.29;46.0;;;;;46.0;134.0;0.0;0.0;6.0;13.48;10.66;-2.0;9.61;1.0;9.02;0.23;0.22;17.0;;53.0;;53.0;28.0;;17.0;23.0;9.0;3.0;12.0;;1.0;1.0;37.0;;4.0;7.0;6.0;4.0;15.0;;;0.0;89.0;89.0;;;;0.0;21.0;-2.0;-2.0;135.0;;135.0;;14.0;6.0;-3.0;2.0;3.0;-2.0;;2.0;69.0;4.0;-1.0;;;;-8.0;;;-1.0;;7.0;-1.0;53.0;31.0;;;8.97;0.81;1.5;;0.06;0.99;17.0;;;;150.0;10.7;6.0;14.0;6.1;9.0;69.0;;17.0;13.0;10.8;81.8;100.0;2.2
2010.0;222.0;89.0;37.0;33.0;31.0;28.0;19.0;128.0;171.0;36.0;105.0;66.0;20.0;-11.0;-8.0;1.0;12.0;133.0;40.26;57.0;;;;;57.0;189.0;1.0;0.0;6.0;16.87;14.78;-2.0;14.02;3.0;12.76;0.84;0.79;17.0;;54.0;;54.0;44.0;;30.0;25.0;10.0;2.0;12.0;;2.0;3.0;43.0;;2.0;;8.0;5.0;29.0;;;0.0;69.0;69.0;;;;0.0;48.0;-2.0;21.0;171.0;;171.0;;28.0;6.0;-3.0;3.0;24.0;-14.0;;-3.0;93.0;-38.0;-8.0;-0.0;;;-2.0;;;-16.0;;8.0;-1.0;54.0;53.0;;;13.01;1.66;0.71;;0.49;3.88;17.0;;;;222.0;14.8;6.0;28.0;9.0;12.8;93.0;;66.0;21.0;18.2;42.7;100.0;132.5
2011.0;335.0;129.0;60.0;55.0;53.0;44.0;20.0;184.0;236.0;53.0;141.0;95.0;55.0;-17.0;-2.0;35.0;37.0;205.0;38.62;72.0;;;;;72.0;278.0;1.0;0.0;8.0;18.05;16.44;-2.0;15.78;8.0;13.26;0.69;0.63;17.0;;89.0;;89.0;84.0;;11.0;35.0;8.0;1.0;9.0;;2.0;5.0;52.0;;3.0;;9.0;7.0;43.0;;;0.0;87.0;87.0;;;;0.0;75.0;-4.0;24.0;236.0;;236.0;;44.0;8.0;0.0;3.0;38.0;-19.0;;0.0;130.0;-39.0;-17.0;;;;-0.0;-5.0;;;;3.0;-1.0;89.0;54.0;;;19.57;2.59;2.19;;1.0;5.56;17.0;;;;335.0;16.4;8.0;44.0;16.0;13.3;130.0;;95.0;24.3;22.4;46.7;100.0;
2012.0;434.0;163.0;77.0;66.0;66.0;54.0;44.0;251.0;351.0;59.0;65.0;286.0;48.0;-60.0;39.0;29.0;21.0;270.0;37.68;97.0;;86.0;86.0;;12.0;368.0;;;11.0;17.69;15.22;-0.0;15.18;11.0;12.56;1.27;1.17;40.0;;118.0;1.0;119.0;117.0;;15.0;53.0;23.0;17.0;40.0;;6.0;1.0;100.0;;6.0;;15.0;6.0;47.0;;1.0;3.0;1.0;5.0;;;;0.0;129.0;-1.0;158.0;351.0;;351.0;;54.0;11.0;-4.0;7.0;61.0;-13.0;;1.0;192.0;-81.0;-27.0;-33.0;;;0.0;;32.0;;;6.0;2.0;118.0;89.0;;;10.79;1.36;0.53;;0.67;7.12;40.0;13.2;0.9;;434.0;15.2;11.0;54.0;17.3;12.6;192.0;;286.0;18.7;18.8;19.0;100.0;-151.1
2013.0;555.0;207.0;92.0;76.0;77.0;62.0;48.0;331.0;433.0;55.0;57.0;376.0;58.0;-22.0;16.0;51.0;42.0;348.0;37.37;131.0;;116.0;116.0;;14.0;479.0;;;15.0;16.55;13.78;0.0;13.83;15.0;11.17;1.35;1.28;46.0;;169.0;1.0;170.0;148.0;;13.0;53.0;22.0;14.0;36.0;;5.0;8.0;102.0;;3.0;;14.0;5.0;47.0;;1.0;0.0;1.0;2.0;;;;0.0;191.0;-2.0;187.0;433.0;;433.0;;62.0;15.0;0.0;13.0;85.0;-17.0;;-3.0;276.0;-117.0;-16.0;-0.0;;;-6.0;;;;;16.0;-1.0;169.0;118.0;;;12.13;1.35;0.92;;0.35;8.22;46.0;20.3;1.2;;555.0;13.8;15.0;62.0;19.2;11.2;276.0;;376.0;16.4;17.7;16.5;100.0;
2014.0;730.0;273.0;104.0;86.0;87.0;70.0;50.0;415.0;594.0;125.0;130.0;464.0;105.0;-53.0;10.0;51.0;89.0;457.0;37.46;185.0;;164.0;164.0;;21.0;642.0;;;17.0;14.31;11.81;1.0;11.91;17.0;9.54;1.48;1.4;47.0;;221.0;;221.0;187.0;;8.0;55.0;57.0;48.0;105.0;;11.0;8.0;179.0;;5.0;;25.0;3.0;118.0;;;5.0;;5.0;;;;0.0;261.0;-22.0;225.0;594.0;;594.0;;70.0;17.0;-3.0;25.0;13.0;-30.0;;-3.0;290.0;-17.0;-16.0;-37.0;;;0.0;;;;;10.0;-11.0;221.0;169.0;;;15.47;1.48;1.89;;0.34;9.83;47.0;27.9;1.5;;730.0;11.8;17.0;70.0;19.9;9.5;290.0;;464.0;14.9;14.6;15.0;100.0;
2015.0;914.0;347.0;123.0;106.0;106.0;84.0;52.0;529.0;779.0;128.0;165.0;613.0;76.0;-125.0;34.0;-21.0;58.0;567.0;37.98;241.0;;223.0;223.0;;18.0;808.0;;;17.0;13.51;11.59;0.0;11.6;22.0;9.24;1.73;1.62;49.0;;199.0;30.0;230.0;281.0;;18.0;60.0;116.0;47.0;163.0;;18.0;8.0;250.0;;3.0;;29.0;3.0;122.0;35.0;;2.0;;37.0;;;;0.0;345.0;-35.0;303.0;779.0;;779.0;;84.0;17.0;-15.0;46.0;111.0;-48.0;;-3.0;401.0;-167.0;-18.0;-77.0;-0.0;;-30.0;;;;;34.0;-6.0;199.0;221.0;;;18.76;1.73;1.2;;0.37;12.59;49.0;39.1;2.0;;914.0;11.6;17.0;84.0;20.4;9.2;401.0;35.0;613.0;13.0;13.6;13.8;100.0;
2016.0;1160.0;423.0;150.0;134.0;126.0;99.0;53.0;647.0;926.0;116.0;144.0;781.0;165.0;-9.0;10.0;163.0;136.0;737.0;36.46;289.0;;265.0;265.0;;25.0;1026.0;;;23.0;12.92;11.52;-7.0;10.9;27.0;8.56;1.97;1.87;50.0;;362.0;0.0;362.0;273.0;;11.0;74.0;109.0;51.0;161.0;;31.0;14.0;279.0;;3.0;;25.0;3.0;110.0;25.0;;;3.0;28.0;;;;0.0;444.0;-38.0;375.0;926.0;;926.0;;99.0;23.0;-3.0;49.0;129.0;-31.0;;1.0;530.0;-133.0;-29.0;-6.0;;;25.0;-30.0;;;;41.0;-3.0;362.0;199.0;;;23.06;1.97;2.69;;0.58;15.53;50.0;34.6;1.6;;1160.0;11.5;23.0;99.0;21.5;8.6;530.0;25.0;781.0;12.3;13.7;12.7;100.0;
2017.0;1450.0;529.0;203.0;173.0;174.0;73.0;55.0;960.0;1250.0;181.0;275.0;975.0;195.0;-36.0;50.0;221.0;166.0;921.0;36.48;356.0;;325.0;325.0;;31.0;1278.0;;;29.0;13.99;11.92;1.0;12.02;102.0;5.02;1.4;1.32;52.0;;583.0;;583.0;366.0;;11.0;86.0;120.0;45.0;164.0;;25.0;15.0;290.0;;6.0;;41.0;4.0;171.0;25.0;;;69.0;94.0;;;;0.0;519.0;-18.0;474.0;1250.0;;1250.0;;73.0;29.0;13.0;52.0;249.0;-59.0;;1.0;779.0;-220.0;-30.0;-7.0;;;0.0;-25.0;;;;75.0;12.0;583.0;362.0;;;27.85;1.4;3.18;;0.57;18.72;52.0;59.0;2.5;;1450.0;11.9;29.0;73.0;58.3;5.0;779.0;25.0;975.0;6.8;13.9;7.5;100.0;
2018.0;1843.0;656.0;286.0;246.0;250.0;240.0;57.0;1199.0;1612.0;263.0;349.0;1263.0;292.0;-112.0;23.0;189.0;255.0;1187.0;35.6;410.0;;374.0;374.0;;37.0;1597.0;;;37.0;15.54;13.34;4.0;13.55;10.0;13.04;4.48;4.24;54.0;;771.0;;771.0;402.0;;26.0;103.0;167.0;57.0;224.0;;70.0;16.0;413.0;;7.0;;68.0;5.0;251.0;25.0;;;61.0;86.0;;;;0.0;760.0;-42.0;545.0;1612.0;;1612.0;;240.0;37.0;-48.0;59.0;157.0;-31.0;;-1.0;936.0;-153.0;-38.0;-74.0;;0.0;-1.0;-3.0;;;;26.0;-14.0;772.0;583.0;;;34.37;4.48;4.75;;0.7;23.55;54.0;27.4;1.1;;1843.0;13.3;37.0;240.0;3.8;13.0;936.0;25.0;1263.0;17.8;15.5;19.0;100.0;
