;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;2006.0;920.0;317.0;204.0;204.0;160.0;102.0;;;;;;282.0;-132.0;-128.0;20.0;183.0;1086.0;45.87;716.0;42.0;582.0;582.0;;92.0;1802.0;;;112.0;15.79;10.17;;10.17;45.0;7.97;1.57;1.57;102.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160.0;112.0;-43.0;;32.0;;;;;21.0;-99.0;;;;-33.0;;;;;-128.0;-2.0;287.0;266.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1922.0;917.0;320.0;263.0;263.0;165.0;102.0;997.0;2078.0;519.0;546.0;1531.0;241.0;-97.0;-133.0;6.0;139.0;1004.0;47.74;655.0;47.0;582.0;582.0;;27.0;1659.0;;;101.0;16.66;13.66;;13.66;54.0;8.57;1.62;1.62;102.0;;49.0;;49.0;480.0;404.0;64.0;477.0;235.0;106.0;341.0;;;263.0;1080.0;;149.0;114.0;;;255.0;1.0;;;26.0;28.0;;;;;;3063.0;;2078.0;;2078.0;;165.0;101.0;-37.0;;479.0;;;;479.0;-467.0;-103.0;;;;6.0;;;;;-133.0;-5.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1872.0;874.0;263.0;;248.0;80.0;103.0;974.0;1834.0;496.0;521.0;1313.0;352.0;-72.0;-303.0;-21.0;283.0;998.0;46.7;619.0;49.0;562.0;397.0;164.0;9.0;1617.0;;;95.0;14.06;;-8.0;13.26;88.0;4.27;0.78;0.78;103.0;;28.0;;28.0;442.0;383.0;121.0;473.0;;;;;;387.0;860.0;;129.0;119.0;;;249.0;2.0;;;23.0;25.0;;;;;;-537.0;1850.0;1834.0;;1834.0;;80.0;95.0;70.0;;-0.0;;22.0;;478.0;107.0;-69.0;;;;-3.0;-13.0;;;;-290.0;2.0;28.0;49.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1914.0;1022.0;362.0;;279.0;181.0;96.0;930.0;1794.0;529.0;1055.0;738.0;344.0;-59.0;-301.0;-16.0;272.0;893.0;53.37;697.0;50.0;565.0;565.0;;82.0;1590.0;;;82.0;18.93;;-45.0;14.58;99.0;9.48;1.89;1.88;96.0;;12.0;;12.0;181.0;459.0;279.0;485.0;;;;;;378.0;863.0;;145.0;135.0;;;249.0;370.0;;;157.0;527.0;;;;1.0;60.0;-534.0;1212.0;1794.0;;1794.0;;181.0;82.0;6.0;;-76.0;;-91.0;;402.0;151.0;-73.0;;;;14.0;;;;;-301.0;-0.0;12.0;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1694.0;695.0;111.0;;32.0;-39.0;93.0;783.0;1498.0;495.0;890.0;608.0;322.0;-65.0;-245.0;11.0;244.0;999.0;41.03;500.0;46.0;454.0;320.0;134.0;;1499.0;;;80.0;6.57;;-163.0;1.86;71.0;-2.3;-0.42;-0.42;93.0;;23.0;;23.0;189.0;361.0;210.0;476.0;;;;;;238.0;714.0;;109.0;110.0;;;276.0;225.0;;;170.0;395.0;;;;1.0;18.0;-554.0;1143.0;1498.0;;1498.0;;-39.0;80.0;0.0;;-114.0;;90.0;;288.0;395.0;-78.0;;;;13.0;;;-80.0;;-165.0;-1.0;23.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1740.0;776.0;336.0;;278.0;186.0;93.0;888.0;1588.0;535.0;883.0;705.0;206.0;-33.0;-162.0;11.0;165.0;964.0;44.6;469.0;37.0;432.0;307.0;125.0;;1432.0;;;57.0;19.3;;-29.0;16.0;92.0;10.71;2.05;2.01;91.0;;34.0;;34.0;189.0;359.0;306.0;456.0;;;;;;245.0;700.0;;119.0;15.0;;;400.0;160.0;;;189.0;349.0;;;;1.0;202.0;-585.0;1086.0;1588.0;;1588.0;;186.0;57.0;7.0;;65.0;;1.0;;353.0;-110.0;-41.0;;;;7.0;;;-103.0;;-59.0;0.0;34.0;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;2233.0;958.0;321.0;;238.0;170.0;88.0;1243.0;2732.0;728.0;1924.0;808.0;442.0;-1025.0;612.0;38.0;369.0;1274.0;42.92;685.0;52.0;634.0;383.0;251.0;;1959.0;;;83.0;14.37;;-36.0;10.64;68.0;7.61;1.98;1.93;86.0;;72.0;;72.0;489.0;431.0;252.0;701.0;;639.0;639.0;;;149.0;1489.0;;213.0;86.0;;;428.0;914.0;;29.0;254.0;1197.0;;;;1.0;367.0;-84.0;524.0;2732.0;;2732.0;;170.0;83.0;-25.0;;162.0;;148.0;;516.0;51.0;-73.0;-961.0;;;9.0;;26.0;-131.0;;717.0;9.0;72.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;2813.0;1409.0;474.0;;358.0;267.0;83.0;1377.0;2916.0;908.0;2334.0;582.0;486.0;-111.0;-339.0;37.0;364.0;1404.0;50.08;1019.0;74.0;945.0;542.0;403.0;;2423.0;;;116.0;16.85;;-31.0;12.73;91.0;9.51;3.32;3.21;81.0;;109.0;;109.0;629.0;460.0;179.0;706.0;;669.0;669.0;;;164.0;1539.0;;221.0;182.0;;;505.0;1060.0;;;366.0;1426.0;;;;1.0;626.0;-61.0;16.0;2916.0;;2916.0;;267.0;116.0;-14.0;;-47.0;;-22.0;;469.0;164.0;-121.0;;;;10.0;;21.0;-543.0;;183.0;2.0;109.0;72.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;2990.0;1478.0;514.0;;398.0;286.0;73.0;1464.0;2960.0;838.0;2507.0;453.0;317.0;-97.0;-242.0;-25.0;214.0;1512.0;49.42;1030.0;70.0;960.0;572.0;388.0;;2542.0;;;116.0;17.19;;-50.0;13.3;111.0;9.58;4.03;3.9;71.0;;85.0;;85.0;724.0;491.0;164.0;683.0;;664.0;664.0;;;150.0;1496.0;;232.0;116.0;;;490.0;1295.0;;;374.0;1669.0;;;;1.0;879.0;-89.0;-338.0;2960.0;;2960.0;;286.0;116.0;-12.0;;157.0;;-30.0;;626.0;-231.0;-103.0;;;;6.0;;40.0;-461.0;;179.0;-2.0;85.0;109.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;3077.0;1481.0;474.0;;357.0;261.0;63.0;1635.0;3133.0;927.0;2920.0;212.0;373.0;-116.0;-212.0;50.0;278.0;1596.0;48.13;1045.0;74.0;971.0;602.0;369.0;;2641.0;;;118.0;15.41;;-79.0;11.59;96.0;8.48;4.26;4.14;61.0;;134.0;;134.0;735.0;554.0;212.0;660.0;365.0;307.0;671.0;;78.0;88.0;1498.0;;247.0;149.0;;;532.0;1625.0;;;368.0;1993.0;;;;1.0;1073.0;-58.0;-804.0;3133.0;;3133.0;;261.0;118.0;-23.0;;82.0;;-54.0;;708.0;-64.0;-95.0;;;;-21.0;;21.0;-601.0;;368.0;4.0;134.0;85.0;;;50.24;4.26;4.54;;1.55;3.47;61.0;10.6;0.6;;3077.0;;118.0;261.0;26.8;8.5;708.0;1625.0;212.0;11.8;11.4;122.8;100.0;208.3
