;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2006.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007.0;;;-0.0;-0.0;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;;0.0;;-0.0;;;;;;;;;0.0;;;;-inf;-inf;;;;-inf;-0.28;-0.28;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;-0.0;;0.0;0.0;0.0;0.0;;-0.0;;;;0.0;;;;;0.0;;;;;;;0.0;;;;;0.0;;;;;-0.24;-0.0;;;2.56;0.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;;-8.5;-9.3;100.0;
2008.0;;;-0.0;-0.0;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;;0.0;0.0;-0.0;;;;;;;;;0.0;;;;-inf;-inf;;;;-inf;-0.63;-0.63;0.0;;0.0;;0.0;0.0;;;;;;;;;;;;0.0;;;;;;;;;;;;;;-0.0;;0.0;0.0;;0.0;;-0.0;;;;0.0;;;;;0.0;;;;;;;0.0;;;-0.0;;0.0;0.0;;;;-0.75;-0.62;;;3.65;0.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;;-21.3;-20.5;100.0;
2009.0;;;-0.0;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;-0.0;;;;;0.0;0.0;;;0.0;0.0;;;-inf;;;;;-inf;-0.77;-0.77;0.0;;0.0;;0.0;0.0;;-0.0;;;;;;;0.0;0.0;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;0.0;;;;;;;;;;-0.0;;;;;-0.0;;0.0;0.0;;;;-0.75;-0.68;;;1.78;0.0;;;;;;;-0.0;;-inf;0.0;;0.0;;-37.5;-41.9;100.0;
2010.0;;;-0.0;;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;1.0;0.0;-0.0;;;;;0.0;0.0;;;0.0;0.0;;;-inf;;0.0;-inf;-0.0;-inf;-2.53;-2.53;0.0;;0.0;;0.0;0.0;;-0.0;0.0;;;;;;;0.0;;;;;;0.0;;;;;;;;;;-0.0;;1.0;0.0;;0.0;;-0.0;;-0.0;;-0.0;;;;;0.0;-0.0;;;;;;1.0;-0.0;;-0.0;;0.0;0.0;;;;-2.26;-3.41;;0.5;3.18;0.0;;;;;;;-0.0;15.8;-inf;0.0;;0.0;-71.5;-81.1;-71.0;100.0;
2011.0;;;-0.0;;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;-0.0;-0.0;;;;;0.0;0.0;;;0.0;0.0;;;-inf;;-0.0;-inf;;-inf;-0.66;-0.66;0.0;;0.0;;0.0;0.0;;0.0;0.0;;;;;;;0.0;;;;;;0.0;;;;;;;;;;-0.0;;1.0;0.0;;0.0;;-0.0;;;;0.0;;;;;0.0;-0.0;;;;;;0.0;;;;-0.0;0.0;0.0;;;;-0.61;-0.5;;0.17;2.16;0.0;;;;;;;-0.0;;-inf;0.0;;0.0;-26.1;-23.5;-28.3;100.0;
2012.0;;;-0.0;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;-0.0;-0.0;;;;;0.0;0.0;;;0.0;0.0;;;-inf;;0.0;;;-inf;-1.29;-1.29;0.0;;0.0;;0.0;0.0;;-0.0;0.0;;;;;;;0.0;;0.0;;;;;;;;;;;;;;-1.0;;1.0;0.0;;0.0;;-0.0;;;0.0;-0.0;;;;;-0.0;-0.0;;;;;;0.0;;;;0.0;0.0;0.0;;;;-1.43;-1.45;;0.16;1.75;0.0;;;;;;;-0.0;;-inf;0.0;;0.0;;-77.0;-81.4;100.0;
2013.0;;-0.0;-1.0;-1.0;-6.0;-6.0;88.0;8.0;9.0;0.0;0.0;9.0;-2.0;-1.0;10.0;8.0;-2.0;0.0;-inf;1.0;;1.0;1.0;;1.0;1.0;0.0;0.0;0.0;-inf;-inf;-4.0;-inf;;-inf;-0.06;-0.06;88.0;;8.0;;8.0;0.0;;;0.0;;;;1.0;;;1.0;;0.0;;;;;;;;;;;;;15.0;-10.0;5.0;;9.0;;9.0;;-6.0;0.0;;;-0.0;0.0;;;;4.0;-0.0;;-0.0;;;-0.0;10.0;;;0.0;-0.0;8.0;0.0;;;;-0.0;-0.0;;0.0;0.0;88.0;;;;;;;-0.0;;-inf;-0.0;;0.0;-10696.2;-99.3;-10696.2;100.0;
2013.0;;-0.0;-1.0;-1.0;-6.0;-6.0;88.0;8.0;9.0;0.0;0.0;9.0;-2.0;-1.0;10.0;8.0;-2.0;0.0;-inf;1.0;;1.0;1.0;;1.0;1.0;0.0;0.0;0.0;-inf;-inf;-4.0;-inf;;-inf;-0.06;-0.06;88.0;;8.0;;8.0;0.0;;;0.0;;;;1.0;;;1.0;;0.0;;;;;;;;;;;;;15.0;-10.0;5.0;;9.0;;9.0;;-6.0;0.0;;;-0.0;0.0;;;;4.0;-0.0;;-0.0;;;-0.0;10.0;;;0.0;-0.0;8.0;0.0;;;;-0.06;-0.02;;0.0;0.1;88.0;;;;;-inf;0.0;-6.0;;-inf;8.0;;9.0;-15.8;-15.5;-62.0;100.0;
2014.0;;-0.0;-4.0;;-4.0;-4.0;2.0;5.0;7.0;0.0;0.0;7.0;-3.0;-0.0;1.0;-3.0;-3.0;0.0;-inf;4.0;;2.0;2.0;;2.0;4.0;0.0;0.0;0.0;-inf;;-0.0;-inf;-0.0;-inf;-1.61;-1.61;2.0;;5.0;;5.0;0.0;;;1.0;;;;1.0;;;2.0;;0.0;;;;;;;;;;;;;15.0;-14.0;5.0;;7.0;;7.0;;-4.0;0.0;-0.0;1.0;-0.0;-0.0;;;;0.0;-0.0;;-0.0;;;;;;;1.0;-0.0;5.0;8.0;;;;-1.74;-1.31;;0.07;3.13;2.0;;;;;;0.0;-4.0;2.2;-inf;5.0;;7.0;-51.0;-50.9;-55.7;100.0;
