;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2002.0;15.0;;1.0;2.0;;1.0;0.0;3.0;50.0;;29.0;21.0;6.0;-17.0;12.0;12.0;6.0;;;;;;;;;;;;;6.0;11.11;;;;6.0;6.3;6.3;0.0;;;;;;;3.0;45.0;;;;;;2.0;47.0;;;;;;;;;;;;29.0;;;0.0;;;21.0;50.0;;50.0;;1.0;;;;;;;;;5.0;;;;;-17.0;;;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;25.0;;8.0;;;8.0;0.0;9.0;51.0;;24.0;27.0;11.0;0.0;-5.0;-5.0;11.0;;;;;;;;;;;;;33.65;;;;;33.65;58.78;58.78;0.0;;;;;;;9.0;41.0;;;;;;1.0;42.0;;;;;;;;;;;;24.0;;;0.0;;;27.0;51.0;;51.0;;8.0;;;;;;;;;3.0;;;;;0.0;;;;;-5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;44.0;35.0;27.0;31.0;;31.0;0.0;16.0;53.0;14.0;22.0;31.0;34.0;7.0;-34.0;7.0;34.0;9.0;79.53;6.0;;2.0;;;3.0;15.0;;;-4.0;62.29;71.51;2.0;;;70.37;216.22;216.22;0.0;;15.0;;15.0;0.0;0.0;0.0;34.0;;;;;;2.0;36.0;;1.0;6.0;;2.0;5.0;8.0;;;;8.0;;;;0.0;14.0;-3.0;20.0;53.0;;53.0;;31.0;-4.0;;;2.0;0.0;0.0;0.0;;5.0;;;;;7.0;-7.0;;;-27.0;;;15.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;42.0;33.0;29.0;26.0;;25.0;0.0;25.0;80.0;18.0;53.0;27.0;21.0;-22.0;6.0;5.0;-0.0;9.0;77.97;7.0;;0.0;;;6.0;16.0;;;4.0;69.94;62.45;-2.0;;;59.76;163.74;163.74;0.0;;20.0;;20.0;0.0;0.0;4.0;52.0;;;;;;2.0;54.0;;1.0;14.0;;1.0;2.0;34.0;;;;34.0;;;;0.0;9.0;-3.0;21.0;80.0;;80.0;;25.0;4.0;;;-9.0;-0.0;-0.0;-0.0;-1.0;0.0;-21.0;;;;-1.0;-19.0;19.0;;-47.0;53.0;;20.0;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;40.0;29.0;27.0;23.0;;20.0;0.0;10.0;118.0;22.0;79.0;38.0;21.0;-55.0;17.0;-18.0;-33.0;12.0;71.42;6.0;;1.0;;;5.0;18.0;;;7.0;68.06;56.06;-0.0;;;49.78;111.96;111.96;0.0;;3.0;;3.0;1.0;1.0;6.0;95.0;;;;;;12.0;108.0;;1.0;18.0;;1.0;1.0;57.0;;;1.0;58.0;;;;0.0;19.0;-18.0;36.0;118.0;;118.0;;20.0;7.0;;;-2.0;0.0;-0.0;0.0;1.0;-5.0;-54.0;;;;-2.0;-17.0;0.0;;-9.0;44.0;;3.0;20.0;;;225.03;112.03;-183.44;52.83;300.48;212.18;0.0;6.5;0.4;7.2;40.0;56.1;7.0;20.0;;49.8;-12.0;57.0;38.0;;17.1;52.8;52.8;-28.8
2007.0;82.0;64.0;59.0;43.0;;41.0;0.0;118.0;371.0;35.0;99.0;272.0;49.0;-147.0;199.0;101.0;-101.0;18.0;77.9;21.0;;3.0;;;18.0;39.0;;;18.0;71.52;52.47;0.0;;;49.54;132.25;131.55;0.0;;104.0;3.0;107.0;2.0;2.0;7.0;238.0;;;;;;15.0;253.0;;4.0;26.0;;4.0;2.0;56.0;;;8.0;64.0;;;;1.0;40.0;-34.0;266.0;371.0;;371.0;;41.0;18.0;;;1.0;-1.0;-1.0;2.0;;-11.0;-150.0;;;;3.0;-18.0;1.0;;-20.0;237.0;;104.0;3.0;;;266.31;131.93;-326.21;65.79;485.06;881.83;0.0;7.9;0.5;6.3;82.0;52.5;18.0;41.0;;49.5;83.0;56.0;272.0;;11.0;15.0;50.1;-19.6
2008.0;126.0;96.0;55.0;29.0;;24.0;0.0;93.0;341.0;21.0;76.0;264.0;74.0;-46.0;-58.0;-30.0;29.0;31.0;75.76;42.0;;9.0;;;32.0;72.0;3.0;3.0;28.0;43.46;22.88;-31.0;;;18.74;54.58;53.88;0.0;;74.0;1.0;75.0;7.0;2.0;9.0;232.0;;;;2.0;;14.0;248.0;;2.0;12.0;;5.0;2.0;44.0;;;11.0;55.0;;;1.0;1.0;29.0;-48.0;282.0;341.0;;341.0;;24.0;28.0;;2.0;-8.0;-0.0;-0.0;-2.0;;29.0;-45.0;;;;-1.0;-26.0;0.0;;-35.0;2.0;;74.0;104.0;;;290.36;54.43;66.39;79.42;104.38;607.45;0.0;15.8;0.7;9.2;126.0;22.9;28.0;24.0;;18.7;71.0;44.0;264.0;;7.8;9.0;-45.9;119.6
2009.0;64.0;37.0;5.0;0.0;;-16.0;0.0;59.0;323.0;30.0;92.0;231.0;8.0;-46.0;5.0;-33.0;-54.0;27.0;57.52;37.0;;9.0;;;28.0;64.0;1.0;1.0;19.0;7.69;0.04;-15.0;;;-24.5;-35.69;-35.69;0.0;;41.0;0.0;41.0;2.0;2.0;14.0;257.0;;;;;;7.0;264.0;;2.0;14.0;;1.0;13.0;57.0;;;4.0;62.0;;;;1.0;-5.0;-53.0;289.0;323.0;;323.0;;-16.0;19.0;;1.0;-10.0;-0.0;0.0;-0.0;;13.0;-62.0;;;;17.0;-18.0;0.0;-0.0;-11.0;34.0;;41.0;74.0;;;145.62;-35.68;-124.17;24.77;142.06;528.42;0.0;-10.5;-0.1;6.6;64.0;0.0;19.0;-16.0;;-24.5;28.0;57.0;231.0;;-4.4;-6.8;169.4;
2010.0;52.0;23.0;13.0;-1.0;;-7.0;0.0;46.0;322.0;25.0;103.0;219.0;13.0;-29.0;10.0;-7.0;-3.0;30.0;43.52;24.0;;8.0;;;16.0;53.0;1.0;1.0;18.0;24.53;-1.35;-4.0;;;-12.59;-14.69;-14.69;0.0;;34.0;0.0;35.0;8.0;2.0;2.0;255.0;;;;14.0;;5.0;275.0;;4.0;13.0;;2.0;6.0;75.0;;;3.0;78.0;;;;1.0;-19.0;-71.0;307.0;322.0;;322.0;;-7.0;18.0;;1.0;10.0;0.0;0.0;2.0;;-10.0;-16.0;;-15.0;;2.0;-12.0;;;-7.0;28.0;;34.0;41.0;;;118.84;-14.96;-7.64;15.54;36.51;495.23;0.0;-20.6;-1.0;5.0;52.0;-1.4;18.0;-7.0;;-12.6;21.0;75.0;219.0;;-1.6;-3.0;203.9;
2011.0;61.0;31.0;22.0;5.0;;1.0;0.0;39.0;296.0;21.0;84.0;212.0;17.0;2.0;-22.0;-3.0;17.0;30.0;50.85;26.0;;9.0;;;18.0;57.0;0.0;2.0;18.0;35.27;7.84;-2.0;;;1.82;2.8;2.8;0.0;;31.0;0.0;31.0;4.0;3.0;1.0;237.0;;;;14.0;;6.0;257.0;;2.0;13.0;;2.0;4.0;62.0;;;2.0;63.0;;;;1.0;-26.0;-89.0;326.0;296.0;;296.0;;1.0;18.0;;1.0;-2.0;0.0;-1.0;-2.0;;-0.0;;;;;2.0;-13.0;;-0.0;-8.0;-0.0;;31.0;34.0;;;138.34;2.51;39.02;19.02;;477.51;0.0;120.9;7.4;6.3;61.0;7.8;18.0;1.0;;1.8;18.0;62.0;212.0;;1.1;0.5;-656.5;49.6
2012.0;52.0;24.0;6.0;-2.0;-13.0;-13.0;1.0;45.0;278.0;22.0;69.0;210.0;9.0;-4.0;-3.0;2.0;9.0;28.0;46.61;26.0;;9.0;;;17.0;54.0;0.0;2.0;17.0;11.74;-2.98;-12.0;-25.15;;-25.15;-23.79;-23.79;1.0;;33.0;;33.0;9.0;2.0;1.0;207.0;;;;17.0;;9.0;233.0;;2.0;16.0;;1.0;3.0;46.0;;;1.0;46.0;;;;1.0;-43.0;-100.0;352.0;278.0;;278.0;;-13.0;17.0;;1.0;-5.0;-0.0;1.0;0.0;;9.0;;;;;-4.0;-13.0;15.0;-0.0;-4.0;;;33.0;31.0;;;94.29;-23.71;15.29;7.99;;376.59;1.0;-5.5;-0.4;6.1;52.0;-3.0;17.0;-13.0;;-25.1;23.0;46.0;210.0;-4.4;-4.0;-6.3;133.7;
2013.0;39.0;9.0;-82.0;-100.0;-103.0;-103.0;1.0;17.0;157.0;19.0;52.0;105.0;4.0;-8.0;-18.0;-22.0;-2.0;31.0;21.98;28.0;;8.0;;;20.0;59.0;0.0;2.0;20.0;-208.4;-255.28;-3.0;-264.15;;-264.15;-159.54;-159.54;1.0;;11.0;;11.0;3.0;1.0;1.0;106.0;;;;26.0;;8.0;140.0;;2.0;13.0;;1.0;3.0;33.0;;;0.0;33.0;;;;1.0;-149.0;-32.0;285.0;157.0;;157.0;;-103.0;20.0;;1.0;6.0;-0.0;0.0;-0.0;-0.0;81.0;-6.0;;-5.0;;3.0;-16.0;;-0.0;-2.0;;;11.0;33.0;;;60.29;-159.25;-3.05;3.22;9.26;161.22;1.0;-0.6;-0.0;3.4;39.0;-255.3;20.0;-103.0;;-264.2;-2.0;33.0;105.0;-73.7;-64.9;-98.8;102.0;
2014.0;41.0;9.0;-4.0;-15.0;-18.0;-18.0;1.0;31.0;191.0;25.0;90.0;100.0;-1.0;-37.0;52.0;14.0;-38.0;31.0;23.17;21.0;;8.0;;;12.0;52.0;0.0;2.0;12.0;-8.93;-36.0;-3.0;-44.1;;-44.1;-24.49;-24.49;1.0;;25.0;;25.0;3.0;2.0;1.0;111.0;;;;25.0;;24.0;160.0;;2.0;20.0;;1.0;3.0;35.0;;;30.0;65.0;;;30.0;2.0;-168.0;-29.0;266.0;191.0;;191.0;;-18.0;12.0;;1.0;0.0;-0.0;-0.0;0.0;-0.0;4.0;-37.0;;;;-0.0;-15.0;15.0;-0.0;-0.0;52.0;;25.0;11.0;;;51.89;-22.88;-48.13;0.02;47.2;127.96;1.0;-4.1;-0.2;0.0;41.0;-36.0;12.0;-18.0;;-44.1;6.0;35.0;100.0;-9.5;-8.3;-17.9;100.1;
2015.0;38.0;8.0;-2.0;-11.0;-14.0;-14.0;1.0;22.0;172.0;19.0;77.0;95.0;-2.0;-11.0;-4.0;-17.0;-19.0;29.0;21.9;18.0;;7.0;;;11.0;48.0;0.0;1.0;11.0;-4.16;-30.26;-3.0;-37.28;;-37.28;-19.12;-19.12;1.0;;9.0;;9.0;3.0;1.0;9.0;122.0;;;;24.0;;5.0;151.0;;1.0;15.0;;0.0;3.0;26.0;;;32.0;58.0;;;32.0;0.0;-184.0;-36.0;283.0;172.0;;172.0;;-14.0;11.0;;0.0;-2.0;1.0;0.0;-1.0;-0.0;2.0;-17.0;;;;6.0;-22.0;11.0;;;8.0;;9.0;25.0;;;47.02;-17.53;-23.28;;20.75;118.61;1.0;-2.8;-0.1;;38.0;-30.3;11.0;-14.0;;-37.3;2.0;26.0;95.0;-8.2;-7.3;-14.8;100.0;
2016.0;28.0;7.0;-33.0;-22.0;-44.0;-44.0;1.0;10.0;144.0;11.0;90.0;54.0;-1.0;-19.0;14.0;-6.0;-28.0;22.0;23.8;15.0;;7.0;;;9.0;37.0;0.0;3.0;9.0;-115.75;-76.13;-23.0;-155.58;;-155.58;-45.04;-45.04;1.0;;3.0;;3.0;2.0;1.0;4.0;123.0;;;;4.0;;6.0;133.0;;2.0;8.0;;0.0;1.0;44.0;;;34.0;78.0;;;34.0;0.0;-230.0;-34.0;284.0;144.0;;144.0;;-44.0;9.0;;0.0;1.0;-0.0;0.0;1.0;-0.0;33.0;-27.0;;;;9.0;-18.0;3.0;;;29.0;;3.0;9.0;;;27.85;-43.32;-27.59;;26.78;53.01;1.0;-0.4;-0.0;;28.0;-76.1;9.0;-44.0;;-155.6;-1.0;44.0;54.0;-31.5;-29.0;-81.7;100.0;
2017.0;43.0;8.0;6.0;-3.0;-6.0;-6.0;1.0;16.0;162.0;19.0;80.0;82.0;8.0;-26.0;22.0;4.0;-32.0;35.0;18.58;7.0;;7.0;7.0;;-0.0;42.0;0.0;3.0;8.0;13.16;-6.48;-3.0;-14.2;;-14.2;-5.68;-5.68;1.0;;4.0;;4.0;3.0;2.0;7.0;139.0;;;;;;7.0;146.0;;2.0;12.0;;1.0;4.0;60.0;;;1.0;61.0;;;36.0;0.0;-238.0;-30.0;314.0;162.0;;162.0;;-6.0;8.0;;0.0;2.0;-0.0;0.0;0.0;0.0;4.0;-40.0;;;4.0;10.0;-11.0;1.0;;;33.0;;13.0;9.0;;;31.02;-4.41;-22.94;;28.7;59.5;1.0;-2.9;-0.1;;43.0;-6.5;8.0;-6.0;;-14.2;-2.0;60.0;82.0;-1.9;-1.7;-7.4;100.0;
2018.0;34.0;7.0;6.0;2.0;-1.0;-0.0;1.0;12.0;67.0;12.0;44.0;23.0;-1.0;6.0;0.0;5.0;-1.0;27.0;20.61;6.0;;6.0;6.0;;;33.0;0.0;3.0;3.0;18.15;6.79;-3.0;-1.93;;-0.32;-0.8;-0.8;1.0;;7.0;;7.0;3.0;2.0;0.0;49.0;;;;;;6.0;55.0;;2.0;5.0;;0.0;4.0;32.0;;;1.0;33.0;;;19.0;0.0;-230.0;-12.0;246.0;67.0;;67.0;;-0.0;3.0;;0.0;-3.0;-0.0;-1.0;1.0;-0.0;-1.0;-0.0;;;;6.0;-32.0;2.0;;;31.0;;13.0;8.0;;;24.33;-0.08;-1.04;;0.0;15.96;1.0;-183.6;-7.4;;34.0;6.8;3.0;-0.0;;-0.3;0.0;32.0;23.0;5.3;4.4;-0.5;100.0;
2019.0;40.0;8.0;6.0;2.0;-2.0;-2.0;3.0;6.0;127.0;25.0;99.0;28.0;3.0;-56.0;45.0;-7.0;-52.0;32.0;20.22;6.0;;6.0;6.0;;;38.0;0.0;3.0;4.0;14.79;4.94;-4.0;-4.2;;-4.2;-1.21;-1.21;3.0;;1.0;;1.0;2.0;2.0;1.0;116.0;;;;;;4.0;121.0;;4.0;17.0;;1.0;3.0;72.0;;;2.0;74.0;;;8.0;0.0;-234.0;-17.0;271.0;127.0;;127.0;;-2.0;4.0;;0.0;1.0;0.0;-0.0;2.0;1.0;-0.0;-56.0;;;;-56.0;-13.0;7.0;-12.0;-1.0;64.0;;6.0;13.0;;;13.98;-0.59;-18.34;0.36;19.47;9.82;3.0;-9.0;-0.4;6.8;40.0;4.9;4.0;-2.0;;-4.2;-19.0;72.0;28.0;1.7;1.4;-6.0;161.3;
2020.0;53.0;13.0;15.0;9.0;4.0;4.0;6.0;10.0;111.0;29.0;75.0;35.0;2.0;16.0;-18.0;0.0;2.0;41.0;23.65;6.0;;8.0;8.0;;-3.0;46.0;0.0;4.0;7.0;27.71;17.43;-5.0;7.58;;7.58;0.58;0.58;6.0;;4.0;;4.0;4.0;2.0;1.0;98.0;;;;;;2.0;101.0;;3.0;23.0;;1.0;2.0;46.0;;;0.0;47.0;;;8.0;0.0;-230.0;-18.0;275.0;111.0;;111.0;;4.0;7.0;;0.0;-3.0;-1.0;0.0;-1.0;-0.0;-5.0;-1.0;;;;17.0;-19.0;1.0;;-0.0;-0.0;;6.0;6.0;;;9.26;0.7;0.31;0.06;0.11;6.14;6.0;4.6;0.1;1.7;53.0;17.4;7.0;4.0;;7.6;-19.0;46.0;35.0;10.0;7.4;11.4;92.1;-22.4
2021.0;94.0;52.0;53.0;46.0;43.0;43.0;6.0;33.0;222.0;37.0;145.0;77.0;53.0;-74.0;47.0;25.0;-21.0;42.0;55.53;6.0;;8.0;8.0;;-1.0;48.0;0.0;3.0;7.0;56.3;48.61;-3.0;45.67;;45.67;7.45;7.45;6.0;;27.0;;27.0;3.0;2.0;1.0;184.0;;;;;;5.0;189.0;;3.0;29.0;;3.0;2.0;89.0;;;19.0;108.0;;;;0.0;-188.0;;265.0;222.0;;222.0;;43.0;7.0;;0.0;3.0;;;;;-0.0;-74.0;;;;;-26.0;1.0;-2.0;-0.0;75.0;;31.0;6.0;;;16.32;7.45;-3.73;0.07;12.88;13.34;6.0;2.7;0.1;0.4;94.0;48.6;7.0;43.0;;45.7;-4.0;89.0;77.0;24.8;20.6;55.9;99.0;-7.8
