;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;729.0;340.0;112.0;56.0;11.0;1.0;89.0;;;;;;50.0;-3.0;-38.0;7.0;41.0;388.0;46.72;284.0;23.0;;;;261.0;672.0;;54.0;47.0;15.33;7.68;-45.0;1.55;10.0;0.14;-0.45;-0.45;89.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;47.0;-16.0;1.0;-29.0;-0.0;1.0;-3.0;246.0;46.0;-9.0;;;;-3.0;-37.0;;;;-1.0;-2.0;113.0;107.0;;;8.23;0.01;;;;;89.0;;;;729.0;7.7;47.0;1.0;88.0;0.1;;;;;;;;
2012.0;731.0;355.0;162.0;115.0;71.0;46.0;89.0;375.0;1234.0;128.0;961.0;273.0;75.0;-18.0;-27.0;30.0;62.0;376.0;48.56;240.0;25.0;;;;215.0;616.0;;49.0;42.0;22.16;15.74;-44.0;9.71;25.0;6.29;0.02;0.02;89.0;;143.0;;143.0;139.0;76.0;16.0;100.0;476.0;252.0;728.0;;;31.0;859.0;;53.0;27.0;4.0;;48.0;694.0;;49.0;90.0;833.0;;;525.0;50.0;-273.0;-30.0;1.0;1234.0;-0.0;1234.0;;46.0;42.0;-8.0;0.0;17.0;-5.0;1.0;3.0;264.0;-22.0;-13.0;-5.0;;;-13.0;-26.0;;;;-1.0;0.0;143.0;114.0;;;8.26;0.52;0.46;;0.1;3.08;89.0;;;;731.0;15.7;42.0;46.0;34.8;6.3;246.0;694.0;273.0;7.1;9.7;16.9;100.0;
2013.0;;;;;;;89.0;383.0;2242.0;119.0;1092.0;1054.0;;;;;;;;;;;;;;;;;;;;;;;;;;89.0;;123.0;;123.0;141.0;90.0;30.0;140.0;1003.0;683.0;1686.0;;;33.0;1859.0;;56.0;8.0;7.0;;55.0;744.0;;138.0;90.0;973.0;;;21.0;;-194.0;15.0;1348.0;2146.0;96.0;2242.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;;0.15;11.9;89.0;inf;inf;;;;;;;;264.0;744.0;1054.0;;;;100.0;
2014.0;843.0;397.0;89.0;10.0;-31.0;-30.0;135.0;1578.0;4558.0;243.0;2005.0;2460.0;98.0;-1983.0;2169.0;274.0;80.0;447.0;47.04;384.0;26.0;358.0;358.0;;;831.0;;38.0;88.0;10.59;1.13;-40.0;-3.66;-7.0;-3.55;-1.94;-1.94;135.0;;397.0;;397.0;327.0;206.0;648.0;175.0;1405.0;1342.0;2747.0;;;57.0;2979.0;;107.0;15.0;17.0;;121.0;1401.0;;202.0;159.0;1762.0;;;;2.0;-224.0;-131.0;2812.0;4465.0;93.0;4558.0;;-30.0;88.0;-43.0;1.0;1072.0;5.0;11.0;11.0;1336.0;-990.0;-19.0;-1362.0;;;-621.0;-9.0;1513.0;;;665.0;-10.0;397.0;123.0;;;6.23;-0.22;0.59;;0.14;18.18;135.0;-104.1;-5.7;;843.0;1.1;88.0;-30.0;21.7;-3.5;1336.0;1401.0;2460.0;0.0;0.0;-1.2;100.0;
2015.0;2542.0;992.0;231.0;72.0;-229.0;-309.0;203.0;2271.0;10190.0;1062.0;7271.0;2750.0;321.0;-4257.0;4001.0;35.0;273.0;1550.0;39.02;920.0;63.0;858.0;858.0;;;2471.0;;214.0;251.0;9.1;2.82;-301.0;-9.02;75.0;-12.14;-1.52;-1.52;203.0;;432.0;;432.0;1148.0;518.0;173.0;492.0;4022.0;3314.0;7336.0;;;92.0;7920.0;;450.0;55.0;65.0;;557.0;5174.0;;679.0;356.0;6209.0;;;646.0;2.0;-533.0;-886.0;3520.0;10021.0;169.0;10190.0;;-309.0;251.0;-46.0;1.0;-128.0;67.0;-7.0;83.0;1208.0;551.0;-48.0;-4673.0;-34.0;;451.0;-296.0;470.0;;;3828.0;-31.0;432.0;397.0;;;12.51;-1.52;1.34;;0.24;13.53;203.0;-13.6;-0.7;;2542.0;2.8;251.0;-309.0;-32.8;-12.1;1208.0;5174.0;2750.0;-0.3;-0.2;-11.2;100.0;
2016.0;3586.0;1508.0;673.0;253.0;-48.0;-74.0;272.0;2071.0;10054.0;1083.0;7164.0;2736.0;185.0;-75.0;-102.0;-10.0;129.0;2078.0;42.05;1208.0;84.0;1123.0;1123.0;;;3286.0;;376.0;342.0;18.77;7.07;-302.0;-1.34;29.0;-2.06;-0.17;-0.65;243.0;;423.0;;423.0;1055.0;416.0;177.0;461.0;4179.0;3233.0;7412.0;;;110.0;7983.0;;384.0;116.0;83.0;;583.0;5123.0;;663.0;296.0;6082.0;;;;3.0;-574.0;-675.0;3981.0;9900.0;154.0;10054.0;;-74.0;342.0;-57.0;;-220.0;-19.0;70.0;-67.0;989.0;193.0;-56.0;1.0;-36.0;;-40.0;-3340.0;392.0;-460.0;;3306.0;-18.0;423.0;432.0;;;14.76;-0.3;0.53;;0.23;11.26;243.0;-28.9;-1.3;;3586.0;7.1;342.0;-74.0;-59.5;-2.1;989.0;5123.0;2736.0;6.0;3.3;-2.7;100.0;
2017.0;3776.0;1589.0;406.0;221.0;-289.0;-296.0;286.0;2341.0;10252.0;1092.0;7392.0;2743.0;182.0;-93.0;-67.0;55.0;123.0;2187.0;42.08;1208.0;98.0;1109.0;1109.0;;;3395.0;;342.0;354.0;10.76;5.86;-510.0;-7.65;7.0;-7.84;-1.04;-1.04;286.0;;478.0;;478.0;1156.0;491.0;216.0;452.0;4201.0;3137.0;7339.0;;;121.0;7912.0;;462.0;39.0;73.0;;591.0;5441.0;;580.0;280.0;6301.0;;;;3.0;-870.0;-422.0;4032.0;10136.0;117.0;10252.0;;-296.0;354.0;-127.0;;260.0;-53.0;-30.0;50.0;1249.0;-10.0;-59.0;-1.0;-41.0;;-52.0;-4122.0;1.0;;;4053.0;33.0;478.0;423.0;;;13.2;-1.04;0.43;;0.21;9.59;286.0;-11.7;-0.5;;3776.0;5.9;354.0;-296.0;-2.3;-7.8;1249.0;5441.0;2743.0;0.6;0.5;-10.8;100.0;
2018.0;1961.0;838.0;167.0;249.0;-53.0;-324.0;288.0;2482.0;9402.0;1143.0;7220.0;2109.0;-9.0;-24.0;42.0;-68.0;-37.0;1123.0;42.71;589.0;44.0;545.0;545.0;;;1713.0;;311.0;157.0;8.52;12.67;-302.0;-2.71;24.0;-16.54;-1.13;-1.13;288.0;;234.0;;234.0;382.0;188.0;1678.0;267.0;2183.0;1025.0;3207.0;;;3445.0;6919.0;;101.0;25.0;30.0;;1016.0;5351.0;;133.0;594.0;6078.0;;;;3.0;-1195.0;-757.0;4059.0;9330.0;72.0;9402.0;;-324.0;157.0;-55.0;;91.0;1.0;-19.0;-6.0;1340.0;123.0;-28.0;-3.0;;25.0;-46.0;-23.0;1.0;;;64.0;-27.0;416.0;484.0;;;6.8;-1.13;-0.13;;0.1;7.32;288.0;-10.0;-0.4;;1961.0;12.7;157.0;-324.0;-44.7;-16.5;1340.0;5351.0;2109.0;0.2;0.1;-15.4;100.0;
2019.0;1836.0;788.0;399.0;249.0;141.0;92.0;260.0;833.0;4324.0;294.0;2105.0;2221.0;9.0;4200.0;-4434.0;-225.0;-21.0;1048.0;42.94;539.0;42.0;497.0;497.0;;;1587.0;;91.0;155.0;21.73;13.57;-108.0;7.67;61.0;5.02;0.36;0.35;258.0;;190.0;;190.0;364.0;200.0;80.0;265.0;2180.0;944.0;3124.0;;;102.0;3491.0;;97.0;24.0;26.0;;173.0;1513.0;;120.0;179.0;1811.0;;16.0;;3.0;-1537.0;-281.0;4035.0;4326.0;-2.0;4324.0;;92.0;155.0;-3.0;;-800.0;22.0;-4.0;-7.0;540.0;566.0;-30.0;-64.0;;;4264.0;-5351.0;;-507.0;;1424.0;5.0;190.0;416.0;;;7.13;0.36;-0.08;;0.12;8.62;258.0;29.6;1.2;;1836.0;13.6;155.0;92.0;43.5;5.0;540.0;1513.0;2221.0;3.4;5.6;4.2;100.0;-2473.7
2020.0;1854.0;786.0;305.0;233.0;81.0;76.0;250.0;990.0;4483.0;314.0;2165.0;2320.0;261.0;-40.0;-124.0;102.0;233.0;1068.0;42.4;553.0;49.0;;;;505.0;1621.0;;63.0;161.0;16.44;12.55;-152.0;4.38;4.0;4.08;0.3;0.3;249.0;;292.0;;292.0;403.0;203.0;92.0;240.0;2253.0;856.0;3109.0;;;145.0;3494.0;;96.0;24.0;33.0;;195.0;1508.0;;113.0;230.0;1851.0;;16.0;;3.0;-1473.0;-195.0;3985.0;4485.0;-2.0;4483.0;;76.0;161.0;-53.0;6.0;136.0;-27.0;1.0;-5.0;676.0;-65.0;-29.0;-9.0;;;-31.0;-808.0;;-56.0;-12.0;752.0;4.0;292.0;190.0;;;7.45;0.3;0.93;0.05;0.12;9.32;249.0;37.1;1.0;0.4;1854.0;12.6;161.0;76.0;5.3;4.1;676.0;1508.0;2320.0;3.3;3.2;3.3;83.6;29.3
