;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;2.0;;-16.0;-15.0;-16.0;-16.0;2.0;;;;;;;;;;;;;18.0;12.0;;;;5.0;18.0;;;;-689.52;-673.24;-0.0;-689.52;;-689.52;-7.88;-7.88;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;11.0;16.0;-13.0;-19.0;;-19.0;43.0;;;;;;-7.0;-7.0;17.0;3.0;-12.0;-6.0;154.29;35.0;22.0;;;;13.0;29.0;;;6.0;-123.81;-179.05;;;;-178.1;-0.67;-0.67;43.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-19.0;6.0;;;6.0;;;;;;-5.0;;-2.0;;;;9.0;;;8.0;;5.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;25.0;43.0;-56.0;-43.0;;-75.0;31.0;120.0;205.0;24.0;41.0;164.0;-13.0;-96.0;123.0;14.0;-28.0;-19.0;175.11;86.0;48.0;;;;38.0;68.0;;;19.0;-228.01;-173.12;-38.0;;;-304.18;-2.43;-2.43;31.0;;20.0;93.0;113.0;1.0;4.0;2.0;23.0;;59.0;59.0;;;3.0;85.0;;10.0;7.0;;;7.0;8.0;;;9.0;17.0;;;;0.0;-130.0;-13.0;306.0;205.0;;205.0;;-75.0;19.0;;;96.0;;0.0;;96.0;-52.0;-15.0;;-136.0;45.0;10.0;;126.0;;;-2.0;;20.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;41.0;;-56.0;-75.0;;-71.0;46.0;235.0;347.0;40.0;109.0;237.0;-24.0;5.0;34.0;16.0;-33.0;;;110.0;83.0;;;;27.0;110.0;;;15.0;-136.51;-183.67;-9.0;;;-173.6;-1.53;-1.53;46.0;;36.0;192.0;228.0;4.0;;3.0;37.0;;69.0;69.0;;;6.0;112.0;;11.0;6.0;;12.0;11.0;31.0;;;38.0;69.0;;;;0.0;-201.0;-22.0;460.0;347.0;;347.0;;-71.0;15.0;;;99.0;;;;194.0;-67.0;-9.0;;-151.0;157.0;9.0;;13.0;;;21.0;0.0;36.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;44.0;;-69.0;-88.0;-85.0;-86.0;57.0;223.0;339.0;50.0;163.0;176.0;-31.0;47.0;33.0;49.0;-37.0;;;131.0;112.0;;;;19.0;131.0;;;17.0;-155.87;-198.15;3.0;-190.73;0.0;-194.33;-1.52;-1.52;57.0;;85.0;132.0;216.0;3.0;;4.0;32.0;;72.0;72.0;;;11.0;116.0;;5.0;9.0;;24.0;13.0;59.0;;;54.0;113.0;;6.0;;0.0;-287.0;-1.0;464.0;339.0;;339.0;;-86.0;17.0;;;-21.0;;;;173.0;60.0;-6.0;;-148.0;206.0;-6.0;;9.0;;;23.0;0.0;85.0;36.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;52.0;;-77.0;-96.0;-95.0;-95.0;65.0;244.0;358.0;54.0;196.0;161.0;-79.0;-15.0;115.0;22.0;-93.0;;;147.0;128.0;;;;19.0;147.0;;;18.0;-150.12;-186.77;1.0;-184.55;-0.0;-183.88;-1.45;-1.45;65.0;;112.0;125.0;237.0;4.0;;3.0;34.0;;72.0;72.0;;;9.0;114.0;;6.0;10.0;;22.0;17.0;99.0;;;43.0;142.0;;2.0;;0.0;-382.0;2.0;542.0;358.0;;358.0;;-95.0;18.0;;;17.0;;;;190.0;-19.0;-14.0;;-218.0;223.0;-5.0;;77.0;;;38.0;1.0;112.0;90.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;53.0;;-120.0;-135.0;-137.0;-137.0;73.0;164.0;291.0;64.0;241.0;51.0;-94.0;20.0;40.0;-34.0;-106.0;;;159.0;138.0;;;;22.0;159.0;;;17.0;-226.56;-255.79;-2.0;-259.65;;-259.65;-1.89;-1.89;73.0;;78.0;77.0;155.0;4.0;;4.0;35.0;;72.0;72.0;;;20.0;127.0;;6.0;11.0;;29.0;18.0;136.0;;;40.0;177.0;;0.0;;0.0;-519.0;1.0;569.0;291.0;;291.0;;-137.0;17.0;;;-90.0;;;;100.0;116.0;-12.0;-2.0;-93.0;139.0;-11.0;;5.0;;;35.0;-0.0;78.0;112.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;76.0;;-67.0;-94.0;-95.0;-84.0;79.0;210.0;333.0;109.0;275.0;34.0;-46.0;-36.0;101.0;18.0;-61.0;;;170.0;141.0;;;;29.0;170.0;;;18.0;-87.74;-123.74;-1.0;-124.81;;-111.11;-1.07;-1.07;79.0;;96.0;67.0;164.0;7.0;;39.0;36.0;;71.0;71.0;15.0;;1.0;122.0;;2.0;42.0;;43.0;22.0;107.0;;;60.0;167.0;;;;0.0;-604.0;1.0;636.0;309.0;24.0;333.0;;-84.0;18.0;;;1.0;;;;102.0;19.0;-14.0;;-105.0;114.0;-30.0;;62.0;;;38.0;-0.0;96.0;78.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;99.0;;-85.0;-127.0;;-101.0;87.0;262.0;395.0;111.0;343.0;53.0;-45.0;-22.0;109.0;42.0;-57.0;;;225.0;185.0;;;;40.0;225.0;;;17.0;-85.72;-128.46;;;;-102.86;-1.17;-1.17;87.0;;123.0;111.0;234.0;22.0;;6.0;32.0;67.0;3.0;70.0;20.0;;11.0;133.0;;4.0;14.0;;63.0;31.0;108.0;;;123.0;232.0;;;;0.0;-705.0;1.0;757.0;395.0;-0.0;395.0;;-101.0;17.0;;;49.0;;;;151.0;-10.0;-12.0;;-134.0;121.0;3.0;;97.0;;;13.0;-0.0;123.0;81.0;;;1.14;-1.17;-0.66;;0.13;0.61;87.0;-8.5;-0.5;;99.0;-128.5;17.0;-101.0;;-102.9;151.0;108.0;53.0;;-25.7;-193.2;100.0;
2007.0;113.0;;-75.0;-157.0;;-86.0;99.0;284.0;412.0;133.0;340.0;72.0;-69.0;-3.0;84.0;12.0;-86.0;;;307.0;225.0;;;;82.0;307.0;;;11.0;-66.14;-138.4;37.0;;;-76.13;-0.87;-0.87;99.0;;136.0;136.0;272.0;6.0;;6.0;35.0;64.0;;64.0;21.0;;9.0;128.0;;9.0;16.0;;64.0;44.0;106.0;;;101.0;207.0;;;;0.0;-792.0;0.0;863.0;412.0;0.0;412.0;;-86.0;11.0;;;;;;;151.0;6.0;-17.0;35.0;-206.0;183.0;2.0;;84.0;;;0.0;-0.0;135.0;123.0;;;1.14;-0.87;-0.87;;0.18;0.73;99.0;-12.0;-0.7;;113.0;-138.4;11.0;-86.0;;-76.1;151.0;106.0;72.0;;-21.0;-119.8;100.0;
