;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;;;-1.0;-1.0;-1.0;-1.0;22.0;0.0;0.0;0.0;0.0;0.0;-1.0;-0.0;1.0;0.0;-1.0;;;1.0;0.0;0.0;0.0;;;1.0;;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-0.03;-0.03;22.0;;0.0;;0.0;;;0.0;0.0;;;;;;-0.0;0.0;;;0.0;;;0.0;0.0;;;;0.0;;;;;-1.0;;1.0;0.0;0.0;0.0;;-1.0;0.0;;0.0;-0.0;;;;0.0;0.0;-0.0;;;;;-0.0;;;;1.0;;0.0;0.0;;;;-0.03;-0.03;;0.0;0.01;22.0;;;;;-inf;0.0;-1.0;;-inf;0.0;0.0;0.0;-334.4;-267.3;-395.5;100.0;
2013.0;;;-1.0;-1.0;-1.0;-1.0;23.0;0.0;1.0;0.0;0.0;0.0;-1.0;-0.0;1.0;0.0;-1.0;;;1.0;0.0;1.0;1.0;0.0;;1.0;;0.0;0.0;-inf;-inf;0.0;-inf;;-inf;-0.04;-0.04;23.0;;0.0;;0.0;;;0.0;0.0;;;;;;;0.0;;;0.0;;;0.0;0.0;;;;0.0;;;;;-2.0;;2.0;1.0;-0.0;1.0;;-1.0;0.0;;0.0;0.0;;;;0.0;-0.0;-0.0;;;;;-0.0;;;;1.0;;0.0;0.0;;;;-0.04;-0.03;;0.0;0.02;23.0;;;;;-inf;0.0;-1.0;;-inf;0.0;0.0;0.0;-191.0;-168.6;-198.4;100.0;
2014.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;24.0;0.0;0.0;0.0;0.0;0.0;-1.0;-0.0;1.0;-0.0;-1.0;0.0;55.53;1.0;0.0;1.0;1.0;0.0;0.0;1.0;;0.0;0.0;-29284.16;-30101.18;-0.0;-30384.85;;-30384.85;-0.05;-0.05;24.0;;0.0;;0.0;;0.0;0.0;0.0;;;;;;;0.0;;;0.0;0.0;;0.0;0.0;;;-0.0;0.0;;;0.0;0.0;-3.0;;3.0;0.0;-0.0;0.0;;-1.0;0.0;;0.0;-0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;;;-0.0;1.0;;;0.0;;0.0;0.0;;;0.0;-0.05;-0.03;;0.0;0.01;24.0;-19.3;-1.1;;0.0;-30101.2;0.0;-1.0;;-30384.8;0.0;0.0;0.0;-470.8;-223.9;-496.2;100.0;
2015.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;24.0;1.0;1.0;0.0;1.0;-1.0;-1.0;-0.0;1.0;0.0;-1.0;0.0;59.43;1.0;;1.0;1.0;;0.0;1.0;;0.0;0.0;-4705.32;-4859.63;0.0;-4835.15;;-4835.15;-0.05;-0.05;24.0;;0.0;;0.0;;0.0;0.0;0.0;;;;;;0.0;0.0;;;0.0;;;0.0;0.0;;;0.0;0.0;;;1.0;0.0;-4.0;;2.0;-0.0;1.0;1.0;;-1.0;0.0;;0.0;0.0;0.0;-0.0;;0.0;0.0;-0.0;;;;;0.0;0.0;;;1.0;;0.0;0.0;;;0.0;-0.05;-0.04;;0.0;-0.04;24.0;-15.6;-0.8;;0.0;-4859.6;0.0;-1.0;;-4835.2;0.0;0.0;-1.0;140.9;289.4;135.4;100.0;
2016.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;24.0;0.0;0.0;1.0;1.0;-0.0;-1.0;-0.0;1.0;-0.0;-1.0;0.0;30.5;1.0;;1.0;1.0;;0.0;1.0;;0.0;0.0;-4549.06;-4692.25;0.0;-4680.86;;-4680.86;-0.06;-0.06;24.0;;0.0;;0.0;;0.0;0.0;0.0;;;;;;;0.0;;;0.0;;;1.0;0.0;;;;0.0;;;2.0;0.0;-6.0;;4.0;0.0;0.0;0.0;;-1.0;0.0;;0.0;-1.0;;0.0;0.0;-0.0;1.0;-0.0;;;;;-0.0;0.0;;;0.0;;0.0;0.0;;;0.0;-0.06;-0.04;;0.0;-0.01;24.0;-13.8;-0.6;;0.0;-4692.3;0.0;-1.0;;-4680.9;-0.0;0.0;-0.0;456.9;-282.3;416.6;100.0;
2017.0;0.0;0.0;-1.0;-1.0;-2.0;-2.0;26.0;0.0;0.0;1.0;1.0;-1.0;-1.0;;1.0;0.0;-1.0;0.0;22.25;1.0;;1.0;1.0;;0.0;1.0;;0.0;0.0;-11864.33;-11672.78;-0.0;-12146.09;;-12146.09;-0.06;-0.06;26.0;;0.0;;0.0;;0.0;0.0;0.0;;;;;;;0.0;;;0.0;;;1.0;;;;0.0;0.0;;;2.0;0.0;-7.0;;5.0;0.0;0.0;0.0;;-2.0;0.0;;0.0;-0.0;;0.0;0.0;-1.0;1.0;;;;;;-0.0;1.0;-0.0;;;;0.0;0.0;;;0.0;-0.06;-0.03;;;-0.03;26.0;-14.0;-0.6;;0.0;-11672.8;0.0;-2.0;;-12146.1;-1.0;;-1.0;193.2;-407.3;189.1;100.0;
2018.0;0.0;-0.0;-1.0;-1.0;-1.0;-1.0;26.0;0.0;0.0;1.0;1.0;-1.0;-1.0;;1.0;-0.0;-1.0;0.0;-53.93;1.0;;1.0;1.0;;0.0;1.0;;0.0;0.0;-19396.67;-20289.43;0.0;-19662.3;;-19662.3;-0.05;-0.05;26.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;;-0.0;0.0;;;0.0;;;1.0;;;;0.0;0.0;;;2.0;0.0;-9.0;;6.0;0.0;-0.0;0.0;;-1.0;0.0;;;-0.0;-0.0;0.0;0.0;-1.0;1.0;;;;;;-0.0;1.0;;;;;0.0;0.0;;;0.0;-0.04;-0.03;;;-0.04;26.0;-21.5;-0.9;;0.0;-20289.4;0.0;-1.0;;-19662.3;-1.0;;-1.0;91.9;-333.9;91.5;100.0;
2019.0;0.0;-0.0;-1.0;-1.0;-1.0;-1.0;28.0;0.0;1.0;2.0;2.0;-1.0;-1.0;-0.0;1.0;-0.0;-1.0;0.0;-50.07;1.0;;1.0;1.0;;0.0;2.0;;0.0;0.0;-969.56;-984.09;-0.0;-988.66;;-988.66;-0.05;-0.05;28.0;;0.0;;0.0;;0.0;0.0;0.0;;;;;;;0.0;;0.0;0.0;;;2.0;;;;0.0;0.0;;0.0;2.0;0.0;-10.0;;7.0;1.0;;1.0;;-1.0;0.0;;;-0.0;0.0;-0.0;0.0;-1.0;1.0;-0.0;;;;;-0.0;1.0;;;;;0.0;0.0;;;0.0;-0.05;-0.04;;0.0;-0.05;28.0;-18.1;-0.7;;0.0;-984.1;0.0;-1.0;;-988.7;-1.0;;-1.0;104.6;-228.9;103.5;100.0;
2020.0;0.0;-0.0;-2.0;-2.0;-2.0;-2.0;30.0;0.0;1.0;2.0;3.0;-2.0;-1.0;-0.0;1.0;0.0;-1.0;0.0;-863.85;1.0;;1.0;1.0;;0.0;2.0;;0.0;0.0;-6388.9;-6321.42;-0.0;-6679.92;;-6679.92;-0.06;-0.06;30.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;0.0;;0.0;0.0;;;2.0;0.0;;;;0.0;;0.0;2.0;0.0;-12.0;;8.0;1.0;;1.0;;-2.0;0.0;;;-1.0;-0.0;0.0;0.0;-2.0;2.0;-0.0;;;;-0.0;-0.0;1.0;;;0.0;;0.0;0.0;;;0.0;-0.06;-0.03;;0.0;-0.07;30.0;-13.0;-0.3;;0.0;-6321.4;0.0;-2.0;;-6679.9;-2.0;0.0;-2.0;83.9;-320.0;82.5;100.0;
2021.0;0.0;0.0;-2.0;-1.0;-2.0;-2.0;30.0;0.0;0.0;4.0;4.0;-6.0;-0.0;-0.0;0.0;-0.0;-0.0;0.0;8.55;1.0;;1.0;1.0;;0.0;1.0;;0.0;0.0;-11395.3;-8221.87;-0.0;-11574.64;;-11574.64;-0.05;-0.05;30.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;;;0.0;;;3.0;0.0;;;;0.0;;;;0.0;-14.0;;8.0;-2.0;2.0;0.0;;-1.0;0.0;;;-1.0;-0.0;0.0;0.0;-3.0;2.0;;;;;-0.0;;0.0;;-0.0;0.0;;0.0;0.0;;;0.0;-0.05;-0.02;0.0;;-0.19;30.0;-5.4;-0.2;1.3;0.0;-8221.9;0.0;-2.0;;-11574.6;-3.0;0.0;-6.0;28.9;80.0;28.8;107.8;
