;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1986.0;208.0;79.0;20.0;9.0;12.0;6.0;19.0;69.0;106.0;20.0;20.0;86.0;;;;;;129.0;37.91;70.0;;62.0;;;8.0;199.0;;;8.0;9.59;4.19;3.0;5.59;5.0;3.03;0.33;0.33;19.0;;23.0;;23.0;17.0;26.0;3.0;25.0;;;;;;12.0;37.0;;;;;;20.0;;;;;;;;;;83.0;-50.0;52.0;106.0;;106.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;210.0;104.0;44.0;31.0;35.0;18.0;19.0;73.0;110.0;8.0;8.0;102.0;;;;;;107.0;49.38;73.0;;65.0;;;8.0;180.0;;;8.0;20.72;14.64;5.0;16.83;17.0;8.56;0.94;0.94;19.0;;29.0;;29.0;14.0;27.0;3.0;25.0;;;;;;13.0;38.0;;;;;;8.0;;;;;;;;;;100.0;-54.0;57.0;110.0;;110.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;190.0;19.0;23.0;15.0;19.0;11.0;19.0;86.0;120.0;9.0;9.0;111.0;;;;;;171.0;9.87;4.0;;;;;4.0;175.0;;;4.0;11.87;7.81;4.0;9.82;7.0;5.91;0.58;0.58;19.0;;36.0;;36.0;15.0;32.0;4.0;20.0;;;;;;14.0;34.0;;;;;;9.0;;;;;;;;;;109.0;-32.0;35.0;120.0;;120.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;199.0;96.0;28.0;19.0;24.0;15.0;19.0;90.0;138.0;14.0;14.0;124.0;;;;;;103.0;48.11;77.0;;73.0;;;4.0;180.0;;;4.0;13.89;9.46;5.0;11.98;9.0;7.3;0.76;0.76;19.0;;38.0;;38.0;16.0;31.0;5.0;22.0;;;;;;26.0;48.0;;;;;;14.0;;;;;;;;;;121.0;-40.0;42.0;138.0;;138.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;198.0;109.0;37.0;26.0;33.0;20.0;19.0;96.0;153.0;12.0;12.0;141.0;19.0;-9.0;-2.0;;10.0;89.0;54.9;82.0;;78.0;;;4.0;172.0;;;4.0;18.6;13.3;6.0;16.43;13.0;10.01;1.03;1.03;19.0;;42.0;;42.0;15.0;30.0;10.0;27.0;;;;;;30.0;57.0;;4.0;;;;8.0;;;;;;;;;;139.0;-40.0;42.0;153.0;;153.0;;20.0;4.0;;;-5.0;;2.0;;84.0;-1.0;-9.0;;-18.0;18.0;0.0;;;;-2.0;1.0;;;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;196.0;114.0;40.0;28.0;35.0;21.0;19.0;99.0;171.0;12.0;12.0;160.0;3.0;-18.0;-3.0;;-2.0;82.0;58.05;86.0;;81.0;;;5.0;168.0;;;5.0;20.34;14.27;7.0;17.69;13.0;10.91;1.11;1.11;19.0;;23.0;;23.0;15.0;30.0;31.0;26.0;;;;;;47.0;73.0;;5.0;;;;6.0;;;;;;;;;;158.0;-38.0;41.0;171.0;;171.0;;21.0;5.0;1.0;;3.0;;0.0;;87.0;-27.0;-5.0;;-31.0;18.0;0.0;;;;-3.0;-0.0;;;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;197.0;118.0;39.0;28.0;34.0;20.0;19.0;95.0;191.0;14.0;13.0;177.0;31.0;-26.0;-3.0;;24.0;80.0;59.66;90.0;;85.0;;;5.0;170.0;;;5.0;19.67;13.94;6.0;16.98;13.0;10.24;1.05;1.05;19.0;;26.0;;26.0;36.0;31.0;1.0;28.0;;;;;;68.0;96.0;;5.0;;;;9.0;;;;-0.0;-0.0;;;;;175.0;-42.0;44.0;191.0;;191.0;;20.0;5.0;-0.0;;-5.0;;-2.0;;82.0;11.0;-7.0;;-41.0;22.0;0.0;;;;-3.0;0.0;;;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;191.0;120.0;39.0;30.0;40.0;19.0;19.0;155.0;216.0;15.0;24.0;192.0;8.0;33.0;-3.0;;3.0;71.0;62.66;90.0;;84.0;;;5.0;161.0;;;5.0;20.66;15.73;10.0;20.71;15.0;9.91;0.98;0.98;19.0;;65.0;;65.0;14.0;32.0;44.0;28.0;;;;;;34.0;61.0;;7.0;;;;9.0;;;;9.0;9.0;;;;;190.0;-42.0;44.0;216.0;;216.0;;19.0;5.0;1.0;;58.0;;-1.0;;140.0;-74.0;-5.0;;-24.0;63.0;0.0;;;;-3.0;;;;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;194.0;100.0;22.0;10.0;17.0;10.0;19.0;103.0;220.0;13.0;23.0;197.0;5.0;-57.0;-4.0;;-2.0;94.0;51.37;90.0;;85.0;85.0;;5.0;184.0;;;5.0;11.29;4.95;7.0;8.61;6.0;5.31;0.54;0.54;19.0;;9.0;;9.0;21.0;35.0;39.0;29.0;;;;;;88.0;117.0;;3.0;;;;9.0;;;;10.0;10.0;;;;;196.0;-48.0;49.0;220.0;;220.0;;10.0;5.0;1.0;;-49.0;;-3.0;;91.0;38.0;-7.0;;-88.0;37.0;1.0;;;;-4.0;;;;65.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;235.0;118.0;35.0;25.0;31.0;19.0;19.0;150.0;244.0;19.0;30.0;214.0;31.0;-27.0;-4.0;;21.0;117.0;50.11;92.0;;88.0;88.0;;5.0;210.0;;;5.0;15.08;10.74;6.0;13.34;12.0;8.05;1.01;1.01;19.0;;8.0;;8.0;19.0;37.0;86.0;33.0;;;;;;61.0;95.0;;9.0;;;;9.0;;;;12.0;12.0;;;;;212.0;;3.0;244.0;;244.0;;19.0;5.0;-0.0;;40.0;;-2.0;;131.0;-33.0;-9.0;;-166.0;147.0;0.0;;;;-4.0;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
