;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;11.0;;18.0;;;2.0;4.0;;410.0;;389.0;21.0;;;;;;;;;;;;;;;27.0;15.0;;153.64;;;;;21.12;0.61;0.59;4.0;;;;;;;;;;;;;;;;410.0;;;;;;;;;;;389.0;;;;;;21.0;410.0;;410.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;4.0;;14.0;;-2.0;-0.0;4.0;;480.0;;459.0;21.0;;;;;;;;;;;;;;;28.0;15.0;;394.44;;;-41.57;-1.0;-5.18;-0.04;-0.04;4.0;;;;;;;;;;;;;;;;480.0;;;;;;;;;;;459.0;;;;;;;480.0;;480.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;3.0;;18.0;;5.0;4.0;4.0;;519.0;5.0;488.0;27.0;7.0;-42.0;34.0;-1.0;7.0;;;;;7.0;7.0;;;;27.0;12.0;1.0;662.45;;;175.87;1.0;148.41;1.02;0.98;4.0;;12.0;;12.0;5.0;;;;;;;64.0;;;;519.0;;5.0;;;;25.0;;;;25.0;507.0;;;0.0;15.0;-2.0;14.0;514.0;4.0;519.0;;4.0;1.0;1.0;;;;;;;1.0;;;-95.0;53.0;-0.0;;0.0;-0.0;-1.0;34.0;;12.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;20.0;;19.0;;7.0;4.0;5.0;492.0;563.0;12.0;525.0;38.0;4.0;-45.0;37.0;-4.0;4.0;;;;;9.0;8.0;1.0;;;28.0;12.0;1.0;99.69;;;35.32;3.0;19.87;0.86;0.83;5.0;;9.0;;9.0;6.0;;478.0;1.0;;;3.0;66.0;;;71.0;634.0;;12.0;;;;28.0;;;;28.0;541.0;;;0.0;17.0;-1.0;22.0;563.0;;563.0;;4.0;1.0;2.0;;-2.0;;;;;-1.0;-0.0;;-19.0;16.0;-41.0;;;;-1.0;37.0;;9.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;22.0;;27.0;;7.0;5.0;5.0;570.0;669.0;;627.0;42.0;3.0;-97.0;102.0;8.0;2.0;;;;;9.0;9.0;1.0;;;37.0;19.0;1.0;122.21;;;32.76;2.0;21.61;0.98;0.96;5.0;;17.0;;17.0;8.0;;546.0;1.0;;;3.0;95.0;;;99.0;768.0;;;;;;49.0;;;;49.0;677.0;;;0.0;21.0;-1.0;22.0;669.0;;669.0;;5.0;1.0;-4.0;;2.0;;;;;-1.0;-0.0;;-57.0;27.0;-67.0;-11.0;;;-0.0;114.0;;17.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;23.0;;35.0;;5.0;4.0;5.0;684.0;788.0;;743.0;46.0;5.0;-116.0;114.0;3.0;4.0;;;;;10.0;9.0;1.0;;;48.0;29.0;1.0;153.32;;;23.97;2.0;16.55;0.76;0.75;5.0;;19.0;;19.0;10.0;;655.0;1.0;;;3.0;100.0;;;104.0;892.0;9.0;;;;;93.0;;;;93.0;835.0;;;0.0;24.0;-1.0;22.0;788.0;;788.0;;4.0;1.0;-1.0;;-1.0;;;;;2.0;-0.0;;-31.0;24.0;-109.0;-15.0;;;-1.0;130.0;;19.0;17.0;;;4.56;0.75;0.86;0.12;0.06;9.22;5.0;15.2;0.8;1.0;23.0;;1.0;4.0;31.0;16.5;684.0;93.0;46.0;3.0;4.3;8.2;84.1;14.0
2007.0;28.0;;42.0;;5.0;3.0;5.0;817.0;918.0;;870.0;49.0;8.0;-133.0;123.0;-2.0;7.0;;;;;13.0;12.0;1.0;;;59.0;36.0;0.0;151.38;;;18.33;2.0;11.79;0.67;0.66;5.0;;17.0;;17.0;10.0;;789.0;2.0;;;3.0;98.0;;;102.0;1020.0;12.0;;;;;82.0;;;;82.0;952.0;;;0.0;27.0;-0.0;22.0;918.0;;918.0;;3.0;0.0;-0.0;;2.0;;;;;3.0;-1.0;;-19.0;22.0;-136.0;-36.0;;;-1.0;160.0;;18.0;19.0;;;5.64;0.66;1.41;0.13;0.17;9.92;5.0;15.1;0.9;1.3;28.0;;0.0;3.0;35.7;11.8;817.0;82.0;49.0;2.9;4.5;6.7;80.2;9.4
2008.0;31.0;;39.0;;5.0;3.0;5.0;893.0;1011.0;;958.0;53.0;8.0;-87.0;85.0;6.0;7.0;;;;;13.0;12.0;1.0;;;60.0;34.0;1.0;124.97;;;16.5;2.0;9.95;0.65;0.64;5.0;;19.0;;19.0;3.0;;870.0;2.0;;;3.0;114.0;;;118.0;1129.0;14.0;;;;;105.0;;;;105.0;1063.0;;;0.0;29.0;1.0;23.0;1011.0;;1011.0;;3.0;1.0;-0.0;;-1.0;;;;;6.0;-0.0;;-38.0;28.0;-77.0;-97.0;;;-1.0;183.0;;24.0;18.0;;;6.46;0.64;1.5;0.14;0.1;10.9;5.0;12.8;0.6;1.7;31.0;;1.0;3.0;39.7;10.0;893.0;105.0;53.0;2.3;3.8;5.9;77.8;9.5
2009.0;34.0;;31.0;;2.0;1.0;5.0;887.0;1117.0;;1063.0;54.0;1.0;-20.0;108.0;89.0;1.0;;;;;18.0;17.0;1.0;;;56.0;28.0;1.0;89.69;;;5.1;1.0;3.02;0.2;0.2;5.0;;9.0;104.0;113.0;18.0;;756.0;1.0;;;3.0;226.0;;;230.0;1348.0;;;;;;68.0;;;;68.0;1131.0;;;0.0;30.0;2.0;23.0;1117.0;;1117.0;;1.0;1.0;-1.0;1.0;-9.0;;;-3.0;;8.0;-0.0;;-60.0;48.0;-7.0;-68.0;;-0.0;-1.0;177.0;;113.0;24.0;;;7.02;0.21;0.16;0.14;0.04;11.07;5.0;26.0;0.4;2.6;34.0;;1.0;1.0;40.8;3.0;887.0;68.0;54.0;1.6;2.7;1.9;31.7;95.9
2010.0;39.0;;30.0;;3.0;1.0;5.0;911.0;1107.0;;1052.0;55.0;12.0;-61.0;-13.0;-62.0;12.0;;;;;20.0;19.0;1.0;;;57.0;25.0;2.0;76.39;;;8.5;2.0;2.43;0.18;0.18;5.0;;9.0;41.0;51.0;20.0;;841.0;1.0;;;0.0;195.0;;;196.0;1303.0;;;;;;52.0;;;;52.0;1104.0;;;0.0;30.0;2.0;24.0;1107.0;;1107.0;;1.0;2.0;-2.0;1.0;2.0;;;1.0;;9.0;-0.0;-0.0;-74.0;42.0;-28.0;-16.0;;-0.0;-1.0;4.0;;51.0;113.0;;;7.79;0.19;2.35;0.14;0.03;11.14;5.0;27.3;1.3;2.8;39.0;;2.0;1.0;71.4;2.4;911.0;52.0;55.0;0.7;2.5;1.7;24.4;6.6
2011.0;43.0;;35.0;;12.0;8.0;5.0;;1177.0;;1113.0;64.0;18.0;1.0;61.0;79.0;17.0;;;;;20.0;19.0;1.0;;;56.0;21.0;2.0;82.39;;;27.93;3.0;19.81;1.61;1.61;5.0;;17.0;113.0;130.0;4.0;;;1.0;;;;286.0;;;;1177.0;;;;;;51.0;;;;51.0;1164.0;;;0.0;38.0;2.0;24.0;1177.0;;1177.0;;8.0;2.0;2.0;1.0;0.0;1.0;;-1.0;;4.0;-0.0;-0.0;-62.0;44.0;19.0;-2.0;;-0.0;-1.0;64.0;;130.0;51.0;;;8.48;1.68;3.42;0.15;0.08;12.8;5.0;4.2;0.3;2.1;43.0;;2.0;8.0;29.0;19.8;;51.0;64.0;2.0;2.8;13.1;91.3;4.8
2012.0;47.0;;34.0;;14.0;9.0;8.0;;1226.0;;1127.0;100.0;16.0;-100.0;39.0;-45.0;15.0;;;;;21.0;20.0;1.0;;;55.0;17.0;3.0;72.17;;;29.36;5.0;19.16;1.65;1.65;8.0;;86.0;201.0;286.0;19.0;;;1.0;;;;203.0;;;;1226.0;12.0;;;;;23.0;;;;23.0;1149.0;;;0.0;46.0;2.0;52.0;1226.0;;1226.0;;9.0;3.0;-2.0;1.0;1.0;1.0;;1.0;;5.0;-1.0;;-90.0;57.0;-66.0;-34.0;27.0;-0.0;-1.0;47.0;;86.0;130.0;;;5.95;1.14;1.97;0.09;0.07;12.71;8.0;9.3;0.6;0.9;47.0;;3.0;9.0;34.7;19.2;;23.0;100.0;1.6;2.5;9.0;91.7;-169.2
2013.0;51.0;;35.0;;21.0;14.0;8.0;;1269.0;;1159.0;109.0;16.0;-55.0;35.0;-4.0;15.0;;;;;24.0;23.0;1.0;;;54.0;12.0;2.0;69.56;;;41.81;7.0;27.19;1.75;1.75;8.0;;81.0;180.0;261.0;29.0;;;1.0;;;;183.0;;;;1269.0;7.0;;;;;22.0;;;;22.0;1182.0;;;0.0;57.0;-0.0;52.0;1269.0;;1269.0;;14.0;2.0;2.0;1.0;-2.0;3.0;;-4.0;;-1.0;-1.0;;-49.0;63.0;-68.0;-0.0;;-2.0;-2.0;39.0;;81.0;86.0;;;6.44;1.75;1.96;0.32;0.07;13.91;8.0;8.7;0.5;2.1;51.0;;2.0;14.0;35.0;27.2;;22.0;109.0;1.7;2.6;12.6;82.0;27.7
2014.0;56.0;;35.0;;21.0;14.0;8.0;1416.0;1629.0;;1492.0;138.0;12.0;-333.0;343.0;22.0;9.0;;;;;27.0;25.0;2.0;;;58.0;12.0;2.0;61.64;;;37.74;7.0;25.14;1.76;1.75;8.0;;103.0;145.0;248.0;38.0;;1130.0;4.0;11.0;1.0;12.0;197.0;;;213.0;1843.0;9.0;;;;;44.0;;;;44.0;1536.0;;;0.0;68.0;0.0;70.0;1629.0;;1629.0;;14.0;2.0;1.0;1.0;-4.0;-5.0;;2.0;;-2.0;-3.0;-12.0;-61.0;46.0;-303.0;-3.0;17.0;-2.0;-3.0;334.0;;103.0;81.0;;;7.15;1.8;1.1;0.43;0.41;17.53;8.0;12.4;0.7;1.9;56.0;;2.0;14.0;33.4;25.1;1416.0;44.0;138.0;1.3;2.0;10.3;76.0;-130.9
2015.0;76.0;;39.0;;25.0;17.0;9.0;1577.0;1783.0;;1632.0;151.0;23.0;-150.0;137.0;10.0;22.0;;;;;37.0;34.0;3.0;;;72.0;14.0;-0.0;51.07;;;32.9;8.0;21.83;1.9;1.9;9.0;;114.0;141.0;254.0;4.0;;1318.0;4.0;11.0;2.0;12.0;189.0;;;206.0;1989.0;9.0;;;;;46.0;;;;46.0;1678.0;;;0.0;81.0;-0.0;70.0;1783.0;;1783.0;;17.0;-0.0;1.0;1.0;-1.0;-1.0;;1.0;;5.0;-1.0;;-41.0;47.0;-155.0;-0.0;;-1.0;-4.0;142.0;;114.0;103.0;;;8.85;1.93;2.62;0.45;0.09;17.64;9.0;11.9;0.6;1.9;76.0;;-0.0;17.0;33.7;21.8;1577.0;46.0;151.0;1.4;2.2;10.9;76.9;21.2
