;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1996.0;0.0;;-0.0;;;-0.0;1.0;;14.0;;8.0;7.0;-0.0;-10.0;14.0;4.0;-2.0;;;;;0.0;0.0;;;;0.0;0.0;0.0;-596.59;;;;;-857.76;-0.29;-0.29;1.0;;4.0;;4.0;0.0;;;2.0;;;;;;;;14.0;;;;;;0.0;;;;0.0;8.0;;;1.0;-1.0;;6.0;14.0;;14.0;;-0.0;0.0;;;0.0;;;;;-0.0;-2.0;;-9.0;1.0;;-0.0;;;;15.0;;4.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;0.0;;0.0;;;-0.0;1.0;;28.0;;21.0;6.0;-1.0;-14.0;14.0;-1.0;-1.0;;;;;1.0;1.0;;;;2.0;1.0;0.0;116.63;;;;;-70.33;-0.18;-0.18;1.0;;3.0;;3.0;0.0;;;2.0;;;;;;;;28.0;;;;;;0.0;;;;0.0;21.0;;;1.0;-1.0;;6.0;28.0;;28.0;;-0.0;0.0;;;;;;;;-1.0;-1.0;;-19.0;7.0;-1.0;;;;;14.0;;3.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;0.0;;2.0;;;0.0;1.0;;50.0;;43.0;6.0;-1.0;-20.0;22.0;2.0;-3.0;;;;;1.0;1.0;;;;3.0;1.0;0.0;408.36;;;;;17.36;0.04;0.04;1.0;;5.0;;5.0;0.0;;;4.0;;;;;;;;50.0;;;;;;1.0;;;;1.0;45.0;;;1.0;-1.0;;6.0;50.0;;50.0;;0.0;0.0;;;;;;;;-1.0;-2.0;;-31.0;12.0;0.0;;;;;22.0;;5.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1.0;;3.0;;-0.0;-0.0;2.0;;91.0;;79.0;12.0;1.0;-37.0;42.0;5.0;0.0;;;;;2.0;2.0;;;;5.0;3.0;0.0;312.5;;;-36.59;-0.0;-21.51;-0.07;-0.07;2.0;;10.0;;10.0;1.0;;;4.0;;;;;;;;91.0;;;;;;5.0;;;;5.0;84.0;;;1.0;-1.0;;12.0;91.0;;91.0;;-0.0;0.0;-0.0;;;;;0.0;;1.0;-1.0;;-47.0;10.0;;;;;;42.0;;10.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1.0;;5.0;;1.0;1.0;2.0;;118.0;;104.0;13.0;-0.0;-28.0;25.0;-3.0;-3.0;;;;;2.0;2.0;;;;9.0;5.0;0.0;540.67;;;55.47;-0.0;56.0;0.24;0.24;2.0;;7.0;;7.0;1.0;;;7.0;;;;;;;;118.0;;;;;;7.0;;;;7.0;112.0;;;1.0;-0.0;;12.0;118.0;;118.0;;1.0;0.0;-0.0;;;;;0.0;;-1.0;-3.0;;-35.0;10.0;0.0;-3.0;;;;28.0;;7.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1.0;;6.0;;1.0;1.0;2.0;;136.0;122.0;122.0;14.0;-1.0;-14.0;17.0;2.0;-2.0;;;;;3.0;3.0;;;;10.0;5.0;0.0;448.55;;;64.8;0.0;47.44;0.29;0.28;2.0;;9.0;;9.0;1.0;;;8.0;;;;;;;;136.0;;;;;122.0;8.0;;;;8.0;0.0;;;1.0;0.0;;13.0;136.0;;136.0;;1.0;0.0;0.0;;-122.0;;;-0.0;-122.0;120.0;-1.0;;-41.0;28.0;0.0;-5.0;0.0;;;22.0;;9.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;8.0;;6.0;;1.0;1.0;2.0;;157.0;16.0;143.0;15.0;-3.0;-16.0;21.0;3.0;-4.0;;;;;3.0;3.0;0.0;;;10.0;4.0;1.0;72.52;;;16.32;0.0;11.04;0.37;0.36;2.0;;7.0;;7.0;1.0;;;8.0;;;;26.0;;;;157.0;0.0;16.0;;;;7.0;;;;7.0;133.0;;;1.0;1.0;0.0;13.0;157.0;;157.0;;1.0;1.0;0.0;;122.0;;;;;-126.0;-1.0;;-30.0;27.0;-13.0;-4.0;;;-0.0;25.0;;12.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;9.0;;5.0;;1.0;1.0;2.0;;165.0;18.0;149.0;16.0;7.0;-20.0;7.0;-6.0;6.0;;;;;4.0;4.0;0.0;;;10.0;3.0;1.0;60.18;;;16.29;0.0;11.09;0.43;0.41;2.0;;6.0;;6.0;1.0;;;8.0;;;;31.0;;;;165.0;0.0;18.0;;;;7.0;;;;7.0;138.0;;;1.0;2.0;0.0;12.0;165.0;;165.0;;1.0;1.0;0.0;;;;;;;5.0;-1.0;;-25.0;19.0;-14.0;-24.0;;;-0.0;31.0;;6.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;10.0;;6.0;;2.0;1.0;2.0;;212.0;12.0;196.0;17.0;1.0;-45.0;46.0;1.0;-0.0;;;;;4.0;4.0;0.0;;;11.0;3.0;1.0;58.65;;;19.21;1.0;12.71;0.54;0.52;2.0;;6.0;;6.0;1.0;;;9.0;;;;29.0;;;;212.0;0.0;12.0;;;;26.0;;;;26.0;210.0;;;1.0;3.0;0.0;13.0;212.0;;212.0;;1.0;1.0;-0.0;;;;;;;-1.0;-1.0;;-11.0;14.0;-48.0;-13.0;;;-0.0;59.0;;7.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;12.0;;9.0;;3.0;2.0;2.0;;294.0;5.0;276.0;18.0;2.0;-60.0;80.0;22.0;2.0;;;;;5.0;5.0;0.0;;;16.0;6.0;1.0;75.57;;;23.44;1.0;16.14;0.81;0.77;2.0;;13.0;;13.0;2.0;;;8.0;;;;51.0;;;;294.0;0.0;5.0;;;;28.0;;;;28.0;299.0;;;1.0;5.0;-0.0;13.0;294.0;;294.0;;2.0;1.0;-0.0;;;;;;;-0.0;-0.0;;-32.0;10.0;-37.0;-25.0;;;-0.0;105.0;;29.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
