;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1992.0;79.0;;93.0;;28.0;21.0;31.0;;1788.0;;1617.0;170.0;24.0;-48.0;66.0;66.0;20.0;;;;;23.0;23.0;;;;131.0;62.0;4.0;118.55;;;35.2;7.0;26.18;0.14;0.14;31.0;;112.0;;112.0;;;;21.0;;;;;;;;1788.0;;;;;;8.0;;;;8.0;1625.0;;;;93.0;;77.0;1788.0;;1788.0;;21.0;4.0;-0.0;;-0.0;;;;;1.0;-4.0;;-263.0;187.0;28.0;-0.0;;;-7.0;73.0;;;53.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;86.0;;96.0;;32.0;23.0;37.0;;1955.0;;1769.0;187.0;25.0;-209.0;141.0;141.0;22.0;;;;;25.0;25.0;;;;132.0;58.0;5.0;111.42;;;37.76;10.0;27.04;0.16;0.16;37.0;;54.0;;54.0;;;;22.0;;;;;;;;1955.0;;;;;;7.0;;;;7.0;1776.0;;;;107.0;;79.0;1955.0;;1955.0;;23.0;5.0;-1.0;;-1.0;;;;;-1.0;-3.0;;-604.0;441.0;-46.0;-1.0;;;-9.0;150.0;;;94.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;107.0;;117.0;;43.0;29.0;45.0;;2335.0;2102.0;2110.0;225.0;28.0;-91.0;72.0;72.0;22.0;;;;;30.0;30.0;;;;160.0;69.0;5.0;109.75;;;40.21;14.0;26.9;0.64;0.64;45.0;;80.0;;80.0;;;;29.0;;;;;;;;2335.0;;202.0;;;1901.0;8.0;;;;8.0;;;;;147.0;;78.0;2335.0;;2335.0;;29.0;5.0;1.0;;-0.0;;;;;-7.0;-6.0;;-164.0;237.0;-164.0;-1.0;;;-12.0;85.0;;;57.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;104.0;;125.0;;38.0;26.0;44.0;;2364.0;2107.0;2112.0;252.0;37.0;-19.0;-17.0;-17.0;33.0;;;;;33.0;33.0;;;;176.0;82.0;5.0;120.54;;;36.16;12.0;24.59;0.58;0.58;44.0;;76.0;;76.0;;;;29.0;;;;;;;;2364.0;;121.0;;;1986.0;5.0;;;;5.0;;;;;158.0;;95.0;2364.0;;2364.0;;26.0;5.0;1.0;;1.0;;;;;5.0;-4.0;;-83.0;174.0;-110.0;-2.0;;;-14.0;-1.0;;;66.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;108.0;;133.0;;40.0;28.0;44.0;;2585.0;2282.0;2323.0;261.0;34.0;-211.0;180.0;180.0;27.0;;;;;33.0;33.0;;;;182.0;88.0;5.0;123.68;;;36.86;12.0;25.63;0.63;0.63;44.0;;74.0;;74.0;;;;33.0;;;;;;;;2585.0;;150.0;;;2132.0;41.0;;;;41.0;;;;;169.0;;93.0;2585.0;;2585.0;;28.0;5.0;-1.0;;1.0;;;;-1.0;0.0;-7.0;;-107.0;154.0;-258.0;-9.0;;;-16.0;204.0;;;67.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;117.0;;153.0;;44.0;31.0;44.0;;2929.0;2464.0;2658.0;272.0;36.0;-355.0;313.0;313.0;32.0;;;;;36.0;36.0;;;;200.0;103.0;6.0;130.54;;;37.64;14.0;26.09;0.7;0.69;44.0;;68.0;;68.0;;;;33.0;;;;;;;;2929.0;;194.0;;;2271.0;193.0;;;;193.0;;;;;181.0;;91.0;2929.0;;2929.0;;31.0;6.0;2.0;;-13.0;;;;;10.0;-4.0;;-345.0;199.0;-210.0;-52.0;;;-18.0;383.0;;;69.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;161.0;;202.0;;46.0;33.0;62.0;;4097.0;3111.0;3741.0;355.0;53.0;-459.0;391.0;391.0;45.0;;;;;49.0;49.0;;;;283.0;148.0;8.0;125.03;;;28.62;12.0;20.69;0.55;0.54;61.0;;100.0;;100.0;;;;42.0;;;;;;;;4097.0;;141.0;;;2970.0;631.0;;;;631.0;;;;;236.0;;120.0;4097.0;;4097.0;;33.0;8.0;-1.0;;-3.0;;;;-3.0;16.0;-8.0;;-1076.0;568.0;50.0;-38.0;;;-26.0;454.0;;;112.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;176.0;;233.0;;73.0;53.0;61.0;;4341.0;3416.0;4054.0;287.0;53.0;-286.0;237.0;4.0;45.0;;;;;50.0;50.0;;;;298.0;153.0;8.0;132.54;;;41.3;20.0;30.15;0.88;0.88;60.0;;94.0;;94.0;;;;41.0;;;;;;;;4341.0;;425.0;;;2991.0;638.0;;;;638.0;;;;63.0;258.0;;;4341.0;;4341.0;;53.0;8.0;0.0;;1.0;;;;1.0;-10.0;-8.0;;-492.0;361.0;-155.0;-50.0;;;-28.0;315.0;;101.0;98.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;171.0;;244.0;;62.0;47.0;58.0;;4372.0;3381.0;4038.0;334.0;66.0;-14.0;-52.0;0.0;58.0;;;;;53.0;53.0;;;;312.0;175.0;7.0;142.41;;;35.98;14.0;27.63;0.82;0.82;58.0;;91.0;;91.0;;;;45.0;;;;;;;;4372.0;;272.0;;;3109.0;657.0;;;0.0;657.0;;;;63.0;272.0;;;4372.0;;4372.0;;47.0;7.0;2.0;;7.0;;;;7.0;3.0;-8.0;;-191.0;199.0;-22.0;-70.0;;;-33.0;51.0;;102.0;101.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;182.0;;240.0;;65.0;50.0;58.0;98.0;4584.0;3549.0;4213.0;370.0;46.0;-212.0;162.0;-4.0;38.0;;;;;55.0;55.0;;;;309.0;167.0;8.0;132.11;;;35.97;15.0;27.58;0.87;0.86;58.0;;102.0;;102.0;;;-4.0;46.0;;;;;;;;4485.0;;428.0;;;3122.0;664.0;;;-0.0;664.0;;;;63.0;288.0;;19.0;4584.0;;4584.0;;50.0;8.0;-1.0;;-12.0;;;;;2.0;-8.0;;-814.0;717.0;-115.0;-1.0;;;-34.0;197.0;;98.0;102.0;;;;;;;;;;;;;;;;;;;;;;;;;;
