;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;1208.0;158.0;78.0;95.0;68.0;44.0;13.0;306.0;741.0;142.0;473.0;268.0;83.0;-32.0;1.0;54.0;60.0;1051.0;13.05;63.0;;42.0;;;21.0;1114.0;;;21.0;6.46;7.85;-27.0;5.62;14.0;3.62;0.56;0.56;13.0;;79.0;;79.0;101.0;117.0;8.0;313.0;;66.0;66.0;;;55.0;435.0;;133.0;;;;9.0;222.0;;14.0;95.0;331.0;;;;1.0;21.0;-15.0;262.0;741.0;;741.0;;44.0;21.0;;;15.0;;-4.0;;164.0;4.0;-23.0;;;;-8.0;;175.0;-69.0;;-106.0;1.0;79.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1600.0;229.0;107.0;135.0;90.0;59.0;54.0;396.0;1034.0;219.0;640.0;394.0;64.0;-69.0;-48.0;-53.0;-1.0;1371.0;14.3;94.0;;58.0;;;36.0;1465.0;;;36.0;6.71;8.42;-45.0;5.6;12.0;3.71;1.1;1.1;54.0;;33.0;;33.0;113.0;160.0;91.0;504.0;;49.0;49.0;;;86.0;638.0;;195.0;;;;24.0;337.0;;5.0;79.0;421.0;;;;1.0;58.0;-96.0;432.0;1034.0;;1034.0;;59.0;36.0;;;13.0;;-23.0;;177.0;-44.0;-65.0;;;;-4.0;;3.0;;-25.0;-26.0;0.0;33.0;86.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1743.0;193.0;117.0;85.0;72.0;57.0;54.0;432.0;1216.0;229.0;778.0;438.0;39.0;-172.0;145.0;-2.0;-132.0;1550.0;11.08;109.0;;64.0;;;45.0;1659.0;;;45.0;6.7;4.85;-13.0;4.11;15.0;3.26;1.06;1.06;54.0;;31.0;;31.0;136.0;199.0;66.0;591.0;;79.0;79.0;;;114.0;784.0;;195.0;;;;33.0;476.0;;11.0;63.0;550.0;;;;1.0;107.0;-133.0;463.0;1216.0;;1216.0;;57.0;45.0;6.0;;27.0;;-40.0;;204.0;-96.0;-171.0;;;;-1.0;;;;;145.0;-13.0;31.0;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1859.0;221.0;94.0;83.0;36.0;33.0;54.0;405.0;1222.0;248.0;753.0;468.0;99.0;-81.0;-38.0;-21.0;20.0;1638.0;11.9;139.0;;81.0;;;58.0;1777.0;;;58.0;5.04;4.44;-47.0;1.94;3.0;1.78;0.62;0.62;54.0;;11.0;;11.0;143.0;189.0;63.0;636.0;;82.0;82.0;;;100.0;817.0;;187.0;;;;61.0;434.0;;9.0;63.0;505.0;;;;1.0;140.0;-171.0;498.0;1222.0;;1222.0;;33.0;58.0;-3.0;;-47.0;;7.0;;157.0;57.0;-79.0;-10.0;;;7.0;;;;;-38.0;-0.0;11.0;31.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1928.0;283.0;184.0;165.0;123.0;96.0;54.0;382.0;1197.0;250.0;634.0;563.0;230.0;-67.0;-162.0;2.0;161.0;1645.0;14.67;118.0;;89.0;;;29.0;1763.0;;;61.0;9.54;8.55;-42.0;6.36;27.0;4.99;1.79;1.77;54.0;;13.0;;13.0;181.0;179.0;10.0;658.0;;77.0;77.0;;;80.0;815.0;;186.0;;;;64.0;267.0;;8.0;109.0;384.0;;;;1.0;236.0;-210.0;536.0;1197.0;;1197.0;;96.0;61.0;-1.0;;-25.0;;11.0;;132.0;99.0;-70.0;;;;3.0;;;;;-162.0;0.0;13.0;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;2091.0;337.0;276.0;214.0;220.0;195.0;57.0;409.0;1263.0;306.0;495.0;760.0;311.0;-68.0;-248.0;-4.0;248.0;1754.0;16.11;122.0;;103.0;;;20.0;1876.0;;;62.0;13.18;10.26;6.0;10.52;19.0;9.34;3.52;3.45;55.0;;10.0;;10.0;197.0;188.0;14.0;704.0;;82.0;82.0;;23.0;45.0;854.0;;231.0;40.0;;;35.0;31.0;;26.0;132.0;189.0;;16.0;;1.0;421.0;-17.0;355.0;1255.0;8.0;1263.0;;195.0;62.0;-0.0;;-29.0;;-12.0;;103.0;83.0;-63.0;-42.0;;;37.0;;25.0;;-11.0;-262.0;2.0;10.0;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;2487.0;328.0;305.0;220.0;242.0;226.0;57.0;513.0;1491.0;370.0;545.0;942.0;264.0;-159.0;-66.0;42.0;206.0;2159.0;13.2;108.0;;108.0;;;;2266.0;;;63.0;12.28;8.86;22.0;9.74;16.0;9.1;4.0;3.95;57.0;;51.0;;51.0;236.0;215.0;11.0;741.0;;169.0;169.0;;28.0;41.0;978.0;;326.0;14.0;;;30.0;15.0;;31.0;130.0;175.0;;15.0;;1.0;621.0;-47.0;367.0;1488.0;4.0;1491.0;;226.0;63.0;-1.0;;40.0;;-23.0;;143.0;-64.0;-58.0;-116.0;;;15.0;;12.0;;-26.0;-53.0;3.0;51.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;2906.0;265.0;198.0;128.0;127.0;139.0;58.0;742.0;2058.0;442.0;981.0;1069.0;157.0;-412.0;241.0;-9.0;63.0;2641.0;9.11;136.0;;136.0;;;;2778.0;;;71.0;6.81;4.42;-1.0;4.37;-12.0;4.79;2.42;2.41;57.0;;42.0;;42.0;331.0;347.0;22.0;915.0;;249.0;249.0;;33.0;119.0;1316.0;;398.0;16.0;;;28.0;348.0;;53.0;138.0;538.0;;;;1.0;715.0;-23.0;377.0;2050.0;8.0;2058.0;;139.0;71.0;8.0;;157.0;;-14.0;;300.0;-218.0;-94.0;-320.0;;;2.0;;4.0;;-46.0;282.0;5.0;42.0;51.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;3260.0;312.0;187.0;118.0;98.0;107.0;58.0;824.0;2125.0;408.0;962.0;1153.0;110.0;-78.0;-51.0;-18.0;29.0;2948.0;9.56;194.0;;191.0;;;3.0;3142.0;;;89.0;5.75;3.6;-19.0;3.02;-8.0;3.27;1.84;1.84;58.0;;25.0;;25.0;348.0;389.0;63.0;893.0;;249.0;249.0;;38.0;121.0;1301.0;;371.0;12.0;;;25.0;349.0;;66.0;139.0;554.0;;;;1.0;775.0;-3.0;381.0;2115.0;10.0;2125.0;;107.0;89.0;-4.0;;116.0;;-45.0;;416.0;-198.0;-81.0;-2.0;;;5.0;;4.0;;-46.0;-8.0;2.0;25.0;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;3214.0;187.0;-62.0;-120.0;-146.0;-145.0;58.0;829.0;2082.0;404.0;1058.0;1012.0;25.0;-84.0;74.0;15.0;-77.0;3028.0;5.8;307.0;;202.0;;;105.0;3335.0;;;84.0;-1.92;-3.75;-25.0;-4.53;-1.0;-4.51;-2.51;-2.51;58.0;;40.0;;40.0;326.0;405.0;58.0;841.0;252.0;;252.0;;47.0;113.0;1253.0;;147.0;8.0;;;250.0;462.0;;68.0;124.0;654.0;;;;1.0;613.0;17.0;382.0;2070.0;12.0;2082.0;;-145.0;84.0;-6.0;;9.0;;-20.0;;425.0;84.0;-102.0;;;;18.0;;0.0;-6.0;-29.0;108.0;0.0;40.0;25.0;;;55.59;-2.51;-1.33;0.5;1.77;17.5;58.0;-7.2;-0.4;2.8;3214.0;-3.7;84.0;-145.0;0.3;-4.5;425.0;462.0;1012.0;-8.7;-7.0;-14.3;119.9;
