;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1989.0;173.0;42.0;18.0;14.0;14.0;8.0;48.0;50.0;89.0;33.0;52.0;37.0;9.0;-4.0;-27.0;-27.0;5.0;130.0;24.41;28.0;;;;;28.0;159.0;;;4.0;10.61;8.06;0.0;8.29;6.0;4.81;0.39;0.39;48.0;;4.0;;4.0;19.0;22.0;5.0;25.0;;;;;;15.0;39.0;;8.0;;;;25.0;17.0;;3.0;-0.0;19.0;;;;;5.0;-47.0;80.0;89.0;;89.0;;8.0;4.0;1.0;;-7.0;;-2.0;;17.0;3.0;-4.0;;;;0.0;;;-36.0;-3.0;11.0;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;179.0;46.0;22.0;18.0;18.0;11.0;50.0;62.0;101.0;37.0;58.0;44.0;22.0;-3.0;-6.0;-6.0;19.0;133.0;25.53;28.0;;;;;28.0;161.0;;;4.0;12.23;10.06;-0.0;9.94;7.0;6.31;0.16;0.16;50.0;;17.0;;17.0;17.0;22.0;6.0;23.0;;;;;;16.0;40.0;;10.0;;;;27.0;16.0;;2.0;3.0;21.0;;;;;12.0;-50.0;82.0;101.0;;101.0;;11.0;4.0;-0.0;;8.0;;1.0;;25.0;-1.0;-3.0;;;;0.0;;0.0;-2.0;-4.0;-0.0;0.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;184.0;49.0;24.0;19.0;20.0;13.0;51.0;61.0;105.0;32.0;55.0;50.0;18.0;-10.0;-8.0;-8.0;13.0;135.0;26.56;30.0;;;;;30.0;165.0;;;4.0;13.25;10.48;1.0;11.08;7.0;7.06;0.2;0.2;51.0;;17.0;;17.0;14.0;25.0;6.0;23.0;;;;;;20.0;44.0;;8.0;;;;25.0;16.0;;2.0;5.0;23.0;;;;;23.0;-53.0;79.0;105.0;;105.0;;13.0;4.0;-0.0;;4.0;;-4.0;;29.0;-3.0;-4.0;;;;-6.0;;1.0;-6.0;-3.0;-0.0;0.0;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;199.0;54.0;27.0;23.0;23.0;14.0;52.0;62.0;105.0;36.0;65.0;40.0;18.0;-4.0;-15.0;-15.0;13.0;144.0;27.29;31.0;;;;;31.0;176.0;;;4.0;13.49;11.63;-1.0;11.38;9.0;6.95;0.23;0.23;52.0;;16.0;;16.0;14.0;26.0;6.0;24.0;;;;;;19.0;43.0;;9.0;;;;27.0;23.0;;2.0;5.0;29.0;;;;;35.0;-52.0;57.0;105.0;;105.0;;14.0;4.0;-0.0;;-2.0;;-1.0;;26.0;3.0;-6.0;;;;2.0;;2.0;-11.0;-2.0;-4.0;0.0;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;206.0;57.0;28.0;22.0;23.0;17.0;52.0;82.0;125.0;37.0;74.0;50.0;23.0;-4.0;3.0;3.0;17.0;149.0;27.76;35.0;;;;;35.0;184.0;;;4.0;13.61;10.71;1.0;11.09;7.0;8.28;0.32;0.32;52.0;;39.0;;39.0;13.0;23.0;7.0;26.0;;;;;;17.0;43.0;;8.0;;;;28.0;30.0;;2.0;6.0;38.0;;;;;51.0;-55.0;55.0;125.0;;125.0;;17.0;4.0;;;19.0;;2.0;;45.0;-17.0;-6.0;;;;2.0;;0.0;;-2.0;5.0;1.0;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;241.0;70.0;37.0;30.0;30.0;19.0;52.0;106.0;152.0;58.0;87.0;65.0;28.0;-6.0;-21.0;-21.0;20.0;172.0;28.79;40.0;;;;;40.0;212.0;;;6.0;15.16;12.34;0.0;12.51;12.0;7.75;0.35;0.35;52.0;;39.0;;39.0;22.0;38.0;8.0;42.0;;;;;;4.0;45.0;;12.0;;;;46.0;20.0;;1.0;8.0;29.0;;;;;64.0;-75.0;75.0;152.0;;152.0;;19.0;6.0;;;3.0;;-2.0;;48.0;-1.0;-8.0;;;;2.0;;0.0;-10.0;-2.0;-10.0;-1.0;;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;276.0;70.0;33.0;25.0;24.0;16.0;53.0;109.0;153.0;41.0;73.0;81.0;16.0;-7.0;-16.0;-16.0;9.0;206.0;25.4;46.0;5.0;41.0;41.0;;0.0;252.0;;;9.0;12.01;8.9;-0.0;8.79;9.0;5.61;0.29;0.29;53.0;;32.0;;32.0;23.0;46.0;9.0;42.0;;;;;0.0;2.0;44.0;;16.0;1.0;;;25.0;20.0;;;11.0;32.0;;;;1.0;77.0;1.0;1.0;153.0;;153.0;;16.0;9.0;-2.0;;20.0;;-8.0;;68.0;-26.0;-6.0;;;;-1.0;;1.0;;-2.0;-15.0;-0.0;;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;301.0;84.0;42.0;33.0;33.0;22.0;53.0;131.0;173.0;42.0;73.0;100.0;31.0;-38.0;-3.0;-3.0;25.0;217.0;27.97;51.0;5.0;46.0;46.0;;0.0;267.0;;;8.0;13.87;11.04;0.0;11.07;12.0;7.15;0.4;0.4;53.0;;23.0;32.0;55.0;25.0;42.0;10.0;40.0;;;;;0.0;2.0;42.0;;14.0;;;;28.0;20.0;;;11.0;32.0;;;;1.0;96.0;-2.0;5.0;173.0;0.0;173.0;;22.0;8.0;-0.0;;22.0;;2.0;;90.0;-20.0;-6.0;;-53.0;21.0;-0.0;;1.0;;-3.0;-0.0;1.0;;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;303.0;91.0;48.0;36.0;41.0;26.0;51.0;129.0;163.0;41.0;70.0;93.0;22.0;10.0;-32.0;-32.0;13.0;213.0;29.87;54.0;5.0;49.0;49.0;;0.0;267.0;;;8.0;15.86;12.0;4.0;13.35;15.0;8.41;0.54;0.5;47.0;;23.0;49.0;72.0;17.0;31.0;9.0;32.0;;;;;;2.0;35.0;;11.0;0.0;;;30.0;19.0;;;11.0;30.0;;;;1.0;88.0;-5.0;10.0;163.0;;163.0;;26.0;8.0;-1.0;;-2.0;;-3.0;;88.0;-9.0;-9.0;;-65.0;48.0;35.0;;2.0;-31.0;-3.0;0.0;1.0;;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
