;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2009.0;677.0;186.0;88.0;50.0;32.0;19.0;4.0;340.0;840.0;149.0;438.0;402.0;108.0;-11.0;-95.0;7.0;92.0;491.0;27.45;129.0;;;;;129.0;620.0;;19.0;38.0;13.03;7.41;-18.0;4.7;11.0;2.85;5.69;5.17;3.0;;27.0;;27.0;106.0;169.0;38.0;97.0;301.0;92.0;392.0;;;11.0;500.0;;50.0;35.0;;7.0;57.0;237.0;;25.0;27.0;289.0;;;0.0;0.0;127.0;-8.0;283.0;840.0;0.0;840.0;;19.0;38.0;-8.0;3.0;41.0;38.0;60.0;-62.0;191.0;14.0;-15.0;-2.0;;;-9.0;-103.0;0.0;-0.0;;8.0;5.0;27.0;20.0;;;199.35;5.69;27.21;;4.5;118.28;3.0;;;;677.0;7.4;38.0;19.0;34.6;2.9;191.0;237.0;402.0;4.7;5.9;4.8;100.0;0.2
2010.0;747.0;214.0;96.0;73.0;44.0;24.0;4.0;342.0;818.0;127.0;355.0;463.0;66.0;-19.0;-54.0;-7.0;46.0;533.0;28.67;141.0;;;;;141.0;675.0;;18.0;33.0;12.8;9.81;-29.0;5.93;20.0;3.2;7.04;6.41;3.0;;20.0;;20.0;118.0;174.0;30.0;91.0;294.0;80.0;375.0;;;11.0;476.0;;62.0;3.0;;7.0;55.0;205.0;;20.0;3.0;228.0;;;;0.0;151.0;-13.0;324.0;818.0;1.0;818.0;;24.0;33.0;-1.0;5.0;24.0;-13.0;-6.0;14.0;215.0;-19.0;-20.0;;;;-19.0;-408.0;65.0;-28.0;;317.0;1.0;20.0;27.0;;;219.93;7.04;13.57;;5.85;136.12;3.0;;;;747.0;9.8;33.0;24.0;45.8;3.2;215.0;205.0;463.0;4.9;7.6;5.2;100.0;-79.1
2011.0;1128.0;362.0;201.0;161.0;141.0;93.0;4.0;619.0;1607.0;255.0;952.0;654.0;39.0;-550.0;510.0;0.0;-2.0;766.0;32.13;202.0;;;;;202.0;968.0;;20.0;41.0;17.8;14.24;-20.0;12.47;47.0;8.27;34.2;32.2;3.0;;21.0;;21.0;229.0;325.0;45.0;125.0;601.0;241.0;842.0;;;22.0;989.0;;98.0;5.0;;13.0;139.0;660.0;;35.0;2.0;698.0;;;;1.0;244.0;-16.0;426.0;1607.0;1.0;1607.0;;93.0;41.0;-1.0;5.0;149.0;-62.0;-91.0;56.0;364.0;-247.0;-41.0;-510.0;;;-40.0;-62.0;57.0;-0.0;;515.0;1.0;21.0;20.0;;;338.4;28.0;-0.61;;12.39;196.33;3.0;;;;1128.0;14.2;41.0;93.0;33.5;8.3;364.0;660.0;654.0;7.9;10.0;14.3;100.0;2788.3
2012.0;1415.0;463.0;291.0;241.0;223.0;151.0;4.0;775.0;1893.0;281.0;731.0;1161.0;138.0;-185.0;66.0;21.0;88.0;952.0;32.73;225.0;;225.0;225.0;;;1177.0;;16.0;52.0;20.56;17.02;-18.0;15.75;71.0;10.7;37.8;34.8;4.0;;41.0;;41.0;235.0;455.0;43.0;153.0;696.0;257.0;953.0;;;12.0;1118.0;;99.0;21.0;;51.0;110.0;400.0;;50.0;;450.0;;;;1.0;396.0;-0.0;765.0;1892.0;1.0;1893.0;;151.0;52.0;-6.0;8.0;130.0;13.0;-100.0;-5.0;494.0;-197.0;-50.0;-135.0;;;-50.0;-454.0;271.0;-0.0;;250.0;1.0;41.0;21.0;;;353.29;37.82;21.99;;12.45;290.01;4.0;11.9;0.8;;1415.0;17.0;52.0;151.0;32.0;10.7;494.0;400.0;1161.0;10.1;12.6;13.0;100.0;-307.4
2013.0;1525.0;475.0;265.0;210.0;186.0;130.0;5.0;809.0;2169.0;220.0;838.0;1330.0;211.0;-289.0;77.0;-1.0;151.0;1050.0;31.17;270.0;;270.0;270.0;;;1319.0;;18.0;61.0;17.38;13.74;-23.0;12.2;56.0;8.5;28.6;27.4;5.0;;40.0;;40.0;274.0;441.0;55.0;180.0;802.0;295.0;1098.0;60.0;;21.0;1359.0;;100.0;1.0;;22.0;97.0;512.0;;98.0;8.0;618.0;;;;1.0;525.0;8.0;797.0;2168.0;1.0;2169.0;;130.0;61.0;16.0;19.0;95.0;1.0;33.0;-1.0;589.0;-109.0;-60.0;-293.0;;;4.0;-716.0;5.0;-4.0;;792.0;-1.0;40.0;41.0;;;336.23;28.56;33.33;;13.29;293.35;5.0;19.5;1.1;;1525.0;13.7;61.0;130.0;30.4;8.5;589.0;512.0;1330.0;7.3;9.4;9.7;100.0;-0.8
2014.0;1740.0;559.0;337.0;268.0;243.0;174.0;5.0;895.0;2222.0;282.0;826.0;1395.0;270.0;-71.0;-162.0;37.0;216.0;1180.0;32.16;313.0;;313.0;313.0;;;1493.0;;30.0;65.0;19.4;15.41;-26.0;13.94;68.0;10.02;37.6;36.6;5.0;;77.0;;77.0;302.0;462.0;55.0;190.0;798.0;272.0;1070.0;50.0;;17.0;1326.0;;128.0;1.0;;27.0;127.0;428.0;;98.0;17.0;544.0;;;;1.0;700.0;-37.0;732.0;2221.0;1.0;2222.0;;174.0;65.0;-3.0;19.0;23.0;-45.0;-26.0;63.0;613.0;-8.0;-54.0;-17.0;;;-54.0;-100.0;11.0;-97.0;;23.0;-0.0;77.0;40.0;;;375.75;37.66;46.69;;11.62;301.37;5.0;15.6;0.9;;1740.0;15.4;65.0;174.0;28.1;10.0;613.0;428.0;1395.0;10.1;12.3;12.5;100.0;39.6
2015.0;1074.0;263.0;-39.0;-114.0;-134.0;-119.0;4.0;718.0;1886.0;152.0;629.0;1257.0;156.0;-91.0;-27.0;33.0;124.0;811.0;24.47;265.0;;265.0;265.0;;;1076.0;;30.0;66.0;-3.6;-10.59;-21.0;-12.51;-15.0;-11.12;-26.6;-26.6;4.0;;109.0;;109.0;151.0;424.0;34.0;187.0;669.0;247.0;916.0;58.0;1.0;7.0;1168.0;;77.0;0.0;;16.0;59.0;396.0;;51.0;30.0;477.0;;;;1.0;580.0;-82.0;758.0;1886.0;0.0;1886.0;;-119.0;66.0;-23.0;22.0;-47.0;146.0;0.0;-111.0;566.0;258.0;-32.0;-59.0;;;-32.0;-121.0;5.0;-6.0;;95.0;-5.0;109.0;77.0;;;238.85;-26.55;27.5;;7.18;279.65;4.0;-12.8;-0.6;;1074.0;-10.6;66.0;-119.0;11.1;-11.1;566.0;396.0;1257.0;-5.3;-5.5;-9.5;100.0;
2016.0;588.0;100.0;-49.0;-129.0;-138.0;-82.0;5.0;750.0;1835.0;142.0;599.0;1235.0;65.0;-11.0;86.0;125.0;48.0;488.0;16.97;227.0;;227.0;227.0;;;715.0;;27.0;62.0;-8.31;-21.94;-9.0;-23.48;-56.0;-13.95;-18.0;-18.0;5.0;;234.0;;234.0;147.0;339.0;29.0;152.0;653.0;216.0;869.0;59.0;1.0;4.0;1085.0;;74.0;0.0;;12.0;56.0;397.0;;26.0;35.0;458.0;;;;1.0;498.0;-128.0;864.0;1835.0;1.0;1835.0;;-82.0;62.0;-24.0;21.0;42.0;29.0;57.0;4.0;608.0;47.0;-17.0;6.0;;;-17.0;-0.0;88.0;-1.0;;-1.0;-15.0;234.0;109.0;;;128.87;-17.98;10.51;;3.69;270.88;5.0;-18.3;-0.8;;588.0;-21.9;62.0;-82.0;40.6;-14.0;608.0;397.0;1235.0;-3.9;-6.0;-6.6;100.0;
2017.0;819.0;189.0;37.0;-142.0;-55.0;-59.0;5.0;790.0;2195.0;216.0;786.0;1409.0;-40.0;-188.0;101.0;-119.0;-67.0;630.0;23.06;254.0;;254.0;254.0;;;884.0;;27.0;65.0;4.48;-17.3;86.0;-6.75;4.0;-7.26;-11.6;-11.6;5.0;;115.0;;115.0;214.0;443.0;18.0;197.0;755.0;443.0;1198.0;;3.0;6.0;1405.0;;138.0;1.0;;11.0;67.0;507.0;;31.0;32.0;570.0;;;;1.0;439.0;-92.0;1061.0;2195.0;;2195.0;;-59.0;65.0;0.0;20.0;-34.0;-65.0;-67.0;52.0;574.0;-32.0;-27.0;-161.0;;;-27.0;-1.0;1.0;-5.0;;105.0;8.0;115.0;234.0;;;165.88;-12.04;-13.52;;5.41;285.51;5.0;-27.8;-1.2;;819.0;-17.3;65.0;-59.0;-7.5;-7.3;574.0;507.0;1409.0;-1.5;-1.3;-4.2;100.0;
2018.0;1064.0;256.0;-283.0;-397.0;-390.0;-374.0;5.0;766.0;1830.0;237.0;800.0;1030.0;2.0;-75.0;7.0;-68.0;-22.0;808.0;24.09;287.0;;287.0;287.0;;;1095.0;;33.0;75.0;-26.57;-37.3;7.0;-36.62;-16.0;-35.15;-68.8;-68.8;5.0;;47.0;;47.0;216.0;479.0;24.0;177.0;470.0;359.0;829.0;45.0;1.0;11.0;1064.0;;143.0;1.0;;12.0;81.0;518.0;;15.0;30.0;563.0;;;;1.0;64.0;-115.0;1080.0;1830.0;;1830.0;;-374.0;75.0;-14.0;20.0;-45.0;-5.0;-61.0;-4.0;529.0;341.0;-24.0;-51.0;;;-24.0;-213.0;0.0;-3.0;;222.0;-1.0;47.0;115.0;;;195.68;-68.78;-3.98;;4.42;189.41;5.0;-3.4;-0.1;;1064.0;-37.3;75.0;-374.0;4.0;-35.2;529.0;518.0;1030.0;-21.5;-19.5;-36.3;100.0;
